task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
30,sparse_edit_or_object_completion,greedy1_Where_node33_to_input1,11998,11798,15.607504751786962,15.62431469543698,5774,full_arc_pass,improved,ok,96a1aa496d3060787881c3a8cfb2e9c025532dfcac03bccd3f8a41231bc3983f
345,sparse_edit_or_object_completion,greedy1_Pad_node8_to_input0,11716,11694,15.631289292052376,15.633168831264385,11427,full_arc_pass,improved,ok,0b417a7c0911fe5a0bc8bd37db8e173696baab85f9b31acb24acfd53eb8ba9cd
124,crop_or_resize,greedy1_Sub_node7_to_input0,11673,11573,15.634966238347337,15.643569922151922,4817,full_arc_pass,improved,ok,6e30a87262fa4215170ce81f9fb1298ac43299bcd3464260a441ec0ad3d1c333
78,sparse_edit_or_object_completion,greedy1_Mul_node22_to_input0,11496,10096,15.65024557224114,15.780105415219005,2213,full_arc_pass,improved,ok,76cb38becdb971f75b593bc2a45cef0777fb19be4d3f0778bac996e826ef076a
153,crop_or_resize,greedy1_Reshape_node7_to_input0,11212,10947,15.675260087715321,15.699179274895442,5672,full_arc_pass,improved,ok,53c7fc47a0ee159835b0a7665d93be66fac049a1636353970aac412039790c2e
188,crop_or_resize,greedy1_Sub_node31_to_input0,10664,10662,15.725371138141455,15.725558702617294,3909,full_arc_pass,improved,ok,3b3abd838c19349ec4272ace8948588f4eb331486db6d46edcafec3542a90670
329,sparse_edit_or_object_completion,greedy1_Min_node13_to_input0,10260,10242,15.76399188127524,15.765747807977505,1874,full_arc_pass,improved,ok,cc54734880c7589f7fed4cea85560523891a93a19672fb718f513a97c1312cb0
212,sparse_edit_or_object_completion,greedy1_Where_node17_to_input1,9870,9670,15.802744867572473,15.82321641155266,4681,full_arc_pass,improved,ok,f646f35b410ece6807a3735281c52085da1af2e379fe48661149a8f5681c7ee5
50,sparse_edit_or_object_completion,greedy1_Cast_node1_to_input0,9475,9025,15.843587970049374,15.892246216798918,2258,full_arc_pass,improved,ok,f342fb1fe6c5f4addbee2c330f636f529e19fcef4cfcd43e952aa9ca4febae71
3,crop_or_resize,greedy1_Sub_node14_to_input0,9102,9066,15.883750551423413,15.887713568499205,3575,full_arc_pass,improved,ok,0e3ea6deacb21536db532af94144cf87f40d53573e12c8b9ef025c276dd33cc1
254,sparse_edit_or_object_completion,greedy1_Mul_node25_to_input1,7956,7794,16.018318360026136,16.038890514101347,4972,full_arc_pass,improved,ok,4f3539fe40fb0f0c3312343672e6939c12aac0aced160126daa4c31cad029dfb
369,sparse_edit_or_object_completion,greedy1_Sub_node10_to_input0,7729,7529,16.04726523289313,16.07348249014988,3261,full_arc_pass,improved,ok,0cb7d296ce544ad550cb3a7dec4e67f942382ac2c686cb76cbe1cf23697b0dab
180,crop_or_resize,greedy1_Mul_node4_to_input0,7450,6170,16.084030688626395,16.272545883100566,2551,full_arc_pass,improved,ok,907846bfd9501d116495a438cc4fcfd051df07a3892a94a180f3d63c00beab7a
45,sparse_edit_or_object_completion,greedy1_Slice_node6_to_input0,7425,7345,16.0873920363291,16.098224911392023,1400,full_arc_pass,improved,ok,e40d43d6e9226cc2abb7806b70db4c2891f6fb0e1bf0ad1309be3d0c3c122f38
248,sparse_edit_or_object_completion,greedy1_And_node18_to_input0,6572,6472,16.20942652084284,16.224759541261673,2215,full_arc_pass,improved,ok,d46ece634303169ae3dfca2f2271402ffe5faf634837e9843e15594fa88090c0
357,sparse_edit_or_object_completion,greedy1_And_node18_to_input0,6572,6472,16.20942652084284,16.224759541261673,2215,full_arc_pass,improved,ok,11d020189ee27db9bce7c7da0c30acdf3e7937295d544d69dc93f94df68e6d52
273,sparse_edit_or_object_completion,greedy1_And_node15_to_input0,5937,5837,16.311040765729324,16.32802775479621,2189,full_arc_pass,improved,ok,dfc464ef60fcdfa1caf9ca393bb29796648334487d0b2b3c456f828ed5f4d0ee
60,sparse_edit_or_object_completion,greedy1_Mul_node12_to_input0,5581,5481,16.372876749211567,16.39095715495388,2461,full_arc_pass,improved,ok,f4af3d9962eb193b0aa0b3e2730517a49bc33f887e52ce1261fd22904972467d
226,sparse_edit_or_object_completion,greedy1_Mul_node22_to_input0,5559,5359,16.37682648504653,16.41346733050515,3764,full_arc_pass,improved,ok,e7586fe334567978a98a566c2b952f7a2ad64eb9457cebe3f0ecd0ec25f89d80
123,crop_or_resize,greedy1_Max_node6_to_input0,4104,4102,16.680282613149394,16.680770061367674,9080,full_arc_pass,improved,ok,2487dbd44c5dd31f7f35b54dfdcc140b5b2e671a2a63a1017e27178f1afc4cb9
