task_id,filename,source_label,source_ref,relative_path,sha256,file_bytes,normalized_bytes,params,memory_bytes,cost,simple_cost,local_points,validation_status,validation_pass,validation_fail
1,task001.onnx,vyanktesh_multi_source_output,vyankteshdwivedi/neurogolf-multi-source-onnx-solver,submission.zip::task001.onnx,80f114c73f22f7ad157c399acec303cc928f614e6e5dfb9967b3a921c1f641e2,1082,1319,24,2819,2843,1343,17.047384888349,pass,8,0
2,task002.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task002.onnx,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,14560,13796,93,97200,97293,13889,13.514517676859928,pass,8,0
3,task003.onnx,afr1ste_5689_artifact,afr1ste/neurogolf-5689-51-current-rules-open-artifact,submission\task003.onnx,af63acf28b90fea42960fbbf559775a83a53e0ee70ec23546b76626bd8718e4b,3334,3638,10,9092,9102,3648,15.883750551423413,pass,6,0
4,task004.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task004.onnx,fc9ef5d39847fe678249f3dd2ef4701d2d49b2afb4c27c424b79b6f9967ca118,2522,2666,1020,54000,55020,3686,14.084547965521434,pass,5,0
5,task005.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task005.onnx,c989d743986f147d63585c2e22e752e367106ddc6985982b435a33567b89a2b6,10910,13978,336,116889,117225,14314,13.328149556042213,pass,6,0
6,task006.onnx,afr1ste_5689_artifact,afr1ste/neurogolf-5689-51-current-rules-open-artifact,submission\task006.onnx,17e048671c7f056a80feba6875cdbb34da1521c36887cfdb399f371d8d5e163c,1124,1450,47,1584,1631,1497,17.603051397378987,pass,6,0
7,task007.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task007.onnx,6df9108f0aec1564c4fd08e1e738288d4247e6be0f49919ed6a106278d0c3981,1258,1591,31,7240,7271,1622,16.108350887349943,pass,6,0
8,task008.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task008.onnx,9f554244f259a2a22a65b8388f8589f19cb9a1db25ad57eeb687660e73a541ba,7667,9516,61,23228,23289,9577,14.94426357492621,pass,6,0
9,task009.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task009.onnx,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,30956,31914,3841,77400,81241,35755,13.69482467517415,pass,6,0
10,task010.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task010.onnx,92d798f28d116dabbd7bef3a2e3f10f312184eb43390d09a00b3fe6c22a61b58,4038,5285,77,4939,5016,5362,16.479611917687244,pass,5,0
11,task011.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task011.onnx,3f64ad20a9feacc16ad2ce2296652dbc2fb5438e444a47af1f885a374cd43046,10170,11830,2331,63916,66247,14161,13.898854540195707,pass,7,0
12,task012.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task012.onnx,6565dbdc01b75cf0fd11dff727c2312655bcb5fb9e59a8020020ef04a7b5a80c,1951,2599,103,12536,12639,2702,15.555457449352874,pass,5,0
13,task013.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task013.onnx,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,18384,16641,2257,114625,116882,18898,13.3310798421544,pass,7,0
14,task014.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task014.onnx,33aac8a1b4845a677ce6e8d07d81f5483ca78d158e8f09368fccba9384f7b28f,5317,6239,650,38399,39049,6889,14.427427453254685,pass,6,0
15,task015.onnx,massimilianoghiotto_6254,massimilianoghiotto/neurogolf2026-6254,submission\task015.onnx,1ab641692d1424be973ca0ca5d26e88172d7be86363973c99ffda1b0d2dfd046,3774,3802,900,0,900,4702,18.197605236675688,pass,6,0
