task_id,source,baseline_cost,new_cost,baseline_points,new_points,removed_initializers,baseline_file_bytes,new_file_bytes,status,reason
1,vyanktesh_multi_source_output,2843,2843,17.047384888349,17.047384888349,0,1319,1319,unchanged,no unused initializers
2,massimilianoghiotto_6254,97293,97293,13.514517676859928,13.514517676859928,0,13796,13796,unchanged,no unused initializers
3,afr1ste_5689_artifact,9102,9102,15.883750551423413,15.883750551423413,0,3638,3638,unchanged,no unused initializers
4,massimilianoghiotto_6254,55020,55020,14.084547965521434,14.084547965521434,0,2666,2666,unchanged,no unused initializers
5,massimilianoghiotto_6254,117225,117225,13.328149556042213,13.328149556042213,0,13978,13978,unchanged,no unused initializers
6,afr1ste_5689_artifact,1631,1631,17.603051397378987,17.603051397378987,0,1450,1450,unchanged,no unused initializers
7,massimilianoghiotto_6254,7271,7271,16.108350887349943,16.108350887349943,0,1591,1591,unchanged,no unused initializers
8,massimilianoghiotto_6254,23289,23289,14.94426357492621,14.94426357492621,0,9516,9516,unchanged,no unused initializers
9,massimilianoghiotto_6254,81241,81241,13.69482467517415,13.69482467517415,0,31914,31914,unchanged,no unused initializers
10,massimilianoghiotto_6254,5016,5016,16.479611917687244,16.479611917687244,0,5285,5285,unchanged,no unused initializers
11,massimilianoghiotto_6254,66247,66247,13.898854540195707,13.898854540195707,0,11830,11830,unchanged,no unused initializers
12,massimilianoghiotto_6254,12639,12639,15.555457449352874,15.555457449352874,0,2599,2599,unchanged,no unused initializers
13,massimilianoghiotto_6254,116882,116882,13.3310798421544,13.3310798421544,0,16641,16641,unchanged,no unused initializers
14,massimilianoghiotto_6254,39049,39049,14.427427453254685,14.427427453254685,0,6239,6239,unchanged,no unused initializers
15,massimilianoghiotto_6254,900,900,18.197605236675688,18.197605236675688,0,3802,3802,unchanged,no unused initializers
16,massimilianoghiotto_6254,10,10,22.697414907005953,22.697414907005953,0,174,174,unchanged,no unused initializers
17,massimilianoghiotto_6254,35329,35329,14.527540564604424,14.527540564604424,0,10570,10570,unchanged,no unused initializers
18,kojimar_5800_minimal_blend,114578,114578,13.35098890724301,13.35098890724301,0,50524,50524,unchanged,no unused initializers
19,massimilianoghiotto_6254,81346,81346,13.69353305881371,13.69353305881371,0,3217,3217,unchanged,no unused initializers
20,massimilianoghiotto_6254,90133,90133,13.590958363748854,13.590958363748854,0,30379,30379,unchanged,no unused initializers
21,massimilianoghiotto_6254,51223,51223,14.156056071090937,14.156056071090937,0,39349,39349,unchanged,no unused initializers
22,massimilianoghiotto_6254,34821,34821,14.542024067963268,14.542024067963268,0,6565,6565,unchanged,no unused initializers
23,franksunp_blended_best,21433,21433,15.027312930662868,15.027312930662868,0,3518,3518,unchanged,no unused initializers
24,massimilianoghiotto_6254,9080,9080,15.88617052840466,15.88617052840466,0,3824,3824,unchanged,no unused initializers
25,franksunp_blended_best,89286,89286,13.600400020341894,13.600400020341894,0,61869,61869,unchanged,no unused initializers
26,massimilianoghiotto_6254,738,738,18.39605617539953,18.39605617539953,0,1526,1526,unchanged,no unused initializers
27,massimilianoghiotto_6254,36791,36791,14.486991470971319,14.486991470971319,0,16875,16875,unchanged,no unused initializers
28,massimilianoghiotto_6254,8990,8990,15.896131872534333,15.896131872534333,0,2106,2106,unchanged,no unused initializers
29,massimilianoghiotto_6254,97117,97117,13.516328283804857,13.516328283804857,0,9892,9892,unchanged,no unused initializers
30,massimilianoghiotto_6254,11998,11998,15.607504751786962,15.607504751786962,0,5853,5853,unchanged,no unused initializers
31,massimilianoghiotto_6254,18616,18616,15.168223295017873,15.168223295017873,0,3504,3504,unchanged,no unused initializers
32,massimilianoghiotto_6254,3405,3405,16.86699978141639,16.86699978141639,0,2765,2765,unchanged,no unused initializers
33,massimilianoghiotto_6254,55161,55161,14.081988539178049,14.081988539178049,0,2047,2047,unchanged,no unused initializers
34,afr1ste_5689_artifact,106316,106316,13.425828929592994,13.425828929592994,0,10866,10866,unchanged,no unused initializers
35,massimilianoghiotto_6254,15363,15363,15.36028269986934,15.36028269986934,0,5343,5343,unchanged,no unused initializers
36,massimilianoghiotto_6254,79962,79962,13.710693199192217,13.710693199192217,0,6912,6912,unchanged,no unused initializers
37,massimilianoghiotto_6254,63726,63726,13.937652078450405,13.937652078450405,0,20513,20513,unchanged,no unused initializers
38,massimilianoghiotto_6254,2193,2193,17.306974251582112,17.306974251582112,0,2630,2630,unchanged,no unused initializers
39,massimilianoghiotto_6254,7772,7772,16.04171718950267,16.04171718950267,0,2013,2013,unchanged,no unused initializers
40,massimilianoghiotto_6254,7868,7868,16.02944082049105,16.02944082049105,0,5036,5036,unchanged,no unused initializers
41,massimilianoghiotto_6254,11769,11769,15.626775765122337,15.626775765122337,0,2556,2556,unchanged,no unused initializers
42,massimilianoghiotto_6254,8518,8518,15.950063149516842,15.950063149516842,0,8469,8469,unchanged,no unused initializers
43,massimilianoghiotto_6254,7119,7119,16.129477454896126,16.129477454896126,0,2092,2092,unchanged,no unused initializers
44,franksunp_blended_best,31805,31805,14.632621210887095,14.632621210887095,0,25971,25971,unchanged,no unused initializers
45,massimilianoghiotto_6254,7428,7428,16.0869880775274,16.0869880775274,0,1586,1586,unchanged,no unused initializers
46,massimilianoghiotto_6254,33426,33426,14.58291068075113,14.58291068075113,0,8068,8068,unchanged,no unused initializers
47,massimilianoghiotto_6254,3024,3024,16.985664262700574,16.985664262700574,0,3823,3823,unchanged,no unused initializers
48,massimilianoghiotto_6254,5609,5609,16.367872270491663,16.367872270491663,0,4683,4683,unchanged,no unused initializers
49,massimilianoghiotto_6254,30489,30489,14.674878758194124,14.674878758194124,0,4016,4016,unchanged,no unused initializers
50,afr1ste_5689_artifact,9475,9475,15.843587970049374,15.843587970049374,0,2319,2319,unchanged,no unused initializers
51,massimilianoghiotto_6254,68437,68437,13.866331106969804,13.866331106969804,0,5091,5091,unchanged,no unused initializers
52,massimilianoghiotto_6254,1228,1228,17.886857891292912,17.886857891292912,0,1342,1342,unchanged,no unused initializers
53,massimilianoghiotto_6254,30,30,21.598802618337846,21.598802618337846,0,199,199,unchanged,no unused initializers
54,massimilianoghiotto_6254,150548,150548,13.07796275080141,13.07796275080141,0,8874,8874,unchanged,no unused initializers
55,afr1ste_5689_artifact,26370,26370,14.820017720652668,14.820017720652668,0,15660,15660,unchanged,no unused initializers
56,massimilianoghiotto_6254,213,213,19.638707834290575,19.638707834290575,0,1004,1004,unchanged,no unused initializers
57,massimilianoghiotto_6254,29304,29304,14.71452069554135,14.71452069554135,0,1988,1988,unchanged,no unused initializers
58,afr1ste_5689_artifact,16105,16105,15.313114938234701,15.313114938234701,0,14579,14579,unchanged,no unused initializers
59,afr1ste_5689_artifact,20387,20387,15.077347278202861,15.077347278202861,0,7242,7242,unchanged,no unused initializers
60,massimilianoghiotto_6254,5581,5581,16.372876749211567,16.372876749211567,0,2524,2524,unchanged,no unused initializers
61,massimilianoghiotto_6254,18914,18914,15.152342332424542,15.152342332424542,0,17113,17113,unchanged,no unused initializers
62,massimilianoghiotto_6254,30609,30609,14.670950637656585,14.670950637656585,0,19486,19486,unchanged,no unused initializers
63,massimilianoghiotto_6254,30732,30732,14.666940264012474,14.666940264012474,0,4431,4431,unchanged,no unused initializers
64,massimilianoghiotto_6254,114153,114153,13.354705067178468,13.354705067178468,0,8580,8580,unchanged,no unused initializers
65,massimilianoghiotto_6254,35109,35109,14.533787213157124,14.533787213157124,0,3215,3215,unchanged,no unused initializers
