task_id,cost,points,priority_gain_if_cost_900,shape_pairs,same_shape_examples,avg_diff_pixels,avg_non_bg_pixels,avg_bbox_h,avg_bbox_w,route
366,836880,11.362564029982357,6.835041206693331,"(10, 16, 10, 8);(11, 20, 11, 10);(24, 12, 12, 12);(30, 17, 15, 17)",0,-1,152.0,17.75,15.25,crop_or_resize
133,193923,12.824783547959548,5.37282168871614,"(15, 18, 15, 18);(16, 12, 16, 12);(16, 18, 16, 18);(17, 18, 17, 18);(19, 30, 19, 30)",5,46.8,25.8,10.8,12.8,same_shape_global_transform
158,182776,12.883983361645681,5.313621875030007,"(20, 19, 20, 19);(20, 21, 20, 21);(21, 22, 21, 22);(22, 22, 22, 22)",4,36.25,22.0,15.0,12.75,sparse_edit_or_object_completion
173,175243,12.926071138839562,5.271534097836126,"(13, 12, 13, 12);(13, 22, 13, 22);(14, 19, 14, 19);(19, 19, 19, 19)",4,9.75,14.0,12.0,15.5,sparse_edit_or_object_completion
286,162199,13.00342074458367,5.194184492092019,"(11, 24, 11, 24);(13, 14, 13, 14);(15, 15, 15, 15)",3,47.0,111.333,13.0,17.667,sparse_edit_or_object_completion
77,157913,13.030200472556263,5.167404764119425,"(15, 14, 15, 14);(15, 16, 15, 16);(17, 18, 17, 18)",4,13.5,131.25,16.0,16.5,sparse_edit_or_object_completion
285,151996,13.068390516307327,5.129214720368362,"(14, 14, 14, 14);(20, 20, 20, 20);(24, 24, 24, 24);(30, 30, 30, 30)",4,29.75,19.25,11.75,11.5,sparse_edit_or_object_completion
54,150548,13.07796275080141,5.119642485874278,"(30, 30, 30, 30)",4,77.75,404.75,26.0,26.5,same_shape_global_transform
396,143389,13.126683504302262,5.070921732373426,"(13, 13, 7, 7);(13, 16, 6, 7);(15, 16, 7, 7);(17, 17, 8, 8)",0,-1,59.5,14.5,15.0,crop_or_resize
71,129780,13.22640401182484,4.971201224850848,"(16, 16, 16, 16)",3,16.0,43.333,8.333,8.667,sparse_edit_or_object_completion
