task_id,baseline_cost,new_cost,baseline_points,new_points,baseline_bytes,new_bytes,optimizer_level,status,reason
1,2843,2843,17.047384888349,17.047384888349,1319,1319,none,unchanged,extended: custom domain com.microsoft.nchwc
2,97293,97293,13.514517676859928,13.514517676859928,13796,13796,none,unchanged,extended: custom domain com.microsoft.nchwc
3,9102,9102,15.883750551423413,15.883750551423413,3638,3638,none,unchanged,extended: custom domain com.microsoft.nchwc
4,55020,55020,14.084547965521434,14.084547965521434,2666,2666,none,unchanged,extended: custom domain com.microsoft.nchwc
5,117225,117225,13.328149556042213,13.328149556042213,13978,13978,none,unchanged,extended: custom domain com.microsoft.nchwc
6,1631,1631,17.603051397378987,17.603051397378987,1450,1450,none,unchanged,extended: custom domain com.microsoft.nchwc
7,7271,7271,16.108350887349943,16.108350887349943,1591,1591,none,unchanged,extended: custom domain com.microsoft.nchwc
8,23289,23289,14.94426357492621,14.94426357492621,9516,9516,none,unchanged,extended: custom domain com.microsoft.nchwc
9,81241,81241,13.69482467517415,13.69482467517415,31914,31914,none,unchanged,extended: custom domain com.microsoft.nchwc
10,5016,5016,16.479611917687244,16.479611917687244,5285,5285,none,unchanged,extended: custom domain com.microsoft.nchwc
11,66247,66247,13.898854540195707,13.898854540195707,11830,11830,none,unchanged,extended: custom domain com.microsoft.nchwc
12,12639,12639,15.555457449352874,15.555457449352874,2599,2599,none,unchanged,extended: custom domain com.microsoft.nchwc
13,116882,116882,13.3310798421544,13.3310798421544,16641,16641,none,unchanged,extended: custom domain com.microsoft.nchwc
14,39049,39049,14.427427453254685,14.427427453254685,6239,6239,none,unchanged,extended: custom domain com.microsoft.nchwc
15,900,900,18.197605236675688,18.197605236675688,3802,3802,none,unchanged,extended: custom domain com.microsoft.nchwc
16,10,10,22.697414907005953,22.697414907005953,174,174,none,unchanged,extended: custom domain com.microsoft.nchwc
17,35329,35329,14.527540564604424,14.527540564604424,10570,10570,none,unchanged,extended: custom domain com.microsoft.nchwc
18,114578,114578,13.35098890724301,13.35098890724301,50524,50524,none,unchanged,extended: custom domain com.microsoft.nchwc
19,81346,81346,13.69353305881371,13.69353305881371,3217,3217,none,unchanged,extended: custom domain com.microsoft.nchwc
20,90133,90133,13.590958363748854,13.590958363748854,30379,30379,none,unchanged,extended: custom domain com.microsoft.nchwc
21,51223,51223,14.156056071090937,14.156056071090937,39349,39349,none,unchanged,extended: custom domain com.microsoft.nchwc
22,34821,34821,14.542024067963268,14.542024067963268,6565,6565,none,unchanged,extended: custom domain com.microsoft.nchwc
23,21433,21433,15.027312930662868,15.027312930662868,3518,3518,none,unchanged,extended: custom domain com.microsoft.nchwc
24,9080,9080,15.88617052840466,15.88617052840466,3824,3824,none,unchanged,extended: custom domain com.microsoft.nchwc
25,89286,89286,13.600400020341894,13.600400020341894,61869,61869,none,unchanged,extended: custom domain com.microsoft.nchwc
26,738,738,18.39605617539953,18.39605617539953,1526,1526,none,unchanged,extended: custom domain com.microsoft.nchwc
27,36791,36791,14.486991470971319,14.486991470971319,16875,16875,none,unchanged,extended: custom domain com.microsoft.nchwc
28,8990,8990,15.896131872534333,15.896131872534333,2106,2106,none,unchanged,extended: custom domain com.microsoft.nchwc
29,97117,97117,13.516328283804857,13.516328283804857,9892,9892,none,unchanged,extended: custom domain com.microsoft.nchwc
30,11998,11998,15.607504751786962,15.607504751786962,5853,5853,none,unchanged,extended: custom domain com.microsoft.nchwc
31,18616,18616,15.168223295017873,15.168223295017873,3504,3504,none,unchanged,extended: custom domain com.microsoft.nchwc
32,3405,3405,16.86699978141639,16.86699978141639,2765,2765,none,unchanged,extended: custom domain com.microsoft.nchwc
33,55161,55161,14.081988539178049,14.081988539178049,2047,2047,none,unchanged,extended: custom domain com.microsoft.nchwc
34,106316,106316,13.425828929592994,13.425828929592994,10866,10866,none,unchanged,extended: custom domain com.microsoft.nchwc
35,15363,15363,15.36028269986934,15.36028269986934,5343,5343,none,unchanged,extended: custom domain com.microsoft.nchwc
36,79962,79962,13.710693199192217,13.710693199192217,6912,6912,none,unchanged,extended: custom domain com.microsoft.nchwc
37,63726,63726,13.937652078450405,13.937652078450405,20513,20513,none,unchanged,extended: custom domain com.microsoft.nchwc
38,2193,2193,17.306974251582112,17.306974251582112,2630,2630,none,unchanged,extended: custom domain com.microsoft.nchwc
39,7772,7772,16.04171718950267,16.04171718950267,2013,2013,none,unchanged,extended: custom domain com.microsoft.nchwc
40,7868,7868,16.02944082049105,16.02944082049105,5036,5036,none,unchanged,extended: custom domain com.microsoft.nchwc
41,11769,11769,15.626775765122337,15.626775765122337,2556,2556,none,unchanged,extended: custom domain com.microsoft.nchwc
42,8518,8518,15.950063149516842,15.950063149516842,8469,8469,none,unchanged,extended: custom domain com.microsoft.nchwc
43,7119,7119,16.129477454896126,16.129477454896126,2092,2092,none,unchanged,extended: custom domain com.microsoft.nchwc
44,31805,31805,14.632621210887095,14.632621210887095,25971,25971,none,unchanged,extended: custom domain com.microsoft.nchwc
45,7428,7428,16.0869880775274,16.0869880775274,1586,1586,none,unchanged,extended: custom domain com.microsoft.nchwc
46,33426,33426,14.58291068075113,14.58291068075113,8068,8068,none,unchanged,extended: custom domain com.microsoft.nchwc
47,3024,3024,16.985664262700574,16.985664262700574,3823,3823,none,unchanged,extended: custom domain com.microsoft.nchwc
48,5609,5609,16.367872270491663,16.367872270491663,4683,4683,none,unchanged,extended: custom domain com.microsoft.nchwc
49,30489,30489,14.674878758194124,14.674878758194124,4016,4016,none,unchanged,extended: custom domain com.microsoft.nchwc
50,9475,9475,15.843587970049374,15.843587970049374,2319,2319,none,unchanged,extended: custom domain com.microsoft.nchwc
51,68437,68437,13.866331106969804,13.866331106969804,5091,5091,none,unchanged,extended: custom domain com.microsoft.nchwc
