task_id,split,teacher_route,cost,top_cost_rank
1,train,crop_or_resize,2843.0,311
2,train,sparse_edit_or_object_completion,97293.0,30
3,train,crop_or_resize,9102.0,250
4,train,sparse_edit_or_object_completion,55020.0,96
5,valid,sparse_edit_or_object_completion,117225.0,13
6,train,crop_or_resize,1631.0,332
7,train,sparse_edit_or_object_completion,7271.0,271
8,train,sparse_edit_or_object_completion,23289.0,176
9,train,sparse_edit_or_object_completion,81241.0,50
10,valid,sparse_edit_or_object_completion,5016.0,291
11,train,sparse_edit_or_object_completion,66247.0,72
12,train,sparse_edit_or_object_completion,12639.0,220
13,train,same_shape_global_transform,116882.0,14
14,train,crop_or_resize,39049.0,123
15,valid,sparse_edit_or_object_completion,900.0,357
16,train,sparse_edit_or_object_completion,10.0,395
17,train,sparse_edit_or_object_completion,35329.0,131
18,train,sparse_edit_or_object_completion,114578.0,15
19,train,crop_or_resize,81346.0,49
20,valid,sparse_edit_or_object_completion,90133.0,38
21,train,crop_or_resize,51223.0,102
22,train,crop_or_resize,34821.0,135
23,train,sparse_edit_or_object_completion,21433.0,184
24,train,sparse_edit_or_object_completion,9080.0,251
25,valid,sparse_edit_or_object_completion,89286.0,40
26,train,crop_or_resize,738.0,369
27,train,sparse_edit_or_object_completion,36791.0,129
28,train,sparse_edit_or_object_completion,8990.0,253
29,train,crop_or_resize,97117.0,31
30,valid,sparse_edit_or_object_completion,11998.0,228
31,train,crop_or_resize,18616.0,198
32,train,sparse_edit_or_object_completion,3405.0,308
33,train,sparse_edit_or_object_completion,55161.0,95
34,train,sparse_edit_or_object_completion,106316.0,23
35,valid,sparse_edit_or_object_completion,15363.0,211
36,train,crop_or_resize,79962.0,52
37,train,sparse_edit_or_object_completion,63726.0,79
38,train,crop_or_resize,2193.0,316
39,train,crop_or_resize,7772.0,266
40,valid,sparse_edit_or_object_completion,7868.0,264
41,train,sparse_edit_or_object_completion,11769.0,231
42,train,sparse_edit_or_object_completion,8518.0,258
43,train,sparse_edit_or_object_completion,7119.0,273
44,train,sparse_edit_or_object_completion,31805.0,141
45,valid,sparse_edit_or_object_completion,7428.0,270
46,train,crop_or_resize,33426.0,137
47,train,sparse_edit_or_object_completion,3024.0,309
48,train,crop_or_resize,5609.0,285
49,train,crop_or_resize,30489.0,146
50,valid,sparse_edit_or_object_completion,9475.0,247
51,train,sparse_edit_or_object_completion,68437.0,67
52,train,sparse_edit_or_object_completion,1228.0,339
53,train,sparse_edit_or_object_completion,30.0,387
54,train,same_shape_global_transform,150548.0,8
55,valid,same_shape_global_transform,26370.0,159
56,train,crop_or_resize,213.0,382
57,train,crop_or_resize,29304.0,150
58,train,same_shape_global_transform,16105.0,205
59,train,sparse_edit_or_object_completion,20387.0,191
60,valid,sparse_edit_or_object_completion,5581.0,286
61,train,sparse_edit_or_object_completion,18914.0,196
62,train,same_shape_global_transform,30609.0,145
63,train,sparse_edit_or_object_completion,30732.0,144
64,train,sparse_edit_or_object_completion,114153.0,16
65,valid,crop_or_resize,35109.0,134
66,train,sparse_edit_or_object_completion,21408.0,185
67,train,crop_or_resize,315.0,381
68,train,sparse_edit_or_object_completion,12589.0,222
69,train,sparse_edit_or_object_completion,84250.0,45
70,valid,sparse_edit_or_object_completion,66138.0,73
71,train,sparse_edit_or_object_completion,129780.0,10
72,train,crop_or_resize,1309.0,336
73,train,sparse_edit_or_object_completion,910.0,345
74,train,same_shape_global_transform,21825.0,182
75,valid,sparse_edit_or_object_completion,28487.0,154
76,train,sparse_edit_or_object_completion,36184.0,130
77,train,sparse_edit_or_object_completion,157913.0,6
78,train,sparse_edit_or_object_completion,11496.0,235
79,train,crop_or_resize,21383.0,186
80,valid,same_shape_global_transform,42082.0,121
81,train,sparse_edit_or_object_completion,2307.0,314
82,train,sparse_edit_or_object_completion,23479.0,174
83,train,crop_or_resize,1800.0,321
84,train,sparse_edit_or_object_completion,19513.0,194
85,valid,sparse_edit_or_object_completion,113178.0,18
86,train,sparse_edit_or_object_completion,25857.0,161
87,train,sparse_edit_or_object_completion,368.0,377
88,train,crop_or_resize,72766.0,62
89,train,sparse_edit_or_object_completion,49703.0,106
90,valid,sparse_edit_or_object_completion,63354.0,82
91,train,crop_or_resize,51466.0,101
92,train,sparse_edit_or_object_completion,46289.0,113
93,train,sparse_edit_or_object_completion,15458.0,210
94,train,sparse_edit_or_object_completion,10453.0,241
95,valid,sparse_edit_or_object_completion,910.0,346
96,train,crop_or_resize,26948.0,157
97,train,sparse_edit_or_object_completion,55812.0,94
98,train,sparse_edit_or_object_completion,910.0,347
99,train,sparse_edit_or_object_completion,4910.0,293
100,valid,crop_or_resize,6536.0,279
101,train,sparse_edit_or_object_completion,65875.0,74
102,train,sparse_edit_or_object_completion,12607.0,221
103,train,crop_or_resize,193.0,384
104,train,crop_or_resize,3682.0,305
105,valid,sparse_edit_or_object_completion,7055.0,274
106,train,crop_or_resize,1164.0,341
107,train,crop_or_resize,73131.0,61
108,train,crop_or_resize,1800.0,322
109,train,crop_or_resize,94878.0,33
110,valid,same_shape_global_transform,109201.0,20
111,train,crop_or_resize,797.0,366
112,train,sparse_edit_or_object_completion,59270.0,89
113,train,sparse_edit_or_object_completion,30.0,388
114,train,crop_or_resize,1254.0,338
