task_id,template_name,route,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
366,fixed_geometry_identity,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_flip_h,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_flip_w,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_transpose_hw,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_rot90,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_rot180,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,fixed_geometry_rot270,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,transform does not fit,
366,signature_scatter_lookup,crop_or_resize,836880,99849,11.362564029982357,13.488585676228723,87275,22_pass_0_fail,improved,ok,95bc290cf47f83b98363dcfeba566b5774202d97bdc3cb6b875254b69eec57a0
366,fixed_slice_crop,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,no common fixed crop,
366,constant_output,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,fit outputs differ,
366,conv_color_map,crop_or_resize,836880,,11.362564029982357,,,not_run,skipped,shape mismatch,
133,fixed_geometry_identity,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_flip_h,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_flip_w,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_rot90,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_rot180,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,fixed_geometry_rot270,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,transform does not fit,
133,signature_scatter_lookup,sparse_edit_or_object_completion,193923,93312,12.824783547959548,13.556296004071724,60107,25_pass_0_fail,improved,ok,6eba147a8f4eae25bcb0845af27e9d57efb89be42a5e5545904d58d1ab9dcb66
133,fixed_mask_rewrite,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,changed cell color conflict,
133,conv_color_map,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,conflicting color map,
133,constant_output,sparse_edit_or_object_completion,193923,,12.824783547959548,,,not_run,skipped,fit outputs differ,
158,fixed_geometry_identity,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_flip_h,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_flip_w,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_rot90,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_rot180,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,fixed_geometry_rot270,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,transform does not fit,
158,signature_scatter_lookup,sparse_edit_or_object_completion,182776,81918,12.883983361645681,13.686525974087193,23885,24_pass_0_fail,improved,ok,5973af9a9eff80e697347626ad352ed4453e15534db1bf02d37b8598f25e39e1
158,fixed_mask_rewrite,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,changed cell color conflict,
158,conv_color_map,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,conflicting color map,
158,constant_output,sparse_edit_or_object_completion,182776,,12.883983361645681,,,not_run,skipped,fit outputs differ,
173,fixed_geometry_identity,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_flip_h,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_flip_w,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_rot90,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_rot180,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,fixed_geometry_rot270,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,transform does not fit,
173,signature_scatter_lookup,sparse_edit_or_object_completion,175243,76356,12.926071138839562,13.756838106979208,8316,24_pass_0_fail,improved,ok,c340bea9aab7f547b3e546566725b2f3bb9d42fd00e62929db5d469c4ad8e85f
173,fixed_mask_rewrite,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,changed cell color conflict,
173,conv_color_map,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,conflicting color map,
173,constant_output,sparse_edit_or_object_completion,175243,,12.926071138839562,,,not_run,skipped,fit outputs differ,
286,fixed_geometry_identity,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_flip_h,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_flip_w,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_rot90,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_rot180,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,fixed_geometry_rot270,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,transform does not fit,
286,signature_scatter_lookup,sparse_edit_or_object_completion,162199,110902,13.00342074458367,13.383597792559053,112611,23_pass_0_fail,improved,ok,0020ce9db09ec3044e955bed6d66316190c0564b66d8a27d9d474cf754ac262c
286,fixed_mask_rewrite,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,changed cell color conflict,
286,conv_color_map,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,conflicting color map,
286,constant_output,sparse_edit_or_object_completion,162199,,13.00342074458367,,,not_run,skipped,fit outputs differ,
77,fixed_geometry_identity,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_flip_h,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_flip_w,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot90,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot180,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,fixed_geometry_rot270,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,transform does not fit,
77,signature_scatter_lookup,sparse_edit_or_object_completion,157913,76589,13.030200472556263,13.753791257716394,10692,24_pass_0_fail,improved,ok,6474db9be4752fd0ffb96b5ceb31bbf2b49ed85c834d935b37b453f5c4a13381
77,fixed_mask_rewrite,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,fixed edit does not hold,
77,conv_color_map,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,conflicting color map,
77,constant_output,sparse_edit_or_object_completion,157913,,13.030200472556263,,,not_run,skipped,fit outputs differ,
285,fixed_geometry_identity,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_flip_h,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_flip_w,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_transpose_hw,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_rot90,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
285,fixed_geometry_rot180,sparse_edit_or_object_completion,151996,,13.068390516307327,,,not_run,skipped,transform does not fit,
