task_id,route,baseline_cost,node_index,node_name,op_type,input_count,output_count,profile_hits,is_target_op
286,sparse_edit_or_object_completion,110902,0,safe_name_7,Reshape,2,1,1,False
286,sparse_edit_or_object_completion,110902,1,safe_name_8,Gather,2,1,1,True
286,sparse_edit_or_object_completion,110902,2,safe_name_9,Sub,2,1,1,False
286,sparse_edit_or_object_completion,110902,3,safe_name_10,Mul,2,1,1,False
286,sparse_edit_or_object_completion,110902,4,safe_name_11,ReduceSum,1,1,1,False
286,sparse_edit_or_object_completion,110902,5,safe_name_12,Less,2,1,1,False
286,sparse_edit_or_object_completion,110902,6,safe_name_13,Cast,1,1,1,False
286,sparse_edit_or_object_completion,110902,7,safe_name_14,Unsqueeze,1,1,1,False
286,sparse_edit_or_object_completion,110902,8,safe_name_15,MatMul,2,1,1,True
286,sparse_edit_or_object_completion,110902,9,safe_name_16,Cast,1,1,1,False
286,sparse_edit_or_object_completion,110902,10,safe_name_17,MatMul,2,1,1,True
286,sparse_edit_or_object_completion,110902,11,safe_name_18,ScatterElements,3,1,1,True
286,sparse_edit_or_object_completion,110902,12,output,Reshape,2,1,1,False
187,same_shape_global_transform,105313,0,safe_name_14,Cast,1,1,1,False
187,same_shape_global_transform,105313,1,safe_name_15,Gather,2,1,1,True
187,same_shape_global_transform,105313,2,safe_name_16,Greater,2,1,1,False
187,same_shape_global_transform,105313,3,safe_name_17,ReduceSum,1,1,1,False
187,same_shape_global_transform,105313,4,safe_name_18,LessOrEqual,2,1,0,False
187,same_shape_global_transform,105313,5,safe_name_19,Cast,1,1,1,False
187,same_shape_global_transform,105313,6,safe_name_20,MaxPool,1,1,1,True
187,same_shape_global_transform,105313,7,safe_name_21,Greater,2,1,1,False
187,same_shape_global_transform,105313,8,safe_name_22,Or,2,1,1,False
187,same_shape_global_transform,105313,9,safe_name_23,And,2,1,1,False
187,same_shape_global_transform,105313,10,safe_name_24,Cast,1,1,1,False
187,same_shape_global_transform,105313,11,safe_name_25,MaxPool,1,1,1,True
187,same_shape_global_transform,105313,12,safe_name_26,Greater,2,1,1,False
187,same_shape_global_transform,105313,13,safe_name_27,And,2,1,1,False
187,same_shape_global_transform,105313,14,safe_name_28,Cast,1,1,1,False
187,same_shape_global_transform,105313,15,safe_name_29,MaxPool,1,1,1,True
187,same_shape_global_transform,105313,16,safe_name_30,Greater,2,1,1,False
187,same_shape_global_transform,105313,17,safe_name_31,And,2,1,1,False
187,same_shape_global_transform,105313,18,safe_name_32,Cast,1,1,1,False
