task_id,route,baseline_cost,node_count,initializer_count,target_op_node_count,dominant_ops,recommended_bank,priority
286,sparse_edit_or_object_completion,110902,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,1
187,same_shape_global_transform,105313,87,14,24,Greater:24;And:17;Cast:15;MaxPool:14;Gather:10;Or:3;ReduceSum:1;LessOrEqual:1,sparse_object,2
198,same_shape_global_transform,103821,51,14,15,Mul:16;Slice:10;MaxPool:5;ReduceSum:4;Sub:4;Cast:3;Max:3;ReduceMax:2,sparse_object,3
366,crop_or_resize,99849,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,4
29,crop_or_resize,97117,88,15,12,Cast:12;Sub:12;Greater:9;Add:9;ArgMax:8;Mul:7;Gather:6;ReduceMax:5,crop_resize,5
133,sparse_edit_or_object_completion,93312,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,6
109,crop_or_resize,92303,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,7
204,sparse_edit_or_object_completion,92242,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,8
13,sparse_edit_or_object_completion,92022,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,9
216,crop_or_resize,91861,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,10
54,sparse_edit_or_object_completion,90855,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,11
280,sparse_edit_or_object_completion,90506,144,16,50,Where:32;And:22;MaxPool:15;Or:10;Not:7;Cast:6;Equal:6;Sub:6,sparse_object,12
159,crop_or_resize,89501,57,16,16,Gather:12;Pad:8;Cast:7;Add:6;Sub:4;Mul:4;Less:4;Where:4,crop_resize,13
128,sparse_edit_or_object_completion,89482,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,14
205,crop_or_resize,89266,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,15
203,sparse_edit_or_object_completion,88402,36,15,7,Unsqueeze:5;Cast:4;ReduceSum:3;Squeeze:3;Where:3;And:3;ReduceMax:2;Gather:2,sparse_object,16
110,same_shape_global_transform,87213,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,17
201,crop_or_resize,86868,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,18
396,crop_or_resize,86741,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,19
382,sparse_edit_or_object_completion,86049,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,20
239,crop_or_resize,85612,13,8,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,crop_resize,21
2,sparse_edit_or_object_completion,84626,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,22
398,crop_or_resize,84295,44,26,13,And:7;Slice:6;Where:6;Equal:5;Add:4;Or:4;Cast:3;Less:2,crop_resize,23
275,crop_or_resize,83879,253,26,79,Gather:63;Reshape:52;Sum:28;Mul:24;MatMul:16;Transpose:16;Pad:13;ReduceSum:10,crop_resize,24
313,sparse_edit_or_object_completion,83572,34,12,4,Add:5;Cast:4;ReduceMax:4;Sub:4;Mul:4;Greater:2;ReduceMin:2;Where:2,sparse_object,25
158,sparse_edit_or_object_completion,81918,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,26
234,sparse_edit_or_object_completion,81703,58,14,13,Where:12;Greater:7;ReduceSum:6;Sub:5;Cast:4;ReduceMin:4;ReduceMax:4;Add:4,sparse_object,27
19,crop_or_resize,81346,32,13,8,Cast:4;ReduceSum:4;Add:3;ReduceMax:2;Mod:2;Less:2;Where:2;Gather:2,crop_resize,28
9,sparse_edit_or_object_completion,81241,22,6,4,MatMul:4;Greater:4;Cast:2;And:2;Transpose:2;GatherND:1;Reshape:1;Or:1,sparse_object,29
285,sparse_edit_or_object_completion,81220,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,30
303,sparse_edit_or_object_completion,80710,8,4,3,Conv:3;ReduceMax:3;Sum:1;Mul:1,sparse_object,31
383,sparse_edit_or_object_completion,80650,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,32
34,sparse_edit_or_object_completion,80368,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,33
202,sparse_edit_or_object_completion,80176,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,34
36,crop_or_resize,79962,56,17,11,Gather:8;Add:8;Sub:7;Reshape:6;Cast:5;ArgMax:5;Mul:4;Less:4,crop_resize,35
157,sparse_edit_or_object_completion,79930,28,18,6,Mul:5;Cast:4;Gather:3;Less:3;ReduceSum:2;Reshape:2;MatMul:2;Pad:2,sparse_object,36
5,sparse_edit_or_object_completion,79847,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,37
281,sparse_edit_or_object_completion,79812,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,38
264,crop_or_resize,79536,47,17,3,Cast:10;Equal:10;Mul:10;ReduceSum:9;Conv:2;Where:1;ReduceMax:1;Sum:1,crop_resize,39
69,sparse_edit_or_object_completion,79246,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,40
18,sparse_edit_or_object_completion,79207,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,41
358,sparse_edit_or_object_completion,78978,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,42
85,sparse_edit_or_object_completion,78662,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,43
170,crop_or_resize,78564,681,33,163,Concat:135;Mul:112;Where:93;Slice:66;Add:58;Sum:46;Sub:37;Cast:32,crop_resize,44
284,sparse_edit_or_object_completion,78555,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,45
364,sparse_edit_or_object_completion,77859,63,23,32,Where:12;MaxPool:10;And:7;Slice:6;Pad:5;Greater:4;Sum:3;Equal:3,sparse_object,46
300,crop_or_resize,77546,43,14,7,Reshape:6;Sub:5;ArgMax:5;Gather:5;Add:5;Cast:4;Less:4;Mul:3,crop_resize,47
64,sparse_edit_or_object_completion,77502,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,48
370,sparse_edit_or_object_completion,77380,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,49
208,sparse_edit_or_object_completion,76717,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,50
251,sparse_edit_or_object_completion,76717,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,51
25,sparse_edit_or_object_completion,76682,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,52
77,sparse_edit_or_object_completion,76589,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,53
71,sparse_edit_or_object_completion,76482,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,54
173,sparse_edit_or_object_completion,76356,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,55
20,sparse_edit_or_object_completion,75134,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,56
126,sparse_edit_or_object_completion,74727,13,7,4,Reshape:2;Cast:2;MatMul:2;Gather:1;Sub:1;Mul:1;ReduceSum:1;Less:1,sparse_object,57
