task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
366,crop_or_resize,signature_scatternd_lookup,99849,60516,13.488585676228723,13.989336928135275,160911,22_pass_0_fail,improved,ok,00ca673f5c2da7711b8e0d4b7871e13c50ba934dfa6eebe2bc1dc74349c2c91b
29,crop_or_resize,signature_scatternd_lookup,97117,71140,13.516328283804857,13.827594954497554,189199,24_pass_0_fail,improved,ok,b6ef1b6a4bd36f4904a81fd7035738aaa98d2b98ff036caa235889146ad9f487
109,crop_or_resize,signature_scatternd_lookup,92303,38756,13.567168077328699,14.434959138495104,107373,24_pass_0_fail,improved,ok,bdcfa4085a677a3d2ae6a7c983d67d93138d49274022152acbd16e2eeab77bd3
216,crop_or_resize,signature_scatternd_lookup,91861,38308,13.571968156048401,14.44658596935849,107117,24_pass_0_fail,improved,ok,6e0b7a411c9246f68e07eaad5b205d6e93958c0329bbf6bd893a38ed510961ee
159,crop_or_resize,signature_scatternd_lookup,89501,48740,13.597994922615115,14.205744672820803,132335,24_pass_0_fail,improved,ok,4d6fcd65b3ba404ec48b94221267fe3b6490a8224ed273796203b00e5b203ed5
205,crop_or_resize,signature_scatternd_lookup,89266,30084,13.600624044716684,14.688251252053707,86124,24_pass_0_fail,improved,ok,7b40f11d4ccccc7422b9e60996de084d48039f3118266b0b79e07b70b5071e5a
201,crop_or_resize,signature_scatternd_lookup,86868,22225,13.627854995918858,14.991026939617894,66284,25_pass_0_fail,improved,ok,0cb981faf82888021b4dba8712ec5f03c43910feb7ea7e514d3eac16428e5d63
396,crop_or_resize,signature_scatternd_lookup,86741,22948,13.629318053970618,14.959013934278238,68716,24_pass_0_fail,improved,ok,53a0297fd291b969f8ee7f96330a53a19d7138f4406cdf32cfb45b8a63c70997
239,crop_or_resize,signature_scatternd_lookup,85612,17569,13.642419260779546,15.226108735634945,53545,25_pass_0_fail,improved,ok,7ab6de96c5dd003f2970b7f5d1359e6accfd1c635b5ee82cb51ab6d842c402e0
275,crop_or_resize,signature_scatternd_lookup,83879,59812,13.662869436848247,14.001038411296266,160879,24_pass_0_fail,improved,ok,abc208a840d25faa3a5e63e67b69e4c4efae1acbb440c3680122b2ab2a0fea86
19,crop_or_resize,signature_scatternd_lookup,81346,40027,13.69353305881371,14.402690494613964,110549,25_pass_0_fail,improved,ok,77c27b8e618e751018f6152cf8a63e286a0df54feab9b106e0c06787ef23f2c7
36,crop_or_resize,signature_scatternd_lookup,79962,15913,13.710693199192217,15.325108335789816,49841,23_pass_0_fail,improved,ok,c4e7c28cf265a7bb2f1021abf70c41a04333753f6f4c1901bdf5150d09be00ad
264,crop_or_resize,signature_scatternd_lookup,79536,25740,13.716034971665547,14.844198518849883,75232,23_pass_0_fail,improved,ok,2007ec8f38ebbc6b7ea77d7a6d054531150e66697b943b8a886bba9fa30b56d0
170,crop_or_resize,signature_scatternd_lookup,78564,13732,13.728331141770909,15.472515845422418,45673,24_pass_0_fail,improved,ok,efe1e4b035ca72f58db9aefcdbe9f496311cdca338e9c0bb6201a6edfa1f6aeb
300,crop_or_resize,signature_scatternd_lookup,77546,13324,13.741373412351637,15.50267780068643,44149,25_pass_0_fail,improved,ok,41b29ef177965ccecd7314b9ed88bf144a57a49ebf0161dcb7fa87cd453689fe
384,crop_or_resize,signature_scatternd_lookup,74722,26244,13.778470160860206,14.824807329535233,76524,24_pass_0_fail,improved,ok,c89c2cfcba5ac83ae03c466d1a0bd4cfbfdcd28ba4a9999c122523d0300d868c
88,crop_or_resize,signature_scatternd_lookup,72766,30660,13.80499590787612,14.669285847574194,88152,25_pass_0_fail,improved,ok,637effaecf0fabe957e9e8fe7edee822e4a6a3d6ae36c7e3833e2699f30f498e
209,crop_or_resize,signature_scatternd_lookup,67337,59268,13.882534858321867,14.010175189671374,159087,24_pass_0_fail,improved,ok,7e4df56e8b280f099bb70b7a35dcea2abb163306dda8be4d6cfff7936f009510
238,crop_or_resize,signature_scatternd_lookup,64372,20292,13.927565965061614,15.08201800131342,61644,24_pass_0_fail,improved,ok,f3a2714f216af699d1ef69b96b8eca6116526b5c22b1cc5516d53813cf3e25f5
377,crop_or_resize,signature_scatternd_lookup,61924,26660,13.966336894339644,14.8090804062673,77132,24_pass_0_fail,improved,ok,1e37490fc264e9115b8298bead43db0cafffd8c6e8e2ab55e7a8e10e65a74791
177,crop_or_resize,signature_scatternd_lookup,61194,23172,13.978195575521427,14.949300067783485,68844,24_pass_0_fail,improved,ok,2bfa72624e8276aada060564ddf9aabf27f53060088c26491375596cf144ab9a
185,crop_or_resize,signature_scatternd_lookup,59584,13432,14.00485763936326,15.494604801242623,43045,25_pass_0_fail,improved,ok,50eddd53f8cb5812938fa4d740c970ad6a382a337c46b3940a0c4bf802ea938b
365,crop_or_resize,signature_scatternd_lookup,58814,15460,14.01786479921536,15.353988677858586,49993,24_pass_0_fail,improved,ok,9068840cff92839f43e964843b1a8586eb804cd9083a82e8a0a4da0900a6e36c
222,crop_or_resize,signature_scatternd_lookup,58035,52892,14.031198444197276,14.123992622323286,130471,24_pass_0_fail,improved,ok,53a1359c381cc795ae8d42e7e2e361ad36c828e9cadf457c7a6f1a5a2b1f7a98
174,crop_or_resize,signature_scatternd_lookup,52019,12964,14.140635684557754,15.530068435738562,43753,24_pass_0_fail,improved,ok,0845f086916daefa3454064dc4a90e2d79a5d783f6797c94f9ad3b02b9170e88
