task_id,synthesis_family,route_prediction,current_source,current_template,current_cost,current_points,train_count,test_count,arc_gen_count,shape_pairs,input_colors,output_colors,avg_changed_ratio,avg_input_nonzero_ratio,avg_output_nonzero_ratio,avg_line_score,avg_component_count,needs_program_synthesis,cost_rank,priority_band
286,signature_lookup_current,sparse_edit_or_object_completion,exp012_signature_scatter_lookup,signature_scatter_lookup,110902,13.383598,2,1,262,"(11, 24)->(11, 24):1;(13, 14)->(13, 14):1",0 1 2 3 4 8,0 1 2 3 4 8,0.204108,0.524434,0.728542,0.000,4.000,0,1,top100
187,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,105313,13.435308,3,1,262,"(22, 25)->(22, 25):1;(23, 23)->(23, 23):1;(24, 21)->(24, 21):1",0 1 4 8,1 2 3 4 8,0.796716,0.203284,1.000000,0.333,1.000,1,2,top100
198,line_grid_fill,same_shape_global_transform,massimilianoghiotto_6254,baseline,103821,13.449576,3,1,262,"(19, 19)->(19, 19):1;(24, 24)->(24, 24):1;(29, 29)->(29, 29):1",0 1 8 9,1 3 4 8 9,0.735411,0.264589,1.000000,1.000,4.667,1,3,top100
203,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,88402,13.610350,4,1,262,"(10, 10)->(10, 10):1;(12, 12)->(12, 12):1;(6, 6)->(6, 6):1;(8, 8)->(8, 8):1",1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8,0.866667,1.000000,1.000000,4.000,1.000,1,4,top100
398,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,84295,13.657922,5,1,262,"(1, 5)->(10, 10):1;(1, 5)->(15, 15):2;(1, 5)->(5, 5):2",0 1 2 4 6 7 8 9,0 1 2 4 6 7 8 9,0.000000,0.400000,0.159556,2.000,1.800,1,5,top100
313,region_partition_fill,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,83572,13.666536,3,1,262,"(11, 11)->(11, 11):1;(6, 6)->(6, 6):1;(8, 8)->(8, 8):1",1 3 4 5 6 7,3 4 5 6 7,1.000000,1.000000,1.000000,4.000,1.000,1,6,top100
255,same_shape_global_transform,same_shape_global_transform,kojimar_5800_minimal_blend,baseline,74403,13.782748,3,1,261,"(30, 30)->(30, 30):3",0 1 2 8,0 1 2 3 8,0.297037,0.282222,0.579259,0.000,64.333,1,7,top100
107,crop_resize,crop_or_resize,massimilianoghiotto_6254,baseline,73131,13.799992,3,1,262,"(5, 5)->(10, 10):1;(5, 5)->(15, 15):1;(5, 5)->(20, 20):1",0 1 3 4 6 7 8 9,0 1 2 3 4 6 7 8 9,0.000000,0.520000,0.568889,0.667,2.000,1,8,top100
137,point_to_line_pattern,same_shape_global_transform,massimilianoghiotto_6254,baseline,72472,13.809044,3,1,262,"(23, 23)->(23, 23):3",0 2 3 8,0 2 3 8,0.330813,0.005671,0.336484,0.000,3.000,1,9,top100
29,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,71140,13.827595,3,1,262,"(13, 16)->(5, 3):1;(17, 18)->(8, 10):1;(23, 21)->(6, 8):1",0 1 2 3 4 5 6 8 9,0 1 2 3 5 6 8 9,0.000000,0.679966,0.687500,0.000,9.667,0,10,top100
280,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,70516,13.836405,4,1,262,"(10, 10)->(10, 10):1;(20, 20)->(20, 20):3",0 2 3,0 2 3,0.258750,0.226250,0.485000,0.000,2.000,0,11,top100
145,line_grid_fill,same_shape_global_transform,afr1ste_5689_artifact,baseline,69757,13.847227,4,1,262,"(11, 13)->(11, 13):1;(11, 16)->(11, 16):1;(15, 16)->(15, 16):1;(18, 13)->(18, 13):1",0 2,0 1 2 8,0.432581,0.207911,0.640491,1.000,1.000,1,12,top100
328,point_to_line_pattern,sparse_edit_or_object_completion,massimilianoghiotto_6254,baseline,68053,13.871958,4,1,262,"(10, 10)->(10, 10):1;(12, 12)->(12, 12):1;(13, 13)->(13, 13):1;(7, 7)->(7, 7):1",0 1 2 3 4 8,0 1 2 3 4 8,0.440476,0.026737,0.467213,0.000,2.250,1,13,top100
233,crop_resize,crop_or_resize,kojimar_5800_minimal_blend,baseline,63540,13.940575,3,1,262,"(16, 12)->(9, 9):1;(20, 10)->(8, 8):1;(24, 19)->(17, 9):1",0 1 2 3 4 5 8,1 2 3 4 5 8,0.000000,0.396955,1.000000,0.000,4.000,1,14,top100
366,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,60516,13.989337,3,1,262,"(10, 16)->(10, 8):1;(11, 20)->(11, 10):1;(30, 17)->(15, 17):1",0 1 2 3 4 6 8,0 1 2 3 4 6 8,0.000000,0.837908,0.711111,9.333,3.333,0,15,top100
275,signature_lookup_current,crop_or_resize,exp016_signature_scatternd_lookup,signature_scatternd_lookup,59812,14.001038,3,1,262,"(3, 6)->(9, 9):2;(4, 8)->(16, 16):1",0 1 2 3 4 8,0 1 2 3 4,0.000000,0.471065,0.216950,0.667,4.333,0,16,top100
133,signature_lookup_current,sparse_edit_or_object_completion,exp016_signature_scatternd_lookup,signature_scatternd_lookup,59323,14.009248,4,1,262,"(15, 18)->(15, 18):1;(16, 12)->(16, 12):1;(16, 18)->(16, 18):1;(17, 18)->(17, 18):1",0 1 2 3 4 6 8,0 1 2 3 4 6 8,0.080576,0.060738,0.141314,0.000,2.500,0,17,top100
