task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
1,vyanktesh_multi_source_output,baseline,crop_or_resize,2843,17.047384888349,1319,baseline,no accepted lower-cost boundary flood candidate,0ba1c190a016805c5f9c036c9dafac06035513bf11cea64837d053da1792a1b6
2,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,33548,14.579267471895697,83261,baseline,no accepted lower-cost boundary flood candidate,ba0efe30a0c035ab7df1c5a323488007d15c31952a4a26af7c7032894902d99e
3,afr1ste_5689_artifact,baseline,crop_or_resize,9102,15.883750551423413,3638,baseline,no accepted lower-cost boundary flood candidate,201f50b9769bf46022aeebbb31c47469dbff8cc35b1c85b4a593daaa2c9e77b0
4,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,13561,15.485046694912056,31372,baseline,no accepted lower-cost boundary flood candidate,e2d1dea781978b7184c40f706c589f643d904e4c632c9f784a797d268670c74c
5,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,19388,15.127590403034734,45412,baseline,no accepted lower-cost boundary flood candidate,b47e30128a583efdbbba2adfcc287daaeedebd9b5e5515e4cff4c2f63abdb7fb
6,afr1ste_5689_artifact,baseline,crop_or_resize,1631,17.603051397378987,1450,baseline,no accepted lower-cost boundary flood candidate,d2cea9184c472bcc677d35dc6f1d8d5f9c27efc824b35adcb8fd3243f7c2395d
7,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7271,16.108350887349943,1591,baseline,no accepted lower-cost boundary flood candidate,b3fbdc3763bf12db4c965abb2e34de2d253efe893706d6276a0f519c18742d5c
8,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,10556,15.735550302376785,23332,baseline,no accepted lower-cost boundary flood candidate,89a2556e8536dd31ae615b814f4f751f26b1a7091dec2d328b91bce8c1193e2c
9,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,23612,14.93048966363942,55972,baseline,no accepted lower-cost boundary flood candidate,9698bc92857c52e5b1c2081b74b8665a471ad02f1aecdbb7653f27452883cd52
10,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,5016,16.479611917687244,5285,baseline,no accepted lower-cost boundary flood candidate,959b7fe8897b9a6e317f67be7f5235595b9db70155ec0deaf7b10fd828d71b5f
11,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,24185,14.906512114742917,58980,baseline,no accepted lower-cost boundary flood candidate,00a804f56f30cf62be8c6105dcd2050a46a8f00c5200e022ddc0cee4a3be3855
12,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,11214,15.675081723316381,24384,baseline,no accepted lower-cost boundary flood candidate,f4ce844018e105993c5d03531fa008abce694f5ea2c2e5115caec2e909b4c66b
13,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,54112,14.101188748301693,132643,baseline,no accepted lower-cost boundary flood candidate,f1ce25e2609fa52ee3089264de4c3babec362f826162bc329623610bbfa0c709
14,exp016_signature_scatternd_lookup,signature_scatternd_lookup,crop_or_resize,34852,14.541134196648823,98476,baseline,no accepted lower-cost boundary flood candidate,0a186c39f2c2e2ef9ca00a4b982e10f84f36f961ef8a7d116b84868fee54c599
15,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,900,18.197605236675688,3802,baseline,no accepted lower-cost boundary flood candidate,1ffd2d96fdecfb3f3aff30b61ec79024b253580c0365fa4b8455c4efee2f4c93
16,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,10,22.697414907005953,174,baseline,no accepted lower-cost boundary flood candidate,0906e52eb5772517bf371fcea4963ef920f1c6dae8800a6c8ebd61621b0f232a
17,exp016_signature_scatternd_lookup,signature_scatternd_lookup,sparse_edit_or_object_completion,33756,14.573086541722143,81765,baseline,no accepted lower-cost boundary flood candidate,1fadf1e2f1428b3142c7cc406c11cf6ada399f1fa06918ad29b59be80513926c
