task_id,rule_family,fit_status,validation_status,passed,failed,current_cost,expected_cost_upper_bound,projected_gain,priority,proof,lowering_plan,leakage_risk,private_risk
2,bbox_crop_color_map,skipped,not_run,0,0,33547,,,,no bbox crop fits train,,low: train-only fit,unknown
2,color_map,skipped,not_run,0,0,33547,,,,no nontrivial consistent color map,,low: train-only fit,unknown
2,constant_output,skipped,not_run,0,0,33547,,,,train outputs differ,,low: train-only fit,unknown
2,fixed_crop_color_map,skipped,not_run,0,0,33547,,,,no crop/color map fits train example,,low: train-only fit,unknown
2,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,33547,4620,0.000000,0.000000,fixed_cells=47; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
2,global_transform_color_map,skipped,not_run,0,0,33547,,,,no transform+color map fits train,,low: train-only fit,unknown
4,bbox_crop_color_map,skipped,not_run,0,0,13560,,,,no bbox crop fits train,,low: train-only fit,unknown
4,color_map,skipped,not_run,0,0,13560,,,,no nontrivial consistent color map,,low: train-only fit,unknown
4,constant_output,skipped,not_run,0,0,13560,,,,train outputs differ,,low: train-only fit,unknown
4,fixed_crop_color_map,skipped,not_run,0,0,13560,,,,no crop/color map fits train example,,low: train-only fit,unknown
4,fixed_sparse_edit,skipped,not_run,0,0,13560,,,,edit conflict,,low: train-only fit,unknown
4,global_transform_color_map,skipped,not_run,0,0,13560,,,,no transform+color map fits train,,low: train-only fit,unknown
5,bbox_crop_color_map,skipped,not_run,0,0,19387,,,,no bbox crop fits train,,low: train-only fit,unknown
5,color_map,skipped,not_run,0,0,19387,,,,no nontrivial consistent color map,,low: train-only fit,unknown
5,constant_output,skipped,not_run,0,0,19387,,,,train outputs differ,,low: train-only fit,unknown
5,fixed_crop_color_map,skipped,not_run,0,0,19387,,,,no crop/color map fits train example,,low: train-only fit,unknown
5,fixed_sparse_edit,skipped,not_run,0,0,19387,,,,edit conflict,,low: train-only fit,unknown
5,global_transform_color_map,skipped,not_run,0,0,19387,,,,no transform+color map fits train,,low: train-only fit,unknown
8,bbox_crop_color_map,skipped,not_run,0,0,10555,,,,no bbox crop fits train,,low: train-only fit,unknown
8,color_map,skipped,not_run,0,0,10555,,,,no nontrivial consistent color map,,low: train-only fit,unknown
8,constant_output,skipped,not_run,0,0,10555,,,,train outputs differ,,low: train-only fit,unknown
8,fixed_crop_color_map,skipped,not_run,0,0,10555,,,,no crop/color map fits train example,,low: train-only fit,unknown
8,fixed_sparse_edit,skipped,not_run,0,0,10555,,,,edit conflict,,low: train-only fit,unknown
8,global_transform_color_map,skipped,not_run,0,0,10555,,,,no transform+color map fits train,,low: train-only fit,unknown
9,bbox_crop_color_map,skipped,not_run,0,0,23611,,,,no bbox crop fits train,,low: train-only fit,unknown
9,color_map,skipped,not_run,0,0,23611,,,,no nontrivial consistent color map,,low: train-only fit,unknown
9,constant_output,skipped,not_run,0,0,23611,,,,train outputs differ,,low: train-only fit,unknown
9,fixed_crop_color_map,skipped,not_run,0,0,23611,,,,no crop/color map fits train example,,low: train-only fit,unknown
9,fixed_sparse_edit,skipped,not_run,0,0,23611,,,,edit conflict,,low: train-only fit,unknown
9,global_transform_color_map,skipped,not_run,0,0,23611,,,,no transform+color map fits train,,low: train-only fit,unknown
11,bbox_crop_color_map,skipped,not_run,0,0,24184,,,,no bbox crop fits train,,low: train-only fit,unknown
11,color_map,skipped,not_run,0,0,24184,,,,no nontrivial consistent color map,,low: train-only fit,unknown
11,constant_output,skipped,not_run,0,0,24184,,,,train outputs differ,,low: train-only fit,unknown
11,fixed_crop_color_map,skipped,not_run,0,0,24184,,,,no crop/color map fits train example,,low: train-only fit,unknown
11,fixed_sparse_edit,skipped,not_run,0,0,24184,,,,edit conflict,,low: train-only fit,unknown
11,global_transform_color_map,skipped,not_run,0,0,24184,,,,no transform+color map fits train,,low: train-only fit,unknown
12,bbox_crop_color_map,skipped,not_run,0,0,11213,,,,no bbox crop fits train,,low: train-only fit,unknown
12,color_map,skipped,not_run,0,0,11213,,,,no nontrivial consistent color map,,low: train-only fit,unknown
12,constant_output,skipped,not_run,0,0,11213,,,,train outputs differ,,low: train-only fit,unknown
12,fixed_crop_color_map,skipped,not_run,0,0,11213,,,,no crop/color map fits train example,,low: train-only fit,unknown
12,fixed_sparse_edit,skipped,not_run,0,0,11213,,,,edit conflict,,low: train-only fit,unknown
12,global_transform_color_map,skipped,not_run,0,0,11213,,,,no transform+color map fits train,,low: train-only fit,unknown
13,bbox_crop_color_map,skipped,not_run,0,0,54111,,,,no bbox crop fits train,,low: train-only fit,unknown
13,color_map,skipped,not_run,0,0,54111,,,,no nontrivial consistent color map,,low: train-only fit,unknown
13,constant_output,skipped,not_run,0,0,54111,,,,train outputs differ,,low: train-only fit,unknown
13,fixed_crop_color_map,skipped,not_run,0,0,54111,,,,no crop/color map fits train example,,low: train-only fit,unknown
13,fixed_sparse_edit,skipped,not_run,0,0,54111,,,,edit conflict,,low: train-only fit,unknown
13,global_transform_color_map,skipped,not_run,0,0,54111,,,,no transform+color map fits train,,low: train-only fit,unknown
14,bbox_crop_color_map,skipped,not_run,0,0,34851,,,,no bbox crop fits train,,low: train-only fit,unknown
14,color_map,skipped,not_run,0,0,34851,,,,no nontrivial consistent color map,,low: train-only fit,unknown
14,constant_output,skipped,not_run,0,0,34851,,,,train outputs differ,,low: train-only fit,unknown
14,fixed_crop_color_map,skipped,not_run,0,0,34851,,,,no common crop/color map,,low: train-only fit,unknown
14,fixed_sparse_edit,skipped,not_run,0,0,34851,,,,shape mismatch,,low: train-only fit,unknown
14,global_transform_color_map,skipped,not_run,0,0,34851,,,,no transform+color map fits train,,low: train-only fit,unknown
17,bbox_crop_color_map,skipped,not_run,0,0,33755,,,,no bbox crop fits train,,low: train-only fit,unknown
17,color_map,skipped,not_run,0,0,33755,,,,no nontrivial consistent color map,,low: train-only fit,unknown
17,constant_output,skipped,not_run,0,0,33755,,,,train outputs differ,,low: train-only fit,unknown
17,fixed_crop_color_map,skipped,not_run,0,0,33755,,,,no crop/color map fits train example,,low: train-only fit,unknown
17,fixed_sparse_edit,skipped,not_run,0,0,33755,,,,edit conflict,,low: train-only fit,unknown
17,global_transform_color_map,skipped,not_run,0,0,33755,,,,no transform+color map fits train,,low: train-only fit,unknown
18,bbox_crop_color_map,skipped,not_run,0,0,17467,,,,no bbox crop fits train,,low: train-only fit,unknown
18,color_map,skipped,not_run,0,0,17467,,,,no nontrivial consistent color map,,low: train-only fit,unknown
18,constant_output,skipped,not_run,0,0,17467,,,,train outputs differ,,low: train-only fit,unknown
18,fixed_crop_color_map,skipped,not_run,0,0,17467,,,,no crop/color map fits train example,,low: train-only fit,unknown
18,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,17467,5220,0.000000,0.000000,fixed_cells=57; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
18,global_transform_color_map,skipped,not_run,0,0,17467,,,,no transform+color map fits train,,low: train-only fit,unknown
19,bbox_crop_color_map,skipped,not_run,0,0,40026,,,,no bbox crop fits train,,low: train-only fit,unknown
19,color_map,skipped,not_run,0,0,40026,,,,no nontrivial consistent color map,,low: train-only fit,unknown
19,constant_output,skipped,not_run,0,0,40026,,,,train outputs differ,,low: train-only fit,unknown
19,fixed_crop_color_map,skipped,not_run,0,0,40026,,,,output larger than input,,low: train-only fit,unknown
19,fixed_sparse_edit,skipped,not_run,0,0,40026,,,,shape mismatch,,low: train-only fit,unknown
19,global_transform_color_map,skipped,not_run,0,0,40026,,,,no transform+color map fits train,,low: train-only fit,unknown
20,bbox_crop_color_map,skipped,not_run,0,0,3931,,,,no bbox crop fits train,,low: train-only fit,unknown
20,color_map,skipped,not_run,0,0,3931,,,,no nontrivial consistent color map,,low: train-only fit,unknown
20,constant_output,skipped,not_run,0,0,3931,,,,train outputs differ,,low: train-only fit,unknown
20,fixed_crop_color_map,skipped,not_run,0,0,3931,,,,no crop/color map fits train example,,low: train-only fit,unknown
20,fixed_sparse_edit,skipped,not_run,0,0,3931,,,,edit conflict,,low: train-only fit,unknown
20,global_transform_color_map,skipped,not_run,0,0,3931,,,,no transform+color map fits train,,low: train-only fit,unknown
21,bbox_crop_color_map,skipped,not_run,0,0,20739,,,,no bbox crop fits train,,low: train-only fit,unknown
21,color_map,skipped,not_run,0,0,20739,,,,no nontrivial consistent color map,,low: train-only fit,unknown
21,constant_output,skipped,not_run,0,0,20739,,,,train outputs differ,,low: train-only fit,unknown
21,fixed_crop_color_map,skipped,not_run,0,0,20739,,,,no common crop/color map,,low: train-only fit,unknown
21,fixed_sparse_edit,skipped,not_run,0,0,20739,,,,shape mismatch,,low: train-only fit,unknown
21,global_transform_color_map,skipped,not_run,0,0,20739,,,,no transform+color map fits train,,low: train-only fit,unknown
22,bbox_crop_color_map,skipped,not_run,0,0,13283,,,,no bbox crop fits train,,low: train-only fit,unknown
22,color_map,skipped,not_run,0,0,13283,,,,no nontrivial consistent color map,,low: train-only fit,unknown
22,constant_output,skipped,not_run,0,0,13283,,,,train outputs differ,,low: train-only fit,unknown
22,fixed_crop_color_map,skipped,not_run,0,0,13283,,,,no crop/color map fits train example,,low: train-only fit,unknown
22,fixed_sparse_edit,skipped,not_run,0,0,13283,,,,shape mismatch,,low: train-only fit,unknown
22,global_transform_color_map,skipped,not_run,0,0,13283,,,,no transform+color map fits train,,low: train-only fit,unknown
23,bbox_crop_color_map,skipped,not_run,0,0,10875,,,,no bbox crop fits train,,low: train-only fit,unknown
23,color_map,skipped,not_run,0,0,10875,,,,no nontrivial consistent color map,,low: train-only fit,unknown
23,constant_output,skipped,not_run,0,0,10875,,,,train outputs differ,,low: train-only fit,unknown
23,fixed_crop_color_map,skipped,not_run,0,0,10875,,,,no crop/color map fits train example,,low: train-only fit,unknown
23,fixed_sparse_edit,skipped,not_run,0,0,10875,,,,edit conflict,,low: train-only fit,unknown
23,global_transform_color_map,skipped,not_run,0,0,10875,,,,no transform+color map fits train,,low: train-only fit,unknown
25,bbox_crop_color_map,skipped,not_run,0,0,10331,,,,no bbox crop fits train,,low: train-only fit,unknown
25,color_map,skipped,not_run,0,0,10331,,,,no nontrivial consistent color map,,low: train-only fit,unknown
25,constant_output,skipped,not_run,0,0,10331,,,,train outputs differ,,low: train-only fit,unknown
25,fixed_crop_color_map,skipped,not_run,0,0,10331,,,,no crop/color map fits train example,,low: train-only fit,unknown
25,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,10331,3480,0.000000,0.000000,fixed_cells=28; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
25,global_transform_color_map,skipped,not_run,0,0,10331,,,,no transform+color map fits train,,low: train-only fit,unknown
27,bbox_crop_color_map,skipped,not_run,0,0,6715,,,,no bbox crop fits train,,low: train-only fit,unknown
27,color_map,skipped,not_run,0,0,6715,,,,no nontrivial consistent color map,,low: train-only fit,unknown
27,constant_output,skipped,not_run,0,0,6715,,,,train outputs differ,,low: train-only fit,unknown
27,fixed_crop_color_map,skipped,not_run,0,0,6715,,,,no crop/color map fits train example,,low: train-only fit,unknown
27,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,6715,2640,0.000000,0.000000,fixed_cells=14; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
27,global_transform_color_map,skipped,not_run,0,0,6715,,,,no transform+color map fits train,,low: train-only fit,unknown
29,bbox_crop_color_map,skipped,not_run,0,0,71139,,,,no bbox crop fits train,,low: train-only fit,unknown
29,color_map,skipped,not_run,0,0,71139,,,,no nontrivial consistent color map,,low: train-only fit,unknown
29,constant_output,skipped,not_run,0,0,71139,,,,train outputs differ,,low: train-only fit,unknown
29,fixed_crop_color_map,skipped,not_run,0,0,71139,,,,no common crop/color map,,low: train-only fit,unknown
29,fixed_sparse_edit,skipped,not_run,0,0,71139,,,,shape mismatch,,low: train-only fit,unknown
29,global_transform_color_map,skipped,not_run,0,0,71139,,,,no transform+color map fits train,,low: train-only fit,unknown
33,bbox_crop_color_map,skipped,not_run,0,0,26075,,,,no bbox crop fits train,,low: train-only fit,unknown
33,color_map,skipped,not_run,0,0,26075,,,,no nontrivial consistent color map,,low: train-only fit,unknown
33,constant_output,skipped,not_run,0,0,26075,,,,train outputs differ,,low: train-only fit,unknown
33,fixed_crop_color_map,skipped,not_run,0,0,26075,,,,no crop/color map fits train example,,low: train-only fit,unknown
33,fixed_sparse_edit,skipped,not_run,0,0,26075,,,,edit conflict,,low: train-only fit,unknown
33,global_transform_color_map,skipped,not_run,0,0,26075,,,,no transform+color map fits train,,low: train-only fit,unknown
34,bbox_crop_color_map,skipped,not_run,0,0,17058,,,,no bbox crop fits train,,low: train-only fit,unknown
34,color_map,skipped,not_run,0,0,17058,,,,no nontrivial consistent color map,,low: train-only fit,unknown
34,constant_output,skipped,not_run,0,0,17058,,,,train outputs differ,,low: train-only fit,unknown
34,fixed_crop_color_map,skipped,not_run,0,0,17058,,,,no crop/color map fits train example,,low: train-only fit,unknown
34,fixed_sparse_edit,skipped,not_run,0,0,17058,,,,edit conflict,,low: train-only fit,unknown
34,global_transform_color_map,skipped,not_run,0,0,17058,,,,no transform+color map fits train,,low: train-only fit,unknown
35,bbox_crop_color_map,skipped,not_run,0,0,5339,,,,no bbox crop fits train,,low: train-only fit,unknown
35,color_map,skipped,not_run,0,0,5339,,,,no nontrivial consistent color map,,low: train-only fit,unknown
35,constant_output,skipped,not_run,0,0,5339,,,,train outputs differ,,low: train-only fit,unknown
35,fixed_crop_color_map,skipped,not_run,0,0,5339,,,,no crop/color map fits train example,,low: train-only fit,unknown
35,fixed_sparse_edit,skipped,not_run,0,0,5339,,,,edit conflict,,low: train-only fit,unknown
35,global_transform_color_map,skipped,not_run,0,0,5339,,,,no transform+color map fits train,,low: train-only fit,unknown
36,bbox_crop_color_map,skipped,not_run,0,0,15912,,,,no bbox crop fits train,,low: train-only fit,unknown
36,color_map,skipped,not_run,0,0,15912,,,,no nontrivial consistent color map,,low: train-only fit,unknown
36,constant_output,skipped,not_run,0,0,15912,,,,train outputs differ,,low: train-only fit,unknown
36,fixed_crop_color_map,skipped,not_run,0,0,15912,,,,no common crop/color map,,low: train-only fit,unknown
36,fixed_sparse_edit,skipped,not_run,0,0,15912,,,,shape mismatch,,low: train-only fit,unknown
36,global_transform_color_map,skipped,not_run,0,0,15912,,,,no transform+color map fits train,,low: train-only fit,unknown
37,bbox_crop_color_map,skipped,not_run,0,0,8379,,,,no bbox crop fits train,,low: train-only fit,unknown
37,color_map,skipped,not_run,0,0,8379,,,,no nontrivial consistent color map,,low: train-only fit,unknown
37,constant_output,skipped,not_run,0,0,8379,,,,train outputs differ,,low: train-only fit,unknown
37,fixed_crop_color_map,skipped,not_run,0,0,8379,,,,no crop/color map fits train example,,low: train-only fit,unknown
37,fixed_sparse_edit,skipped,not_run,0,0,8379,,,,edit conflict,,low: train-only fit,unknown
37,global_transform_color_map,skipped,not_run,0,0,8379,,,,no transform+color map fits train,,low: train-only fit,unknown
40,bbox_crop_color_map,skipped,not_run,0,0,5947,,,,no bbox crop fits train,,low: train-only fit,unknown
40,color_map,skipped,not_run,0,0,5947,,,,no nontrivial consistent color map,,low: train-only fit,unknown
40,constant_output,skipped,not_run,0,0,5947,,,,train outputs differ,,low: train-only fit,unknown
40,fixed_crop_color_map,skipped,not_run,0,0,5947,,,,no crop/color map fits train example,,low: train-only fit,unknown
40,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,5947,2640,0.000000,0.000000,fixed_cells=14; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
40,global_transform_color_map,skipped,not_run,0,0,5947,,,,no transform+color map fits train,,low: train-only fit,unknown
41,bbox_crop_color_map,skipped,not_run,0,0,9243,,,,no bbox crop fits train,,low: train-only fit,unknown
41,color_map,skipped,not_run,0,0,9243,,,,no nontrivial consistent color map,,low: train-only fit,unknown
41,constant_output,skipped,not_run,0,0,9243,,,,train outputs differ,,low: train-only fit,unknown
41,fixed_crop_color_map,skipped,not_run,0,0,9243,,,,no crop/color map fits train example,,low: train-only fit,unknown
41,fixed_sparse_edit,skipped,not_run,0,0,9243,,,,edit conflict,,low: train-only fit,unknown
41,global_transform_color_map,skipped,not_run,0,0,9243,,,,no transform+color map fits train,,low: train-only fit,unknown
42,bbox_crop_color_map,skipped,not_run,0,0,5783,,,,no bbox crop fits train,,low: train-only fit,unknown
42,color_map,skipped,not_run,0,0,5783,,,,no nontrivial consistent color map,,low: train-only fit,unknown
42,constant_output,skipped,not_run,0,0,5783,,,,train outputs differ,,low: train-only fit,unknown
42,fixed_crop_color_map,skipped,not_run,0,0,5783,,,,no crop/color map fits train example,,low: train-only fit,unknown
42,fixed_sparse_edit,fit,fail:0_pass_1_fail,0,1,5783,2520,0.000000,0.000000,fixed_cells=12; validation=train0: mismatch,small coordinate ScatterND or constant mask Where after cost gate,"low: train-only fit, validation uses test/arc-gen sample",medium
42,global_transform_color_map,skipped,not_run,0,0,5783,,,,no transform+color map fits train,,low: train-only fit,unknown
44,bbox_crop_color_map,skipped,not_run,0,0,15483,,,,no bbox crop fits train,,low: train-only fit,unknown
44,color_map,skipped,not_run,0,0,15483,,,,no nontrivial consistent color map,,low: train-only fit,unknown
44,constant_output,skipped,not_run,0,0,15483,,,,train outputs differ,,low: train-only fit,unknown
44,fixed_crop_color_map,skipped,not_run,0,0,15483,,,,no crop/color map fits train example,,low: train-only fit,unknown
44,fixed_sparse_edit,skipped,not_run,0,0,15483,,,,edit conflict,,low: train-only fit,unknown
44,global_transform_color_map,skipped,not_run,0,0,15483,,,,no transform+color map fits train,,low: train-only fit,unknown
46,bbox_crop_color_map,skipped,not_run,0,0,19000,,,,no bbox crop fits train,,low: train-only fit,unknown
46,color_map,skipped,not_run,0,0,19000,,,,no nontrivial consistent color map,,low: train-only fit,unknown
46,constant_output,skipped,not_run,0,0,19000,,,,train outputs differ,,low: train-only fit,unknown
46,fixed_crop_color_map,skipped,not_run,0,0,19000,,,,no crop/color map fits train example,,low: train-only fit,unknown
46,fixed_sparse_edit,skipped,not_run,0,0,19000,,,,shape mismatch,,low: train-only fit,unknown
