task_id,current_cost,shape_pairs,same_shape,avg_changed_ratio,max_changed_ratio,input_colors,output_colors,pass_rule_count,best_projected_gain
286,110902,"(11, 24)->(11, 24):1;(13, 14)->(13, 14):1",True,0.20410839160839161,0.2159090909090909,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
29,71139,"(13, 16)->(5, 3):1;(17, 18)->(8, 10):1;(23, 21)->(6, 8):1",False,,,0 1 2 3 4 5 6 8 9,0 1 2 3 5 6 8 9,0,0.0
280,70515,"(10, 10)->(10, 10):1;(20, 20)->(20, 20):3",True,0.25875,0.4075,0 2 3,0 2 3,0,0.0
366,60515,"(10, 16)->(10, 8):1;(11, 20)->(11, 10):1;(30, 17)->(15, 17):1",False,,,0 1 2 3 4 6 8,0 1 2 3 4 6 8,0,0.0
275,59811,"(3, 6)->(9, 9):2;(4, 8)->(16, 16):1",False,,,0 1 2 3 4 8,0 1 2 3 4,0,0.0
133,59322,"(15, 18)->(15, 18):1;(16, 12)->(16, 12):1;(16, 18)->(16, 18):1;(17, 18)->(17, 18):1",True,0.08057598039215687,0.17647058823529413,0 1 2 3 4 6 8,0 1 2 3 4 6 8,0,0.0
209,59267,"(16, 18)->(11, 11):1;(17, 17)->(9, 14):1;(17, 18)->(7, 7):1",False,,,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
204,56171,"(10, 10)->(10, 10):2;(11, 11)->(11, 11):1;(15, 15)->(15, 15):1;(20, 20)->(20, 20):1",True,0.16658494031221305,0.225,0 1,0 1 2 7,0,0.0
13,54111,"(10, 25)->(10, 25):1;(22, 9)->(22, 9):1;(24, 8)->(24, 8):1;(7, 23)->(7, 23):1",True,0.30933844265637744,0.398989898989899,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
222,52891,"(16, 16)->(16, 16):3",True,0.30859375,0.3515625,0 1 2 3 4 5 6 7 8 9,0 2 6 7,0,0.0
54,52411,"(30, 30)->(30, 30):3",True,0.08851851851851851,0.09333333333333334,1 2 3 4 5 6 8,1 2 3 4 5 6 8,0,0.0
303,52347,"(12, 14)->(12, 14):1;(12, 19)->(12, 19):1;(17, 15)->(17, 15):1",True,0.15030222615361935,0.17647058823529413,0 1 3 8,0 1 2 3 8,0,0.0
243,51195,"(13, 13)->(13, 13):1;(15, 15)->(15, 15):1;(16, 16)->(16, 16):1",True,0.40976016326977865,0.5325443786982249,0 1 2 3 4 5 6 7 8 9,0 1 2 3 4 5 6 7 8 9,0,0.0
159,48739,"(18, 21)->(8, 8):1;(19, 22)->(5, 5):1;(21, 24)->(11, 11):1",False,,,0 1 2 4 8,0 1 2 4 8,0,0.0
128,48731,"(15, 15)->(15, 15):3",True,0.2488888888888889,0.3377777777777778,0 1 2 4,0 1 2 4,0,0.0
91,43107,"(11, 13)->(6, 5):1;(9, 11)->(5, 7):1;(9, 9)->(5, 5):1",False,,,0 5 8,0 5 8,0,0.0
110,42363,"(29, 29)->(29, 29):3",True,0.09393579072532698,0.12604042806183116,0 1 2 3 4 5 6 7 8,1 2 3 4 5 6 7 8,0,0.0
19,40026,"(2, 4)->(4, 8):1;(3, 4)->(6, 8):1;(4, 4)->(8, 8):1;(5, 3)->(10, 6):1",False,,,0 2 4 5 6,0 2 4 5 6 8,0,0.0
109,38755,"(11, 11)->(10, 10):1;(7, 7)->(6, 6):1;(9, 9)->(8, 8):1",False,,,0 1 2 3 4 8,0 2 4 8,0,0.0
216,38307,"(20, 20)->(5, 17):1;(20, 20)->(5, 6):1;(20, 20)->(9, 9):1",False,,,0 1 2,1 2,0,0.0
382,37115,"(12, 12)->(12, 12):1;(14, 10)->(14, 10):1;(17, 12)->(17, 12):1",True,0.23572595704948643,0.3137254901960784,0 2 8,0 2 8,0,0.0
191,36076,"(23, 23)->(23, 23):4",True,0.05434782608695652,0.0945179584120983,0 1 4,0 1 4,0,0.0
161,34907,"(11, 22)->(11, 22):1;(13, 20)->(13, 20):1;(15, 17)->(15, 17):1",True,0.24921427354582434,0.28512396694214875,0 1 2 3 4 5 8,0 2 3 8,0,0.0
14,34851,"(18, 19)->(7, 9):1;(19, 17)->(9, 6):1;(21, 21)->(10, 10):1",False,,,0 1 2 3 4 8,0 2 3 4,0,0.0
17,33755,"(21, 21)->(21, 21):3",True,0.13529856386999245,0.1655328798185941,0 1 2 3 4 5 6 7,1 2 3 4 5 6 7,0,0.0
2,33547,"(10, 10)->(10, 10):3;(20, 20)->(20, 20):1;(6, 6)->(6, 6):1",True,0.058611111111111114,0.09,0 3,0 3 4,0,0.0
306,32802,"(19, 19)->(19, 19):1;(19, 9)->(19, 9):1",True,0.07079101261926746,0.08310249307479224,0 1 2 3 4 5 7 8,0 1 2 3 4 5 7 8,0,0.0
231,30755,"(5, 6)->(5, 12):1;(5, 7)->(5, 14):1;(5, 8)->(5, 16):1",False,,,0 1 2 3 8,0 1 2 3 8,0,0.0
88,30659,"(12, 14)->(4, 4):1;(12, 18)->(4, 8):1;(12, 9)->(3, 5):1;(7, 7)->(3, 3):1",False,,,0 2 3 4 6 8,0 3 4 6 8,0,0.0
205,30083,"(16, 17)->(6, 8):1;(17, 23)->(7, 6):1;(27, 23)->(10, 9):1",False,,,0 1 2 3 4 5 6 7 8 9,1 2 4 8,0,0.0
101,29435,"(14, 12)->(14, 12):3",True,0.10515873015873016,0.14285714285714285,0 1 2,0 1 2,0,0.0
324,28891,"(12, 14)->(12, 14):1;(15, 15)->(15, 15):1;(19, 12)->(19, 12):1",True,0.14430938457254247,0.16444444444444445,1 2 3 4 6 8,1 2 3 4 6 8,0,0.0
165,27835,"(20, 20)->(20, 20):3",True,0.05833333333333333,0.09,0 2 3 4 7 8 9,0 2 3 4 7 8 9,0,0.0
278,27080,"(15, 16)->(15, 16):1;(15, 18)->(15, 18):1",True,0.05810185185185185,0.07916666666666666,0 2,0 2 3,0,0.0
377,26659,"(21, 22)->(7, 7):1;(22, 25)->(3, 3):1;(23, 27)->(5, 5):1",False,,,1 2 3 5 6 8,1 2 3 5 6 8,0,0.0
234,26619,"(13, 18)->(13, 18):1;(15, 19)->(15, 19):1;(17, 14)->(17, 14):1",True,0.12235528489398458,0.21052631578947367,0 2 3 4 5,0 2 3 4 5,0,0.0
384,26243,"(9, 9)->(6, 6):1;(9, 9)->(6, 8):1;(9, 9)->(8, 6):1",False,,,0 4,0 4,0,0.0
63,26235,"(10, 10)->(10, 10):1;(12, 12)->(12, 12):2",True,0.3048148148148148,0.4444444444444444,0 2 8,0 2 3 8,0,0.0
33,26075,"(17, 17)->(17, 17):3",True,0.13494809688581313,0.2179930795847751,0 1 2 3 8,0 1 2 3 8,0,0.0
364,26075,"(10, 11)->(10, 11):1;(14, 12)->(14, 12):1;(19, 21)->(19, 21):1",True,0.1778879015721121,0.22727272727272727,0 3,0 1 2 6,0,0.0
75,25851,"(9, 13)->(9, 13):3",True,0.3333333333333333,0.38461538461538464,0 1 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0,0.0
264,25739,"(14, 14)->(9, 9):1;(16, 14)->(9, 9):1",False,,,0 1 2 3 4 5 6 7 8 9,1 2 3 4 5 6 7 8 9,0,0.0
157,24780,"(10, 15)->(10, 15):2",True,0.25333333333333335,0.29333333333333333,0 2 5,0 1 2,0,0.0
92,24574,"(20, 10)->(20, 10):1;(30, 20)->(30, 20):1",True,0.07333333333333333,0.095,0 2 3 4 5 6 7 8 9,0 2 3 4 5 6 7 8 9,0,0.0
158,24283,"(20, 19)->(20, 19):1;(20, 21)->(20, 21):1;(21, 22)->(21, 22):1",True,0.07200197463355358,0.12857142857142856,1 2 3 4 6 8,1 2 3 4 6 8,0,0.0
11,24184,"(11, 11)->(11, 11):4",True,0.4690082644628099,0.47107438016528924,0 2 3 4 5 6 8,0 2 3 4 5 6,0,0.0
301,24155,"(10, 7)->(10, 7):1;(3, 3)->(3, 3):1;(7, 4)->(7, 4):1",True,0.46613756613756613,0.5555555555555556,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 8,0,0.0
9,23611,"(20, 20)->(20, 20):1;(23, 23)->(23, 23):2",True,0.062035286704473856,0.06805293005671077,0 1 2 3 4 8 9,0 1 2 3 4 8 9,0,0.0
310,23395,"(24, 24)->(7, 7):1;(26, 26)->(7, 7):1;(28, 28)->(7, 7):1",False,,,0 1 2 3 4 5 6 8,0 1 2 3 4 6 8,0,0.0
177,23171,"(10, 15)->(4, 8):1;(12, 16)->(5, 5):1;(15, 17)->(4, 6):1",False,,,0 1 2 3 4 6 8,1 2 3 4 6 8,0,0.0
285,23067,"(14, 14)->(14, 14):1;(20, 20)->(20, 20):1;(30, 30)->(30, 30):1",True,0.06505668934240362,0.09183673469387756,0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0,0.0
396,22947,"(13, 13)->(7, 7):1;(13, 16)->(6, 7):1;(15, 16)->(7, 7):1",False,,,0 1 2 3 4,0 2 3 4,0,0.0
387,22269,"(14, 14)->(14, 14):1;(17, 14)->(17, 14):1;(17, 16)->(17, 16):2",True,0.18206032412965187,0.20408163265306123,0 1 2 3 4 8,0 1 2 3 4 5 8,0,0.0
383,22235,"(15, 17)->(15, 17):1;(16, 18)->(16, 18):1;(19, 13)->(19, 13):1",True,0.13228993014209733,0.16194331983805668,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
201,22224,"(13, 13)->(4, 6):1;(13, 13)->(5, 6):1;(13, 13)->(6, 8):1;(13, 13)->(7, 8):1",False,,,0 1 2 3 4 7 8,0 1 2 3 4 7 8,0,0.0
240,21627,"(19, 19)->(19, 19):3",True,0.08402585410895662,0.09695290858725762,0 1 2 3 4 8,0 1 2 3 4 8,0,0.0
308,21187,"(10, 8)->(3, 3):1;(12, 11)->(5, 5):1;(12, 14)->(5, 5):1",False,,,1 2 3 4 7 8,1 2 3 4 7 8,0,0.0
49,21135,"(10, 10)->(3, 3):1;(10, 15)->(3, 2):1;(13, 15)->(3, 4):1;(18, 15)->(2, 2):1;(20, 20)->(2, 3):1",False,,,0 1 2 3 4 6 7 8,1 4 6 7 8,0,0.0
65,20963,"(11, 11)->(5, 5):1;(5, 5)->(2, 2):1;(7, 7)->(3, 3):1",False,,,1 2 3 4 8,1 3 4 8,0,0.0
21,20739,"(11, 11)->(3, 2):1;(15, 15)->(2, 4):1;(27, 27)->(6, 5):1",False,,,1 3 7 8,1 3,0,0.0
238,20291,"(14, 16)->(5, 5):1;(15, 15)->(6, 6):1;(15, 16)->(6, 6):1",False,,,0 1 2 3 4 6 7 8,0 1 2 3 4 6 7 8,0,0.0
279,20244,"(12, 11)->(12, 11):1;(12, 13)->(12, 13):1;(14, 15)->(14, 15):1;(9, 11)->(9, 11):1",True,0.14765512265512265,0.23484848484848486,1 9,1 8 9,0,0.0
213,20067,"(12, 10)->(3, 3):1;(12, 12)->(4, 4):1;(18, 15)->(6, 6):1",False,,,0 1 2 3 4 5 6 8,1 2 3 4 6 8,0,0.0
359,19771,"(13, 14)->(13, 14):1;(13, 17)->(13, 17):1;(15, 14)->(15, 14):1",True,0.16208432090785033,0.18552036199095023,1 2 3 4 5 6 7 8 9,1 2 3 7 8,0,0.0
367,19707,"(12, 19)->(12, 19):1;(13, 16)->(13, 16):1;(15, 17)->(15, 17):1",True,0.07038316001164298,0.07894736842105263,0 5,0 4 5,0,0.0
5,19387,"(21, 21)->(21, 21):3",True,0.06953892668178381,0.09523809523809523,0 1 2 3 4 5 6 8,0 1 2 3 4 5 6 8,0,0.0
202,19206,"(13, 15)->(13, 15):1;(14, 13)->(14, 13):1;(14, 15)->(14, 15):1;(15, 19)->(15, 19):1",True,0.0646375554270291,0.07179487179487179,0 1 2 3 4 5 8,0 1 2 3 4 5 8,0,0.0
59,19163,"(11, 11)->(11, 11):3",True,0.1322314049586777,0.17355371900826447,0 1 2 3 5,0 1 2 3 5,0,0.0
256,19067,"(7, 7)->(7, 7):1;(7, 9)->(7, 9):1;(8, 9)->(8, 9):1",True,0.26171579743008316,0.2698412698412698,0 2,0 1 2 3,0,0.0
46,19000,"(3, 11)->(3, 8):1;(3, 11)->(3, 9):2;(3, 9)->(3, 7):1",False,,,0 1 2 3 5 6 8,0 1 2 3 6 8,0,0.0
