task_id,route,template_name,baseline_cost,candidate_cost,baseline_points,candidate_points,file_bytes,validation_status,status,reason,sha256
55,same_shape_global_transform,greedy2_Mul_node18_to_input1,26370,26250,14.820017720652668,14.82457873198023,15527,full_arc_263_pass_0_fail,improved,kept after full arc-gen validation,fd09e418f1266c685a53688dd94be04030df7ce4b68fae95dc850cf1c7f4c21e
58,same_shape_global_transform,greedy1_And_node10_to_input0,16105,15705,15.313114938234701,15.338265588027253,14516,full_arc_22_pass_0_fail,improved,kept after full arc-gen validation,39c7c2a0da94b6d32e3f9db0bc24d3d032a3165f7768dc48e073639985cad19e
62,same_shape_global_transform,greedy3_Mul_node166_to_input1,30609,30009,14.670950637656585,14.69074738434671,19275,full_arc_267_pass_0_fail,improved,kept after full arc-gen validation,5f4428e4468c129819f587a99120b08074e35179671ec930756a58ddbbc69e23
74,sparse_edit_or_object_completion,greedy2_Transpose_node14_to_input0,21825,20025,15.009188619292196,15.09526322806344,2144,full_arc_267_pass_0_fail,improved,kept after full arc-gen validation,ce3cb41ee170001e9d0ef38fe1c853e0efc43236575b3db27775a0a2c2f95a26
96,crop_or_resize,greedy1_Unsqueeze_node3_to_input0,26948,26944,14.79833563791945,14.798484082957946,20332,full_arc_266_pass_0_fail,improved,kept after full arc-gen validation,a1c16e6904e0b99b013eae6b95670362bcbcbc9db56d50bdeaff69e24ea8f8c6
138,crop_or_resize,greedy2_Squeeze_node25_to_input0,46667,46635,14.249207444245036,14.249893388839036,7402,full_arc_266_pass_0_fail,improved,kept after full arc-gen validation,c8a70b49444b25d6160f73b50ec6b61104c7d32eb641cc645cc6b84a9882bd4f
148,sparse_edit_or_object_completion,greedy1_Cast_node105_to_input0,21741,21165,15.013044842222609,15.039895847044976,10154,full_arc_266_pass_0_fail,improved,kept after full arc-gen validation,e48efbc20f08c053dead0d793f53321aba9331da45649cb70c1672b26e1b3c0a
233,crop_or_resize,greedy1_Unsqueeze_node3_to_input0,63540,63536,13.940575092176493,13.940638046628967,40694,full_arc_266_pass_0_fail,improved,kept after full arc-gen validation,cee1092d0e753b0513b26eea2aa82a5cf92166b962f44de200ab4c1fd908937c
255,same_shape_global_transform,greedy3_Unsqueeze_node4_to_input0,73503,68999,13.794918499305505,13.858152709279247,34896,full_arc_265_pass_0_fail,improved,kept after full arc-gen validation,dce7ce2173018a1847cde58f6edb959da09641665b6fa031663cad48b5c9520f
289,crop_or_resize,greedy2_Cast_node10_to_input0,24464,19962,14.895042071831156,15.098414254753468,2155,full_arc_268_pass_0_fail,improved,kept after full arc-gen validation,643f3af41bf881861e0471b52832a773338aaaab2e36afe64defd1ffe4b4e6a2
392,same_shape_global_transform,greedy1_Unsqueeze_node7_to_input0,30870,30868,14.662459882503795,14.662524672422506,10224,full_arc_266_pass_0_fail,improved,kept after full arc-gen validation,7eed8807bc3f75b2bbc99a0b171f5b007e18d1415cf40561d9f9f73071c86466
398,crop_or_resize,greedy1_Slice_node1_to_input0,83670,83470,13.665364230710356,13.667757435155218,9585,full_arc_268_pass_0_fail,improved,kept after full arc-gen validation,086887f075240518135ff37484ebbb389749da2469824ae39332e2d711244e42
