task_id,source,template_name,route,cost,local_points,file_bytes,status,reason,sha256
1,vyanktesh_multi_source_output,baseline,crop_or_resize,2843,17.047384888349,1319,baseline,no fixed DSL lowering gain,0ba1c190a016805c5f9c036c9dafac06035513bf11cea64837d053da1792a1b6
2,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,33547,14.579297280376213,83229,baseline,no fixed DSL lowering gain,64c7ad58f30d9cb5012a3dfb21e76eb1bc2e7c79098788bbcd992113c316397e
3,afr1ste_5689_artifact,baseline,crop_or_resize,9102,15.883750551423413,3638,baseline,no fixed DSL lowering gain,201f50b9769bf46022aeebbb31c47469dbff8cc35b1c85b4a593daaa2c9e77b0
4,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,13560,15.485120438505614,31340,baseline,no fixed DSL lowering gain,57d4c5fa135555611b6299fa8ead05fbd393001cf110789100934e3441be626a
5,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,19387,15.127641982660792,45380,baseline,no fixed DSL lowering gain,bf625bb35c4aee0bda9518b83db9f689285c218a7459044213eee02f9205261c
6,afr1ste_5689_artifact,baseline,crop_or_resize,1631,17.603051397378987,1450,baseline,no fixed DSL lowering gain,d2cea9184c472bcc677d35dc6f1d8d5f9c27efc824b35adcb8fd3243f7c2395d
7,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7271,16.108350887349943,1591,baseline,no fixed DSL lowering gain,b3fbdc3763bf12db4c965abb2e34de2d253efe893706d6276a0f519c18742d5c
8,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10555,15.735645039717578,23300,baseline,no fixed DSL lowering gain,c1041a58d33a864c24c3c60582ae7acd148dc76613a0ac3d18c6e199449b784e
9,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,23611,14.930532015883037,55940,baseline,no fixed DSL lowering gain,66525cf6c9367cb7fa28a417da4cd0018feae1892926b30fd03ead97a4cc10d5
10,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,5016,16.479611917687244,5285,baseline,no fixed DSL lowering gain,959b7fe8897b9a6e317f67be7f5235595b9db70155ec0deaf7b10fd828d71b5f
11,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,24184,14.906553463540707,58948,baseline,no fixed DSL lowering gain,2a7c634043ed7c1c22f6a0bcb63dfc1031fd0ea1ea81e4cdb523b1b886370fce
12,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,11213,15.675170901539119,24352,baseline,no fixed DSL lowering gain,c81222efb9bf3d8252364738dea1ecf01c45e72a442d9a8c014551df8e5b51ef
13,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,54111,14.101207228661691,132611,baseline,no fixed DSL lowering gain,41c3a938b1da93eb59bd49bf1e331cecbc2632179c8f88869c361b60d0ea3765
14,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,34851,14.541162889818416,98444,baseline,no fixed DSL lowering gain,5d42c849337b0130abc185e2e114ee5d07ba45a5942069a698d39c32ade760d4
15,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,900,18.197605236675688,3802,baseline,no fixed DSL lowering gain,1ffd2d96fdecfb3f3aff30b61ec79024b253580c0365fa4b8455c4efee2f4c93
16,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,10,22.697414907005953,174,baseline,no fixed DSL lowering gain,0906e52eb5772517bf371fcea4963ef920f1c6dae8800a6c8ebd61621b0f232a
17,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,33755,14.573116166524029,81733,baseline,no fixed DSL lowering gain,cd17be811639e9d4ca3a46c16e4d2870705c92901d77c336f59a623780b2154c
18,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,17467,15.231931334571607,40580,baseline,no fixed DSL lowering gain,005a8fa741a6d61cbaec91f90c24486926581cb08392fe556b83220dc102ea95
19,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,40026,14.40271547806243,110517,baseline,no fixed DSL lowering gain,fcbbffb30bcc7a327b91273828c8b8a403a7b82cab70e98eb923902c237f6817
20,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,3931,16.723350874578138,5440,baseline,no fixed DSL lowering gain,6875ba09c357054f37d2f6cef4eadcd3c5e88559d7f60d968d63e9eded1c0d4f
21,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,20739,15.060228735386625,61868,baseline,no fixed DSL lowering gain,b0040ff7eb5dff4a1761b9580e5a5fed62a5fa15929ef2d269c774ba77ad32dd
22,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,13283,15.505759698867497,42793,baseline,no fixed DSL lowering gain,bc46ba3d1dcffce3ae4ad093f6fa187298d8ab9b42ca7201a93d30ffb91ffcb5
23,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10875,15.705778144043116,24964,baseline,no fixed DSL lowering gain,a8f6ce7afef8e8061e6d86f9f7d38dfdeb98ea67516519fe782e7c8e4b484498
24,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,9080,15.88617052840466,3824,baseline,no fixed DSL lowering gain,589d404dc6812db1d7a0e1103856b40e25aa0b31cf17b5a3d5ebeddacb56eba0
25,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10331,15.757095637150554,23172,baseline,no fixed DSL lowering gain,ab37d286507f25fe64d47b7a76ab635e41ac9fe491dd1344145edcd7387a73dd
26,massimilianoghiotto_6254,baseline,crop_or_resize,738,18.39605617539953,1526,baseline,no fixed DSL lowering gain,52ff3bc9bfadd5e9069ffb66d8c80aff4ca11835aa031ca3e86809ea68b46124
27,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,6715,16.187900891042663,13696,baseline,no fixed DSL lowering gain,2d33d4fb027de029b4eb2d12e42ae5f18f4525d0c4036e5072d2eef215ffe061
28,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,8990,15.896131872534333,2106,baseline,no fixed DSL lowering gain,36728b9b5a411eec91b3378bf527e7993aff151ea43577cf015d927afc9998a7
29,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,71139,13.82760901138578,189167,baseline,no fixed DSL lowering gain,2a1669b64e0e1faabebbd32bad9c4908f55b4b7f24089e2f653c1fa6fd061632
30,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,11998,15.607504751786962,5853,baseline,no fixed DSL lowering gain,a0f4843251086700ba78da4184126135f92cd1473049e8a4f7709d424cdede97
31,massimilianoghiotto_6254,baseline,crop_or_resize,18616,15.168223295017873,3504,baseline,no fixed DSL lowering gain,bcb1f9183e1f5ef3092345a1bf70a0a723d699e88b1aa4ef61ae7adb21961543
32,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,3405,16.86699978141639,2765,baseline,no fixed DSL lowering gain,9424a6591a868e2cb8fec1653fe4f48e54b1d7d393444b8fcfa2d1163f52fcc2
33,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,26075,14.831267720131027,62532,baseline,no fixed DSL lowering gain,e0810df36670293a581256a3c097ab7a1dcd3a426838b65b984e2dc961a00dcf
34,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,17058,15.255625419120944,36268,baseline,no fixed DSL lowering gain,2d16ffcfa7e508bdf922c615a9ca7f479c6282b1aa689769b521ea65e0dfb2ed
35,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,5339,16.417206351499814,10688,baseline,no fixed DSL lowering gain,73a53f10733f020a9c93a35aa9cf7e749ee5107228740beb2121f8286cfe5c37
36,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,15912,15.325171179466192,49809,baseline,no fixed DSL lowering gain,8d84c0e2c0ef2b6795d6144645891d5c250bc19db8a9cb32973b900dda457002
37,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,8379,15.966516145386713,16128,baseline,no fixed DSL lowering gain,be0d455d3fe084464779186fcdb8f215ed2eff8d7aa38f8aa711b35c2d9f2a64
38,massimilianoghiotto_6254,baseline,crop_or_resize,2193,17.306974251582112,2630,baseline,no fixed DSL lowering gain,e17eaa6c4b6a15452543c4f573989d8aa55d3e2f0c49b95bdf2917aee713ad7c
39,massimilianoghiotto_6254,baseline,crop_or_resize,7772,16.04171718950267,2013,baseline,no fixed DSL lowering gain,c0de553b8d476ad4b572e74d73f53e104bff0edababeac198ec7a500f812f91c
40,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,5947,16.309357830293408,11776,baseline,no fixed DSL lowering gain,f35df615685146cbb49ccbe24857240223a7e2f2adda2e4a8b96bf604bf30b47
41,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,9243,15.868378212735223,19586,baseline,no fixed DSL lowering gain,a0c3578923cae9d0e55bf020469abde8601e11ca05bb13e9b6b11c66ffb2bddc
42,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,5783,16.33732214184178,11032,baseline,no fixed DSL lowering gain,d496fb69bd0cd402fa5ca86b14ceadf719cc7a00cc8e4a44c15a236d18f6087a
43,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7119,16.129477454896126,2092,baseline,no fixed DSL lowering gain,2707a8fdd37a1813d40cb4811ede0689bd0f34605e58bb25db3c5bec4131670a
44,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,15483,15.352502073183164,36484,baseline,no fixed DSL lowering gain,fde7acc521c5ccc1177692d8faa30840d0b09cd084c15ffe25d78ea209eb9a46
45,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,7428,16.0869880775274,1586,baseline,no fixed DSL lowering gain,e38c9e4b2bc9d40df39665ad2934414f974c4ad2a0ae39f390291fe5c2f7258a
46,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,19000,15.147805741851423,58988,baseline,no fixed DSL lowering gain,f3739f02d8c42da623a6565980b50673ff465f1259130356d4a5037bc74b4b01
47,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,3024,16.985664262700574,3823,baseline,no fixed DSL lowering gain,239d68998cf692c7ed8ec2d0991ba236037e049f951b62b2a96c7b979f91ebfa
48,massimilianoghiotto_6254,baseline,crop_or_resize,5609,16.367872270491663,4683,baseline,no fixed DSL lowering gain,010a8d8bad3f868c1dc1b32f62929c87cb98b880cf291e9ad90cbc8ab094099a
49,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,21135,15.04131428699911,64148,baseline,no fixed DSL lowering gain,90a942214fce9b5c060e8b3d5b52463a5f3fcb6861144e7e3380372b43f79ed3
50,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,9146,15.878928095782,18873,baseline,no fixed DSL lowering gain,09406a6a774c2a6e706045038478f89c158583a95c4cb14f2b1dc51e87c617ee
51,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,7483,16.07961093991964,15616,baseline,no fixed DSL lowering gain,cb04d05c1c9620b056f33d462def65c2c79ab4e2b4ee5bb97b5eccdb3860b011
52,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,1228,17.886857891292912,1342,baseline,no fixed DSL lowering gain,eaa6935a705434432f5c824b054299d8bb74920300df6a073ce1008f5dcc3b7c
53,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,30,21.598802618337846,199,baseline,no fixed DSL lowering gain,75d840df9317bb0b3af9bbb578c18ffa62ede8d87214bc168b822a524dc30c0c
54,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,52411,14.133128228057634,127943,baseline,no fixed DSL lowering gain,ac2727c7158e2706a974f511b0ae4864004011f34dc38f91c81b50ad347a5eb8
55,afr1ste_5689_artifact,baseline,same_shape_global_transform,26370,14.820017720652668,15660,baseline,no fixed DSL lowering gain,401b593731841bd0de4616d239d91ff8f0d678402edb0d8642ca664178ff5c2e
56,massimilianoghiotto_6254,baseline,crop_or_resize,213,19.638707834290575,1004,baseline,no fixed DSL lowering gain,ca045f982c0767ff66864b342ea52e291463fa98f1c31978f29864adac7ccc01
57,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,15459,15.354053363003667,47369,baseline,no fixed DSL lowering gain,89c60e053b9f2c2eac345a5d34e8e0c52a2a43ffc697f84395b49b72ecc513ae
58,afr1ste_5689_artifact,baseline,same_shape_global_transform,16105,15.313114938234701,14579,baseline,no fixed DSL lowering gain,88a918f1f81d39e18d187eda626570201a3858651a1c58c1d4019cd9f7962c64
59,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,19163,15.139263384531505,45252,baseline,no fixed DSL lowering gain,88b8411369b3834ed6f27df62277b779bf6a34e49a282ca9152f458e2f2e57b4
60,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,5581,16.372876749211567,2524,baseline,no fixed DSL lowering gain,0e1745f47d9614c3e7846b04b62ef490805da2092f46d2fd51ef478f814928f9
61,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,18914,15.152342332424542,17113,baseline,no fixed DSL lowering gain,b02e862976b178388c60fbf8edb95affe176512fdd4774901afa1cf390950c55
62,exp043_fixed_dsl_hit_lowering_base_overlay_exp040_deeper_fullarc_safe_bypass,greedy12_Mul_node153_to_input1,same_shape_global_transform,26849,14.802016144704421,17692,baseline,no fixed DSL lowering gain,50090ef409130f7828cc1b7935a88fe9b8f9ffdabf0f7f2a0da542bbd7427e6d
63,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,26235,14.825150323879187,63365,baseline,no fixed DSL lowering gain,a6417dc9d0a64404a7df82046c4681d5c52fadaf5ea325257dc91e752dfd3498
64,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10771,15.71538738364923,22606,baseline,no fixed DSL lowering gain,96187225a549303dfdddbf704241efc233d7f4ffceda7505162c63fb9ebfd1eb
65,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,20963,15.049485742036117,61996,baseline,no fixed DSL lowering gain,882ad2c4807bf89d69ae8835104b2856fde382aa4a1d05be4236bc199f40827a
66,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10875,15.705778144043116,24964,baseline,no fixed DSL lowering gain,0a6c2a5a9cc9b7d6549baadb8c48a19842d647bf3664ee7d52aef0e67b2189f2
67,massimilianoghiotto_6254,baseline,crop_or_resize,315,19.247427361174367,1053,baseline,no fixed DSL lowering gain,988b4d005f09426a7fb6b169820d02368203d8b03fc7d1b80b4f44af49e395c4
68,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,12589,15.55942130423374,2203,baseline,no fixed DSL lowering gain,27916bc7ec145fc23eff5ed5d953fc2b2b8b1722cda2bc96e9a4818155f670fe
69,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,18263,15.187367565807959,42504,baseline,no fixed DSL lowering gain,325d5f5c289dd864b2cd893b2745b2923efba5b06dc1bc76ed7b5218ba7a8612
70,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,18939,15.151021432964265,45124,baseline,no fixed DSL lowering gain,79bcaa26354d36e37efeda49ff98bedf459cb20d2d0c0fd7b7a0cea830bdfdb8
71,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,9502,15.840742418253134,20546,baseline,no fixed DSL lowering gain,64a6ee9a3ee1926c3a6468ae059ed1bd02893cd2253d966101fc3c29508d4b32
72,massimilianoghiotto_6254,baseline,crop_or_resize,1309,17.8229812340901,1389,baseline,no fixed DSL lowering gain,46e5bc1b0d0b2bb9f86f8ccee655f01afe21ef05ba040d8bb9cce1482dd059d0
73,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,910,18.186555400489105,3870,baseline,no fixed DSL lowering gain,991392cf02f9450481e5e836166795e50390595c68a1f05000ff7a4d6e1adb04
74,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,21825,15.009188619292196,2292,baseline,no fixed DSL lowering gain,25d3b285a926e549241f2854dbebc1dc72ac0dd2eed66f4ee02c3ccd86a874f2
75,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,25851,14.839895436092123,62404,baseline,no fixed DSL lowering gain,c82c1f74f166d45d2bc4c96c8543e48f8355d74cdd2f31f8b04384970228004f
76,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,7643,16.058454524757117,16449,baseline,no fixed DSL lowering gain,de94d750442a38f7a25c642add7c1b251884737032d770074b78b395859a4767
77,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,10491,15.741726974268515,24004,baseline,no fixed DSL lowering gain,d4939002640ecd2c335f3d0e0156f62dd289a7b8c864cca2e19e36adfdc92261
78,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,11496,15.65024557224114,2275,baseline,no fixed DSL lowering gain,37550dea4025b51a47612bc0f98d6d0cbadf3008f213592ea68f40e30569248c
79,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,crop_or_resize,12835,15.54006890669476,42537,baseline,no fixed DSL lowering gain,af08bc27b4ccd2ff526f0c12891e983263151d3e26dbbc64bd4855bf670c957f
80,massimilianoghiotto_6254,baseline,same_shape_global_transform,42082,14.352624625200743,12166,baseline,no fixed DSL lowering gain,d1d6bc78c480777c1dd8e74cf752b5726109903c7a6097dc56759320e0f45705
81,massimilianoghiotto_6254,baseline,sparse_edit_or_object_completion,2307,17.256296741826247,5225,baseline,no fixed DSL lowering gain,17d3e0785d4fc44e8b80baaf991c35275e24c4c844bf1170dd6c6e6725f6294b
82,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,14420,15.42362858916106,31836,baseline,no fixed DSL lowering gain,1395f6e76169bdcebed7ec7e47eb3e7a4bfb8259e3af945bb058a2f2b8ee385f
83,massimilianoghiotto_6254,baseline,crop_or_resize,1800,17.504458056115745,7476,baseline,no fixed DSL lowering gain,0e51c90a17c888d894ae9a0632a22ad6d06b14cdf2b5ab371ab23ae7a1a869e6
84,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,sparse_edit_or_object_completion,17595,15.224629950244314,39172,baseline,no fixed DSL lowering gain,52f99bab93b9211ce7296f05c5f81abb441b9d64fc2ce4541005574bfaa01d11
