idx,name,op_type,inputs,outputs,attr_count
0,safe_name_13,Slice,input|safe_name_0|safe_name_1|safe_name_2|safe_name_3,safe_name_13,0
1,safe_name_14,ReduceSum,safe_name_13|safe_name_4,safe_name_14,1
2,safe_name_15,ReduceSum,safe_name_13|safe_name_5,safe_name_15,1
3,safe_name_16,Greater,safe_name_14|safe_name_6,safe_name_16,0
4,safe_name_17,Greater,safe_name_15|safe_name_6,safe_name_17,0
5,safe_name_18,Cast,safe_name_16,safe_name_18,1
6,safe_name_19,Cast,safe_name_17,safe_name_19,1
7,safe_name_20,ArgMax,safe_name_18,safe_name_20,2
8,safe_name_21,ArgMax,safe_name_19,safe_name_21,2
9,safe_name_22,Where,safe_name_16|safe_name_7|safe_name_6,safe_name_22,0
10,safe_name_23,Where,safe_name_17|safe_name_7|safe_name_6,safe_name_23,0
11,safe_name_24,ArgMax,safe_name_22,safe_name_24,2
12,safe_name_25,ArgMax,safe_name_23,safe_name_25,2
13,safe_name_26,Sub,safe_name_24|safe_name_20,safe_name_26,0
14,safe_name_27,Sub,safe_name_25|safe_name_21,safe_name_27,0
15,safe_name_28,Add,safe_name_20|safe_name_8,safe_name_28,0
16,safe_name_29,Add,safe_name_21|safe_name_9,safe_name_29,0
17,safe_name_30,Gather,input|safe_name_28,safe_name_30,1
18,safe_name_31,Gather,safe_name_30|safe_name_29,safe_name_31,1
19,safe_name_32,LessOrEqual,safe_name_8|safe_name_26,safe_name_32,0
20,safe_name_33,LessOrEqual,safe_name_9|safe_name_27,safe_name_33,0
21,safe_name_34,Unsqueeze,safe_name_32|safe_name_10,safe_name_34,0
22,safe_name_35,Unsqueeze,safe_name_33|safe_name_11,safe_name_35,0
23,safe_name_36,And,safe_name_34|safe_name_35,safe_name_36,0
24,safe_name_37,Where,safe_name_36|safe_name_31|safe_name_6,safe_name_37,0
25,output,Pad,safe_name_37|safe_name_12|safe_name_6,output,0
