name,dur,output_type_shape
safe_name_13,125,"[{""float"": [1, 9, 12, 12]}]"
safe_name_15,58,"[{""float"": [1, 12]}]"
safe_name_17,56,"[{""bool"": [1, 12]}]"
safe_name_23,43,"[{""float"": [1, 12]}]"
safe_name_25,39,"[{""int64"": [1]}]"
safe_name_19,34,"[{""uint8"": [1, 12]}]"
safe_name_21,33,"[{""int64"": [1]}]"
safe_name_27,34,"[{""int64"": [1]}]"
safe_name_33,28,"[{""bool"": [8]}]"
safe_name_35,28,"[{""bool"": [1, 1, 1, 8]}]"
safe_name_14,29,"[{""float"": [1, 12]}]"
safe_name_16,25,"[{""bool"": [1, 12]}]"
safe_name_22,31,"[{""float"": [1, 12]}]"
safe_name_24,24,"[{""int64"": [1]}]"
safe_name_18,23,"[{""uint8"": [1, 12]}]"
safe_name_20,23,"[{""int64"": [1]}]"
safe_name_26,24,"[{""int64"": [1]}]"
safe_name_32,24,"[{""bool"": [7]}]"
safe_name_34,27,"[{""bool"": [1, 1, 7, 1]}]"
safe_name_36,43,"[{""bool"": [1, 1, 7, 8]}]"
safe_name_28,33,"[{""int64"": [7]}]"
safe_name_30,39,"[{""float"": [1, 10, 7, 30]}]"
safe_name_29,25,"[{""int64"": [8]}]"
safe_name_31,33,"[{""float"": [1, 10, 7, 8]}]"
safe_name_37,32,"[{""float"": [1, 10, 7, 8]}]"
output,63,"[{""float"": [1, 10, 30, 30]}]"
