task_id,route,strict_source,strict_cost,strict_points,teacher_source,teacher_template,teacher_cost,teacher_points,teacher_gain_vs_strict,teacher_cost_ratio,strict_top_rank,priority,action
20,sparse_edit_or_object_completion,massimilianoghiotto_6254,90133,13.590958363748854,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,3931,16.723350874578138,3.132392510829284,22.92877130501145,38,P0,teacher explains large gain but is unsafe; mine explicit rule first
126,sparse_edit_or_object_completion,massimilianoghiotto_6254,86091,13.636839844664504,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,4027,16.699223039148546,3.062383194484042,21.378445492922772,43,P0,teacher explains large gain but is unsafe; mine explicit rule first
173,sparse_edit_or_object_completion,massimilianoghiotto_6254,175243,12.926071138839562,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,8475,15.955124067751349,3.0290529289117867,20.677640117994102,4,P0,teacher explains large gain but is unsafe; mine explicit rule first
77,sparse_edit_or_object_completion,massimilianoghiotto_6254,157913,13.030200472556263,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10491,15.741726974268515,2.7115265017122514,15.05223524926127,6,P0,teacher explains large gain but is unsafe; mine explicit rule first
366,crop_or_resize,massimilianoghiotto_6254,836880,11.362564029982357,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,60515,13.989353452827295,2.626789422844938,13.829298521027845,1,P0,teacher explains large gain but is unsafe; mine explicit rule first
71,sparse_edit_or_object_completion,massimilianoghiotto_6254,129780,13.22640401182484,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9502,15.840742418253134,2.6143384064282937,13.65817722584719,10,P0,teacher explains large gain but is unsafe; mine explicit rule first
206,sparse_edit_or_object_completion,massimilianoghiotto_6254,61387,13.975046634666326,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,4795,16.52467101268246,2.5496243780161354,12.802294056308655,85,P0,teacher explains large gain but is unsafe; mine explicit rule first
64,sparse_edit_or_object_completion,massimilianoghiotto_6254,114153,13.354705067178468,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10771,15.71538738364923,2.3606823164707613,10.598180298950886,16,P0,teacher explains large gain but is unsafe; mine explicit rule first
370,sparse_edit_or_object_completion,massimilianoghiotto_6254,108296,13.407376502134378,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11547,15.645819058048144,2.2384425559137657,9.378713085649952,21,P0,teacher explains large gain but is unsafe; mine explicit rule first
251,sparse_edit_or_object_completion,massimilianoghiotto_6254,100580,13.481291290274044,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,2.224486853769072,9.248735632183909,29,P0,teacher explains large gain but is unsafe; mine explicit rule first
51,sparse_edit_or_object_completion,massimilianoghiotto_6254,68437,13.866331106969804,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,7483,16.07961093991964,2.2132798329498353,9.14566350394227,67,P0,teacher explains large gain but is unsafe; mine explicit rule first
25,sparse_edit_or_object_completion,franksunp_blended_best,89286,13.600400020341894,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10331,15.757095637150554,2.15669561680866,8.642532184686864,40,P0,teacher explains large gain but is unsafe; mine explicit rule first
378,sparse_edit_or_object_completion,massimilianoghiotto_6254,39008,14.428477967719003,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,4556,16.575799675432926,2.147321707713923,8.561896400351186,124,P0,teacher explains large gain but is unsafe; mine explicit rule first
208,sparse_edit_or_object_completion,afr1ste_5689_artifact,92273,13.56749314667969,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10875,15.705778144043116,2.138284997363426,8.484873563218391,36,P0,teacher explains large gain but is unsafe; mine explicit rule first
90,sparse_edit_or_object_completion,massimilianoghiotto_6254,63354,13.94350667496543,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,8030,16.00906019305919,2.065553518093761,7.889663760896638,82,P0,teacher explains large gain but is unsafe; mine explicit rule first
37,sparse_edit_or_object_completion,massimilianoghiotto_6254,63726,13.937652078450405,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,8379,15.966516145386713,2.0288640669363076,7.605442176870748,79,P0,teacher explains large gain but is unsafe; mine explicit rule first
158,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,182776,12.883983361645681,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,24283,14.902468203974937,2.018484842329256,7.526911831322324,3,P0,teacher explains large gain but is unsafe; mine explicit rule first
284,sparse_edit_or_object_completion,massimilianoghiotto_6254,102032,13.466958231444947,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13755,15.470842326641325,2.003884095196378,7.417811704834605,28,P0,teacher explains large gain but is unsafe; mine explicit rule first
358,sparse_edit_or_object_completion,afr1ste_5689_artifact,113999,13.356055044591665,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,15757,15.334960010037955,1.97890496544629,7.2348162721330205,17,P1,high strict cost; search submit-safe DSL replacement
363,sparse_edit_or_object_completion,needless090_4250_output,54241,14.098807640977503,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,7579,16.06686345618797,1.9680558152104677,7.156748911465892,97,P1,high strict cost; search submit-safe DSL replacement
97,sparse_edit_or_object_completion,massimilianoghiotto_6254,55812,14.070255820987903,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,8263,15.980457003298815,1.910201182310912,6.754447537214087,94,P1,high strict cost; search submit-safe DSL replacement
85,sparse_edit_or_object_completion,massimilianoghiotto_6254,113178,13.36328292042622,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16926,15.263393819769949,1.9001108993437281,6.686635944700461,18,P1,high strict cost; search submit-safe DSL replacement
285,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,151996,13.068390516307327,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,23067,14.95384169629971,1.8854511799923834,6.5893267438331815,7,P1,high strict cost; search submit-safe DSL replacement
18,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,114578,13.35098890724301,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17467,15.231931334571607,1.8809424273285966,6.559683975496651,15,P1,high strict cost; search submit-safe DSL replacement
202,sparse_edit_or_object_completion,massimilianoghiotto_6254,125720,13.258187509088495,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19206,15.137021990802081,1.8788344817135858,6.545871081953556,12,P1,high strict cost; search submit-safe DSL replacement
340,sparse_edit_or_object_completion,afr1ste_5689_artifact,70342,13.83887566105239,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10939,15.69991033588021,1.8610346748278204,6.430386689825395,65,P1,high strict cost; search submit-safe DSL replacement
396,crop_or_resize,massimilianoghiotto_6254,143389,13.126683504302262,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,22947,14.959057512010025,1.832374007707763,6.248703534231054,9,P1,high strict cost; search submit-safe DSL replacement
34,sparse_edit_or_object_completion,afr1ste_5689_artifact,106316,13.425828929592994,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17058,15.255625419120944,1.8297964895279506,6.232618126392309,23,P1,high strict cost; search submit-safe DSL replacement
5,sparse_edit_or_object_completion,massimilianoghiotto_6254,117225,13.328149556042213,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19387,15.127641982660792,1.7994924266185794,6.04657760354877,13,P1,high strict cost; search submit-safe DSL replacement
118,sparse_edit_or_object_completion,franksunp_blended_best,60026,13.997466919324204,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,10000,15.789659628023816,1.7921927086996128,6.0026,87,P1,high strict cost; search submit-safe DSL replacement
300,crop_or_resize,massimilianoghiotto_6254,77546,13.741373412351637,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13323,15.502752856039788,1.761379443688151,5.820460857164302,57,P1,high strict cost; search submit-safe DSL replacement
383,sparse_edit_or_object_completion,afr1ste_5689_artifact,128140,13.239121304806988,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,22235,14.990577097055203,1.7514557922482155,5.76298628288734,11,P1,high strict cost; search submit-safe DSL replacement
170,crop_or_resize,massimilianoghiotto_6254,78564,13.728331141770909,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13731,15.472588670678249,1.7442575289073403,5.7216517369455975,55,P1,high strict cost; search submit-safe DSL replacement
192,sparse_edit_or_object_completion,massimilianoghiotto_6254,51968,14.14161657647865,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9231,15.869677336009849,1.728060759531198,5.629725923518579,100,P1,high strict cost; search submit-safe DSL replacement
27,sparse_edit_or_object_completion,massimilianoghiotto_6254,36791,14.486991470971319,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,6715,16.187900891042663,1.7009094200713442,5.478927773641102,129,P1,high strict cost; search submit-safe DSL replacement
239,crop_or_resize,afr1ste_5689_artifact,94477,13.54388830238479,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17568,15.226165655690743,1.6822773533059525,5.377789162112933,34,P1,high strict cost; search submit-safe DSL replacement
162,sparse_edit_or_object_completion,massimilianoghiotto_6254,63291,13.944501582071068,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,12027,15.605090598689383,1.6605890166183155,5.262409578448491,83,P1,high strict cost; search submit-safe DSL replacement
36,crop_or_resize,massimilianoghiotto_6254,79962,13.710693199192217,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,15912,15.325171179466192,1.6144779802739748,5.02526395173454,52,P1,high strict cost; search submit-safe DSL replacement
335,sparse_edit_or_object_completion,massimilianoghiotto_6254,46249,14.258204878914801,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9307,15.86147791581429,1.6032730368994876,4.969270441603094,114,P1,high strict cost; search submit-safe DSL replacement
193,sparse_edit_or_object_completion,massimilianoghiotto_6254,53661,14.109558240338645,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11099,15.68538970684802,1.575831466509376,4.8347598882782234,98,P1,high strict cost; search submit-safe DSL replacement
76,sparse_edit_or_object_completion,needless090_4250_output,36184,14.503627688842322,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,7643,16.058454524757117,1.5548268359147954,4.73426664922151,130,P1,high strict cost; search submit-safe DSL replacement
281,sparse_edit_or_object_completion,afr1ste_5689_artifact,88615,13.60794357751076,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18843,15.156103228877509,1.548159651366749,4.702807408586743,41,P1,high strict cost; search submit-safe DSL replacement
288,sparse_edit_or_object_completion,massimilianoghiotto_6254,31807,14.632558329669694,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,6886,16.16275435610153,1.5301960264318364,4.619082195759512,140,P1,high strict cost; search submit-safe DSL replacement
69,sparse_edit_or_object_completion,massimilianoghiotto_6254,84250,13.658456151785392,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18263,15.187367565807959,1.5289114140225664,4.613152275091715,45,P1,high strict cost; search submit-safe DSL replacement
185,crop_or_resize,massimilianoghiotto_6254,59584,14.00485763936326,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13431,15.494679253090926,1.4898216137276652,4.436304072667709,88,P1,high strict cost; search submit-safe DSL replacement
89,sparse_edit_or_object_completion,afr1ste_5689_artifact,49703,14.186179427563964,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11703,15.632399501825233,1.4462200742612694,4.247030675895069,106,P1,high strict cost; search submit-safe DSL replacement
201,crop_or_resize,massimilianoghiotto_6254,92700,13.562876248446054,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,22224,14.991071935005875,1.428195686559821,4.171166306695464,35,P1,high strict cost; search submit-safe DSL replacement
4,sparse_edit_or_object_completion,massimilianoghiotto_6254,55020,14.084547965521434,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13560,15.485120438505614,1.4005724729841802,4.057522123893805,96,P1,high strict cost; search submit-safe DSL replacement
174,crop_or_resize,massimilianoghiotto_6254,52019,14.140635684557754,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,12963,15.530145575399958,1.3895098908422039,4.0128828203347995,99,P1,high strict cost; search submit-safe DSL replacement
252,sparse_edit_or_object_completion,massimilianoghiotto_6254,38062,14.453028311923028,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,9531,15.837695077062374,1.3846667651393467,3.9934949113419367,128,P1,high strict cost; search submit-safe DSL replacement
112,sparse_edit_or_object_completion,massimilianoghiotto_6254,59270,14.010141445218116,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,15003,15.383994539912987,1.373853094694871,3.9505432246883956,89,P1,high strict cost; search submit-safe DSL replacement
182,sparse_edit_or_object_completion,massimilianoghiotto_6254,47624,14.228907885166773,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,12364,15.577455696747993,1.34854781158122,3.851827887415076,112,P1,high strict cost; search submit-safe DSL replacement
379,sparse_edit_or_object_completion,massimilianoghiotto_6254,72499,13.808671952355807,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18843,15.156103228877509,1.3474312765217018,3.8475295865838772,63,P1,high strict cost; search submit-safe DSL replacement
131,sparse_edit_or_object_completion,massimilianoghiotto_6254,44550,14.295632567101045,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,11707,15.632057767520328,1.3364252004192831,3.805415563338174,118,P1,high strict cost; search submit-safe DSL replacement
365,crop_or_resize,massimilianoghiotto_6254,58814,14.01786479921536,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,15459,15.354053363003667,1.3361885637883066,3.8045151691571255,91,P1,high strict cost; search submit-safe DSL replacement
205,crop_or_resize,massimilianoghiotto_6254,112313,13.370955104619776,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,30083,14.68828449286678,1.3173293882470034,3.7334374896120734,19,P1,high strict cost; search submit-safe DSL replacement
330,sparse_edit_or_object_completion,afr1ste_5689_artifact,59024,14.014300580163543,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,16635,15.280735811547423,1.2664352313838805,3.5481815449353773,90,P1,high strict cost; search submit-safe DSL replacement
70,sparse_edit_or_object_completion,massimilianoghiotto_6254,66138,13.90050125280863,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18939,15.151021432964265,1.250520180155636,3.492159036907968,73,P1,high strict cost; search submit-safe DSL replacement
197,sparse_edit_or_object_completion,massimilianoghiotto_6254,50688,14.166555524825903,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,14567,15.413486024551052,1.2469304997251491,3.4796457746962313,103,P1,high strict cost; search submit-safe DSL replacement
9,sparse_edit_or_object_completion,massimilianoghiotto_6254,81241,13.69482467517415,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,23611,14.930532015883037,1.2357073407088865,3.4408114861717,50,P1,high strict cost; search submit-safe DSL replacement
253,crop_or_resize,massimilianoghiotto_6254,48269,14.215455188361384,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,14444,15.421965617602652,1.206510429241268,3.3418028247022984,110,P1,high strict cost; search submit-safe DSL replacement
133,sparse_edit_or_object_completion,franksunp_blended_best,193923,12.824783547959548,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,59322,14.009264488874813,1.1844809409152646,3.268989582279761,2,P1,high strict cost; search submit-safe DSL replacement
157,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,79930,13.711093469379936,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,24780,14.882207844816866,1.1711143754369306,3.2255851493139627,53,P1,high strict cost; search submit-safe DSL replacement
265,sparse_edit_or_object_completion,afr1ste_5689_artifact,39162,14.424537832136728,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,12187,15.591874911176498,1.1673370790397701,3.213424140477558,122,P1,high strict cost; search submit-safe DSL replacement
238,crop_or_resize,massimilianoghiotto_6254,64372,13.927565965061614,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20291,15.082067283032377,1.1545013179707624,3.1724409836873493,78,P1,high strict cost; search submit-safe DSL replacement
184,crop_or_resize,massimilianoghiotto_6254,38855,14.432407952356657,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,12387,15.5755971854458,1.1431892330891422,3.136756276741745,125,P1,high strict cost; search submit-safe DSL replacement
264,crop_or_resize,massimilianoghiotto_6254,79536,13.716034971665547,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,25739,14.844237369643414,1.1282023979778675,3.090096740355103,54,P1,high strict cost; search submit-safe DSL replacement
234,sparse_edit_or_object_completion,massimilianoghiotto_6254,81703,13.689154000119816,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,26619,14.810619474496553,1.1214654743767376,3.069348961268267,48,P1,high strict cost; search submit-safe DSL replacement
364,sparse_edit_or_object_completion,massimilianoghiotto_6254,77859,13.737345222483407,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,26075,14.831267720131027,1.09392249764762,2.9859635666347075,56,P1,high strict cost; search submit-safe DSL replacement
2,sparse_edit_or_object_completion,massimilianoghiotto_6254,97293,13.514517676859928,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,33547,14.579297280376213,1.0647796035162855,2.900199719796107,30,P1,high strict cost; search submit-safe DSL replacement
382,sparse_edit_or_object_completion,massimilianoghiotto_6254,107354,13.416112936092428,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,37115,14.478223520448353,1.0621105843559242,2.8924693520140106,22,P1,high strict cost; search submit-safe DSL replacement
54,sparse_edit_or_object_completion,massimilianoghiotto_6254,150548,13.07796275080141,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,52411,14.133128228057634,1.0551654772562244,2.872450439793173,8,P1,high strict cost; search submit-safe DSL replacement
387,sparse_edit_or_object_completion,massimilianoghiotto_6254,63558,13.940291846175448,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,22269,14.989049144214343,1.048757298038895,2.8541021150478243,80,P1,high strict cost; search submit-safe DSL replacement
384,crop_or_resize,massimilianoghiotto_6254,74722,13.778470160860206,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,26243,14.824845434208775,1.0463752733485698,2.8473116640627976,58,P1,high strict cost; search submit-safe DSL replacement
11,sparse_edit_or_object_completion,massimilianoghiotto_6254,66247,13.898854540195707,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,24184,14.906553463540707,1.007698923345,2.739290439960304,72,P1,high strict cost; search submit-safe DSL replacement
216,crop_or_resize,afr1ste_5689_artifact,103572,13.451977697992342,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,38307,14.44661207390721,0.9946343759148668,2.703735609679693,27,P1,high strict cost; search submit-safe DSL replacement
301,sparse_edit_or_object_completion,massimilianoghiotto_6254,64988,13.91804208355036,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,24155,14.907753323011493,0.9897112394611334,2.6904574622231423,75,P1,high strict cost; search submit-safe DSL replacement
219,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,47688,14.227564927100238,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,18011,15.201262038662943,0.9736971115627053,2.6477152851035477,111,P1,high strict cost; search submit-safe DSL replacement
177,crop_or_resize,massimilianoghiotto_6254,61194,13.978195575521427,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,23171,14.94934322424725,0.9711476487258235,2.640973630831643,86,P1,high strict cost; search submit-safe DSL replacement
224,sparse_edit_or_object_completion,afr1ste_5689_artifact,45458,14.275455898281896,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17243,15.244838456999869,0.9693825587179727,2.63631618627849,116,P1,high strict cost; search submit-safe DSL replacement
154,sparse_edit_or_object_completion,massimilianoghiotto_6254,45574,14.27290734254795,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17371,15.237442571898077,0.9645352293501279,2.623568015658281,115,P1,high strict cost; search submit-safe DSL replacement
22,crop_or_resize,massimilianoghiotto_6254,34821,14.542024067963268,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13283,15.505759698867497,0.9637356309042282,2.6214710532259278,135,P1,high strict cost; search submit-safe DSL replacement
110,same_shape_global_transform,massimilianoghiotto_6254,109201,13.399054500239831,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,42363,14.345969381262638,0.9469148810228063,2.5777447300710525,20,P1,high strict cost; search submit-safe DSL replacement
367,sparse_edit_or_object_completion,kojimar_5800_minimal_blend,49772,14.184792144104478,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,19707,15.111270818439417,0.9264786743349394,2.5256000405947123,105,P1,high strict cost; search submit-safe DSL replacement
213,crop_or_resize,massimilianoghiotto_6254,50225,14.175731810316865,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20067,15.093168046213481,0.9174362358966164,2.5028654009069617,104,P1,high strict cost; search submit-safe DSL replacement
21,crop_or_resize,massimilianoghiotto_6254,51223,14.156056071090937,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,20739,15.060228735386625,0.9041726642956878,2.4698876512850187,102,P1,high strict cost; search submit-safe DSL replacement
109,crop_or_resize,massimilianoghiotto_6254,94878,13.539652865248629,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,38755,14.434984941284387,0.8953320760357588,2.448148625983744,33,P1,high strict cost; search submit-safe DSL replacement
165,sparse_edit_or_object_completion,massimilianoghiotto_6254,67524,13.87976163077872,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,27835,14.765950499382392,0.8861888686036714,2.4258667145679897,70,P1,high strict cost; search submit-safe DSL replacement
325,crop_or_resize,massimilianoghiotto_6254,43022,14.330533108254256,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,17795,15.213327202055707,0.8827940938014507,2.417645406012925,119,P1,high strict cost; search submit-safe DSL replacement
88,crop_or_resize,massimilianoghiotto_6254,72766,13.80499590787612,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,30659,14.669318463892141,0.8643225560160204,2.3733976972503994,62,P1,high strict cost; search submit-safe DSL replacement
377,crop_or_resize,massimilianoghiotto_6254,61924,13.966336894339644,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,26659,14.80911791634814,0.842781022008495,2.3228178101204096,84,P1,high strict cost; search submit-safe DSL replacement
244,crop_or_resize,massimilianoghiotto_6254,31782,14.633344629227418,exp023_graph_surgery_exp016_surgery_prune_unused_initializers,surgery_prune_unused_initializers,13731,15.472588670678249,0.8392440414508311,2.3146165610662006,142,P1,high strict cost; search submit-safe DSL replacement
