label,idx,name,op_type,inputs,outputs,attr_count
strict_exp005,0,safe_name_25,Cast,input,safe_name_25,1
strict_exp005,1,safe_name_26,Gather,safe_name_25|safe_name_16,safe_name_26,1
strict_exp005,2,safe_name_27,Gather,safe_name_25|safe_name_17,safe_name_27,1
strict_exp005,3,safe_name_28,Gather,safe_name_25|safe_name_18,safe_name_28,1
strict_exp005,4,safe_name_29,Gather,safe_name_25|safe_name_19,safe_name_29,1
strict_exp005,5,safe_name_30,Gather,safe_name_25|safe_name_23,safe_name_30,1
strict_exp005,6,safe_name_31,Cast,safe_name_26,safe_name_31,1
strict_exp005,7,safe_name_32,Cast,safe_name_27,safe_name_32,1
strict_exp005,8,safe_name_33,Cast,safe_name_28,safe_name_33,1
strict_exp005,9,safe_name_34,Cast,safe_name_29,safe_name_34,1
strict_exp005,10,safe_name_35,Cast,safe_name_30,safe_name_35,1
strict_exp005,11,safe_name_36,Sum,safe_name_31|safe_name_32|safe_name_33|safe_name_34|safe_name_35,safe_name_36,0
strict_exp005,12,safe_name_37,ReduceMax,safe_name_36,safe_name_37,2
strict_exp005,13,safe_name_38,Reshape,safe_name_37|safe_name_4,safe_name_38,0
strict_exp005,14,safe_name_39,ArgMax,safe_name_38,safe_name_39,2
strict_exp005,15,safe_name_40,Gather,safe_name_38|safe_name_2,safe_name_40,1
strict_exp005,16,safe_name_41,ArgMax,safe_name_40,safe_name_41,2
strict_exp005,17,safe_name_42,Sub,safe_name_11|safe_name_41,safe_name_42,0
strict_exp005,18,safe_name_43,ReduceMax,safe_name_36,safe_name_43,2
strict_exp005,19,safe_name_44,Reshape,safe_name_43|safe_name_4,safe_name_44,0
strict_exp005,20,safe_name_45,ArgMax,safe_name_44,safe_name_45,2
strict_exp005,21,safe_name_46,Sub,safe_name_42|safe_name_39,safe_name_46,0
strict_exp005,22,safe_name_47,Add,safe_name_46|safe_name_7,safe_name_47,0
strict_exp005,23,safe_name_48,Sub,safe_name_0|safe_name_39,safe_name_48,0
strict_exp005,24,safe_name_49,Sub,safe_name_1|safe_name_45,safe_name_49,0
strict_exp005,25,safe_name_50,Sub,safe_name_46|safe_name_48,safe_name_50,0
strict_exp005,26,safe_name_51,Sub,safe_name_46|safe_name_49,safe_name_51,0
strict_exp005,27,safe_name_52,Add,safe_name_48|safe_name_7,safe_name_52,0
strict_exp005,28,safe_name_53,Less,safe_name_6|safe_name_52,safe_name_53,0
strict_exp005,29,safe_name_54,Add,safe_name_49|safe_name_7,safe_name_54,0
strict_exp005,30,safe_name_55,Less,safe_name_6|safe_name_54,safe_name_55,0
strict_exp005,31,safe_name_56,Less,safe_name_48|safe_name_47,safe_name_56,0
strict_exp005,32,safe_name_57,Less,safe_name_49|safe_name_47,safe_name_57,0
strict_exp005,33,safe_name_58,And,safe_name_53|safe_name_56,safe_name_58,0
strict_exp005,34,safe_name_59,And,safe_name_55|safe_name_57,safe_name_59,0
strict_exp005,35,safe_name_60,And,safe_name_58|safe_name_59,safe_name_60,0
strict_exp005,36,safe_name_61,Cast,safe_name_60,safe_name_61,1
strict_exp005,37,safe_name_62,Gather,safe_name_25|safe_name_15,safe_name_62,1
strict_exp005,38,safe_name_63,Gather,safe_name_26|safe_name_3,safe_name_63,1
strict_exp005,39,safe_name_64,Gather,safe_name_63|safe_name_3,safe_name_64,1
strict_exp005,40,safe_name_65,Reshape,safe_name_26|safe_name_5,safe_name_65,0
strict_exp005,41,safe_name_66,Add,safe_name_39|safe_name_48,safe_name_66,0
strict_exp005,42,safe_name_67,Add,safe_name_45|safe_name_49,safe_name_67,0
strict_exp005,43,safe_name_68,Clip,safe_name_66|safe_name_6|safe_name_11,safe_name_68,0
strict_exp005,44,safe_name_69,Clip,safe_name_67|safe_name_6|safe_name_11,safe_name_69,0
strict_exp005,45,safe_name_70,Mul,safe_name_68|safe_name_12,safe_name_70,0
strict_exp005,46,safe_name_71,Add,safe_name_70|safe_name_69,safe_name_71,0
strict_exp005,47,safe_name_72,Gather,safe_name_65|safe_name_71,safe_name_72,1
strict_exp005,48,safe_name_73,Add,safe_name_45|safe_name_51,safe_name_73,0
strict_exp005,49,safe_name_74,Clip,safe_name_73|safe_name_6|safe_name_11,safe_name_74,0
strict_exp005,50,safe_name_75,Add,safe_name_70|safe_name_74,safe_name_75,0
strict_exp005,51,safe_name_76,Gather,safe_name_65|safe_name_75,safe_name_76,1
strict_exp005,52,safe_name_77,Add,safe_name_39|safe_name_50,safe_name_77,0
strict_exp005,53,safe_name_78,Clip,safe_name_77|safe_name_6|safe_name_11,safe_name_78,0
strict_exp005,54,safe_name_79,Mul,safe_name_78|safe_name_12,safe_name_79,0
strict_exp005,55,safe_name_80,Add,safe_name_79|safe_name_69,safe_name_80,0
strict_exp005,56,safe_name_81,Gather,safe_name_65|safe_name_80,safe_name_81,1
strict_exp005,57,safe_name_82,Add,safe_name_79|safe_name_74,safe_name_82,0
strict_exp005,58,safe_name_83,Gather,safe_name_65|safe_name_82,safe_name_83,1
strict_exp005,59,safe_name_84,Add,safe_name_39|safe_name_49,safe_name_84,0
strict_exp005,60,safe_name_85,Add,safe_name_45|safe_name_48,safe_name_85,0
strict_exp005,61,safe_name_86,Clip,safe_name_84|safe_name_6|safe_name_11,safe_name_86,0
strict_exp005,62,safe_name_87,Clip,safe_name_85|safe_name_6|safe_name_11,safe_name_87,0
strict_exp005,63,safe_name_88,Mul,safe_name_86|safe_name_12,safe_name_88,0
strict_exp005,64,safe_name_89,Add,safe_name_88|safe_name_87,safe_name_89,0
strict_exp005,65,safe_name_90,Gather,safe_name_65|safe_name_89,safe_name_90,1
strict_exp005,66,safe_name_91,Add,safe_name_45|safe_name_50,safe_name_91,0
strict_exp005,67,safe_name_92,Clip,safe_name_91|safe_name_6|safe_name_11,safe_name_92,0
strict_exp005,68,safe_name_93,Add,safe_name_88|safe_name_92,safe_name_93,0
strict_exp005,69,safe_name_94,Gather,safe_name_65|safe_name_93,safe_name_94,1
