example_idx,split,io,component_idx,color,size,bbox,height,width
0,train,input,0,3,1,"(1, 2, 2, 3)",1,1
0,train,input,1,8,1,"(1, 4, 2, 5)",1,1
0,train,input,2,2,1,"(2, 3, 3, 4)",1,1
0,train,input,3,2,1,"(2, 5, 3, 6)",1,1
0,train,input,4,8,1,"(3, 2, 4, 3)",1,1
0,train,input,5,3,1,"(3, 4, 4, 5)",1,1
0,train,input,6,8,1,"(3, 6, 4, 7)",1,1
0,train,input,7,2,1,"(4, 3, 5, 4)",1,1
0,train,input,8,2,1,"(4, 5, 5, 6)",1,1
0,train,input,9,8,1,"(5, 4, 6, 5)",1,1
0,train,output,0,3,1,"(1, 2, 2, 3)",1,1
0,train,output,1,8,1,"(1, 4, 2, 5)",1,1
0,train,output,2,3,1,"(1, 6, 2, 7)",1,1
0,train,output,3,2,1,"(2, 3, 3, 4)",1,1
0,train,output,4,2,1,"(2, 5, 3, 6)",1,1
0,train,output,5,8,1,"(3, 2, 4, 3)",1,1
0,train,output,6,3,1,"(3, 4, 4, 5)",1,1
0,train,output,7,8,1,"(3, 6, 4, 7)",1,1
0,train,output,8,2,1,"(4, 3, 5, 4)",1,1
0,train,output,9,2,1,"(4, 5, 5, 6)",1,1
0,train,output,10,3,1,"(5, 2, 6, 3)",1,1
0,train,output,11,8,1,"(5, 4, 6, 5)",1,1
0,train,output,12,3,1,"(5, 6, 6, 7)",1,1
1,train,input,0,2,1,"(2, 2, 3, 3)",1,1
1,train,input,1,3,1,"(2, 4, 3, 5)",1,1
1,train,input,2,4,1,"(3, 3, 4, 4)",1,1
1,train,input,3,4,1,"(3, 5, 4, 6)",1,1
1,train,input,4,3,1,"(4, 2, 5, 3)",1,1
1,train,input,5,4,1,"(4, 4, 5, 5)",1,1
1,train,input,6,3,1,"(4, 6, 5, 7)",1,1
1,train,input,7,4,1,"(5, 3, 6, 4)",1,1
1,train,input,8,4,1,"(5, 5, 6, 6)",1,1
1,train,input,9,3,1,"(6, 4, 7, 5)",1,1
1,train,output,0,2,1,"(2, 2, 3, 3)",1,1
1,train,output,1,3,1,"(2, 4, 3, 5)",1,1
1,train,output,2,2,1,"(2, 6, 3, 7)",1,1
1,train,output,3,4,1,"(3, 3, 4, 4)",1,1
1,train,output,4,4,1,"(3, 5, 4, 6)",1,1
1,train,output,5,3,1,"(4, 2, 5, 3)",1,1
