example_idx,split_guess,input_shape,output_shape,input_colors,output_colors,changed_count,added_count,removed_count,changed_bbox,input_nonzero_bbox,output_nonzero_bbox,dominant_changed_from_to,component_count_input,component_count_output,rule_hints
0,train,"(10, 10)","(10, 10)","[0, 2, 3, 8]","[0, 2, 3, 8]",3,3,0,"1:6,2:7","1:6,2:7","1:6,2:7","[((0, 3), 3)]",10,13,same_shape;sparse_edit;single_target_color_3;only_fill_background;nonzero_bbox_preserved
1,train,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:7,2:7","2:7,2:7","2:7,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
2,train,"(10, 10)","(10, 10)","[0, 1, 4, 8]","[0, 1, 4, 8]",3,3,0,"2:5,4:7","1:6,3:8","1:6,3:8","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
3,test,"(10, 10)","(10, 10)","[0, 1, 2, 4]","[0, 1, 2, 4]",3,3,0,"4:7,1:6","2:7,1:6","2:7,1:6","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
4,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4, 8]","[0, 2, 3, 4, 8]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
5,arc-gen,"(10, 10)","(10, 10)","[0, 2, 8]","[0, 2, 8]",3,3,0,"1:6,3:8","1:6,3:8","1:6,3:8","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
6,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3, 4]","[0, 2, 3, 4]",3,3,0,"2:5,5:8","1:6,4:9","1:6,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
7,arc-gen,"(10, 10)","(10, 10)","[0, 2, 3]","[0, 2, 3]",3,3,0,"3:8,2:7","3:8,2:7","3:8,2:7","[((0, 2), 3)]",10,13,same_shape;sparse_edit;single_target_color_2;only_fill_background;nonzero_bbox_preserved
8,arc-gen,"(10, 10)","(10, 10)","[0, 2, 4, 8]","[0, 2, 4, 8]",3,3,0,"5:8,5:8","4:9,4:9","4:9,4:9","[((0, 8), 3)]",10,13,same_shape;sparse_edit;single_target_color_8;only_fill_background;nonzero_bbox_preserved
9,arc-gen,"(10, 10)","(10, 10)","[0, 4]","[0, 4]",3,3,0,"5:8,4:9","3:8,4:9","3:8,4:9","[((0, 4), 3)]",10,13,same_shape;sparse_edit;single_target_color_4;only_fill_background;nonzero_bbox_preserved
