task_id,family,route,priority,strict_cost,strict_points,teacher_cost,teacher_points,cost_bucket,compression_class_to_600,cost_ratio_to_600,cost_ratio_to_250,gain_to_600,gain_to_250,teacher_remaining_gain_to_600,teacher_remaining_gain_to_250,teacher_gain_vs_strict,rule_target,lowering_target,reject_lowering,next_action
366,signature_lookup_current,crop_or_resize,P0,836880,11.362564029982357,60515,13.989353452827295,100000_plus,extreme,1394.8,3347.52,7.240506314801495,8.115975052155397,4.613716891956557,5.489185629310459,2.626789422844938,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
133,signature_lookup_current,sparse_edit_or_object_completion,P0,193923,12.824783547959548,59322,14.009264488874813,100000_plus,extreme,323.205,775.692,5.778286796824304,6.653755534178206,4.593805855909039,5.469274593262941,1.1844809409152646,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
158,signature_lookup_current,sparse_edit_or_object_completion,P0,182776,12.883983361645681,24283,14.902468203974937,100000_plus,extreme,304.62666666666667,731.104,5.719086983138171,6.594555720492073,3.7006021408089147,4.576070878162817,2.018484842329256,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
173,signature_lookup_current,sparse_edit_or_object_completion,P0,175243,12.926071138839562,8475,15.955124067751349,100000_plus,extreme,292.07166666666666,700.972,5.6769992059442895,6.552467943298192,2.647946277032503,3.523415014386405,3.0290529289117867,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
286,signature_lookup_current,sparse_edit_or_object_completion,P0,162199,13.00342074458367,110902,13.383597792559053,100000_plus,extreme,270.33166666666665,648.796,5.599649600200182,6.475118337554084,5.219472552224799,6.094941289578701,0.38017704797538343,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
77,signature_lookup_current,sparse_edit_or_object_completion,P0,157913,13.030200472556263,10491,15.741726974268515,100000_plus,extreme,263.18833333333333,631.652,5.572869872227589,6.448338609581491,2.8613433705153373,3.7368121078692393,2.7115265017122514,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
285,signature_lookup_current,sparse_edit_or_object_completion,P0,151996,13.068390516307327,23067,14.95384169629971,100000_plus,extreme,253.32666666666665,607.984,5.534679828476525,6.410148565830427,3.649228648484142,4.524697385838044,1.8854511799923834,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
54,signature_lookup_current,sparse_edit_or_object_completion,P0,150548,13.07796275080141,52411,14.133128228057634,100000_plus,extreme,250.91333333333333,602.192,5.525107593982442,6.400576331336344,4.469942116726218,5.34541085408012,1.0551654772562244,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
396,signature_lookup_current,crop_or_resize,P0,143389,13.126683504302262,22947,14.959057512010025,100000_plus,extreme,238.98166666666665,573.556,5.47638684048159,6.351855577835492,3.644012832773827,4.519481570127729,1.832374007707763,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
71,signature_lookup_current,sparse_edit_or_object_completion,P0,129780,13.22640401182484,9502,15.840742418253134,100000_plus,extreme,216.3,519.12,5.376666332959012,6.252135070312914,2.762327926530718,3.63779666388462,2.6143384064282937,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
383,signature_lookup_current,sparse_edit_or_object_completion,P0,128140,13.239121304806988,22235,14.990577097055203,100000_plus,extreme,213.56666666666666,512.56,5.363949039976864,6.239417777330766,3.612493247728649,4.487961985082551,1.7514557922482155,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
202,signature_lookup_current,sparse_edit_or_object_completion,P0,125720,13.258187509088495,19206,15.137021990802081,100000_plus,extreme,209.53333333333333,502.88,5.344882835695357,6.220351573049259,3.466048353981771,4.341517091335673,1.8788344817135858,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
5,signature_lookup_current,sparse_edit_or_object_completion,P0,117225,13.328149556042213,19387,15.127641982660792,100000_plus,extreme,195.375,468.9,5.274920788741639,6.150389526095541,3.4754283621230595,4.350897099476962,1.7994924266185794,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
13,signature_lookup_current,sparse_edit_or_object_completion,P0,116882,13.3310798421544,54111,14.101207228661691,100000_plus,extreme,194.80333333333334,467.528,5.271990502629452,6.147459239983354,4.501863116122161,5.377331853476063,0.7701273865072906,説明可能な decision tree / affine hash / color-role rule,small Gather or pruned branch graph; no per-example label table,"arc-gen memorization, large ScatterND, large MatMul hash","mine teacher delta into submit-safe DSL, then lower to <=600"
