task_id,priority,route,strict_cost,teacher_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,output_shape_pair_count,dominant_output_shapes,dominant_change_pairs,compiler_lane,lowering_bias,first_probe
366,P0,crop_or_resize,836880,60515,7.240506314801495,8.115975052155397,2.626789422844938,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,60,30,"{""(12, 14)"": 17, ""(11, 13)"": 15, ""(15, 17)"": 12, ""(11, 11)"": 12, ""(10, 10)"": 11, ""(10, 11)"": 11}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
133,P0,sparse_edit_or_object_completion,193923,59322,5.778286796824304,6.653755534178206,1.1844809409152646,267,1.0,1.0,1.0,0.0,0.23595505617977527,12,1,145,178,178,"{""(28, 27)"": 5, ""(30, 27)"": 4, ""(23, 27)"": 4, ""(20, 26)"": 4, ""(17, 18)"": 3, ""(19, 30)"": 3}","{""(0, 6)"": 664, ""(0, 8)"": 584, ""(0, 5)"": 565, ""(0, 3)"": 526, ""(0, 4)"": 512, ""(0, 2)"": 498}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
158,P0,sparse_edit_or_object_completion,182776,24283,5.719086983138171,6.594555720492073,2.018484842329256,266,1.0,1.0,0.0,0.0,1.0,15.0,3,90,33,33,"{""(26, 25)"": 19, ""(25, 24)"": 17, ""(22, 23)"": 15, ""(24, 23)"": 15, ""(21, 22)"": 13, ""(24, 25)"": 13}","{""(2, 4)"": 242, ""(3, 4)"": 189, ""(4, 9)"": 179, ""(4, 6)"": 166, ""(1, 8)"": 151, ""(5, 8)"": 147}",L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
173,P0,sparse_edit_or_object_completion,175243,8475,5.6769992059442895,6.552467943298192,3.0290529289117867,266,1.0,1.0,1.0,0.0,0.4548872180451128,3.0,1,16,160,160,"{""(25, 12)"": 6, ""(25, 23)"": 5, ""(25, 25)"": 4, ""(25, 16)"": 4, ""(24, 23)"": 4, ""(14, 20)"": 4}","{""(0, 3)"": 128, ""(0, 6)"": 124, ""(0, 8)"": 109, ""(0, 4)"": 106, ""(0, 1)"": 103, ""(0, 7)"": 95}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
286,P0,sparse_edit_or_object_completion,162199,110902,5.599649600200182,6.475118337554084,0.38017704797538343,265,1.0,1.0,1.0,0.0,0.9849056603773585,100,1,301,167,167,"{""(18, 15)"": 5, ""(20, 13)"": 4, ""(22, 19)"": 4, ""(24, 11)"": 4, ""(11, 15)"": 4, ""(25, 12)"": 3}","{""(0, 3)"": 4178, ""(0, 1)"": 4147, ""(0, 4)"": 3957, ""(0, 5)"": 3790, ""(0, 7)"": 3771, ""(0, 9)"": 3240}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
77,P0,sparse_edit_or_object_completion,157913,10491,5.572869872227589,6.448338609581491,2.7115265017122514,266,1.0,1.0,0.0,0.0,1.0,12.0,1,31,18,18,"{""(17, 18)"": 21, ""(15, 15)"": 19, ""(20, 19)"": 19, ""(15, 16)"": 18, ""(20, 20)"": 18, ""(15, 14)"": 17}","{""(7, 4)"": 667, ""(5, 4)"": 539, ""(3, 4)"": 463, ""(9, 4)"": 456, ""(1, 4)"": 448, ""(8, 4)"": 443}",L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
285,P0,sparse_edit_or_object_completion,151996,23067,5.534679828476525,6.410148565830427,1.8854511799923834,265,1.0,1.0,1.0,0.0,0.04150943396226415,24,6,60,19,19,"{""(29, 29)"": 43, ""(28, 28)"": 32, ""(30, 30)"": 31, ""(26, 26)"": 22, ""(27, 27)"": 21, ""(25, 25)"": 19}","{""(0, 2)"": 853, ""(0, 7)"": 827, ""(0, 8)"": 811, ""(0, 3)"": 764, ""(0, 6)"": 760, ""(0, 4)"": 720}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
54,P0,sparse_edit_or_object_completion,150548,52411,5.525107593982442,6.400576331336344,1.0551654772562244,266,1.0,1.0,0.0,0.0,1.0,77.0,43,137,1,1,"{""(30, 30)"": 266}","{""(2, 3)"": 709, ""(2, 4)"": 699, ""(2, 5)"": 588, ""(2, 8)"": 571, ""(1, 9)"": 553, ""(1, 7)"": 544}",L5_general_sparse_completion,Reduce/Conv masks before any ScatterND; target cost under 600 only after proof,changed-cell decision tree over color roles and local geometry
396,P0,crop_or_resize,143389,22947,5.47638684048159,6.351855577835492,1.832374007707763,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,228,24,"{""(6, 7)"": 25, ""(6, 8)"": 22, ""(7, 7)"": 20, ""(5, 7)"": 19, ""(8, 6)"": 18, ""(7, 8)"": 17}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
71,P0,sparse_edit_or_object_completion,129780,9502,5.376666332959012,6.252135070312914,2.6143384064282937,265,1.0,1.0,0.0,0.022641509433962263,0.1018867924528302,16,12,20,1,1,"{""(16, 16)"": 265}","{""(8, 0)"": 350, ""(2, 0)"": 346, ""(7, 0)"": 319, ""(6, 0)"": 292, ""(3, 0)"": 290, ""(4, 0)"": 284}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
383,P0,sparse_edit_or_object_completion,128140,22235,5.363949039976864,6.239417777330766,1.7514557922482155,266,1.0,1.0,0.0,0.0,0.0,33.0,11,60,117,117,"{""(20, 20)"": 7, ""(21, 19)"": 7, ""(19, 15)"": 7, ""(16, 18)"": 6, ""(19, 16)"": 6, ""(17, 16)"": 6}","{""(0, 7)"": 578, ""(0, 9)"": 506, ""(0, 2)"": 462, ""(0, 4)"": 446, ""(0, 8)"": 397, ""(0, 1)"": 375}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
202,P0,sparse_edit_or_object_completion,125720,19206,5.344882835695357,6.220351573049259,1.8788344817135858,267,1.0,1.0,0.0,1.0,1.0,17,1,51,207,207,"{""(19, 14)"": 4, ""(20, 18)"": 4, ""(17, 20)"": 4, ""(14, 15)"": 3, ""(10, 35)"": 3, ""(15, 13)"": 3}","{""(2, 0)"": 601, ""(1, 0)"": 578, ""(7, 0)"": 565, ""(3, 0)"": 563, ""(8, 0)"": 548, ""(4, 0)"": 529}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
5,P0,sparse_edit_or_object_completion,117225,19387,5.274920788741639,6.150389526095541,1.7994924266185794,266,1.0,1.0,1.0,0.0,0.0,28.5,12,54,1,1,"{""(21, 21)"": 266}","{""(0, 3)"": 1083, ""(0, 2)"": 927, ""(0, 9)"": 912, ""(0, 7)"": 852, ""(0, 8)"": 840, ""(0, 6)"": 820}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
13,P0,sparse_edit_or_object_completion,116882,54111,5.271990502629452,6.147459239983354,0.7701273865072906,267,1.0,1.0,1.0,0.0,0.011235955056179775,40,10,141,129,129,"{""(11, 24)"": 7, ""(21, 10)"": 6, ""(10, 22)"": 6, ""(11, 30)"": 5, ""(22, 8)"": 5, ""(6, 20)"": 5}","{""(0, 2)"": 1732, ""(0, 3)"": 1555, ""(0, 7)"": 1494, ""(0, 1)"": 1428, ""(0, 4)"": 1426, ""(0, 8)"": 1321}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
