example_idx,split,d4_status,target_color,bbox_shape,rel_template,input_color_positions,missing_from_d4_reason
0,train,pass,3,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (2, 2))",ok
1,train,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
2,train,pass,4,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
3,test,pass,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
4,arc-gen,pass,4,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
5,arc-gen,fail,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",candidate_count=0
6,arc-gen,fail,4,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
7,arc-gen,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
8,arc-gen,fail,8,"(5, 5)","((1, 1), (3, 1), (3, 3))","((0, 2), (1, 3), (2, 0), (2, 4), (4, 2))",candidate_count=0
9,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 0), (4, 4))",candidate_count=0
10,arc-gen,pass,8,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
11,arc-gen,fail,2,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 2), (2, 4), (3, 3), (4, 2))",candidate_count=0
12,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((2, 2), (3, 3))",ok
13,arc-gen,pass,3,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2),)",ok
14,arc-gen,pass,3,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
15,arc-gen,pass,1,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
16,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
17,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 2), (1, 1), (2, 0), (2, 2), (2, 4), (4, 2))",candidate_count=0
18,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
19,arc-gen,pass,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
20,arc-gen,pass,1,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
21,arc-gen,fail,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
22,arc-gen,pass,8,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
23,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 3))","((3, 1),)",ok
24,arc-gen,pass,3,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
25,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 0), (2, 4))","((4, 2),)",ok
26,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))",candidate_count=0
27,arc-gen,fail,3,"(5, 5)","((0, 0), (0, 4), (4, 0))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))",candidate_count=0
28,arc-gen,pass,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
29,arc-gen,pass,3,"(5, 5)","((0, 2), (2, 0), (2, 4))","((2, 2), (4, 2))",ok
30,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 0))","((4, 4),)",ok
31,arc-gen,pass,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
32,arc-gen,pass,4,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
33,arc-gen,fail,2,"(5, 5)","((0, 2), (2, 0), (2, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 2))",candidate_count=0
34,arc-gen,pass,1,"(5, 5)","((1, 1), (1, 3), (3, 1))","((2, 2), (3, 3))",ok
35,arc-gen,pass,1,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3), (2, 2))",ok
36,arc-gen,fail,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
37,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
38,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
39,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
40,arc-gen,fail,8,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (4, 0), (4, 4))",candidate_count=0
41,arc-gen,pass,8,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (2, 2))",ok
42,arc-gen,fail,2,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
43,arc-gen,fail,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))",candidate_count=0
44,arc-gen,pass,2,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
45,arc-gen,fail,4,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 2), (2, 0), (2, 4), (3, 3), (4, 2))",candidate_count=0
46,arc-gen,pass,2,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0),)",ok
47,arc-gen,fail,4,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
48,arc-gen,pass,2,"(5, 5)","((0, 0), (0, 4), (4, 4))","((4, 0),)",ok
49,arc-gen,fail,8,"(5, 5)","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))",candidate_count=0
50,arc-gen,pass,4,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4),)",ok
51,arc-gen,fail,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((0, 0), (0, 4), (2, 0), (4, 0), (4, 4))",candidate_count=0
52,arc-gen,pass,1,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
53,arc-gen,pass,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 4), (2, 2))",ok
54,arc-gen,fail,1,"(5, 5)","((0, 2), (2, 0), (4, 2))","((1, 1), (1, 3), (2, 4), (3, 1), (3, 3))",candidate_count=0
55,arc-gen,fail,8,"(5, 5)","((0, 0), (0, 4), (4, 4))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2))",candidate_count=0
56,arc-gen,pass,1,"(5, 5)","((1, 3), (3, 1), (3, 3))","((1, 1),)",ok
57,arc-gen,fail,3,"(5, 5)","((1, 1), (1, 3), (3, 1))","((0, 0), (0, 4), (2, 2), (3, 3), (4, 0), (4, 4))",candidate_count=0
58,arc-gen,pass,2,"(5, 5)","((1, 1), (3, 1), (3, 3))","((1, 3),)",ok
59,arc-gen,pass,4,"(5, 5)","((0, 2), (2, 4), (4, 2))","((2, 0),)",ok
60,arc-gen,fail,8,"(5, 5)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (2, 0), (2, 4), (4, 2))",candidate_count=0
61,arc-gen,fail,3,"(5, 5)","((2, 0), (2, 4), (4, 2))","((0, 2), (1, 1), (1, 3), (3, 1), (3, 3))",candidate_count=0
62,arc-gen,pass,3,"(5, 5)","((1, 1), (1, 3), (3, 3))","((2, 2), (3, 1))",ok
63,arc-gen,fail,4,"(5, 5)","((0, 0), (0, 4), (4, 4))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 0))",candidate_count=0
64,arc-gen,fail,1,"(5, 5)","((0, 0), (4, 0), (4, 4))","((0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",candidate_count=0
65,arc-gen,fail,1,"(5, 5)","((0, 0), (0, 4), (4, 0))","((1, 1), (1, 3), (3, 1), (3, 3), (4, 4))",candidate_count=0
66,arc-gen,pass,8,"(5, 5)","((1, 1), (1, 3), (3, 1))","((3, 3),)",ok
