example_idx,split,target_color,template_name,bbox_shape,input_color_pos,true_missing,true_full_variant,compatible_variant_count,compatible_variants,ambiguity_kind
0,train,3,corners,"(5, 5)","((0, 0), (2, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (2, 2), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
1,train,2,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
2,train,4,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
3,test,4,edge_mid,"(5, 5)","((0, 2),)","((2, 0), (2, 4), (4, 2))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
4,arc-gen,4,inner_diag,"(5, 5)","((1, 1),)","((1, 3), (3, 1), (3, 3))","((1, 1), (1, 3), (3, 1), (3, 3))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
5,arc-gen,8,corners,"(5, 5)","((0, 0), (0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
6,arc-gen,4,inner_diag,"(5, 5)","((0, 0), (0, 4), (1, 1), (4, 0), (4, 4))","((1, 3), (3, 1), (3, 3))","((0, 0), (0, 4), (1, 1), (1, 3), (3, 1), (3, 3), (4, 0), (4, 4))",1,"[((1, 3), (3, 1), (3, 3))]",unique_orientation
7,arc-gen,2,corners,"(5, 5)","((0, 0),)","((0, 4), (4, 0), (4, 4))","((0, 0), (0, 4), (4, 0), (4, 4))",1,"[((0, 4), (4, 0), (4, 4))]",unique_orientation
8,arc-gen,8,inner_diag,"(5, 5)","((0, 2), (1, 3), (2, 0), (2, 4), (4, 2))","((1, 1), (3, 1), (3, 3))","((0, 2), (1, 1), (1, 3), (2, 0), (2, 4), (3, 1), (3, 3), (4, 2))",1,"[((1, 1), (3, 1), (3, 3))]",unique_orientation
9,arc-gen,4,edge_mid,"(5, 5)","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 2), (3, 1), (3, 3), (4, 0), (4, 4))","((2, 0), (2, 4), (4, 2))","((0, 0), (0, 2), (0, 4), (1, 1), (1, 3), (2, 0), (2, 2), (2, 4), (3, 1), (3, 3), (4, 0), (4, 2), (4, 4))",1,"[((2, 0), (2, 4), (4, 2))]",unique_orientation
10,arc-gen,8,edge_mid,"(5, 5)","((4, 2),)","((0, 2), (2, 0), (2, 4))","((0, 2), (2, 0), (2, 4), (4, 2))",1,"[((0, 2), (2, 0), (2, 4))]",unique_orientation
