feature_key,unique_key_count,pure_key_count,covered_examples,majority_correct,accuracy,top_conflicts
pos,71,71,266,266,1.0,[]
row_col_counts,71,71,266,266,1.0,[]
canon_pos,24,24,266,266,1.0,[]
canon_and_count,24,24,266,266,1.0,[]
col_counts,40,34,266,233,0.8759398496240601,"[[34, ""[0, 0, 0, 0, 1]"", {""corners"": 23, ""edge_mid"": 11}], [28, ""[1, 0, 0, 0, 0]"", {""corners"": 17, ""edge_mid"": 11}], [10, ""[0, 2, 0, 2, 1]"", {""corners"": 5, ""edge_mid"": 5}], [9, ""[1, 2, 0, 2, 0]"", {""corners"": 8, ""edge_mid"": 1}], [9, ""[0, 0, 1, 0, 1]"", {""corners"": 5, ""edge_mid"": 4}], [5, ""[1, 0, 1, 0, 0]"", {""corners"": 4, ""edge_mid"": 1}]]"
row_counts,41,35,266,232,0.8721804511278195,"[[32, ""[1, 0, 0, 0, 0]"", {""corners"": 21, ""edge_mid"": 11}], [31, ""[0, 0, 0, 0, 1]"", {""edge_mid"": 12, ""corners"": 19}], [12, ""[0, 2, 0, 2, 1]"", {""corners"": 9, ""edge_mid"": 3}], [8, ""[1, 2, 0, 2, 0]"", {""corners"": 4, ""edge_mid"": 4}], [8, ""[0, 0, 1, 0, 1]"", {""edge_mid"": 5, ""corners"": 3}], [7, ""[1, 0, 1, 0, 0]"", {""corners"": 6, ""edge_mid"": 1}]]"
count_and_touch,14,6,266,218,0.8195488721804511,"[[29, ""[5, false, true, true]"", {""edge_mid"": 14, ""corners"": 15}], [28, ""[5, false, true, false]"", {""inner_diag"": 15, ""corners"": 13}], [22, ""[5, false, false, true]"", {""inner_diag"": 9, ""edge_mid"": 13}], [10, ""[9, false, true, true]"", {""corners"": 5, ""edge_mid"": 4, ""inner_diag"": 1}], [6, ""[6, true, true, true]"", {""edge_mid"": 3, ""corners"": 3}], [5, ""[6, true, false, true]"", {""inner_diag"": 4, ""edge_mid"": 1}], [3, ""[6, true, true, false]"", {""inner_diag"": 2, ""corners"": 1}], [3, ""[10, true, true, true]"", {""edge_mid"": 1, ""inner_diag"": 1, ""corners"": 1}]]"
touch_signature,8,2,266,212,0.7969924812030075,"[[68, ""[false, true, false]"", {""corners"": 53, ""inner_diag"": 15}], [67, ""[false, false, true]"", {""edge_mid"": 58, ""inner_diag"": 9}], [39, ""[false, true, true]"", {""corners"": 20, ""edge_mid"": 18, ""inner_diag"": 1}], [16, ""[true, false, true]"", {""inner_diag"": 4, ""edge_mid"": 12}], [12, ""[true, true, false]"", {""corners"": 10, ""inner_diag"": 2}], [9, ""[true, true, true]"", {""edge_mid"": 4, ""corners"": 4, ""inner_diag"": 1}]]"
touches_edge_mid,2,0,266,164,0.6165413533834586,"[[135, ""false"", {""corners"": 63, ""inner_diag"": 72}], [131, ""true"", {""edge_mid"": 92, ""corners"": 24, ""inner_diag"": 15}]]"
touches_corner,2,0,266,157,0.5902255639097744,"[[138, ""false"", {""inner_diag"": 68, ""edge_mid"": 70}], [128, ""true"", {""corners"": 87, ""inner_diag"": 19, ""edge_mid"": 22}]]"
sorted_col_counts,16,10,266,130,0.48872180451127817,"[[132, ""[1, 0, 0, 0, 0]"", {""corners"": 40, ""inner_diag"": 47, ""edge_mid"": 45}], [61, ""[2, 2, 1, 0, 0]"", {""inner_diag"": 15, ""corners"": 28, ""edge_mid"": 18}], [22, ""[1, 1, 0, 0, 0]"", {""corners"": 9, ""inner_diag"": 8, ""edge_mid"": 5}], [7, ""[2, 2, 2, 2, 1]"", {""corners"": 5, ""edge_mid"": 2}], [5, ""[3, 2, 1, 0, 0]"", {""edge_mid"": 2, ""corners"": 3}], [3, ""[2, 2, 1, 1, 0]"", {""inner_diag"": 2, ""corners"": 1}]]"
sorted_row_counts,15,8,266,124,0.46616541353383456,"[[132, ""[1, 0, 0, 0, 0]"", {""corners"": 40, ""inner_diag"": 47, ""edge_mid"": 45}], [65, ""[2, 2, 1, 0, 0]"", {""inner_diag"": 15, ""corners"": 28, ""edge_mid"": 22}], [23, ""[1, 1, 0, 0, 0]"", {""corners"": 9, ""inner_diag"": 8, ""edge_mid"": 6}], [7, ""[2, 2, 2, 2, 1]"", {""corners"": 5, ""edge_mid"": 2}], [4, ""[3, 2, 1, 0, 0]"", {""corners"": 3, ""edge_mid"": 1}], [4, ""[2, 2, 1, 1, 0]"", {""inner_diag"": 2, ""edge_mid"": 1, ""corners"": 1}], [2, ""[3, 2, 2, 2, 1]"", {""edge_mid"": 1, ""corners"": 1}]]"
pos_count,6,0,266,98,0.3684210526315789,"[[132, ""1"", {""corners"": 40, ""inner_diag"": 47, ""edge_mid"": 45}], [79, ""5"", {""inner_diag"": 24, ""corners"": 28, ""edge_mid"": 27}], [28, ""2"", {""corners"": 9, ""inner_diag"": 8, ""edge_mid"": 11}], [14, ""6"", {""inner_diag"": 6, ""edge_mid"": 4, ""corners"": 4}], [10, ""9"", {""corners"": 5, ""edge_mid"": 4, ""inner_diag"": 1}], [3, ""10"", {""edge_mid"": 1, ""inner_diag"": 1, ""corners"": 1}]]"
touches_center,2,0,266,92,0.3458646616541353,"[[221, ""false"", {""corners"": 73, ""inner_diag"": 72, ""edge_mid"": 76}], [45, ""true"", {""corners"": 14, ""edge_mid"": 16, ""inner_diag"": 15}]]"
