Task_ID,All_Used_Transformations,Total_Transformations,Spatial_Count,Object_Count,Color_Count,Pattern_Count,Primary_Category,Grid_Size_Changed,Estimated_Complexity
task001,Tiling,1,1,0,0,0,Spatial_and_Geometric,True,3
task002,Object Detection | Color Mapping | Filling Regions,3,0,1,1,1,Pattern_Recognition,False,5
task003,Tiling | Color Mapping,2,1,0,1,0,Spatial_and_Geometric,True,4
task004,Translation,1,1,0,0,0,Spatial_and_Geometric,False,2
task005,Tiling | Object Detection | Color Mapping | Filling Regions,4,1,1,1,1,Pattern_Recognition,False,7
task006,Object Detection | Sorting | Color Mapping,3,0,2,1,0,Object_Based,True,6
task007,Tiling | Color Mapping | Filling Regions,3,1,0,1,1,Pattern_Recognition,False,5
task008,Translation | Gravity,2,1,1,0,0,Object_Based,False,5
task009,Object Detection | Color Mapping | Filling Regions,3,0,1,1,1,Pattern_Recognition,False,5
task010,Object Detection | Sorting | Color Mapping,3,0,2,1,0,Object_Based,False,4
task011,Object Detection | Sorting | Color Mapping | Filling Regions,4,0,2,1,1,Object_Based,False,7
task012,Translation | Object Detection | Color Mapping | Symmetry Completion,4,1,1,1,1,Pattern_Recognition,False,6
task013,Tiling | Object Detection | Color Mapping | Filling Regions,4,1,1,1,1,Pattern_Recognition,False,4
task014,Cropping | Object Detection | Color Mapping,3,1,1,1,0,Object_Based,True,4
task015,Object Detection | Gravity | Color Mapping | Filling Regions,4,0,2,1,1,Object_Based,False,7
task016,Color Mapping,1,0,0,1,0,Color_and_Logical,False,2
task017,Filling Regions,1,0,0,0,1,Pattern_Recognition,False,4
task018,Translation | Shifting | Object Detection | Gravity,4,2,2,0,0,Object_Based,False,7
task019,Tiling | Cropping | Object Detection | Color Mapping | Filling Regions,5,2,1,1,1,Spatial_and_Geometric,True,5
task020,Reflection | Symmetry Completion,2,1,0,0,1,Pattern_Recognition,False,4
task021,Cropping,1,1,0,0,0,Spatial_and_Geometric,True,2
task022,Cropping | Object Detection,2,1,1,0,0,Object_Based,True,4
task023,Object Detection | Shape Matching | Color Mapping,3,0,2,1,0,Object_Based,False,7
task024,Object Detection | Gravity | Color Mapping | Filling Regions,4,0,2,1,1,Object_Based,False,6
task025,Translation | Shifting | Object Detection | Gravity | Filling Regions,5,2,2,0,1,Object_Based,False,7
task026,Cropping | Object Detection | Color Mapping | Filling Regions,4,1,1,1,1,Pattern_Recognition,True,4
task027,Object Detection | Gravity | Color Mapping | Flood Fill,4,0,2,1,1,Pattern_Recognition,False,6
task028,Translation | Shifting | Object Detection | Color Mapping | Filling Regions,5,2,1,1,1,Pattern_Recognition,False,7
task029,Cropping,1,1,0,0,0,Spatial_and_Geometric,True,2
task030,Translation | Gravity,2,1,1,0,0,Object_Based,False,6
task031,Cropping | Object Detection,2,1,1,0,0,Object_Based,True,3
task032,Gravity | Object Detection | Sorting,3,1,2,0,0,Object_Based,False,7
task033,Object Detection | Shape Matching | Color Mapping | Symmetry Completion | Filling Regions,5,0,2,1,2,Pattern_Recognition,False,7
task034,Translation | Shifting | Object Detection | Gravity | Color Mapping | Filling Regions,6,2,2,1,1,Object_Based,False,7
task035,Object Detection | Collision Detection | Color Swapping | Color Mapping,4,0,2,2,0,Color_and_Logical,False,5
task036,Cropping | Object Detection | Color Mapping | Filling Regions,4,1,1,1,1,Pattern_Recognition,True,6
task037,Translation | Gravity,2,1,1,0,0,Object_Based,False,7
task038,Cropping | Object Detection | Color Mapping | Filling Regions,4,1,1,1,1,Object_Based,True,7
task039,Cropping | Object Detection,2,1,1,0,0,Spatial_and_Geometric,True,3
task040,Color Mapping,1,0,0,1,0,Color_and_Logical,False,2
task041,Object Detection | Flood Fill | Filling Regions,3,0,1,1,1,Pattern_Recognition,False,5
task042,Object Detection | Gravity | Color Mapping,3,0,2,1,0,Object_Based,False,6
