task_id,cost,local_points,initializer_count,initializer_params,unused_count,unused_params,duplicate_groups,duplicate_wasted_params,uniform_safe_count,uniform_safe_saveable_params,total_seddik_style_saveable,primary_category,transformations,cost_gap_to_600,cost_gap_to_250
383,128140,13.239121304806988,10,928,0,0,0,0,1,899,899,Pattern_Recognition,Translation | Shifting | Object Detection | Outlier Detection | Color Mapping | Symmetry Completion | Filling Regions,5.363949039976864,6.239417777330766
284,102032,13.466958231444947,19,2875,0,0,0,0,1,899,899,Pattern_Recognition,Translation | Object Detection | Shape Matching | Color Mapping | Filling Regions,5.136112113338905,6.011580850692807
110,109201,13.399054500239831,52,1186,0,0,0,0,1,840,840,Pattern_Recognition,Filling Regions | Filling Regions,5.2040158445440206,6.079484581897923
117,18454,15.1769635718615,40,619,0,0,0,0,3,462,462,Pattern_Recognition,Reflection | Object Detection | Symmetry Completion,3.4261067729223527,4.301575510276255
17,35329,14.527540564604424,28,624,0,0,0,0,1,440,440,Pattern_Recognition,Filling Regions,4.075529780179428,4.95099851753333
77,157913,13.030200472556263,20,2213,0,0,0,0,1,419,419,Pattern_Recognition,Object Detection | Shape Matching | Color Mapping | Filling Regions,5.572869872227589,6.448338609581491
44,31805,14.632621210887095,11,10903,0,0,0,0,1,99,99,Object_Based,Translation | Object Detection | Sorting | Color Swapping,3.970449133896757,4.845917871250659
212,9969,15.792764442977296,16,237,0,0,0,0,1,99,99,Object_Based,Gravity | Object Detection | Color Mapping,2.810305901806556,3.685774639160458
358,113999,13.356055044591665,36,415,0,0,0,0,4,78,78,Spatial_and_Geometric,Translation | Tiling | Object Detection | Filling Regions,5.247015300192187,6.122484037546089
191,73993,13.788274226882638,18,18860,0,0,0,0,2,53,53,Pattern_Recognition,Translation | Object Detection | Filling Regions,4.8147961179012135,5.690264855255116
178,29331,14.713599743826219,30,569,0,0,0,0,4,52,52,Object_Based,Cropping | Sorting,3.889470600957633,4.764939338311535
267,1255,17.865109148434115,13,95,0,0,0,0,1,48,48,Color_and_Logical,Object Detection | Color Swapping,0.7379611963497368,1.6134299337036389
101,65875,13.904485714156337,16,11553,0,0,0,0,1,45,45,Object_Based,Translation | Object Detection | Gravity | Filling Regions,4.698584630627515,5.574053367981417
20,73080,13.800689989508056,24,218,2,31,0,0,0,0,31,Pattern_Recognition,Reflection | Symmetry Completion,5.012111981034998,5.8875807183889
80,42082,14.352624625200743,44,244,0,0,7,27,0,0,27,Pattern_Recognition,Translation | Color Mapping | Filling Regions,4.250445719583109,5.125914456937011
