task_id,unused_removed,duplicate_rewired,uniform_scalarized,params_saved_proxy,status,reason
383,0,0,1,899,generated,ok
284,0,0,1,899,generated,ok
110,0,0,1,840,generated,ok
117,0,0,3,462,generated,ok
17,0,0,1,440,generated,ok
77,0,0,1,419,generated,ok
212,0,0,1,99,generated,ok
44,0,0,1,99,generated,ok
358,0,0,4,78,generated,ok
191,0,0,2,53,generated,ok
178,0,0,4,52,generated,ok
267,0,0,1,48,generated,ok
101,0,0,1,45,generated,ok
20,2,0,0,31,generated,ok
80,0,11,0,27,generated,ok
58,0,0,1,19,generated,ok
128,0,0,2,18,generated,ok
36,0,0,2,18,generated,ok
144,0,0,1,15,generated,ok
65,0,0,1,14,generated,ok
26,0,0,1,14,generated,ok
357,0,0,1,9,generated,ok
248,0,0,1,9,generated,ok
296,0,0,1,8,generated,ok
161,0,2,0,8,generated,ok
134,0,0,1,8,generated,ok
51,0,0,1,8,generated,ok
370,0,4,0,6,generated,ok
182,0,10,0,5,generated,ok
114,0,0,2,4,generated,ok
245,0,6,0,3,generated,ok
115,0,0,1,3,generated,ok
45,0,3,0,3,generated,ok
133,0,2,0,2,generated,ok
52,0,0,1,2,generated,ok
206,0,0,1,1,generated,ok
157,0,1,0,1,generated,ok
