task_id,family,route,signature_lane,primary_category,transformations,estimated_complexity,grid_size_changed,current_cost,current_points,strict_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,compiler_lane,compiler_priority_score,next_action,lowering_bias,risk_note
366,signature_lookup_current,crop_or_resize,,Spatial_and_Geometric,Background Separation | Cropping | Filling Regions | Object Detection | Translation,4,True,836880,11.362564029982357,836880,7.240506314801495,8.115975052155397,2.626789422844938,CROP_SHAPE_COMPILER,56.385096972491986,"mine low-cost crop artifacts, then compile bounded bbox Slice/Gather variants",dynamic bbox Slice/Gather first; reject full-grid GatherND; prefer existing low-cost crop artifacts as templates,bbox/generalization risk: require all-arc pass and cost guard
173,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Filling Regions | Object Detection | Translation,5,False,175243,12.926071138839562,175243,5.6769992059442895,6.552467943298192,3.0290529289117867,LOCAL_PREDICATE_FILL_COMPILER,46.10744957844902,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
77,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Object Detection | Shape Matching,6,False,157494,13.032857358715912,157913,5.572869872227589,6.448338609581491,2.7115265017122514,LOCAL_PREDICATE_FILL_COMPILER,45.00638393534952,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
158,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Object Detection | Translation,5,False,182776,12.883983361645681,182776,5.719086983138171,6.594555720492073,2.018484842329256,LOCAL_PREDICATE_FILL_COMPILER,44.84412411173852,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
133,signature_lookup_current,sparse_edit_or_object_completion,,Object_Based,Color Mapping | Filling Regions | Gravity | Object Detection | Shifting | Translation,6,False,193921,12.824793861384533,193923,5.778286796824304,6.653755534178206,1.1844809409152646,LOCAL_PREDICATE_FILL_COMPILER,43.94831714173433,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
71,signature_lookup_current,sparse_edit_or_object_completion,,Object_Based,Color Mapping | Filling Regions | Gravity | Object Detection | Shifting | Translation,5,False,129780,13.22640401182484,129780,5.376666332959012,6.252135070312914,2.6143384064282937,LOCAL_PREDICATE_FILL_COMPILER,43.68338055681212,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
285,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Line Extrapolation | Object Detection | Shifting | Translation,6,False,151996,13.068390516307327,151996,5.534679828476525,6.410148565830427,1.8854511799923834,LOCAL_PREDICATE_FILL_COMPILER,43.53813069026333,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
85,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Object Detection,3,False,113178,13.36328292042622,113178,5.2397874243576315,6.1152561617115335,1.9001108993437281,LOCAL_PREDICATE_FILL_COMPILER,43.290765844576995,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
396,signature_lookup_current,crop_or_resize,,Pattern_Recognition,Color Mapping | Cropping | Filling Regions | Object Detection,5,True,143389,13.126683504302262,143389,5.47638684048159,6.351855577835492,1.832374007707763,CROP_SHAPE_COMPILER,43.1087570038668,"mine low-cost crop artifacts, then compile bounded bbox Slice/Gather variants",dynamic bbox Slice/Gather first; reject full-grid GatherND; prefer existing low-cost crop artifacts as templates,bbox/generalization risk: require all-arc pass and cost guard
251,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Filling Regions | Flood Fill | Object Detection,4,False,100580,13.481291290274044,100580,5.121779054509808,5.99724779186371,2.224486853769072,LOCAL_PREDICATE_FILL_COMPILER,43.06927955712807,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
383,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Object Detection | Outlier Detection | Shifting | Symmetry Completion | Translation,7,False,127241,13.246161795004017,128140,5.363949039976864,6.239417777330766,1.7514557922482155,LOCAL_PREDICATE_FILL_COMPILER,42.31275287764912,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
54,signature_lookup_current,sparse_edit_or_object_completion,,Pattern_Recognition,Color Mapping | Filling Regions | Object Detection | Shape Matching | Shifting | Symmetry Completion | Translation,7,False,150548,13.07796275080141,150548,5.525107593982442,6.400576331336344,1.0551654772562244,LOCAL_PREDICATE_FILL_COMPILER,42.2352687291946,"build changed-cell feature profile, then synthesize small predicate tree","bbox-local 3x3/5x5 predicates, color-role counts, sparse one-hot writeback",medium: predicate tree can overfit; require feature profile and all-arc pass
