example_idx,component_idx,is_positive_component,size,bbox_h,bbox_w,bbox_area,is_rectangle,touches_grid_border,boundary_colors,ray4_all_cells,adj_any_all_cells,holes_in_bbox
0,0,False,39,8,8,64,False,True,[2],False,False,25
0,1,True,8,3,3,9,False,False,[2],True,True,1
1,0,False,8,3,3,9,False,True,[2],False,False,1
1,1,False,17,8,4,32,False,True,[2],False,False,15
1,2,False,8,4,2,8,True,True,[2],False,False,0
1,3,True,8,3,3,9,False,False,[2],True,True,1
2,0,False,48,12,7,84,False,True,[2],False,False,36
2,1,False,21,9,4,36,False,True,[2],False,False,15
2,2,True,8,3,3,9,False,False,[2],True,True,1
2,3,True,6,3,2,6,True,False,[2],True,True,0
2,4,True,8,3,3,9,False,False,[2],True,True,1
2,5,False,5,2,3,6,False,True,[2],False,True,1
3,0,False,6,3,2,6,True,True,[2],False,False,0
3,1,False,16,6,4,24,False,True,[2],False,False,8
3,2,True,6,2,3,6,True,False,[2],True,True,0
3,3,True,8,3,3,9,False,False,[2],True,True,1
3,4,False,8,2,4,8,True,True,[2],False,False,0
3,5,False,4,1,4,4,True,True,[2],False,True,0
4,0,False,97,11,11,121,False,True,[2],False,False,24
4,1,True,8,2,4,8,True,False,[2],True,True,0
5,0,False,80,10,10,100,False,True,[2],False,False,20
5,1,True,6,3,2,6,True,False,[2],True,True,0
6,0,False,105,11,11,121,False,True,[2],False,False,16
6,1,True,4,2,2,4,True,False,[2],True,True,0
7,0,False,90,12,12,144,False,True,[2],False,False,54
7,1,False,8,2,4,8,True,True,[2],False,True,0
7,2,True,6,3,2,6,True,False,[2],True,True,0
7,3,False,6,3,2,6,True,True,[2],False,True,0
8,0,False,6,3,2,6,True,True,[2],False,False,0
8,1,False,14,5,4,20,False,True,[2],False,False,6
8,2,False,10,4,3,12,False,True,[2],False,True,2
8,3,True,12,4,4,16,False,False,[2],True,True,4
8,4,True,12,4,4,16,False,False,[2],True,True,4
8,5,False,24,3,12,36,False,True,[2],False,False,12
9,0,False,4,2,2,4,True,True,[2],False,False,0
9,1,False,66,10,10,100,False,True,[2],False,False,34
9,2,True,4,2,2,4,True,False,[2],True,True,0
9,3,False,4,2,2,4,True,True,[2],False,True,0
10,0,False,87,11,11,121,False,True,[2],False,False,34
10,1,False,8,2,4,8,True,True,[2],False,False,0
10,2,True,4,2,2,4,True,False,[2],True,True,0
11,0,False,108,12,12,144,False,True,[2],False,False,36
11,1,True,12,4,4,16,False,False,[2],True,True,4
12,0,False,8,4,2,8,True,True,[2],False,True,0
12,1,False,10,6,5,30,False,True,[2],False,True,20
12,2,True,8,4,2,8,True,False,[2],True,True,0
12,3,False,8,4,2,8,True,True,[2],False,True,0
12,4,False,8,2,4,8,True,True,[2],False,False,0
13,0,False,124,12,12,144,False,True,[2],False,False,20
13,1,True,6,3,2,6,True,False,[2],True,True,0
14,0,False,87,12,12,144,False,True,[2],False,False,57
14,1,True,8,2,4,8,True,False,[2],True,True,0
14,2,False,4,2,2,4,True,True,[2],False,True,0
14,3,False,10,3,4,12,False,True,[2],False,True,2
15,0,False,57,9,9,81,False,True,[2],False,False,24
15,1,True,8,2,4,8,True,False,[2],True,True,0
16,0,False,4,2,2,4,True,True,[2],False,True,0
16,1,True,4,2,2,4,True,False,[2],True,True,0
16,2,False,24,5,8,40,False,True,[2],False,False,16
16,3,False,4,2,2,4,True,True,[2],False,True,0
17,0,False,105,11,11,121,False,True,[2],False,False,16
17,1,True,4,2,2,4,True,False,[2],True,True,0
18,0,False,44,12,12,144,False,True,[2],False,False,100
18,1,False,6,2,3,6,True,True,[2],False,False,0
18,2,True,10,4,3,12,False,False,[2],True,True,2
18,3,True,12,4,4,16,False,False,[2],True,True,4
18,4,False,15,3,7,21,False,True,[2],False,False,6
18,5,False,4,2,2,4,True,True,[2],False,True,0
19,0,False,37,12,12,144,False,True,[2],False,False,107
19,1,True,6,2,3,6,True,False,[2],True,True,0
19,2,True,12,4,4,16,False,False,[2],True,True,4
19,3,False,20,7,4,28,False,True,[2],False,False,8
19,4,True,6,3,2,6,True,False,[2],True,True,0
19,5,False,8,3,3,9,False,True,[2],False,True,1
20,0,False,85,11,11,121,False,True,[2],False,False,36
20,1,True,12,4,4,16,False,False,[2],True,True,4
21,0,False,52,11,11,121,False,True,[2],False,False,69
21,1,False,10,3,4,12,False,True,[2],False,False,2
21,2,True,12,4,4,16,False,False,[2],True,True,4
21,3,True,8,4,2,8,True,False,[2],True,True,0
22,0,False,31,12,5,60,False,True,[2],False,False,29
22,1,False,10,4,3,12,False,True,[2],False,True,2
22,2,False,4,4,1,4,True,True,[2],False,True,0
22,3,True,10,4,3,12,False,False,[2],True,True,2
22,4,True,8,2,4,8,True,False,[2],True,True,0
22,5,False,19,6,4,24,False,True,[2],False,False,5
22,6,False,8,4,2,8,True,True,[2],False,True,0
23,0,False,76,10,10,100,False,True,[2],False,False,24
23,1,True,8,4,2,8,True,False,[2],True,True,0
24,0,False,16,4,4,16,True,True,[2],False,False,0
24,1,False,6,2,3,6,True,True,[2],False,True,0
24,2,False,12,4,3,12,True,True,[2],False,False,0
24,3,True,6,2,3,6,True,False,[2],True,True,0
25,0,False,66,12,12,144,False,True,[2],False,False,78
25,1,True,8,3,3,9,False,False,[2],True,True,1
25,2,True,6,2,3,6,True,False,[2],True,True,0
25,3,True,8,2,4,8,True,False,[2],True,True,0
25,4,False,4,2,2,4,True,True,[2],False,True,0
26,0,False,85,11,11,121,False,True,[2],False,False,36
26,1,False,8,3,3,9,False,True,[2],False,True,1
26,2,True,4,2,2,4,True,False,[2],True,True,0
27,0,False,12,4,5,20,False,True,[2],False,False,8
27,1,False,8,3,3,9,False,True,[2],False,True,1
27,2,False,8,3,3,9,False,True,[2],False,True,1
27,3,True,6,2,3,6,True,False,[2],True,True,0
27,4,False,13,2,9,18,False,True,[2],False,False,5
28,0,False,75,12,12,144,False,True,[2],False,False,69
28,1,False,4,2,2,4,True,True,[2],False,True,0
28,2,False,3,3,1,3,True,True,[2],False,True,0
28,3,False,10,4,3,12,False,True,[2],False,True,2
28,4,True,10,3,4,12,False,False,[2],True,True,2
29,0,False,2,2,1,2,True,True,[2],False,True,0
29,1,False,4,2,2,4,True,True,[2],False,True,0
29,2,False,97,12,12,144,False,True,[2],False,False,47
29,3,True,6,3,2,6,True,False,[2],True,True,0
29,4,False,6,3,2,6,True,True,[2],False,False,0
30,0,False,75,11,11,121,False,True,[2],False,False,46
30,1,True,10,3,4,12,False,False,[2],True,True,2
30,2,True,6,2,3,6,True,False,[2],True,True,0
31,0,False,50,8,7,56,False,True,[2],False,False,6
31,1,True,10,4,3,12,False,False,[2],True,True,2
31,2,False,24,6,7,42,False,True,[2],False,False,18
31,3,True,8,2,4,8,True,False,[2],True,True,0
31,4,False,8,2,4,8,True,True,[2],False,True,0
32,0,False,3,1,3,3,True,True,[2],False,True,0
32,1,True,12,4,4,16,False,False,[2],True,True,4
32,2,False,8,3,3,9,False,True,[2],False,True,1
32,3,False,12,3,4,12,True,True,[2],False,False,0
32,4,True,4,2,2,4,True,False,[2],True,True,0
32,5,False,3,3,1,3,True,True,[2],False,True,0
33,0,False,99,12,12,144,False,True,[2],False,False,45
33,1,True,8,3,3,9,False,False,[2],True,True,1
33,2,False,8,4,2,8,True,True,[2],False,True,0
34,0,False,39,9,9,81,False,True,[2],False,False,42
34,1,True,8,2,4,8,True,False,[2],True,True,0
34,2,False,8,2,4,8,True,True,[2],False,False,0
35,0,False,92,12,12,144,False,True,[2],False,False,52
35,1,False,6,3,2,6,True,True,[2],False,True,0
35,2,True,8,4,2,8,True,False,[2],True,True,0
35,3,False,4,2,2,4,True,True,[2],False,True,0
36,0,False,55,12,7,84,False,True,[2],False,False,29
36,1,False,8,2,4,8,True,True,[2],False,True,0
36,2,False,12,4,4,16,False,True,[2],False,True,4
36,3,True,8,3,3,9,False,False,[2],True,True,1
36,4,True,6,2,3,6,True,False,[2],True,True,0
36,5,False,3,3,1,3,True,True,[2],False,True,0
37,0,False,94,12,12,144,False,True,[2],False,False,50
37,1,False,8,3,3,9,False,True,[2],False,True,1
37,2,True,10,4,3,12,False,False,[2],True,True,2
38,0,False,10,4,3,12,False,True,[2],False,False,2
38,1,False,33,11,11,121,False,True,[2],False,False,88
38,2,True,8,2,4,8,True,False,[2],True,True,0
38,3,False,5,5,1,5,True,True,[2],False,True,0
38,4,True,10,3,4,12,False,False,[2],True,True,2
38,5,False,4,2,2,4,True,True,[2],False,True,0
39,0,False,47,11,11,121,False,True,[2],False,False,74
39,1,False,10,4,3,12,False,True,[2],False,True,2
39,2,False,4,4,1,4,True,True,[2],False,True,0
39,3,False,10,4,3,12,False,True,[2],False,True,2
39,4,True,8,4,2,8,True,False,[2],True,True,0
40,0,False,83,12,12,144,False,True,[2],False,False,61
40,1,True,4,2,2,4,True,False,[2],True,True,0
40,2,False,10,4,3,12,False,True,[2],False,True,2
40,3,True,8,3,3,9,False,False,[2],True,True,1
41,0,False,48,11,11,121,False,True,[2],False,False,73
41,1,True,8,4,2,8,True,False,[2],True,True,0
41,2,True,6,3,2,6,True,False,[2],True,True,0
41,3,True,8,3,3,9,False,False,[2],True,True,1
41,4,False,8,4,2,8,True,True,[2],False,False,0
42,0,False,56,11,11,121,False,True,[2],False,False,65
42,1,True,8,3,3,9,False,False,[2],True,True,1
42,2,True,12,4,4,16,False,False,[2],True,True,4
42,3,False,8,2,4,8,True,True,[2],False,False,0
43,0,False,4,2,2,4,True,True,[2],False,False,0
43,1,False,99,12,12,144,False,True,[2],False,False,45
43,2,True,6,2,3,6,True,False,[2],True,True,0
43,3,False,6,2,3,6,True,True,[2],False,True,0
44,0,False,72,12,12,144,False,True,[2],False,False,72
44,1,True,4,2,2,4,True,False,[2],True,True,0
44,2,False,12,4,4,16,False,True,[2],False,True,4
44,3,True,10,3,4,12,False,False,[2],True,True,2
45,0,False,101,11,11,121,False,True,[2],False,False,20
45,1,True,6,3,2,6,True,False,[2],True,True,0
46,0,False,57,9,9,81,False,True,[2],False,False,24
46,1,True,8,2,4,8,True,False,[2],True,True,0
47,0,False,76,10,10,100,False,True,[2],False,False,24
47,1,True,8,2,4,8,True,False,[2],True,True,0
48,0,False,25,10,3,30,False,True,[2],False,False,5
48,1,False,8,4,2,8,True,True,[2],False,True,0
48,2,False,26,7,4,28,False,True,[2],False,False,2
48,3,True,6,3,2,6,True,False,[2],True,True,0
48,4,False,4,2,2,4,True,True,[2],False,True,0
49,0,False,53,11,11,121,False,True,[2],False,False,68
49,1,False,4,2,2,4,True,True,[2],False,True,0
49,2,False,8,2,4,8,True,True,[2],False,True,0
49,3,True,6,3,2,6,True,False,[2],True,True,0
49,4,False,6,3,2,6,True,True,[2],False,True,0
50,0,False,114,12,12,144,False,True,[2],False,False,30
50,1,True,10,4,3,12,False,False,[2],True,True,2
51,0,False,61,11,11,121,False,True,[2],False,False,60
51,1,True,10,4,3,12,False,False,[2],True,True,2
51,2,True,8,4,2,8,True,False,[2],True,True,0
51,3,False,4,2,2,4,True,True,[2],False,True,0
52,0,False,31,8,8,64,False,True,[2],False,False,33
52,1,False,6,3,2,6,True,True,[2],False,False,0
52,2,True,6,2,3,6,True,False,[2],True,True,0
53,0,False,51,6,11,66,False,True,[2],False,False,15
53,1,False,4,2,2,4,True,True,[2],False,True,0
53,2,True,8,3,3,9,False,False,[2],True,True,1
53,3,False,9,5,5,25,False,True,[2],False,False,16
53,4,False,12,4,4,16,False,True,[2],False,True,4
54,0,False,75,12,12,144,False,True,[2],False,False,69
54,1,True,8,2,4,8,True,False,[2],True,True,0
54,2,True,8,2,4,8,True,False,[2],True,True,0
54,3,True,8,3,3,9,False,False,[2],True,True,1
55,0,False,77,11,11,121,False,True,[2],False,False,44
55,1,False,10,3,4,12,False,True,[2],False,True,2
55,2,True,8,4,2,8,True,False,[2],True,True,0
56,0,False,80,12,12,144,False,True,[2],False,False,64
56,1,False,10,4,3,12,False,True,[2],False,True,2
56,2,False,10,4,3,12,False,True,[2],False,True,2
56,3,True,6,2,3,6,True,False,[2],True,True,0
57,0,False,61,9,9,81,False,True,[2],False,False,20
57,1,True,6,3,2,6,True,False,[2],True,True,0
58,0,False,10,4,3,12,False,True,[2],False,True,2
58,1,False,9,2,7,14,False,True,[2],False,False,5
58,2,True,8,3,3,9,False,False,[2],True,True,1
58,3,True,8,4,2,8,True,False,[2],True,True,0
58,4,False,44,7,8,56,False,True,[2],False,False,12
58,5,False,8,2,4,8,True,True,[2],False,True,0
58,6,False,6,3,2,6,True,True,[2],False,True,0
59,0,False,51,9,9,81,False,True,[2],False,False,30
59,1,True,10,4,3,12,False,False,[2],True,True,2
60,0,False,4,2,2,4,True,True,[2],False,True,0
60,1,False,63,11,11,121,False,True,[2],False,False,58
60,2,False,6,3,2,6,True,True,[2],False,False,0
