idx,split,r,c,in_color,out_color,is_zero,dr,dc,h,w,row_from_bottom,col_from_right,row_parity,col_parity,rank,u,d,l,rr,ud_pair,lr_pair,nbr4
0,train,3,6,1,0,1,1,3,9,7,7,3,1,1,1,0,1,0,1,0:1,0:1,0:1:0:1
0,train,3,7,1,6,0,1,4,9,7,7,2,1,0,1,6,1,1,1,6:1,1:1,6:1:1:1
0,train,3,8,1,6,0,1,5,9,7,7,1,1,1,1,6,1,1,1,6:1,1:1,6:1:1:1
0,train,3,9,1,0,1,1,6,9,7,7,0,1,0,1,0,1,1,0,0:1,1:0,0:1:1:0
0,train,4,6,1,6,0,2,3,9,7,6,3,0,1,1,1,1,6,1,1:1,6:1,1:1:6:1
0,train,4,7,1,6,0,2,4,9,7,6,2,0,0,1,1,1,1,1,1:1,1:1,1:1:1:1
0,train,4,8,1,0,1,2,5,9,7,6,1,0,1,1,1,1,1,1,1:1,1:1,1:1:1:1
0,train,4,9,1,0,1,2,6,9,7,6,0,0,0,1,1,1,1,0,1:1,1:0,1:1:1:0
0,train,5,6,1,6,0,3,3,9,7,5,3,1,1,1,1,6,6,1,1:6,6:1,1:6:6:1
0,train,5,7,1,0,1,3,4,9,7,5,2,1,0,1,1,0,1,1,1:0,1:1,1:0:1:1
0,train,5,8,1,0,1,3,5,9,7,5,1,1,1,1,1,0,1,1,1:0,1:1,1:0:1:1
0,train,5,9,1,0,1,3,6,9,7,5,0,1,0,1,1,0,1,0,1:0,1:0,1:0:1:0
1,train,4,0,3,0,1,1,0,8,9,6,8,1,0,1,0,3,-1,3,0:3,-1:3,0:3:-1:3
1,train,4,1,3,0,1,1,1,8,9,6,7,1,1,1,0,3,3,3,0:3,3:3,0:3:3:3
1,train,4,2,3,2,0,1,2,8,9,6,6,1,0,1,0,3,3,3,0:3,3:3,0:3:3:3
1,train,4,3,3,2,0,1,3,8,9,6,5,1,1,1,2,3,3,2,2:3,3:2,2:3:3:2
1,train,5,0,3,0,1,2,0,8,9,5,8,0,0,1,3,3,-1,3,3:3,-1:3,3:3:-1:3
1,train,5,1,3,2,0,2,1,8,9,5,7,0,1,1,3,3,3,3,3:3,3:3,3:3:3:3
1,train,5,2,3,2,0,2,2,8,9,5,6,0,0,1,3,3,3,3,3:3,3:3,3:3:3:3
1,train,5,3,3,2,0,2,3,8,9,5,5,0,1,1,3,3,3,2,3:3,3:2,3:3:3:2
1,train,6,0,3,0,1,3,0,8,9,4,8,1,0,1,3,3,-1,3,3:3,-1:3,3:3:-1:3
1,train,6,1,3,0,1,3,1,8,9,4,7,1,1,1,3,3,3,3,3:3,3:3,3:3:3:3
1,train,6,2,3,2,0,3,2,8,9,4,6,1,0,1,3,3,3,3,3:3,3:3,3:3:3:3
1,train,6,3,3,0,1,3,3,8,9,4,5,1,1,1,3,3,3,2,3:3,3:2,3:3:3:2
1,train,7,0,3,0,1,4,0,8,9,3,8,0,0,1,3,0,-1,3,3:0,-1:3,3:0:-1:3
1,train,7,1,3,0,1,4,1,8,9,3,7,0,1,1,3,0,3,3,3:0,3:3,3:0:3:3
1,train,7,2,3,2,0,4,2,8,9,3,6,0,0,1,3,2,3,3,3:2,3:3,3:2:3:3
1,train,7,3,3,0,1,4,3,8,9,3,5,0,1,1,3,2,3,0,3:2,3:0,3:2:3:0
2,test,6,4,8,0,1,1,0,8,10,6,9,1,0,1,0,8,0,8,0:8,0:8,0:8:0:8
2,test,6,5,8,0,1,1,1,8,10,6,8,1,1,1,0,8,8,8,0:8,8:8,0:8:8:8
2,test,6,6,8,5,0,1,2,8,10,6,7,1,0,1,0,8,8,8,0:8,8:8,0:8:8:8
2,test,6,7,8,0,1,1,3,8,10,6,6,1,1,1,5,8,8,5,5:8,8:5,5:8:8:5
2,test,7,4,8,0,1,2,0,8,10,5,9,0,0,1,8,8,0,8,8:8,0:8,8:8:0:8
2,test,7,5,8,5,0,2,1,8,10,5,8,0,1,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,7,6,8,5,0,2,2,8,10,5,7,0,0,1,8,8,8,8,8:8,8:8,8:8:8:8
2,test,7,7,8,0,1,2,3,8,10,5,6,0,1,1,8,8,8,0,8:8,8:0,8:8:8:0
