idx,split,input_shape,output_shape,exact_crop_matches,exact_crop_positions,nonzero_bbox_match,color_bbox_matches,component_bbox_matches,component_bbox_shapes,crop_with_color_remap_matches,best_signal
0,train,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(15, 17)"": 1, ""(1, 1)"": 7}",0,no_crop_signal
1,train,"(11, 20)","(11, 10)",0,[],0,[],0,"{""(11, 20)"": 1}",0,no_crop_signal
2,train,"(10, 16)","(10, 8)",0,[],0,[],0,"{""(10, 16)"": 1}",0,no_crop_signal
3,test,"(24, 12)","(12, 12)",0,[],0,[],0,"{""(24, 12)"": 1}",0,no_crop_signal
4,arc-gen,"(14, 24)","(14, 12)",0,[],0,[],0,"{""(14, 24)"": 1}",0,no_crop_signal
5,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
6,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(14, 11)"": 1, ""(5, 2)"": 1}",0,no_crop_signal
7,arc-gen,"(24, 11)","(12, 11)",0,[],0,[],0,"{""(2, 1)"": 1, ""(1, 1)"": 4, ""(12, 11)"": 1}",0,no_crop_signal
8,arc-gen,"(15, 32)","(15, 16)",0,[],0,[],0,"{""(15, 32)"": 1}",0,no_crop_signal
9,arc-gen,"(12, 26)","(12, 13)",0,[],0,[],0,"{""(12, 26)"": 1}",0,no_crop_signal
10,arc-gen,"(15, 28)","(15, 14)",0,[],0,[],0,"{""(15, 28)"": 1}",0,no_crop_signal
11,arc-gen,"(20, 12)","(10, 12)",0,[],0,[],0,"{""(20, 12)"": 1}",0,no_crop_signal
12,arc-gen,"(13, 24)","(13, 12)",0,[],0,[],0,"{""(13, 24)"": 1}",0,no_crop_signal
13,arc-gen,"(20, 10)","(10, 10)",0,[],0,[],0,"{""(20, 10)"": 1}",0,no_crop_signal
14,arc-gen,"(24, 11)","(12, 11)",0,[],0,[],0,"{""(12, 11)"": 1, ""(7, 4)"": 1, ""(5, 2)"": 1, ""(2, 2)"": 1}",0,no_crop_signal
15,arc-gen,"(20, 12)","(10, 12)",0,[],0,[],0,"{""(20, 12)"": 1}",0,no_crop_signal
16,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(6, 5)"": 1, ""(4, 4)"": 1, ""(15, 14)"": 1}",0,no_crop_signal
17,arc-gen,"(20, 11)","(10, 11)",0,[],0,[],0,"{""(20, 11)"": 1}",0,no_crop_signal
18,arc-gen,"(15, 34)","(15, 17)",0,[],0,[],0,"{""(15, 34)"": 1}",0,no_crop_signal
19,arc-gen,"(13, 30)","(13, 15)",0,[],0,[],0,"{""(13, 30)"": 1}",0,no_crop_signal
20,arc-gen,"(10, 22)","(10, 11)",0,[],0,[],0,"{""(10, 22)"": 1}",0,no_crop_signal
21,arc-gen,"(24, 14)","(12, 14)",0,[],0,[],0,"{""(24, 14)"": 1}",0,no_crop_signal
22,arc-gen,"(26, 15)","(13, 15)",0,[],0,[],0,"{""(26, 15)"": 1}",0,no_crop_signal
23,arc-gen,"(10, 20)","(10, 10)",0,[],0,[],0,"{""(10, 20)"": 1}",0,no_crop_signal
24,arc-gen,"(11, 24)","(11, 12)",0,[],0,[],0,"{""(11, 12)"": 1, ""(1, 1)"": 1}",0,no_crop_signal
25,arc-gen,"(28, 15)","(14, 15)",0,[],0,[],0,"{""(28, 15)"": 1}",0,no_crop_signal
26,arc-gen,"(15, 28)","(15, 14)",0,[],0,[],0,"{""(15, 28)"": 1}",0,no_crop_signal
27,arc-gen,"(24, 13)","(12, 13)",0,[],0,[],0,"{""(24, 13)"": 1}",0,no_crop_signal
28,arc-gen,"(28, 14)","(14, 14)",0,[],0,[],0,"{""(28, 14)"": 1}",0,no_crop_signal
29,arc-gen,"(14, 28)","(14, 14)",0,[],0,[],0,"{""(14, 28)"": 1}",0,no_crop_signal
30,arc-gen,"(22, 12)","(11, 12)",0,[],0,[],0,"{""(22, 12)"": 1}",0,no_crop_signal
31,arc-gen,"(30, 15)","(15, 15)",0,[],0,[],0,"{""(30, 15)"": 1}",0,no_crop_signal
32,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 14)"": 1, ""(1, 1)"": 4, ""(1, 2)"": 1}",0,no_crop_signal
33,arc-gen,"(22, 13)","(11, 13)",0,[],0,[],0,"{""(22, 13)"": 1}",0,no_crop_signal
34,arc-gen,"(22, 11)","(11, 11)",0,[],0,[],0,"{""(22, 11)"": 1}",0,no_crop_signal
35,arc-gen,"(15, 32)","(15, 16)",0,[],0,[],0,"{""(15, 16)"": 1, ""(1, 1)"": 3}",0,no_crop_signal
36,arc-gen,"(11, 18)","(11, 9)",0,[],0,[],0,"{""(11, 18)"": 1}",0,no_crop_signal
37,arc-gen,"(26, 11)","(13, 11)",0,[],0,[],0,"{""(26, 11)"": 1}",0,no_crop_signal
38,arc-gen,"(28, 14)","(14, 14)",0,[],0,[],0,"{""(28, 14)"": 1}",0,no_crop_signal
39,arc-gen,"(12, 24)","(12, 12)",0,[],0,[],0,"{""(12, 24)"": 1}",0,no_crop_signal
40,arc-gen,"(12, 28)","(12, 14)",0,[],0,[],0,"{""(12, 28)"": 1}",0,no_crop_signal
41,arc-gen,"(22, 10)","(11, 10)",0,[],0,[],0,"{""(22, 10)"": 1}",0,no_crop_signal
42,arc-gen,"(15, 30)","(15, 15)",0,[],0,[],0,"{""(15, 30)"": 1}",0,no_crop_signal
43,arc-gen,"(30, 17)","(15, 17)",0,[],0,[],0,"{""(30, 17)"": 1}",0,no_crop_signal
44,arc-gen,"(15, 26)","(15, 13)",0,[],0,[],0,"{""(15, 26)"": 1}",0,no_crop_signal
45,arc-gen,"(10, 24)","(10, 12)",0,[],0,[],0,"{""(10, 12)"": 1, ""(1, 1)"": 3}",0,no_crop_signal
