idx,split,input_shape,output_shape,source_objects,used_objects,distractor_objects,marker_cells,max_patch_cells,unique_templates
0,train,"(30, 17)","(15, 17)",3,3,0,7,20,3
1,train,"(11, 20)","(11, 10)",2,2,0,4,12,2
2,train,"(10, 16)","(10, 8)",2,2,0,3,12,2
3,test,"(24, 12)","(12, 12)",3,3,0,5,15,3
4,arc-gen,"(14, 24)","(14, 12)",3,3,0,3,18,3
5,arc-gen,"(20, 10)","(10, 10)",2,1,1,1,12,2
6,arc-gen,"(20, 11)","(10, 11)",2,2,0,3,16,2
7,arc-gen,"(24, 11)","(12, 11)",3,3,0,6,12,3
8,arc-gen,"(15, 32)","(15, 16)",3,3,0,6,14,3
9,arc-gen,"(12, 26)","(12, 13)",3,2,1,4,21,3
10,arc-gen,"(15, 28)","(15, 14)",3,2,1,3,18,3
11,arc-gen,"(20, 12)","(10, 12)",2,1,1,1,42,2
12,arc-gen,"(13, 24)","(13, 12)",3,2,1,3,12,3
13,arc-gen,"(20, 10)","(10, 10)",2,1,1,1,12,2
14,arc-gen,"(24, 11)","(12, 11)",3,2,1,6,28,3
15,arc-gen,"(20, 12)","(10, 12)",2,2,0,3,12,2
16,arc-gen,"(24, 14)","(12, 14)",3,1,2,1,30,3
17,arc-gen,"(20, 11)","(10, 11)",2,2,0,3,16,2
18,arc-gen,"(15, 34)","(15, 17)",3,3,0,3,25,3
19,arc-gen,"(13, 30)","(13, 15)",3,2,1,4,36,3
20,arc-gen,"(10, 22)","(10, 11)",2,1,1,1,12,2
21,arc-gen,"(24, 14)","(12, 14)",3,1,2,1,30,3
22,arc-gen,"(26, 15)","(13, 15)",3,2,1,3,18,3
23,arc-gen,"(10, 20)","(10, 10)",2,1,1,1,10,2
24,arc-gen,"(11, 24)","(11, 12)",2,1,1,1,18,2
25,arc-gen,"(28, 15)","(14, 15)",3,3,0,6,12,3
26,arc-gen,"(15, 28)","(15, 14)",3,2,1,3,20,3
27,arc-gen,"(24, 13)","(12, 13)",3,1,2,1,21,3
28,arc-gen,"(28, 14)","(14, 14)",3,3,0,4,42,3
29,arc-gen,"(14, 28)","(14, 14)",3,1,2,1,12,3
30,arc-gen,"(22, 12)","(11, 12)",2,1,1,1,12,2
31,arc-gen,"(30, 15)","(15, 15)",3,3,0,4,12,3
32,arc-gen,"(12, 28)","(12, 14)",3,3,0,6,18,3
33,arc-gen,"(22, 13)","(11, 13)",2,1,1,1,24,2
34,arc-gen,"(22, 11)","(11, 11)",2,2,0,3,28,2
35,arc-gen,"(15, 32)","(15, 16)",3,2,1,3,18,3
36,arc-gen,"(11, 18)","(11, 9)",2,1,1,1,35,2
37,arc-gen,"(26, 11)","(13, 11)",3,2,1,4,28,3
38,arc-gen,"(28, 14)","(14, 14)",3,3,0,6,10,3
39,arc-gen,"(12, 24)","(12, 12)",3,2,1,3,14,3
40,arc-gen,"(12, 28)","(12, 14)",3,3,0,6,18,3
41,arc-gen,"(22, 10)","(11, 10)",2,1,1,1,12,2
42,arc-gen,"(15, 30)","(15, 15)",3,2,1,3,20,3
43,arc-gen,"(30, 17)","(15, 17)",3,2,1,6,36,3
44,arc-gen,"(15, 26)","(15, 13)",3,1,2,1,25,3
45,arc-gen,"(10, 24)","(10, 12)",2,2,0,3,14,2
46,arc-gen,"(15, 26)","(15, 13)",3,2,1,4,42,3
47,arc-gen,"(24, 12)","(12, 12)",3,3,0,6,15,3
48,arc-gen,"(26, 11)","(13, 11)",3,1,2,3,12,3
49,arc-gen,"(10, 18)","(10, 9)",2,2,0,3,16,2
50,arc-gen,"(12, 22)","(12, 11)",3,2,1,3,6,3
51,arc-gen,"(22, 13)","(11, 13)",2,2,0,1,16,2
52,arc-gen,"(15, 30)","(15, 15)",3,1,2,1,15,3
53,arc-gen,"(14, 28)","(14, 14)",3,2,1,4,15,3
54,arc-gen,"(22, 13)","(11, 13)",2,2,0,3,8,2
55,arc-gen,"(12, 24)","(12, 12)",3,3,0,6,9,3
