template_id,count,patch_shape,patch_cells,marker_color_count,marker_signature,estimated_kernel_params,lowering_role
T000,4,2x2,4,2,"{""markers"": [[3, [[0, 0], [1, 0], [1, 1]]], [4, [[0, 0]]]], ""nz"": [[0, 0, 3], [0, 1, 4], [1, 0, 3], [1, 1, 3]], ""shape"": [2, 2]}",4,common_used_template
T001,2,4x5,20,2,"{""markers"": [[5, [[0, 0], [0, 1], [0, 2], [0, 3], [0, 4], [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 1], [3, 2], [3, 3], [3, 4]]], [8, [[0, 0]]]], ""nz"": [[0, 0, 5], [0, 1, 5], [0, 2, 5], [0, 3, 5], [",20,common_used_template
T002,2,2x2,4,2,"{""markers"": [[5, [[0, 0], [1, 0]]], [8, [[0, 0], [1, 0]]]], ""nz"": [[0, 0, 8], [0, 1, 5], [1, 0, 8], [1, 1, 5]], ""shape"": [2, 2]}",4,common_used_template
T003,2,3x2,6,2,"{""markers"": [[5, [[0, 0], [0, 1], [1, 0], [1, 1]]], [6, [[0, 0], [0, 1]]]], ""nz"": [[0, 0, 6], [0, 1, 6], [1, 0, 5], [1, 1, 5], [2, 0, 5], [2, 1, 5]], ""shape"": [3, 2]}",6,distractor_or_rare
T004,2,5x2,10,2,"{""markers"": [[1, [[0, 0]]], [3, [[0, 0], [0, 1], [1, 0], [1, 1], [2, 0], [2, 1], [3, 0], [3, 1], [4, 1]]]], ""nz"": [[0, 0, 3], [0, 1, 3], [1, 0, 3], [1, 1, 3], [2, 0, 3], [2, 1, 3], [3, 0, 3], [3, 1, 3], [4, 0, 1], [4, 1, 3]], ""shape"": [5, 2",10,common_used_template
T005,2,4x2,8,2,"{""markers"": [[1, [[0, 0], [1, 1]]], [2, [[0, 1], [1, 0], [2, 0], [2, 1], [3, 0], [3, 1]]]], ""nz"": [[0, 0, 1], [0, 1, 2], [1, 0, 2], [1, 1, 1], [2, 0, 2], [2, 1, 2], [3, 0, 2], [3, 1, 2]], ""shape"": [4, 2]}",8,distractor_or_rare
T006,1,2x7,14,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [0, 4], [0, 5], [0, 6], [1, 0], [1, 2], [1, 3], [1, 4], [1, 6]]], [2, [[0, 2], [1, 0], [1, 4]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 1], [0, 3, 2], [0, 4, 1], [0, 5, 1], [0, 6, 1], [1, 0, 1], [1, 1",14,common_used_template
T007,1,5x4,20,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 3], [1, 0], [1, 2], [1, 3], [2, 0], [2, 1], [2, 2], [2, 3], [3, 0], [3, 2], [3, 3], [4, 0], [4, 1], [4, 3]]], [3, [[0, 1], [1, 0], [3, 0], [4, 1]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 3], [0, 3, 1], [",20,common_used_template
T008,1,3x5,15,2,"{""markers"": [[1, [[0, 0], [0, 1], [0, 2], [0, 4], [1, 0], [1, 2], [1, 4], [2, 0], [2, 2], [2, 3], [2, 4]]], [2, [[0, 2], [1, 0], [1, 2], [2, 0]]]], ""nz"": [[0, 0, 1], [0, 1, 1], [0, 2, 1], [0, 3, 2], [0, 4, 1], [1, 0, 1], [1, 1, 2], [1, 2, 1",15,common_used_template
T009,1,4x3,12,2,"{""markers"": [[3, [[0, 0], [0, 1], [0, 2], [1, 1], [2, 0], [2, 1], [2, 2], [3, 0], [3, 1], [3, 2]]], [8, [[0, 0], [0, 2]]]], ""nz"": [[0, 0, 3], [0, 1, 3], [0, 2, 3], [1, 0, 8], [1, 1, 3], [1, 2, 8], [2, 0, 3], [2, 1, 3], [2, 2, 3], [3, 0, 3],",12,common_used_template
