idx,split,object_count,output_shape,matching_object_ranks,object_rows
0,train,3,"(5, 4)",[0],"[{""bbox"": [0, 6, 5, 10], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 1, ""count2"": 3, ""count8"": 16, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 1, 5, 5], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 1, ""count2"": 1, ""count8"": 14, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 3, 10, 9], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 2, ""count2"": 2, ""count8"": 20, ""colors"": [1, 2, 8], ""rank"": 2}]"
1,train,3,"(3, 3)",[2],"[{""bbox"": [0, 0, 5, 4], ""h"": 5, ""w"": 4, ""area"": 20, ""nz"": 20, ""count1"": 11, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 5, 8, 10], ""h"": 7, ""w"": 5, ""area"": 35, ""nz"": 35, ""count1"": 11, ""count2"": 4, ""count8"": 20, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 1, 10, 4], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 5, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 2}]"
2,train,2,"(6, 4)",[0],"[{""bbox"": [0, 0, 6, 4], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 4, ""count2"": 3, ""count8"": 17, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 6, 9, 10], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 5, ""count2"": 2, ""count8"": 17, ""colors"": [1, 2, 8], ""rank"": 1}]"
3,test,3,"(6, 3)",[1],"[{""bbox"": [0, 0, 4, 4], ""h"": 4, ""w"": 4, ""area"": 16, ""nz"": 16, ""count1"": 3, ""count2"": 2, ""count8"": 11, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [1, 6, 7, 9], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 4, ""count2"": 4, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [6, 1, 9, 5], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 3, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 2}]"
4,arc-gen,2,"(5, 5)",[0],"[{""bbox"": [4, 5, 9, 10], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 15, ""count2"": 2, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 0, 9, 4], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 4, ""count2"": 1, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}]"
5,arc-gen,2,"(3, 6)",[0],"[{""bbox"": [2, 0, 5, 6], ""h"": 3, ""w"": 6, ""area"": 18, ""nz"": 18, ""count1"": 3, ""count2"": 3, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 4, 10, 10], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 6, ""count2"": 1, ""count8"": 17, ""colors"": [1, 2, 8], ""rank"": 1}]"
6,arc-gen,2,"(5, 3)",[1],"[{""bbox"": [0, 2, 3, 5], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 1, 9, 4], ""h"": 5, ""w"": 3, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 1}]"
7,arc-gen,3,"(3, 5)",[1],"[{""bbox"": [0, 0, 3, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 3, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 5, 6, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 6, ""count2"": 3, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [4, 0, 10, 3], ""h"": 6, ""w"": 3, ""area"": 18, ""nz"": 18, ""count1"": 6, ""count2"": 2, ""count8"": 10, ""colors"": [1, 2, 8], ""rank"": 2}]"
8,arc-gen,3,"(4, 6)",[0],"[{""bbox"": [0, 3, 4, 9], ""h"": 4, ""w"": 6, ""area"": 24, ""nz"": 24, ""count1"": 9, ""count2"": 3, ""count8"": 12, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [6, 4, 9, 7], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 2, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 0, 10, 3], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 4, ""count2"": 1, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 2}]"
9,arc-gen,3,"(3, 3)",[0],"[{""bbox"": [0, 7, 3, 10], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 2, ""count2"": 3, ""count8"": 4, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [7, 0, 10, 4], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 2, ""count2"": 1, ""count8"": 9, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [7, 6, 10, 9], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 1, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
10,arc-gen,3,"(4, 3)",[0],"[{""bbox"": [1, 1, 5, 4], ""h"": 4, ""w"": 3, ""area"": 12, ""nz"": 12, ""count1"": 6, ""count2"": 4, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 5, 6, 8], ""h"": 3, ""w"": 3, ""area"": 9, ""nz"": 9, ""count1"": 0, ""count2"": 1, ""count8"": 8, ""colors"": [2, 8], ""rank"": 1}, {""bbox"": [7, 5, 10, 10], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 5, ""count2"": 3, ""count8"": 7, ""colors"": [1, 2, 8], ""rank"": 2}]"
11,arc-gen,2,"(3, 5)",[0],"[{""bbox"": [0, 4, 3, 9], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 10, ""count2"": 3, ""count8"": 2, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 4, 10, 9], ""h"": 6, ""w"": 5, ""area"": 30, ""nz"": 30, ""count1"": 14, ""count2"": 1, ""count8"": 15, ""colors"": [1, 2, 8], ""rank"": 1}]"
12,arc-gen,3,"(3, 4)",[0],"[{""bbox"": [1, 6, 4, 10], ""h"": 3, ""w"": 4, ""area"": 12, ""nz"": 12, ""count1"": 5, ""count2"": 4, ""count8"": 3, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [3, 0, 9, 4], ""h"": 6, ""w"": 4, ""area"": 24, ""nz"": 24, ""count1"": 15, ""count2"": 1, ""count8"": 8, ""colors"": [1, 2, 8], ""rank"": 1}, {""bbox"": [5, 5, 10, 10], ""h"": 5, ""w"": 5, ""area"": 25, ""nz"": 25, ""count1"": 17, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 2}]"
13,arc-gen,2,"(3, 5)",[1],"[{""bbox"": [0, 4, 3, 9], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 9, ""count2"": 1, ""count8"": 5, ""colors"": [1, 2, 8], ""rank"": 0}, {""bbox"": [4, 1, 7, 6], ""h"": 3, ""w"": 5, ""area"": 15, ""nz"": 15, ""count1"": 7, ""count2"": 2, ""count8"": 6, ""colors"": [1, 2, 8], ""rank"": 1}]"
