idx,split,object_count,selected_rank,selected_bbox,selected_shape,max_count2,count2_hist,all_objects_dense_rectangles,input_shape,output_shape
0,train,3,0,"[0, 6, 5, 10]",5x4,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 4)"
1,train,3,2,"[7, 1, 10, 4]",3x3,5,"{""1"": 1, ""4"": 1, ""5"": 1}",1,"(10, 10)","(3, 3)"
2,train,2,0,"[0, 0, 6, 4]",6x4,3,"{""3"": 1, ""2"": 1}",1,"(10, 10)","(6, 4)"
3,test,3,1,"[1, 6, 7, 9]",6x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(6, 3)"
4,arc-gen,2,0,"[4, 5, 9, 10]",5x5,2,"{""2"": 1, ""1"": 1}",1,"(10, 10)","(5, 5)"
5,arc-gen,2,0,"[2, 0, 5, 6]",3x6,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
6,arc-gen,2,1,"[4, 1, 9, 4]",5x3,3,"{""2"": 1, ""3"": 1}",1,"(10, 10)","(5, 3)"
7,arc-gen,3,1,"[3, 5, 6, 10]",3x5,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
8,arc-gen,3,0,"[0, 3, 4, 9]",4x6,3,"{""3"": 1, ""2"": 1, ""1"": 1}",1,"(10, 10)","(4, 6)"
9,arc-gen,3,0,"[0, 7, 3, 10]",3x3,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
10,arc-gen,3,0,"[1, 1, 5, 4]",4x3,4,"{""4"": 1, ""1"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
11,arc-gen,2,0,"[0, 4, 3, 9]",3x5,3,"{""3"": 1, ""1"": 1}",1,"(10, 10)","(3, 5)"
12,arc-gen,3,0,"[1, 6, 4, 10]",3x4,4,"{""4"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
13,arc-gen,2,1,"[4, 1, 7, 6]",3x5,2,"{""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
14,arc-gen,3,2,"[6, 0, 9, 3]",3x3,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
15,arc-gen,2,1,"[3, 1, 7, 5]",4x4,4,"{""3"": 1, ""4"": 1}",1,"(10, 10)","(4, 4)"
16,arc-gen,3,0,"[0, 6, 3, 10]",3x4,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(3, 4)"
17,arc-gen,2,1,"[4, 0, 9, 5]",5x5,4,"{""2"": 1, ""4"": 1}",1,"(10, 10)","(5, 5)"
18,arc-gen,3,2,"[5, 0, 9, 3]",4x3,3,"{""1"": 1, ""2"": 1, ""3"": 1}",1,"(10, 10)","(4, 3)"
19,arc-gen,3,1,"[1, 6, 4, 9]",3x3,4,"{""1"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
20,arc-gen,2,0,"[1, 5, 5, 9]",4x4,4,"{""4"": 1, ""2"": 1}",1,"(10, 10)","(4, 4)"
21,arc-gen,3,2,"[7, 1, 10, 4]",3x3,4,"{""3"": 1, ""2"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
22,arc-gen,3,0,"[0, 0, 3, 6]",3x6,4,"{""4"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 6)"
23,arc-gen,2,1,"[4, 0, 9, 5]",5x5,3,"{""1"": 1, ""3"": 1}",1,"(10, 10)","(5, 5)"
24,arc-gen,3,2,"[5, 6, 8, 9]",3x3,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 3)"
25,arc-gen,3,1,"[1, 5, 4, 10]",3x5,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 5)"
26,arc-gen,3,0,"[0, 5, 5, 10]",5x5,3,"{""3"": 1, ""1"": 1, ""2"": 1}",1,"(10, 10)","(5, 5)"
27,arc-gen,3,1,"[0, 7, 3, 10]",3x3,3,"{""1"": 1, ""3"": 1, ""2"": 1}",1,"(10, 10)","(3, 3)"
28,arc-gen,3,0,"[0, 2, 3, 8]",3x6,4,"{""4"": 1, ""3"": 1, ""1"": 1}",1,"(10, 10)","(3, 6)"
29,arc-gen,3,2,"[6, 1, 9, 5]",3x4,4,"{""3"": 1, ""1"": 1, ""4"": 1}",1,"(10, 10)","(3, 4)"
30,arc-gen,3,1,"[1, 5, 4, 8]",3x3,4,"{""2"": 1, ""4"": 1, ""3"": 1}",1,"(10, 10)","(3, 3)"
