task_id,cost,route,source,node_count,initializer_count,initializer_params,op_sequence,op_counts,output_shapes,value_shape_count,max_intermediate_rank,archetype,compiler_family,compiler_lesson,initializer_detail,sha256
179,0,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,0,0,Transpose,"{""Transpose"": 1}",1x10x30x30,1,4,one_node_transpose,free_geom,Prefer one-node Transpose only when padded semantics match exactly.,,cc0ecf9c8ad29b24eff1e0243162813ab3c74f5736044707c4e9526a0235b5a0
241,0,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,0,0,Transpose,"{""Transpose"": 1}",1x10x30x30,1,4,one_node_transpose,free_geom,Prefer one-node Transpose only when padded semantics match exactly.,,cc0ecf9c8ad29b24eff1e0243162813ab3c74f5736044707c4e9526a0235b5a0
16,10,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,10,Gather,"{""Gather"": 1}",1x10x30x30,1,4,channel_gather_colormap,free_colormap,Use Gather(axis=1) for injective one-hot channel recolor.,safe_name_0:10:int64:10,0906e52eb5772517bf371fcea4963ef920f1c6dae8800a6c8ebd61621b0f232a
276,10,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,10,Gather,"{""Gather"": 1}",1x10x30x30,1,4,channel_gather_colormap,free_colormap,Use Gather(axis=1) for injective one-hot channel recolor.,safe_name_0:10:int64:10,90ceb5dae9a235b3a9413a33fb5a878f1ee8191ed3c7a935ce9ac808abb0997b
309,10,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,10,Gather,"{""Gather"": 1}",1x10x30x30,1,4,channel_gather_colormap,free_colormap,Use Gather(axis=1) for injective one-hot channel recolor.,safe_name_0:10:int64:10,623ad60b2f8295da75878fdd7e721bf573ab097417d084d68fb24df0a914f353
337,10,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,10,Gather,"{""Gather"": 1}",1x10x30x30,1,4,channel_gather_colormap,free_colormap,Use Gather(axis=1) for injective one-hot channel recolor.,safe_name_0:10:int64:10,c2e453da70edf6710797a6489cb0d9f23b1fbc151c108e8a061e197955e16aac
53,30,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,75d840df9317bb0b3af9bbb578c18ffa62ede8d87214bc168b822a524dc30c0c
113,30,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,e815ae7f0819abb877edafdcd866c1cd3f171d5eeb41a99b76b95563ecf33bf3
116,30,crop_or_resize,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,99ce7a7c67fbb3c8aba8acb78e7a2d814eb8ac70c114d064dc16183c8271a02a
164,30,crop_or_resize,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,701b4adac413f1b4579c013605b0b82ec3557e81a534afea057eb5385e44c6ed
172,30,crop_or_resize,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,33754d26bb306ccf4ff56220bb64d198e4f5a3ce16466739d1a42b1c47d075c9
210,30,crop_or_resize,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,33754d26bb306ccf4ff56220bb64d198e4f5a3ce16466739d1a42b1c47d075c9
311,30,crop_or_resize,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,701b4adac413f1b4579c013605b0b82ec3557e81a534afea057eb5385e44c6ed
385,30,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,30,Gather,"{""Gather"": 1}",1x10x30x30,1,4,one_node_gather_index_map,static_index_map,Use only if index initializer is tiny and semantics are full-padded safe.,safe_name_0:30:int64:30,61a1e35a0b310d2e3a1eafd2ae08eaf3957ce0786767fe4706f78d7aefad05c7
258,160,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,2,160,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x5x1x3:float32:150;safe_name_1:10:float32:10,a5af1a539eaa00626494b1dcf363a1d97fcfa622eedd9223bebf9abfb971f2f3
326,160,crop_or_resize,massimilianoghiotto_6254,2,0,0,Slice Pad,"{""Pad"": 1, ""Slice"": 1}",1x10x30x30,2,4,static_slice_pad,fixed_crop_or_fixed_transform,Best static crop archetype; cost scales with active output area.,,d33cc28e3af650ee5195c2db91c287ba71a7329a9ca3dbab39c12390a2a22754
103,193,crop_or_resize,massimilianoghiotto_6254,11,9,34,Slice Cast Slice Sub Abs ReduceSum Greater Cast Gather Unsqueeze Pad,"{""Abs"": 1, ""Cast"": 2, ""Gather"": 1, ""Greater"": 1, ""Pad"": 1, ""ReduceSum"": 1, ""Slice"": 2, ""Sub"": 1, ""Unsqueeze"": 1}",1x10x30x30,11,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:2x10x1x1:float16:20;safe_name_1:3:int64:3;safe_name_2:3:int64:3;safe_name_3:3:int64:3;safe_name_4:1:int64:1;safe_name_5:1:int64:1;safe_name_6:1:int64:1;safe_name_7:1:int64:1;safe_name_8:scalar:float16:1,5f05cc6429e5550d5dd1989dc3cba7458d3ab1a71d492ebb7f08055433691f6e
261,200,sparse_edit_or_object_completion,massimilianoghiotto_6254,1,1,200,Conv,"{""Conv"": 1}",1x10x30x30,1,4,one_node_conv_kernel,local_mask_or_colormap,Mine weights; one Conv can encode local mask/color-role patterns under 250-1000.,safe_name_0:10x10x2x1:float32:200,a263e4f9682d9a013d72e1a5cf5b4c1eef2b057244d474b0ae9b0653b1313a98
56,213,crop_or_resize,massimilianoghiotto_6254,9,3,77,Slice Cast Sub Conv ArgMax Squeeze Gather Unsqueeze Pad,"{""ArgMax"": 1, ""Cast"": 1, ""Conv"": 1, ""Gather"": 1, ""Pad"": 1, ""Slice"": 1, ""Squeeze"": 1, ""Sub"": 1, ""Unsqueeze"": 1}",1x10x30x30,9,4,computed_slice_pad,object_anchor_crop,Small arithmetic around Slice/Pad is viable for object-anchor crop.,safe_name_0:4x1x3x3:float16:36;safe_name_1:4x10x1x1:float16:40;safe_name_2:scalar:float16:1,ca045f982c0767ff66864b342ea52e291463fa98f1c31978f29864adac7ccc01
