task_id,cost,route,archetype,op_sequence,conv_class,compiler_note,weight_shape,bias_shape,kernel,out_channels,in_channels,nonzero,weight_size,density,unique_nonzero_values,max_abs_weight,groups,pads,strides,dilations,per_out_nonzero_min,per_out_nonzero_max,per_in_nonzero_min,per_in_nonzero_max,sha256
258,160,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,general_conv_kernel,Inspect manually before compiler emission.,10x5x1x3,10,1x3,10,5,6,150,0.04,"-0.02,0.02,0.04",0.03999999910593033,2,"0,1,0,1","1,1","1,1",0,3,0,5,a5af1a539eaa00626494b1dcf363a1d97fcfa622eedd9223bebf9abfb971f2f3
261,200,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,general_conv_kernel,Inspect manually before compiler emission.,10x10x2x1,,2x1,10,10,12,200,0.06,"-1,1",1.0,1,"1,0,0,0",,,0,3,1,3,a263e4f9682d9a013d72e1a5cf5b4c1eef2b057244d474b0ae9b0653b1313a98
56,213,crop_or_resize,computed_slice_pad,Slice Cast Sub Conv ArgMax Squeeze Gather Unsqueeze Pad,general_conv_kernel,Inspect manually before compiler emission.,4x1x3x3,,3x3,4,1,20,36,0.5555555555555556,1,1.0,1,,,,5,5,20,20,ca045f982c0767ff66864b342ea52e291463fa98f1c31978f29864adac7ccc01
67,315,crop_or_resize,small_conv_where_mask,ReduceMax Conv ReduceSum Div Sum Greater Where,depthwise_local_filter,Useful for local neighborhood predicates; try one Conv before explicit Slice/Mul chains.,1x1x1x30,,1x30,1,1,30,30,1.0,1,1.0,1,"0,29,0,0",,,30,30,30,30,988b4d005f09426a7fb6b169820d02368203d8b03fc7d1b80b4f44af49e395c4
149,437,crop_or_resize,misc_under_600,Conv Slice Neg Concat Pad,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,1x10x3x3,1,3x3,1,10,9,90,0.1,1,1.0,1,"0,0,0,0","4,4",,9,9,0,9,66db496e8fd7432ba9e4b6f94f04f957852732e7cd414f29632a5a7c5e41f865
15,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,26,900,0.028888888888888888,"-1,1",1.0,1,"1,1,1,1",,,1,9,1,9,1ffd2d96fdecfb3f3aff30b61ec79024b253580c0365fa4b8455c4efee2f4c93
127,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,37,900,0.04111111111111111,1,1.0,1,"1,1,1,1",,,0,9,0,9,7e9978ae7837339e7daa690667e1151f4a598a32ae15a2449e7b3cbd7debd63d
220,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,58,900,0.06444444444444444,"-1,1",1.0,1,"1,1,1,1",,,1,25,1,17,632b8fb1ccd0dd3825002474344d4a714a97fcf24c4e46d3f5bfb61870dbf407
230,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,31,900,0.034444444444444444,"-1,-0.5,0.5,1",1.0,1,"1,1,1,1",,,1,10,1,22,513c2f92afc641fecbd08cf3bab18b5addfb7e781e7e38b578bda17b8908804b
282,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,26,900,0.028888888888888888,"-1,1",1.0,1,"1,1,1,1",,,1,10,1,17,f9fc4d6866e865fd798e58bbb321326a6decd15eea64ad7043af737262c00829
317,900,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,,3x3,10,10,26,900,0.028888888888888888,"-1,1",1.0,1,"1,1,1,1",,,0,10,1,17,043fafbb9cba74766379a2e433f9c5a0bb13b27b58162a396758ac6b81fa95ed
73,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,sparse_local_pattern_detector,Encode small spatial pattern detector as one Conv; threshold with minimal scalar ops.,10x10x3x3,10,3x3,10,10,81,900,0.09,"-1.80718,-1.78997,-1.45956,-1.41286,-0.966554,-0.940462,-0.861618,-0.849991,-0.792919,-0.759239,-0.727407,-0.653843,-0.555856,-0.555856,-0.555853,-0.555848,-0.534669,-0.534669,-0.534669,-0.534669",1.8071763515472412,1,"1,1,1,1",,,0,27,0,27,991392cf02f9450481e5e836166795e50390595c68a1f05000ff7a4d6e1adb04
95,910,sparse_edit_or_object_completion,one_node_conv_kernel,Conv,general_conv_kernel,Inspect manually before compiler emission.,10x10x3x3,10,3x3,10,10,900,900,1.0,"-2.26307,-2.12113,-2.12072,-2.05352,-1.83903,-1.83803,-1.64248,-1.64054,-0.485445,-0.261632,-0.119768,-0.118763,-0.105194,-0.104819,-0.10449,-0.103725,-0.103044,-0.10271,-0.102497,-0.102317",2.2630748748779297,1,"1,1,1,1","1,1","1,1",90,90,90,90,865104aaf1de4802da48ad310fb91506cfe1860a7c84b36fe13957343885add3
