task_id,fit,reason
185,False,no fixed per-cell source coordinate
22,False,no fixed per-cell source coordinate
271,False,no fixed per-cell source coordinate
355,False,no fixed per-cell source coordinate
79,False,no fixed per-cell source coordinate
184,False,no fixed per-cell source coordinate
346,False,no fixed per-cell source coordinate
242,False,no fixed per-cell source coordinate
391,False,no fixed per-cell source coordinate
130,False,no fixed per-cell source coordinate
218,False,no fixed per-cell source coordinate
48,False,no fixed per-cell source coordinate
134,False,no fixed per-cell source coordinate
153,False,no fixed per-cell source coordinate
100,False,no fixed per-cell source coordinate
291,False,no fixed per-cell source coordinate
274,False,no fixed per-cell source coordinate
263,False,no fixed per-cell source coordinate
39,False,no fixed per-cell source coordinate
121,False,no fixed per-cell source coordinate
296,False,no fixed per-cell source coordinate
316,False,no fixed per-cell source coordinate
259,False,no fixed per-cell source coordinate
115,False,no fixed per-cell source coordinate
38,False,no fixed per-cell source coordinate
394,False,no fixed per-cell source coordinate
207,False,no fixed per-cell source coordinate
146,False,no fixed per-cell source coordinate
399,False,no fixed per-cell source coordinate
395,False,no fixed per-cell source coordinate
6,False,no fixed per-cell source coordinate
347,False,no fixed per-cell source coordinate
235,False,no fixed per-cell source coordinate
178,False,no fixed per-cell source coordinate
111,False,no fixed per-cell source coordinate
334,False,no fixed per-cell source coordinate
339,False,no fixed per-cell source coordinate
