node_idx,op_type,output_idx,tensor,shape
0,ArgMax,0,safe_name_19,1x30x30
1,Squeeze,0,safe_name_20,30x30
2,Equal,0,safe_name_21,30x30
3,Cast,0,safe_name_22,30x30
4,ReduceSum,0,safe_name_23,
5,Unsqueeze,0,safe_name_24,1
6,Equal,0,safe_name_25,30x30
7,Cast,0,safe_name_26,30x30
8,ReduceSum,0,safe_name_27,
9,Unsqueeze,0,safe_name_28,1
10,Equal,0,safe_name_29,30x30
11,Cast,0,safe_name_30,30x30
12,ReduceSum,0,safe_name_31,
13,Unsqueeze,0,safe_name_32,1
14,Equal,0,safe_name_33,30x30
15,Cast,0,safe_name_34,30x30
16,ReduceSum,0,safe_name_35,
17,Unsqueeze,0,safe_name_36,1
18,Equal,0,safe_name_37,30x30
19,Cast,0,safe_name_38,30x30
20,ReduceSum,0,safe_name_39,
21,Unsqueeze,0,safe_name_40,1
22,Equal,0,safe_name_41,30x30
23,Cast,0,safe_name_42,30x30
24,ReduceSum,0,safe_name_43,
25,Unsqueeze,0,safe_name_44,1
26,Equal,0,safe_name_45,30x30
27,Cast,0,safe_name_46,30x30
28,ReduceSum,0,safe_name_47,
29,Unsqueeze,0,safe_name_48,1
30,Equal,0,safe_name_49,30x30
31,Cast,0,safe_name_50,30x30
32,ReduceSum,0,safe_name_51,
33,Unsqueeze,0,safe_name_52,1
34,Equal,0,safe_name_53,30x30
35,Cast,0,safe_name_54,30x30
36,ReduceSum,0,safe_name_55,
37,Unsqueeze,0,safe_name_56,1
38,Concat,0,safe_name_57,9
39,ArgMax,0,safe_name_58,
40,Gather,0,safe_name_59,
41,Equal,0,safe_name_60,30x30
42,Not,0,safe_name_61,30x30
43,Equal,0,safe_name_62,30x30
44,Not,0,safe_name_63,30x30
45,And,0,safe_name_64,30x30
46,Cast,0,safe_name_65,30x30
47,ReduceSum,0,safe_name_66,30
48,ReduceSum,0,safe_name_67,30
49,Greater,0,safe_name_68,30
50,Greater,0,safe_name_69,30
51,Cast,0,safe_name_70,30
52,CumSum,0,safe_name_71,30
53,Cast,0,safe_name_72,30
54,CumSum,0,safe_name_73,30
55,Equal,0,safe_name_74,30
56,And,0,safe_name_75,30
57,Cast,0,safe_name_76,30
58,Mul,0,safe_name_77,30
59,ReduceSum,0,safe_name_78,1
60,Equal,0,safe_name_79,30
61,And,0,safe_name_80,30
62,Cast,0,safe_name_81,30
63,Mul,0,safe_name_82,30
64,ReduceSum,0,safe_name_83,1
65,Equal,0,safe_name_84,30
66,And,0,safe_name_85,30
67,Cast,0,safe_name_86,30
68,Mul,0,safe_name_87,30
69,ReduceSum,0,safe_name_88,1
70,Equal,0,safe_name_89,30
71,And,0,safe_name_90,30
72,Cast,0,safe_name_91,30
73,Mul,0,safe_name_92,30
74,ReduceSum,0,safe_name_93,1
75,Equal,0,safe_name_94,30
76,And,0,safe_name_95,30
77,Cast,0,safe_name_96,30
78,Mul,0,safe_name_97,30
79,ReduceSum,0,safe_name_98,1
80,Equal,0,safe_name_99,30
81,And,0,safe_name_100,30
82,Cast,0,safe_name_101,30
83,Mul,0,safe_name_102,30
84,ReduceSum,0,safe_name_103,1
85,Equal,0,safe_name_104,30
86,And,0,safe_name_105,30
87,Cast,0,safe_name_106,30
88,Mul,0,safe_name_107,30
89,ReduceSum,0,safe_name_108,1
90,Equal,0,safe_name_109,30
91,And,0,safe_name_110,30
92,Cast,0,safe_name_111,30
93,Mul,0,safe_name_112,30
94,ReduceSum,0,safe_name_113,1
95,Concat,0,safe_name_114,4
96,Concat,0,safe_name_115,4
97,Gather,0,safe_name_116,4x30
98,Gather,0,safe_name_117,4x4
99,Gather,0,safe_name_118,4
100,Gather,0,safe_name_119,
101,Gather,0,safe_name_120,
102,Gather,0,safe_name_121,4
103,Gather,0,safe_name_122,
104,Gather,0,safe_name_123,
105,Equal,0,safe_name_124,
106,Equal,0,safe_name_125,
107,And,0,safe_name_126,
108,Equal,0,safe_name_127,
109,And,0,safe_name_128,
110,Equal,0,safe_name_129,
111,Not,0,safe_name_130,
112,Equal,0,safe_name_131,
113,Not,0,safe_name_132,
114,And,0,safe_name_133,
115,And,0,safe_name_134,
116,Where,0,safe_name_135,
117,Gather,0,safe_name_136,
118,Gather,0,safe_name_137,
119,Equal,0,safe_name_138,
120,Equal,0,safe_name_139,
121,And,0,safe_name_140,
122,Equal,0,safe_name_141,
123,And,0,safe_name_142,
124,Equal,0,safe_name_143,
125,Not,0,safe_name_144,
126,Equal,0,safe_name_145,
127,Not,0,safe_name_146,
128,And,0,safe_name_147,
129,And,0,safe_name_148,
130,Where,0,safe_name_149,
131,Gather,0,safe_name_150,
132,Gather,0,safe_name_151,
133,Equal,0,safe_name_152,
134,Equal,0,safe_name_153,
135,And,0,safe_name_154,
136,Equal,0,safe_name_155,
137,And,0,safe_name_156,
138,Equal,0,safe_name_157,
139,Not,0,safe_name_158,
140,Equal,0,safe_name_159,
141,Not,0,safe_name_160,
142,And,0,safe_name_161,
143,And,0,safe_name_162,
144,Where,0,safe_name_163,
145,Gather,0,safe_name_164,4
146,Gather,0,safe_name_165,
147,Gather,0,safe_name_166,
148,Equal,0,safe_name_167,
149,Equal,0,safe_name_168,
150,And,0,safe_name_169,
151,Equal,0,safe_name_170,
152,And,0,safe_name_171,
153,Equal,0,safe_name_172,
154,Not,0,safe_name_173,
155,Equal,0,safe_name_174,
156,Not,0,safe_name_175,
157,And,0,safe_name_176,
158,And,0,safe_name_177,
159,Where,0,safe_name_178,
160,Gather,0,safe_name_179,
161,Equal,0,safe_name_180,
162,Equal,0,safe_name_181,
163,And,0,safe_name_182,
164,Equal,0,safe_name_183,
165,And,0,safe_name_184,
166,Equal,0,safe_name_185,
167,Not,0,safe_name_186,
168,Equal,0,safe_name_187,
169,Not,0,safe_name_188,
170,And,0,safe_name_189,
171,And,0,safe_name_190,
172,Where,0,safe_name_191,
173,Gather,0,safe_name_192,
174,Equal,0,safe_name_193,
175,Equal,0,safe_name_194,
176,And,0,safe_name_195,
177,Equal,0,safe_name_196,
178,And,0,safe_name_197,
179,Equal,0,safe_name_198,
180,Not,0,safe_name_199,
181,Equal,0,safe_name_200,
182,Not,0,safe_name_201,
183,And,0,safe_name_202,
184,And,0,safe_name_203,
185,Where,0,safe_name_204,
186,Gather,0,safe_name_205,4
187,Gather,0,safe_name_206,
188,Gather,0,safe_name_207,
189,Equal,0,safe_name_208,
190,Equal,0,safe_name_209,
191,And,0,safe_name_210,
192,Equal,0,safe_name_211,
193,And,0,safe_name_212,
194,Equal,0,safe_name_213,
195,Not,0,safe_name_214,
196,Equal,0,safe_name_215,
197,Not,0,safe_name_216,
198,And,0,safe_name_217,
199,And,0,safe_name_218,
200,Where,0,safe_name_219,
201,Gather,0,safe_name_220,
202,Equal,0,safe_name_221,
203,Equal,0,safe_name_222,
204,And,0,safe_name_223,
205,Equal,0,safe_name_224,
206,And,0,safe_name_225,
207,Equal,0,safe_name_226,
208,Not,0,safe_name_227,
209,Equal,0,safe_name_228,
210,Not,0,safe_name_229,
211,And,0,safe_name_230,
212,And,0,safe_name_231,
213,Where,0,safe_name_232,
214,Gather,0,safe_name_233,
215,Equal,0,safe_name_234,
216,Equal,0,safe_name_235,
217,And,0,safe_name_236,
218,Equal,0,safe_name_237,
219,And,0,safe_name_238,
220,Equal,0,safe_name_239,
221,Not,0,safe_name_240,
222,Equal,0,safe_name_241,
223,Not,0,safe_name_242,
224,And,0,safe_name_243,
225,And,0,safe_name_244,
226,Where,0,safe_name_245,
227,Unsqueeze,0,safe_name_246,1
228,Unsqueeze,0,safe_name_247,1
229,Unsqueeze,0,safe_name_248,1
230,Unsqueeze,0,safe_name_249,1
231,Unsqueeze,0,safe_name_250,1
232,Unsqueeze,0,safe_name_251,1
233,Unsqueeze,0,safe_name_252,1
234,Unsqueeze,0,safe_name_253,1
235,Unsqueeze,0,safe_name_254,1
236,Concat,0,safe_name_255,9
237,OneHot,0,safe_name_256,9x10
238,Reshape,0,safe_name_257,3x3x10
239,Transpose,0,safe_name_258,10x3x3
240,Unsqueeze,0,safe_name_259,1x10x3x3
