idx,split,shape,bg,line_rows,line_cols,rr,cc,rr_count,cc_count,special_count,rr_delta,cc_delta
0,train,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","5,8,11,14",4,4,12,"3,3,3","3,3,3"
1,train,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,11,"4,4,4","4,4,4"
2,train,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","14,17,20,23",4,4,14,"3,3,3","3,3,3"
3,train,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,16,"4,4,4","4,4,4"
4,test,29x29,2,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,16,"5,5,5","5,5,5"
5,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,16,"5,5,5","5,5,5"
6,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","14,17,20,23",4,4,12,"3,3,3","3,3,3"
7,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","2,5,8,11",4,4,15,"3,3,3","3,3,3"
8,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","11,15,19,23",4,4,12,"4,4,4","4,4,4"
9,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
10,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,16,"4,4,4","4,4,4"
11,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,11,"5,5,5","5,5,5"
12,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","17,20,23,26",4,4,12,"3,3,3","3,3,3"
13,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,13,"4,4,4","4,4,4"
14,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","8,11,14,17",4,4,14,"3,3,3","3,3,3"
15,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,14,"4,4,4","4,4,4"
16,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","14,17,20,23",4,4,12,"3,3,3","3,3,3"
17,arc-gen,27x27,5,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,16,"4,4,4","4,4,4"
18,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","2,5,8,11",4,4,12,"3,3,3","3,3,3"
19,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,10,"5,5,5","5,5,5"
20,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,13,"4,4,4","4,4,4"
21,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","17,20,23,26",4,4,12,"3,3,3","3,3,3"
22,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,10,"4,4,4","4,4,4"
23,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,14,"4,4,4","4,4,4"
24,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","8,11,14,17",4,4,14,"3,3,3","3,3,3"
25,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","2,5,8,11",4,4,16,"3,3,3","3,3,3"
26,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
27,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,12,"5,5,5","5,5,5"
28,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,13,"4,4,4","4,4,4"
29,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
30,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,13,"5,5,5","5,5,5"
31,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","14,17,20,23",4,4,12,"3,3,3","3,3,3"
32,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
33,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,12,"4,4,4","4,4,4"
34,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,12,"3,3,3","3,3,3"
35,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","5,8,11,14",4,4,12,"3,3,3","3,3,3"
36,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
37,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
38,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","2,5,8,11",4,4,16,"3,3,3","3,3,3"
39,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,15,"4,4,4","4,4,4"
40,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
41,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,12,"4,4,4","4,4,4"
42,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,12,"4,4,4","4,4,4"
43,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","14,17,20,23",4,4,14,"3,3,3","3,3,3"
44,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,12,"5,5,5","5,5,5"
45,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,11,"5,5,5","5,5,5"
46,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,10,"5,5,5","5,5,5"
47,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","5,8,11,14",4,4,8,"3,3,3","3,3,3"
48,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","9,14,19,24",4,4,16,"5,5,5","5,5,5"
49,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,12,"4,4,4","4,4,4"
50,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,12,"4,4,4","4,4,4"
51,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","14,17,20,23",4,4,14,"3,3,3","3,3,3"
52,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,14,"4,4,4","4,4,4"
53,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","14,17,20,23",4,4,12,"3,3,3","3,3,3"
54,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,13,"5,5,5","5,5,5"
55,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,14,"5,5,5","5,5,5"
56,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","2,5,8,11",4,4,11,"3,3,3","3,3,3"
57,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,14,"4,4,4","4,4,4"
58,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","2,5,8,11",4,4,13,"3,3,3","3,3,3"
59,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,10,"4,4,4","4,4,4"
60,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","11,14,17,20",4,4,12,"3,3,3","3,3,3"
61,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","11,15,19,23",4,4,10,"4,4,4","4,4,4"
62,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,16,"5,5,5","5,5,5"
63,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","14,17,20,23",4,4,12,"3,3,3","3,3,3"
64,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,14,"4,4,4","4,4,4"
65,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","17,20,23,26",4,4,16,"3,3,3","3,3,3"
66,arc-gen,29x29,9,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
67,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","5,8,11,14",4,4,12,"3,3,3","3,3,3"
68,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,10,"5,5,5","5,5,5"
69,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","11,15,19,23",4,4,12,"4,4,4","4,4,4"
70,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","8,11,14,17",4,4,16,"3,3,3","3,3,3"
71,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,12,"4,4,4","4,4,4"
72,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,14,"5,5,5","5,5,5"
73,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,14,"4,4,4","4,4,4"
74,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","2,5,8,11",4,4,14,"3,3,3","3,3,3"
75,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
76,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","17,20,23,26",4,4,14,"3,3,3","3,3,3"
77,arc-gen,29x29,2,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","11,14,17,20",4,4,12,"3,3,3","3,3,3"
78,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","14,17,20,23",4,4,16,"3,3,3","3,3,3"
79,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","3,7,11,15",4,4,12,"4,4,4","4,4,4"
80,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,14,"4,4,4","4,4,4"
81,arc-gen,29x29,1,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,15,"5,5,5","5,5,5"
82,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
83,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","8,11,14,17",4,4,14,"3,3,3","3,3,3"
84,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","5,8,11,14",4,4,12,"3,3,3","3,3,3"
85,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","11,14,17,20",4,4,12,"3,3,3","3,3,3"
86,arc-gen,27x27,9,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,13,"4,4,4","4,4,4"
87,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","17,20,23,26","5,8,11,14",4,4,13,"3,3,3","3,3,3"
88,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","7,11,15,19",4,4,10,"4,4,4","4,4,4"
89,arc-gen,27x27,6,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,14,"4,4,4","4,4,4"
90,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","11,14,17,20",4,4,12,"3,3,3","3,3,3"
91,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","7,11,15,19",4,4,12,"4,4,4","4,4,4"
92,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","8,11,14,17",4,4,15,"3,3,3","3,3,3"
93,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","8,11,14,17",4,4,12,"3,3,3","3,3,3"
94,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","17,20,23,26",4,4,12,"3,3,3","3,3,3"
95,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","7,11,15,19",4,4,10,"4,4,4","4,4,4"
96,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,10,"5,5,5","5,5,5"
97,arc-gen,29x29,3,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","11,14,17,20",4,4,14,"3,3,3","3,3,3"
98,arc-gen,27x27,3,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,16,"4,4,4","4,4,4"
99,arc-gen,29x29,1,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","14,17,20,23",4,4,11,"3,3,3","3,3,3"
100,arc-gen,29x29,2,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
101,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","8,11,14,17",4,4,16,"3,3,3","3,3,3"
102,arc-gen,27x27,2,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","3,7,11,15",4,4,14,"4,4,4","4,4,4"
103,arc-gen,29x29,7,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","4,9,14,19",4,4,14,"5,5,5","5,5,5"
104,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","5,8,11,14",4,4,12,"3,3,3","3,3,3"
105,arc-gen,27x27,1,"3,7,11,15,19,23","3,7,11,15,19,23","11,15,19,23","11,15,19,23",4,4,14,"4,4,4","4,4,4"
106,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","14,17,20,23",4,4,12,"3,3,3","3,3,3"
107,arc-gen,29x29,6,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","14,17,20,23","14,17,20,23",4,4,14,"3,3,3","3,3,3"
108,arc-gen,29x29,4,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","5,8,11,14","11,14,17,20",4,4,14,"3,3,3","3,3,3"
109,arc-gen,29x29,5,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","11,14,17,20","8,11,14,17",4,4,12,"3,3,3","3,3,3"
110,arc-gen,29x29,7,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","2,5,8,11",4,4,10,"3,3,3","3,3,3"
111,arc-gen,29x29,4,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
112,arc-gen,27x27,8,"3,7,11,15,19,23","3,7,11,15,19,23","3,7,11,15","3,7,11,15",4,4,16,"4,4,4","4,4,4"
113,arc-gen,29x29,9,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","8,11,14,17","8,11,14,17",4,4,16,"3,3,3","3,3,3"
114,arc-gen,27x27,7,"3,7,11,15,19,23","3,7,11,15,19,23","7,11,15,19","11,15,19,23",4,4,12,"4,4,4","4,4,4"
115,arc-gen,29x29,3,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,14,"5,5,5","5,5,5"
116,arc-gen,29x29,8,"2,5,8,11,14,17,20,23,26","2,5,8,11,14,17,20,23,26","2,5,8,11","14,17,20,23",4,4,12,"3,3,3","3,3,3"
117,arc-gen,29x29,5,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,16,"5,5,5","5,5,5"
118,arc-gen,29x29,6,"4,9,14,19,24","4,9,14,19,24","9,14,19,24","9,14,19,24",4,4,12,"5,5,5","5,5,5"
119,arc-gen,29x29,8,"4,9,14,19,24","4,9,14,19,24","4,9,14,19","4,9,14,19",4,4,12,"5,5,5","5,5,5"
