k,sum_points,gap_error,risk_score_sum,tasks
24,352.41,0.0,51.29971,002 004 008 009 013 014 016 018 019 021 023 024 025 029 031 032 034 036 046 047 049 050 051 366
23,352.41,0.0,50.1167,002 004 009 013 016 018 019 021 024 025 029 031 032 049 050 051 053 056 063 064 067 077 173
25,352.41,0.0,49.15149,002 003 004 005 008 009 011 013 014 018 019 021 022 023 024 025 027 029 031 033 034 035 036 037 366
22,352.41,0.0,45.12479,002 004 009 013 014 016 018 024 029 032 050 053 056 064 067 077 084 085 087 088 092 276
24,352.42,0.01,51.39615,002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 030 031 032 034 046 049 050 051 396
24,352.4,-0.01,51.17139,002 004 005 008 009 013 014 016 018 019 021 023 024 025 028 029 031 032 034 046 049 050 051 133
25,352.42,0.01,50.27703,002 004 005 008 009 011 013 014 018 019 020 021 022 024 025 027 029 030 031 032 033 034 036 037 366
23,352.4,-0.01,50.13332,002 004 008 009 013 016 018 019 024 029 032 049 050 053 056 063 064 067 077 082 084 085 366
23,352.42,0.01,50.10725,002 008 009 013 016 018 019 024 025 029 031 032 050 053 056 063 064 067 077 082 084 085 366
25,352.4,-0.01,49.5956,002 004 005 008 009 011 013 014 018 019 020 021 022 023 024 025 027 028 029 030 031 034 036 037 366
22,352.4,-0.01,45.11076,002 009 013 016 018 019 024 029 032 050 053 056 063 064 067 077 084 085 087 090 092 276
22,352.42,0.01,45.08412,002 009 013 016 018 019 024 029 032 050 053 056 064 067 077 082 084 085 087 088 091 276
24,352.39,-0.02,51.73775,002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 030 031 032 036 046 049 050 051 133
23,352.39,-0.02,50.3195,002 004 008 009 013 016 018 019 021 024 029 031 032 050 053 056 064 067 077 082 084 085 366
23,352.43,0.02,50.0245,002 004 008 009 013 014 016 019 021 024 029 032 046 050 053 056 063 064 067 077 082 085 366
25,352.43,0.02,49.78628,002 004 005 008 009 011 013 014 018 019 020 021 022 023 025 029 030 031 032 033 034 035 036 037 366
25,352.39,-0.02,49.30499,002 004 005 008 009 011 013 014 018 019 020 021 022 023 024 025 027 028 029 031 033 034 036 037 158
22,352.43,0.02,45.16312,002 004 009 013 014 016 019 024 029 032 050 053 056 064 067 077 084 085 087 088 090 276
22,352.39,-0.02,45.14932,002 004 009 013 016 018 019 024 029 032 050 053 056 064 067 077 084 085 086 087 090 276
24,352.44,0.03,51.36401,002 004 008 009 013 014 016 018 019 021 023 024 025 029 031 032 033 036 046 048 049 050 051 366
24,352.38,-0.03,51.19392,002 004 005 008 009 013 014 016 018 019 021 024 025 029 031 032 033 036 046 048 049 050 051 286
23,352.44,0.03,50.27787,002 004 008 009 013 014 016 018 019 021 024 025 029 031 032 050 051 053 056 064 067 077 173
23,352.38,-0.03,50.171,002 004 009 013 014 016 018 019 021 024 025 029 032 046 049 050 053 056 063 064 067 077 173
25,352.44,0.03,50.13301,002 004 005 008 009 011 013 014 017 018 019 020 021 022 023 024 025 027 029 031 032 033 034 036 366
25,352.38,-0.03,50.00598,002 004 005 008 009 011 013 014 018 019 020 021 023 025 027 029 030 031 032 033 034 035 036 037 366
22,352.44,0.03,45.15437,002 009 013 016 018 019 024 029 031 032 050 053 056 064 067 077 084 085 087 088 090 276
22,352.38,-0.03,45.14101,002 009 013 016 019 024 029 031 032 050 053 056 064 067 077 085 087 088 090 091 092 276
24,352.45,0.04,51.6263,002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 030 031 032 036 046 049 050 051 158
24,352.37,-0.04,51.35699,001 002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 031 032 036 046 049 050 051 366
23,352.37,-0.04,50.14101,002 004 009 013 016 019 021 024 025 029 031 032 050 053 056 063 064 067 077 082 084 085 366
23,352.45,0.04,50.09169,002 004 008 009 013 014 016 018 019 024 025 029 032 049 050 051 053 056 063 064 067 077 173
25,352.37,-0.04,49.78344,002 004 005 008 009 011 012 013 014 018 019 020 021 022 024 025 027 029 031 032 033 034 036 037 366
25,352.45,0.04,49.17658,002 004 005 008 009 011 013 014 017 018 019 020 021 022 023 024 025 028 029 030 031 034 036 037 366
22,352.37,-0.04,45.12505,002 009 013 014 016 018 019 024 029 032 050 053 056 064 067 077 084 085 087 091 092 276
22,352.45,0.04,45.08001,002 004 009 013 014 016 018 021 024 029 032 050 053 056 064 067 077 084 085 087 090 276
24,352.36,-0.05,51.28222,002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 030 031 032 034 046 049 050 051 285
24,352.46,0.05,51.06265,002 004 009 013 014 016 018 019 021 023 024 025 029 030 031 032 034 036 046 048 049 050 051 366
23,352.36,-0.05,50.12106,002 004 008 009 013 014 016 018 019 024 025 029 032 046 050 051 053 056 063 064 067 077 173
23,352.46,0.05,50.05703,002 004 008 009 013 014 016 019 024 025 029 031 032 050 053 056 063 064 067 077 082 085 366
25,352.46,0.05,49.51488,002 004 005 009 011 012 013 014 018 019 020 021 022 023 024 025 027 029 031 032 033 034 036 037 366
22,352.46,0.05,45.06582,002 004 009 013 014 016 018 024 029 031 032 050 053 056 064 067 077 085 087 088 092 276
24,352.35,-0.06,51.31421,002 004 005 008 009 013 014 016 018 019 021 023 024 025 029 031 032 034 038 046 049 050 051 366
24,352.47,0.06,51.25312,002 004 005 008 009 013 014 016 018 019 021 023 024 025 027 029 031 032 046 048 049 050 051 366
23,352.47,0.06,50.18422,002 009 013 014 016 018 019 021 024 029 031 032 050 053 056 063 064 067 077 082 084 085 366
23,352.35,-0.06,50.03864,002 004 008 009 013 016 019 024 025 029 031 032 050 051 053 056 064 067 077 082 084 085 366
25,352.47,0.06,49.85801,002 004 005 008 009 011 013 014 017 018 019 020 021 022 024 025 029 030 031 032 033 034 036 037 366
25,352.35,-0.06,49.6412,002 004 005 008 009 011 013 014 018 019 020 021 022 023 024 025 027 029 030 031 033 034 036 037 396
