task_id,source,template_name,route,cost,points,scaled_points,train_n,test_n,arc_gen_n,total_n,input_shape_count,output_shape_count,min_input_area,max_input_area,min_output_area,max_output_area,max_input_colors,risk_score
1,vyanktesh_multi_source_output,,crop_or_resize,2843,17.047384888349,1705,5,1,262,268,1,1,9,9,81,81,2,0.47843
2,massimilianoghiotto_6254,,sparse_edit_or_object_completion,97293,13.514517676859928,1351,5,1,262,268,15,15,36,400,36,400,2,2.82293
3,afr1ste_5689_artifact,,crop_or_resize,9102,15.883750551423413,1588,3,1,261,265,1,1,18,18,27,27,2,0.54102
4,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55020,14.084547965521434,1408,2,1,262,265,78,78,64,256,64,256,4,2.4002
5,massimilianoghiotto_6254,,sparse_edit_or_object_completion,117225,13.328149556042213,1333,3,1,262,266,1,1,441,441,441,441,5,1.82225
6,afr1ste_5689_artifact,,crop_or_resize,1631,17.603051397378987,1760,3,1,262,266,1,1,21,21,9,9,3,0.46631
7,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7271,16.108350887349943,1611,3,1,262,266,1,1,49,49,49,49,4,0.57271
8,massimilianoghiotto_6254,,sparse_edit_or_object_completion,23289,14.94426357492621,1494,3,1,262,266,79,79,64,256,64,256,3,1.93289
9,massimilianoghiotto_6254,,sparse_edit_or_object_completion,81241,13.69482467517415,1369,3,1,261,265,5,5,289,841,289,841,6,2.66241
10,massimilianoghiotto_6254,,sparse_edit_or_object_completion,5016,16.479611917687244,1648,2,1,262,265,1,1,81,81,81,81,2,0.55016
11,massimilianoghiotto_6254,,sparse_edit_or_object_completion,66247,13.898854540195707,1390,4,1,262,267,1,1,121,121,121,121,7,1.31247
12,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12639,15.555457449352874,1556,2,1,262,265,1,1,144,144,144,144,3,0.62639
13,massimilianoghiotto_6254,,sparse_edit_or_object_completion,116882,13.3310798421544,1333,4,1,262,267,129,129,120,360,120,360,3,3.01882
14,massimilianoghiotto_6254,,crop_or_resize,39049,14.427427453254685,1443,3,1,262,266,104,87,225,625,25,168,3,2.19049
15,massimilianoghiotto_6254,,sparse_edit_or_object_completion,900,18.197605236675688,1820,3,1,261,265,1,1,81,81,81,81,5,0.509
16,massimilianoghiotto_6254,,sparse_edit_or_object_completion,10,22.697414907005953,2270,4,1,262,267,1,1,9,9,9,9,3,0.5001
17,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,34889,14.540073127737525,1454,3,1,262,266,1,1,441,441,441,441,8,0.59889
18,kojimar_5800_minimal_blend,,sparse_edit_or_object_completion,114578,13.35098890724301,1335,3,1,262,266,109,109,180,576,180,576,5,2.74578
19,massimilianoghiotto_6254,,crop_or_resize,81346,13.69353305881371,1369,4,1,262,267,25,25,4,36,16,144,2,2.61346
20,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,73049,13.801114272168789,1380,3,1,262,266,1,1,100,100,100,100,5,1.13049
21,massimilianoghiotto_6254,,crop_or_resize,51223,14.156056071090937,1416,3,1,262,266,255,36,16,4340,4,49,2,2.31223
22,massimilianoghiotto_6254,,crop_or_resize,34821,14.542024067963268,1454,3,1,262,266,1,1,121,121,9,9,6,0.79821
23,franksunp_blended_best,,sparse_edit_or_object_completion,21433,15.027312930662868,1503,3,1,262,266,6,6,72,99,72,99,2,1.66433
24,massimilianoghiotto_6254,,sparse_edit_or_object_completion,9080,15.88617052840466,1589,3,1,262,266,92,92,36,225,36,225,4,1.7908
25,franksunp_blended_best,,sparse_edit_or_object_completion,89286,13.600400020341894,1360,3,1,262,266,182,182,156,900,156,900,6,2.49286
26,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,724,18.415208607614282,1842,5,1,262,268,1,1,35,35,15,15,3,0.20724
27,massimilianoghiotto_6254,,sparse_edit_or_object_completion,36791,14.486991470971319,1449,3,1,261,265,1,1,100,100,100,100,2,1.01791
28,massimilianoghiotto_6254,,sparse_edit_or_object_completion,8990,15.896131872534333,1590,2,1,262,265,1,1,100,100,100,100,3,0.5899
29,massimilianoghiotto_6254,,crop_or_resize,97117,13.516328283804857,1352,3,1,262,266,167,182,110,625,1,396,6,2.77117
30,massimilianoghiotto_6254,,sparse_edit_or_object_completion,11998,15.607504751786962,1561,3,1,262,266,2,2,50,100,50,100,4,1.11998
31,massimilianoghiotto_6254,,crop_or_resize,18616,15.168223295017873,1517,3,1,262,266,3,23,120,144,12,42,2,1.83616
32,massimilianoghiotto_6254,,sparse_edit_or_object_completion,3405,16.86699978141639,1687,3,1,262,266,3,3,16,36,16,36,7,1.73405
33,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55161,14.081988539178049,1408,3,1,261,265,1,1,289,289,289,289,3,1.20161
34,afr1ste_5689_artifact,,sparse_edit_or_object_completion,106316,13.425828929592994,1343,4,1,262,267,1,1,81,81,81,81,3,1.71316
35,massimilianoghiotto_6254,,sparse_edit_or_object_completion,15363,15.36028269986934,1536,3,1,262,266,1,1,100,100,100,100,9,0.65363
36,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,79944,13.710918331458375,1371,2,1,262,265,1,11,900,900,6,25,5,1.74944
37,massimilianoghiotto_6254,,sparse_edit_or_object_completion,63726,13.937652078450405,1394,3,1,262,266,1,1,100,100,100,100,7,1.28726
38,massimilianoghiotto_6254,,crop_or_resize,2193,17.306974251582112,1731,3,1,262,266,1,1,81,81,5,5,3,0.47193
39,massimilianoghiotto_6254,,crop_or_resize,7772,16.04171718950267,1604,2,1,261,264,1,1,100,100,9,9,6,0.52772
40,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7868,16.02944082049105,1603,3,1,262,266,1,1,100,100,100,100,4,0.57868
41,massimilianoghiotto_6254,,sparse_edit_or_object_completion,11769,15.626775765122337,1563,3,1,262,266,1,1,100,100,100,100,5,0.61769
42,massimilianoghiotto_6254,,sparse_edit_or_object_completion,8518,15.950063149516842,1595,3,1,262,266,1,1,100,100,100,100,2,0.58518
43,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7119,16.129477454896126,1613,3,1,262,266,1,1,100,100,100,100,2,0.57119
44,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,31706,14.635738783596826,1464,3,1,262,266,1,1,100,100,100,100,5,0.56706
45,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,7425,16.0873920363291,1609,3,1,261,265,1,1,100,100,100,100,6,0.32425
46,massimilianoghiotto_6254,,crop_or_resize,33426,14.58291068075113,1458,4,1,262,267,13,11,24,60,18,48,6,1.98426
47,massimilianoghiotto_6254,,sparse_edit_or_object_completion,3024,16.985664262700574,1699,2,1,262,265,1,1,81,81,81,81,3,0.53024
48,massimilianoghiotto_6254,,crop_or_resize,5609,16.367872270491663,1637,6,2,262,270,16,1,25,64,1,1,3,1.10609
49,massimilianoghiotto_6254,,crop_or_resize,30489,14.674878758194124,1467,5,1,262,268,104,57,100,400,4,84,6,1.95489
50,afr1ste_5689_artifact,,sparse_edit_or_object_completion,9475,15.843587970049374,1584,8,1,262,271,132,132,9,210,9,210,2,1.79475
51,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,68429,13.866448009633856,1387,3,1,261,265,107,107,100,400,100,400,3,2.28429
52,massimilianoghiotto_6254,,sparse_edit_or_object_completion,1228,17.886857891292912,1789,4,1,262,267,1,1,9,9,9,9,4,0.51228
53,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30,21.598802618337846,2160,4,2,54,60,1,1,9,9,9,9,2,0.5003
54,massimilianoghiotto_6254,,sparse_edit_or_object_completion,150548,13.07796275080141,1308,3,1,262,266,1,1,900,900,900,900,5,2.15548
55,afr1ste_5689_artifact,,same_shape_global_transform,26370,14.820017720652668,1482,2,1,262,265,181,181,60,800,60,800,2,1.7137
56,massimilianoghiotto_6254,,crop_or_resize,213,19.638707834290575,1964,7,3,36,46,1,1,9,9,1,1,2,0.45213
57,massimilianoghiotto_6254,,crop_or_resize,29304,14.71452069554135,1471,3,1,261,265,1,1,64,64,18,18,2,0.74304
58,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,16086,15.314295392535985,1531,5,1,16,22,16,16,25,400,25,400,1,1.36086
59,afr1ste_5689_artifact,,sparse_edit_or_object_completion,20387,15.077347278202861,1508,3,1,262,266,1,1,121,121,121,121,3,0.70387
60,massimilianoghiotto_6254,,sparse_edit_or_object_completion,5581,16.372876749211567,1637,2,1,262,265,1,1,55,55,55,55,5,0.55581
61,massimilianoghiotto_6254,,sparse_edit_or_object_completion,18914,15.152342332424542,1515,4,1,262,267,1,1,324,324,324,324,10,0.68914
62,exp_b025_submit_safe_delta_union,greedy3_Mul_node168_to_input1,same_shape_global_transform,29409,14.710943971070165,1471,4,1,262,267,1,1,100,100,100,100,3,0.29409
63,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30732,14.666940264012474,1467,3,1,262,266,3,3,100,196,100,196,3,2.00732
64,massimilianoghiotto_6254,,sparse_edit_or_object_completion,114153,13.354705067178468,1335,4,1,262,267,168,168,72,552,72,552,3,2.99153
65,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,35095,14.534186050835478,1453,3,1,262,266,7,7,9,225,1,49,3,1.75095
66,franksunp_blended_best,,sparse_edit_or_object_completion,21408,15.028480037072045,1503,3,1,262,266,11,11,100,400,100,400,4,1.66408
67,massimilianoghiotto_6254,,crop_or_resize,315,19.247427361174367,1925,3,1,262,266,4,4,12,75,4,25,4,1.65315
68,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12589,15.55942130423374,1556,3,1,262,266,1,1,100,100,100,100,10,0.62589
69,massimilianoghiotto_6254,,sparse_edit_or_object_completion,84250,13.658456151785392,1366,2,1,261,264,1,1,100,100,100,100,6,1.4925
70,massimilianoghiotto_6254,,sparse_edit_or_object_completion,66138,13.90050125280863,1390,3,1,262,266,1,1,289,289,289,289,3,1.31138
71,massimilianoghiotto_6254,,sparse_edit_or_object_completion,129780,13.22640401182484,1323,2,1,262,265,1,1,256,256,256,256,3,1.9478
72,massimilianoghiotto_6254,,crop_or_resize,1309,17.8229812340901,1782,4,2,262,268,1,1,65,65,30,30,3,0.46309
73,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,3,1,11,15,1,1,25,25,25,25,3,0.5091
74,massimilianoghiotto_6254,,sparse_edit_or_object_completion,21825,15.009188619292196,1501,4,1,262,267,1,1,900,900,900,900,10,0.71825
75,massimilianoghiotto_6254,,sparse_edit_or_object_completion,28487,14.742796878157792,1474,3,1,261,265,1,1,117,117,117,117,8,0.78487
76,needless090_4250_output,,sparse_edit_or_object_completion,36184,14.503627688842322,1450,3,1,262,266,9,9,169,225,169,225,5,1.81184
77,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,157494,13.032857358715912,1303,3,1,262,266,18,18,210,420,210,420,3,3.17494
78,massimilianoghiotto_6254,,sparse_edit_or_object_completion,11496,15.65024557224114,1565,3,1,262,266,1,1,100,100,100,100,3,0.61496
79,massimilianoghiotto_6254,,crop_or_resize,21383,15.029648507210364,1503,3,1,262,266,1,1,196,196,9,9,4,0.66383
80,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,42055,14.353266435603462,1435,3,1,262,266,5,5,576,961,576,961,5,1.77055
81,massimilianoghiotto_6254,,sparse_edit_or_object_completion,2307,17.256296741826247,1726,2,1,261,264,1,1,49,49,49,49,2,0.52307
82,massimilianoghiotto_6254,,sparse_edit_or_object_completion,23479,14.936138316402742,1494,2,1,262,265,11,11,30,90,30,90,5,1.93479
83,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,1750,3,1,262,266,1,1,12,12,48,48,2,0.468
84,massimilianoghiotto_6254,,sparse_edit_or_object_completion,19513,15.121163810905001,1512,3,1,171,175,19,19,9,441,9,441,2,1.89513
85,massimilianoghiotto_6254,,sparse_edit_or_object_completion,113178,13.36328292042622,1336,2,1,262,265,18,18,160,480,160,480,6,2.98178
86,massimilianoghiotto_6254,,sparse_edit_or_object_completion,25857,14.83966336368449,1484,3,1,262,266,3,3,100,144,100,144,3,1.95857
87,massimilianoghiotto_6254,,sparse_edit_or_object_completion,368,19.09191706183107,1909,4,1,261,266,1,1,9,9,9,9,3,0.50368
88,massimilianoghiotto_6254,,crop_or_resize,72766,13.80499590787612,1380,4,1,262,267,158,63,49,528,9,100,3,2.52766
89,afr1ste_5689_artifact,,sparse_edit_or_object_completion,49703,14.186179427563964,1419,4,1,262,267,1,1,169,169,169,169,5,1.14703
90,massimilianoghiotto_6254,,sparse_edit_or_object_completion,63354,13.94350667496543,1394,4,1,262,267,44,44,40,150,40,150,3,2.48354
91,massimilianoghiotto_6254,,crop_or_resize,51466,14.151323325547068,1415,3,1,262,266,49,99,81,225,9,169,3,2.31466
92,massimilianoghiotto_6254,,sparse_edit_or_object_completion,46289,14.25734036914603,1426,2,1,262,265,9,9,100,900,100,900,6,2.31289
93,massimilianoghiotto_6254,,sparse_edit_or_object_completion,15458,15.354118052333183,1535,3,1,261,265,1,1,196,196,196,196,3,0.65458
94,massimilianoghiotto_6254,,sparse_edit_or_object_completion,10453,15.745355702467293,1575,2,1,262,265,1,1,225,225,225,225,2,0.60453
95,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,2,1,262,265,1,1,81,81,81,81,2,0.5091
96,kojimar_5800_minimal_blend,,crop_or_resize,26948,14.79833563791945,1480,3,1,262,266,49,3,169,361,49,121,7,1.66948
97,massimilianoghiotto_6254,,sparse_edit_or_object_completion,55812,14.070255820987903,1407,4,1,262,267,167,167,30,400,30,400,2,2.40812
98,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,3,1,262,266,65,65,48,440,48,440,7,1.7091
99,massimilianoghiotto_6254,,sparse_edit_or_object_completion,4910,16.500970779211436,1650,3,1,261,265,1,1,100,100,100,100,4,0.5491
100,massimilianoghiotto_6254,,crop_or_resize,6536,16.21491936346016,1621,3,1,262,266,1,1,100,100,4,4,3,0.51536
101,franksunp_blended_best,,sparse_edit_or_object_completion,65875,13.904485714156337,1390,3,1,262,266,3,3,168,357,168,357,3,2.25875
102,massimilianoghiotto_6254,,sparse_edit_or_object_completion,12607,15.55799250576873,1556,4,1,262,267,1,1,144,144,144,144,2,0.62607
103,massimilianoghiotto_6254,,crop_or_resize,193,19.737309811095116,1974,6,2,215,223,1,1,9,9,1,1,2,0.45193
104,massimilianoghiotto_6254,,crop_or_resize,3682,16.788788638206977,1679,2,1,4,7,1,1,9,9,81,81,3,0.48682
105,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7055,16.138508135713085,1614,3,1,262,266,6,6,117,182,117,182,2,1.77055
106,massimilianoghiotto_6254,,crop_or_resize,1164,17.940382371708615,1794,3,1,262,266,2,2,4,9,16,36,3,0.96164
107,massimilianoghiotto_6254,,crop_or_resize,73131,13.799992367549814,1380,3,1,262,266,1,5,25,25,100,900,7,1.93131
108,massimilianoghiotto_6254,,crop_or_resize,1800,17.504458056115745,1750,3,1,262,266,1,1,100,100,400,400,7,0.468
109,massimilianoghiotto_6254,,crop_or_resize,94878,13.539652865248629,1354,3,1,262,266,4,4,49,169,36,144,3,2.74878
110,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,same_shape_global_transform,108361,13.40677647534595,1341,3,1,262,266,1,1,841,841,841,841,8,1.23361
111,massimilianoghiotto_6254,,crop_or_resize,797,18.319145321209785,1832,3,1,261,265,1,1,100,100,9,9,3,0.45797
112,massimilianoghiotto_6254,,sparse_edit_or_object_completion,59270,14.010141445218116,1401,3,1,262,266,192,192,100,870,100,870,3,2.4427
113,massimilianoghiotto_6254,,sparse_edit_or_object_completion,30,21.598802618337846,2160,2,1,262,265,9,9,20,100,20,100,5,1.7003
114,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,1250,17.869101169703654,1787,3,1,262,266,4,4,4,9,16,25,6,1.4125
115,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,4119,16.67663430556392,1668,3,1,262,266,158,4,63,464,3,4,4,1.44119
116,massimilianoghiotto_6254,,crop_or_resize,30,21.598802618337846,2160,4,1,262,267,1,1,12,12,24,24,2,0.4503
117,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,17992,15.202317506360849,1520,3,1,261,265,4,4,144,225,144,225,3,1.62992
