task_id,exp,manifest,source,template_name,route,cost,points,status,reason,sha256,exp_status,validation_hint
2,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,97293.0,13.514517676859928,,,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,local_estimate_below_target,
9,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,81241.0,13.69482467517415,,,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,local_estimate_below_target,
13,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,116882.0,13.3310798421544,,,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,local_estimate_below_target,
18,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,114578.0,13.35098890724301,,,64808870a76b7223f8b7fcc999c0e407c9f458c537ad3a6666389444608c867d,local_estimate_below_target,
24,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,9080.0,15.88617052840466,,,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,local_estimate_below_target,
29,exp002_public_blend_6500_fast,experiments\exp002_public_blend_6500_fast\selected_manifest.csv,exp002_public_blend_6500_fast,,,97117.0,13.516328283804857,,,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,local_estimate_below_target,
2,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,97293.0,13.514517676859928,,,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,local_estimate_below_target,
9,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,81241.0,13.69482467517415,,,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,local_estimate_below_target,
13,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,116882.0,13.3310798421544,,,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,local_estimate_below_target,
18,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,114578.0,13.35098890724301,,,64808870a76b7223f8b7fcc999c0e407c9f458c537ad3a6666389444608c867d,local_estimate_below_target,
24,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,9080.0,15.88617052840466,,,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,local_estimate_below_target,
29,exp003_rule_audit_compress,experiments\exp003_rule_audit_compress\selected_manifest.csv,exp003_rule_audit_compress,,,97117.0,13.516328283804857,,,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,local_estimate_below_target,
2,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,97293.0,13.514517676859928,,,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,full_validation_pass_below_target,full_arc_gen_validation_pass
9,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,81241.0,13.69482467517415,,,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,full_validation_pass_below_target,full_arc_gen_validation_pass
13,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,116882.0,13.3310798421544,,,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,full_validation_pass_below_target,full_arc_gen_validation_pass
18,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,114578.0,13.35098890724301,,,64808870a76b7223f8b7fcc999c0e407c9f458c537ad3a6666389444608c867d,full_validation_pass_below_target,full_arc_gen_validation_pass
24,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,9080.0,15.88617052840466,,,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,full_validation_pass_below_target,full_arc_gen_validation_pass
29,exp004_public_blend_relaxed_static,experiments\exp004_public_blend_relaxed_static\selected_manifest.csv,exp004_public_blend_relaxed_static,,,97117.0,13.516328283804857,,,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,full_validation_pass_below_target,full_arc_gen_validation_pass
2,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,massimilianoghiotto_6254,,,97293.0,13.514517676859928,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
9,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,massimilianoghiotto_6254,,,81241.0,13.69482467517415,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
13,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,massimilianoghiotto_6254,,,116882.0,13.3310798421544,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
18,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,kojimar_5800_minimal_blend,,,114578.0,13.35098890724301,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
24,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,massimilianoghiotto_6254,,,9080.0,15.88617052840466,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
29,exp005_top_cost_rewrite_strict,experiments\exp005_top_cost_rewrite_strict\rewrite_manifest.csv,massimilianoghiotto_6254,,,97117.0,13.516328283804857,unchanged,no unused initializers,,full_validation_pass_below_target,full_arc_gen_validation_pass
2,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,97293.0,13.514517676859928,,,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,local_estimate_below_target,
9,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,81241.0,13.69482467517415,,,2043f559e1ee947e2533c1ca00c25a699daed5b516d1bb4bf3515822ea52518d,local_estimate_below_target,
13,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,116882.0,13.3310798421544,,,98f0942c7dbfaf541df9396cfbf3af4d1699a7f8bae9f96b9c4541f220eea98f,local_estimate_below_target,
18,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,114578.0,13.35098890724301,,,64808870a76b7223f8b7fcc999c0e407c9f458c537ad3a6666389444608c867d,local_estimate_below_target,
24,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,9080.0,15.88617052840466,,,f8a1d671c3118abe56700d79b82cd03b36acad2b03a5453a7790ca311b792d5d,local_estimate_below_target,
29,exp008_extra_public_sources_strict,experiments\exp008_extra_public_sources_strict\selected_manifest.csv,exp008_extra_public_sources_strict,,,97117.0,13.516328283804857,,,67b2f5bba2a2aea6aec1a4bebfab5e828d34965219f8f312739337d2e77a59ce,local_estimate_below_target,
