case,memory,params,cost,score_reason,bytes,sha256,path
identity,0,0,0,ok,153,225dc3251adfb4ef4b40d5aa48c0ad4137f75e4187a94c1e2597bd2ca8a53627,experiments\exp158_dtype_memory_cost_probe\identity.onnx
fp32_add_zero,0,1,1,ok,178,895283d4cf7182ffe62d6d93efa5d6de2352054dffac1eeeca9084c5171e2829,experiments\exp158_dtype_memory_cost_probe\fp32_add_zero.onnx
fp32_add_zero_then_identity,36000,1,36001,ok,224,492873a5093c3a20839b8392652e0298f78b3dfaaac1123478d5814fe5622ae6,experiments\exp158_dtype_memory_cost_probe\fp32_add_zero_then_identity.onnx
fp32_mul_one_then_add_zero,36000,2,36002,ok,240,d5403dd611118555e5fefdfb9386fe2293e88a45b183091ebd58f925826498db,experiments\exp158_dtype_memory_cost_probe\fp32_mul_one_then_add_zero.onnx
fp16_roundtrip,18000,0,18000,ok,206,349d0cce4243e15e00d3e8cdac336038a501f976f9d440ff58bf5fed0ad5e1e4,experiments\exp158_dtype_memory_cost_probe\fp16_roundtrip.onnx
bool_roundtrip,9000,0,9000,ok,206,5cd6dcc0122aac10b8d977cbe0206f0490b88b8953f0eb9c46dfaf4a36f6d0c6,experiments\exp158_dtype_memory_cost_probe\bool_roundtrip.onnx
uint8_roundtrip,9000,0,9000,ok,203,7e920feca124b0cd47d9bd2d042228f75c00d72258d1425dae0eb06e08dfcc0d,experiments\exp158_dtype_memory_cost_probe\uint8_roundtrip.onnx
int32_roundtrip,36000,0,36000,ok,205,45809fd4491f05d6863ace35ce0779fe91ce0c282449d89e837f980eca60605e,experiments\exp158_dtype_memory_cost_probe\int32_roundtrip.onnx
fp16_add_zero_roundtrip,36000,1,36001,ok,270,bea6da8acdc306f366b39deed247aedabdf6234695c42b9cc0c3dce742e8090d,experiments\exp158_dtype_memory_cost_probe\fp16_add_zero_roundtrip.onnx
bool_where_roundtrip,9000,9000,18000,ok,36252,4546b5b9808f9fb1095652513940360c9158ed15bcc38f959deefe5f38ed38c3,experiments\exp158_dtype_memory_cost_probe\bool_where_roundtrip.onnx
