audit_status,boolish_full_grid,cast_from_boolish_to_float_full_grid,cast_to_float_full_grid,float_full_grid_from_boolish,full_grid_bool,full_grid_float,full_grid_int32,full_grid_uint8,heuristic_saving,node_count,op_counts,reason,task_id,top_full_grid_producers,where_full_grid
ok,129,2,2,0,129,3,0,0,4275000,723,Where:145 And:111 Equal:77 Cast:61 ReduceSum:44 Greater:25 Tile:25 Or:22 MaxPool:22 Reshape:21 Gather:18 Sub:16,ok,366,Where:82 And:72 Cast:51 Equal:36 MaxPool:22 Gather:18 Or:10 Tile:6 Greater:5 Not:5,82
ok,69,0,0,0,69,4,0,4,1899000,125,And:27 Equal:13 Add:11 GreaterOrEqual:10 LessOrEqual:10 Or:10 Where:8 Sub:7 Reshape:7 ArgMax:5 ReduceSum:3 Gather:3,ok,284,And:27 Equal:11 GreaterOrEqual:10 LessOrEqual:10 Or:10 Where:4 input_or_initializer:3 ReduceSum:1 Gather:1 Sub:1,4
ok,37,18,18,0,37,21,0,0,1494000,374,Slice:91 Reshape:91 And:72 Greater:55 Less:37 Cast:19 MatMul:2 Flatten:1 Unsqueeze:1 Sub:1 Mul:1 ReduceSum:1,ok,158,And:36 Cast:18 input_or_initializer:1 Where:1 Sum:1 Greater:1,1
ok,51,0,0,0,51,1,0,0,1449000,239,Slice:45 Pad:36 Where:30 And:29 Equal:28 Greater:23 Or:20 ReduceMax:8 ReduceMin:4 Sub:4 CumSum:4 Cast:3,ok,382,And:26 Or:20 Slice:9 Where:8 Cast:3 Greater:3 Not:2 input_or_initializer:1 Concat:1 ReduceSum:1,8
ok,45,0,0,0,45,1,0,28,1215000,84,Greater:24 And:16 Cast:15 MaxPool:14 Gather:10 ReduceSum:1 LessOrEqual:1 Or:1 Not:1 Concat:1,ok,187,Greater:24 And:16 Cast:15 MaxPool:14 Gather:10 input_or_initializer:2 Concat:1 ReduceSum:1 LessOrEqual:1 Or:1,0
ok,37,1,1,0,37,4,0,0,1098000,102,And:21 Or:12 Cast:10 Greater:10 Where:8 Less:5 Equal:4 GatherND:4 Not:4 Sub:3 Concat:3 Unsqueeze:3,ok,328,And:21 Where:8 Greater:4 Or:4 GreaterOrEqual:3 Less:3 input_or_initializer:2 Conv:2 Cast:1 Add:1,8
ok,30,0,0,0,30,1,0,2,855000,79,And:21 Less:12 ReduceSum:8 Where:7 Sum:5 Sub:5 Equal:4 Or:4 Cast:3 Gather:2 Abs:2 Conv:1,ok,34,And:19 Where:5 input_or_initializer:4 Or:4 Less:3 Cast:2 ReduceSum:2 Sub:2 Abs:2 Gather:1,5
ok,16,0,0,0,16,2,0,0,603000,107,Where:23 Gather:14 Mul:14 Greater:9 Max:9 Equal:7 Sub:6 Conv:5 Cast:4 ReduceMax:4 CumSum:4 MaxPool:4,ok,54,Where:19 Mul:14 Gather:12 Greater:9 Max:8 Sub:6 Conv:5 Equal:4 CumSum:4 MaxPool:4,19
ok,21,0,0,0,21,1,0,0,576000,57,Greater:9 And:9 Cast:6 ReduceSum:6 Conv:5 Or:5 Where:4 Mul:3 Slice:2 Sub:2 Not:2 Equal:2,ok,383,And:8 Cast:5 Conv:5 Greater:5 Or:5 Equal:2 input_or_initializer:1 Concat:1 Slice:1 Where:1,1
ok,18,1,1,0,18,9,1,4,531000,197,Cast:28 Reshape:23 Less:22 Where:20 Not:20 ReduceMax:18 And:17 Min:13 ReduceMin:10 Concat:6 GatherND:5 Equal:5,ok,377,And:9 Cast:6 Equal:5 Not:4 Min:3 Where:2 input_or_initializer:1 Conv:1 Gather:1,2
ok,17,0,0,0,17,2,0,1,486000,99,Cast:14 Squeeze:10 Gather:10 And:9 Greater:7 Equal:7 Where:7 ReduceMax:5 Or:5 ReduceSum:4 Less:4 Add:4,ok,138,And:6 Or:5 Cast:4 Greater:3 Where:3 CumSum:2 Less:2 Gather:2 input_or_initializer:1 Conv:1,3
ok,15,0,0,0,15,1,0,0,405000,168,Equal:60 And:45 Cast:14 Or:12 Slice:11 Greater:6 ReduceSum:6 ReduceMax:4 Conv:2 ConvTranspose:2 Concat:2 Clip:1,ok,182,Slice:6 And:3 Or:2 input_or_initializer:1 Concat:1 Greater:1 Pad:1 Not:1,0
ok,13,0,0,0,13,3,0,6,351000,25,And:6 Cast:5 Greater:4 Not:3 ConvTranspose:2 Slice:1 Conv:1 Relu:1 ReduceSum:1 Concat:1,ok,349,And:6 Cast:5 Greater:4 Not:3 input_or_initializer:2 ConvTranspose:2 Concat:1 Slice:1 ReduceSum:1,0
ok,9,1,1,0,9,3,0,0,342000,39,Where:8 Cast:4 Sub:4 Equal:3 Add:3 Greater:2 Not:2 ReduceMin:2 ReduceMax:2 Reshape:2 ArgMax:1 ReduceSum:1,ok,206,Where:8 Equal:3 Cast:2 Greater:2 Not:2 input_or_initializer:1 ArgMax:1 ReduceSum:1 And:1 Slice:1,8
ok,12,0,0,0,12,3,0,0,333000,214,Cast:52 ReduceMax:33 Equal:27 ReduceSum:20 Greater:19 Add:15 And:10 Not:9 Where:9 Sub:4 Mul:4 ReduceMin:2,ok,21,Equal:9 Cast:9 Less:2 input_or_initializer:1 Where:1 Conv:1 And:1,1
