all_changes_on_zero,all_changes_to_existing_colors,changed_bbox,changed_components,changed_coords_norm,changed_count,changed_from_to,idx,input_colors,input_nonzero_bbox,input_nonzero_count,input_shape,output_colors,output_equals_input_plus_sparse,output_nonzero_bbox,output_nonzero_count,output_shape,same_shape,split
False,True,"(3, 1, 11, 16)",9,3:1:4->0 3:4:0->3 3:6:3->0 3:11:0->4 7:9:4->0 7:11:0->4 10:7:2->0 11:4:0->3 11:16:3->0,9,4->0:2 0->3:2 3->0:2 0->4:2 2->0:1,0,0:301 2:1 3:20 4:20,"(0, 1, 17, 16)",41,"(18, 19)",0:302 3:20 4:20,True,"(0, 3, 17, 12)",40,"(18, 19)",True,train
False,True,"(0, 2, 13, 10)",10,0:3:2->0 1:9:4->0 2:3:0->2 4:6:0->2 4:10:0->2 5:10:1->0 7:6:2->0 9:10:0->1 11:2:0->1 13:2:1->0 13:10:2->0,11,2->0:3 0->2:3 1->0:2 0->1:2 4->0:1,1,0:176 1:16 2:17 4:1,"(0, 0, 13, 13)",34,"(15, 14)",0:177 1:16 2:17,True,"(2, 0, 11, 13)",33,"(15, 14)",True,train
False,True,"(1, 3, 13, 12)",8,1:3:1->0 1:7:8->0 4:7:0->8 6:3:0->8 6:11:0->8 8:11:8->0 12:3:8->0 13:12:1->0,8,8->0:3 0->8:3 1->0:2,2,0:219 1:2 8:19,"(1, 0, 13, 15)",21,"(15, 16)",0:221 8:19,True,"(4, 0, 6, 15)",19,"(15, 16)",True,train
False,True,"(2, 0, 17, 24)",17,2:5:0->2 2:16:2->0 4:24:8->0 5:9:8->0 7:6:4->0 7:19:0->4 9:12:0->3 9:13:3->0 10:1:2->0 10:3:0->2 11:17:8->0 15:0:8->0 15:8:3->0 15:10:0->3 15:21:0->4 15:24:4->0 17:12:0->3 17:22:3->0,18,8->0:4 0->3:3 3->0:3 0->2:2 2->0:2 4->0:2 0->4:2,3,0:426 2:21 3:22 4:21 8:4,"(0, 0, 18, 24)",68,"(19, 26)",0:430 2:21 3:22 4:21,True,"(0, 3, 18, 21)",64,"(19, 26)",True,test
False,True,"(8, 6, 26, 10)",5,8:8:9->0 16:6:7->0 16:10:1->0 18:8:0->9 26:6:0->7,5,9->0:1 7->0:1 1->0:1 0->9:1 0->7:1,4,0:347 1:1 2:14 4:14 7:15 9:15,"(6, 0, 27, 13)",59,"(29, 14)",0:348 2:14 4:14 7:15 9:15,True,"(6, 0, 27, 13)",58,"(29, 14)",True,arc-gen
False,True,"(6, 0, 9, 0)",2,6:0:8->0 9:0:0->8,2,8->0:1 0->8:1,5,0:285 8:23 9:22,"(3, 0, 10, 21)",45,"(15, 22)",0:285 8:23 9:22,True,"(3, 0, 10, 21)",45,"(15, 22)",True,arc-gen
False,True,"(1, 3, 11, 22)",7,1:22:3->0 4:21:0->7 6:18:3->0 7:3:3->0 8:3:0->3 8:18:0->3 8:22:0->3 11:21:7->0,8,3->0:3 0->3:3 0->7:1 7->0:1,6,0:334 3:29 7:27,"(1, 0, 11, 25)",56,"(15, 26)",0:334 3:29 7:27,True,"(3, 0, 9, 25)",56,"(15, 26)",True,arc-gen
False,True,"(0, 0, 21, 15)",16,0:4:3->0 1:15:2->0 2:4:0->3 4:1:0->3 4:12:0->3 4:13:0->3 5:1:3->0 5:3:9->0 8:0:1->0 8:8:2->0 9:6:2->0 9:11:9->0 10:0:0->1 16:12:3->0 16:13:3->0 18:6:0->2 18:8:0->2 18:15:0->2 21:2:9->0,19,3->0:4 0->3:4 2->0:3 9->0:3 0->2:3 1->0:1 0->1:1,7,0:329 1:18 2:20 3:21 9:3,"(0, 0, 21, 16)",62,"(23, 17)",0:332 1:18 2:20 3:21,True,"(2, 0, 19, 16)",59,"(23, 17)",True,arc-gen
False,True,"(1, 0, 24, 25)",18,1:5:0->5 1:13:5->0 3:18:8->0 3:19:0->8 15:5:0->5 15:24:5->0 18:1:5->0 18:3:0->5 18:7:8->0 18:19:0->8 19:12:0->6 19:17:6->0 20:5:0->5 20:14:5->0 21:18:8->0 21:19:0->8 23:12:0->6 23:25:6->0 24:0:5->0 24:3:0->5 24:12:0->6 24:25:6->0,22,0->5:5 5->0:5 8->0:3 0->8:3 0->6:3 6->0:3,8,0:637 5:32 6:30 8:30,"(0, 0, 26, 25)",92,"(27, 27)",0:637 5:32 6:30 8:30,False,"(0, 3, 26, 20)",92,"(27, 27)",True,arc-gen
False,True,"(1, 7, 16, 23)",10,1:15:9->0 6:7:0->7 6:13:0->7 7:11:2->0 10:15:0->9 13:13:7->0 14:9:2->0 14:22:2->0 15:7:7->0 16:23:2->0,10,2->0:4 0->7:2 7->0:2 9->0:1 0->9:1,9,0:425 2:4 7:26 8:24 9:25,"(1, 0, 20, 23)",79,"(21, 24)",0:429 7:26 8:24 9:25,True,"(5, 0, 20, 23)",75,"(21, 24)",True,arc-gen
