added_total,all_top_deltas,all_top_line_types,balanced_removed_added_colors,color_count_preserved_nonzero_colors,color_counts_preserved,color_motion,dominant_delta,dominant_line_type,idx,input_nonzero_bbox,nonzero_count_preserved,output_nonzero_bbox,recolor_total,removed_total,shape,split
4,"0,-2:1 0,-12:1 0,10:1 0,2:1",horizontal:4,2,2,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 2, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(10, 7, 10, 7)""}, {""added"": 2, ""added_bbox"": ""(3, 4, 11, 4)"", ""color"": 3, ""delta_counts"": {""0,-12"": 1, ""0,-2"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 20, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 7.0, ""output_count"": 20, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(3, 6, 11, 16)"", ""top_delta"": ""(0, -2):1 (0, -12):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 2, ""added_bbox"": ""(3, 11, 7, 11)"", ""color"": 4, ""delta_counts"": {""0,10"": 1, ""0,2"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 20, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 6.0, ""output_count"": 20, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(3, 1, 7, 9)"", ""top_delta"": ""(0, 10):1 (0, 2):1"", ""top_line_type"": ""horizontal:2""}]","0,-2",horizontal,0,"(0, 1, 17, 16)",False,"(0, 3, 17, 12)",0,5,"(18, 19)",train
5,"4,0:1 -2,0:1 2,0:1 -3,0:1 -9,0:1",vertical:5,2,2,False,"[{""added"": 2, ""added_bbox"": ""(9, 2, 11, 10)"", ""color"": 1, ""delta_counts"": {""-2,0"": 1, ""4,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 16, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 3.0, ""output_count"": 16, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(5, 2, 13, 10)"", ""top_delta"": ""(4, 0):1 (-2, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 3, ""added_bbox"": ""(2, 3, 4, 10)"", ""color"": 2, ""delta_counts"": {""-3,0"": 1, ""-9,0"": 1, ""2,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 17, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 4.6667, ""output_count"": 17, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(0, 3, 13, 10)"", ""top_delta"": ""(2, 0):1 (-3, 0):1 (-9, 0):1"", ""top_line_type"": ""vertical:3""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 4, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(1, 9, 1, 9)""}]","4,0",vertical,1,"(0, 0, 13, 13)",False,"(2, 0, 11, 13)",0,6,"(15, 14)",train
3,"3,0:1 -2,0:1 -6,0:1",vertical:3,1,1,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 1, ""input_count"": 2, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 2, ""removed_bbox"": ""(1, 3, 13, 12)""}, {""added"": 3, ""added_bbox"": ""(4, 3, 6, 11)"", ""color"": 8, ""delta_counts"": {""-2,0"": 1, ""-6,0"": 1, ""3,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 19, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 3.6667, ""output_count"": 19, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(1, 3, 12, 11)"", ""top_delta"": ""(3, 0):1 (-2, 0):1 (-6, 0):1"", ""top_line_type"": ""vertical:3""}]","3,0",vertical,2,"(1, 0, 13, 15)",False,"(4, 0, 6, 15)",0,5,"(15, 16)",train
7,"0,2:2 0,-11:1 0,-1:1 0,-10:1 0,13:1 0,-3:1",horizontal:7,3,3,False,"[{""added"": 2, ""added_bbox"": ""(2, 3, 10, 5)"", ""color"": 2, ""delta_counts"": {""0,-11"": 1, ""0,2"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 6.5, ""output_count"": 21, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(2, 1, 10, 16)"", ""top_delta"": ""(0, -11):1 (0, 2):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 3, ""added_bbox"": ""(9, 10, 17, 12)"", ""color"": 3, ""delta_counts"": {""0,-1"": 1, ""0,-10"": 1, ""0,2"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 22, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 4.3333, ""output_count"": 22, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(9, 8, 17, 22)"", ""top_delta"": ""(0, -1):1 (0, 2):1 (0, -10):1"", ""top_line_type"": ""horizontal:3""}, {""added"": 2, ""added_bbox"": ""(7, 19, 15, 21)"", ""color"": 4, ""delta_counts"": {""0,-3"": 1, ""0,13"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""horizontal"": 2}, ""mean_manhattan"": 8.0, ""output_count"": 21, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(7, 6, 15, 24)"", ""top_delta"": ""(0, 13):1 (0, -3):1"", ""top_line_type"": ""horizontal:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 4, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 4, ""removed_bbox"": ""(4, 0, 15, 24)""}]","0,2",horizontal,3,"(0, 0, 18, 24)",False,"(0, 3, 18, 21)",0,11,"(19, 26)",test
2,"10,0:2",vertical:2,4,4,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 1, ""input_count"": 1, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 1, ""removed_bbox"": ""(16, 10, 16, 10)""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 2, ""input_count"": 14, ""output_count"": 14, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 4, ""input_count"": 14, ""output_count"": 14, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 1, ""added_bbox"": ""(26, 6, 26, 6)"", ""color"": 7, ""delta_counts"": {""10,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 15, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 10.0, ""output_count"": 15, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(16, 6, 16, 6)"", ""top_delta"": ""(10, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 1, ""added_bbox"": ""(18, 8, 18, 8)"", ""color"": 9, ""delta_counts"": {""10,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 15, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 10.0, ""output_count"": 15, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(8, 8, 8, 8)"", ""top_delta"": ""(10, 0):1"", ""top_line_type"": ""vertical:1""}]","10,0",vertical,4,"(6, 0, 27, 13)",False,"(6, 0, 27, 13)",0,3,"(29, 14)",arc-gen
1,"3,0:1",vertical:1,2,2,True,"[{""added"": 1, ""added_bbox"": ""(9, 0, 9, 0)"", ""color"": 8, ""delta_counts"": {""3,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 23, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 3.0, ""output_count"": 23, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(6, 0, 6, 0)"", ""top_delta"": ""(3, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 9, ""input_count"": 22, ""output_count"": 22, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}]","3,0",vertical,5,"(3, 0, 10, 21)",True,"(3, 0, 10, 21)",0,1,"(15, 22)",arc-gen
4,"7,0:1 2,0:1 1,0:1 -7,0:1",vertical:4,2,2,True,"[{""added"": 3, ""added_bbox"": ""(8, 3, 8, 22)"", ""color"": 3, ""delta_counts"": {""1,0"": 1, ""2,0"": 1, ""7,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 29, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 3.3333, ""output_count"": 29, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(1, 3, 7, 22)"", ""top_delta"": ""(7, 0):1 (2, 0):1 (1, 0):1"", ""top_line_type"": ""vertical:3""}, {""added"": 1, ""added_bbox"": ""(4, 21, 4, 21)"", ""color"": 7, ""delta_counts"": {""-7,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 27, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 7.0, ""output_count"": 27, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(11, 21, 11, 21)"", ""top_delta"": ""(-7, 0):1"", ""top_line_type"": ""vertical:1""}]","7,0",vertical,6,"(1, 0, 11, 25)",True,"(3, 0, 9, 25)",0,4,"(15, 26)",arc-gen
8,"2,0:2 -12,0:2 17,0:1 10,0:1 9,0:1 -1,0:1",vertical:8,3,3,False,"[{""added"": 1, ""added_bbox"": ""(10, 0, 10, 0)"", ""color"": 1, ""delta_counts"": {""2,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 18, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 2.0, ""output_count"": 18, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(8, 0, 8, 0)"", ""top_delta"": ""(2, 0):1"", ""top_line_type"": ""vertical:1""}, {""added"": 3, ""added_bbox"": ""(18, 6, 18, 15)"", ""color"": 2, ""delta_counts"": {""10,0"": 1, ""17,0"": 1, ""9,0"": 1}, ""dominant_delta_share"": 0.3333, ""dominant_line_share"": 1.0, ""input_count"": 20, ""line_counts"": {""vertical"": 3}, ""mean_manhattan"": 12.0, ""output_count"": 20, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(1, 6, 9, 15)"", ""top_delta"": ""(17, 0):1 (10, 0):1 (9, 0):1"", ""top_line_type"": ""vertical:3""}, {""added"": 4, ""added_bbox"": ""(2, 1, 4, 13)"", ""color"": 3, ""delta_counts"": {""-1,0"": 1, ""-12,0"": 2, ""2,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 21, ""line_counts"": {""vertical"": 4}, ""mean_manhattan"": 6.75, ""output_count"": 21, ""pair_count"": 4, ""perfect_size_match"": true, ""removed"": 4, ""removed_bbox"": ""(0, 1, 16, 13)"", ""top_delta"": ""(-12, 0):2 (2, 0):1 (-1, 0):1"", ""top_line_type"": ""vertical:4""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 9, ""input_count"": 3, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 3, ""removed_bbox"": ""(5, 2, 21, 11)""}]","2,0",vertical,7,"(0, 0, 21, 16)",False,"(2, 0, 19, 16)",0,11,"(23, 17)",arc-gen
11,"0,-13:2 0,1:2 0,-8:1 0,-19:1 0,2:1 0,-9:1 0,3:1 0,-5:1",horizontal:11,3,3,True,"[{""added"": 5, ""added_bbox"": ""(1, 3, 24, 5)"", ""color"": 5, ""delta_counts"": {""0,-19"": 1, ""0,-8"": 1, ""0,-9"": 1, ""0,2"": 1, ""0,3"": 1}, ""dominant_delta_share"": 0.2, ""dominant_line_share"": 1.0, ""input_count"": 32, ""line_counts"": {""horizontal"": 5}, ""mean_manhattan"": 8.2, ""output_count"": 32, ""pair_count"": 5, ""perfect_size_match"": true, ""removed"": 5, ""removed_bbox"": ""(1, 0, 24, 24)"", ""top_delta"": ""(0, -8):1 (0, -19):1 (0, 2):1 (0, -9):1 (0, 3):1"", ""top_line_type"": ""horizontal:5""}, {""added"": 3, ""added_bbox"": ""(19, 12, 24, 12)"", ""color"": 6, ""delta_counts"": {""0,-13"": 2, ""0,-5"": 1}, ""dominant_delta_share"": 0.6667, ""dominant_line_share"": 1.0, ""input_count"": 30, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 10.3333, ""output_count"": 30, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(19, 17, 24, 25)"", ""top_delta"": ""(0, -13):2 (0, -5):1"", ""top_line_type"": ""horizontal:3""}, {""added"": 3, ""added_bbox"": ""(3, 19, 21, 19)"", ""color"": 8, ""delta_counts"": {""0,1"": 2, ""0,12"": 1}, ""dominant_delta_share"": 0.6667, ""dominant_line_share"": 1.0, ""input_count"": 30, ""line_counts"": {""horizontal"": 3}, ""mean_manhattan"": 4.6667, ""output_count"": 30, ""pair_count"": 3, ""perfect_size_match"": true, ""removed"": 3, ""removed_bbox"": ""(3, 7, 21, 18)"", ""top_delta"": ""(0, 1):2 (0, 12):1"", ""top_line_type"": ""horizontal:3""}]","0,-13",horizontal,8,"(0, 0, 26, 25)",True,"(0, 3, 26, 20)",0,11,"(27, 27)",arc-gen
3,"-7,0:1 -9,0:1 9,0:1",vertical:3,3,3,False,"[{""added"": 0, ""added_bbox"": ""None"", ""color"": 2, ""input_count"": 4, ""output_count"": 0, ""pair_count"": 0, ""perfect_size_match"": false, ""removed"": 4, ""removed_bbox"": ""(7, 9, 16, 23)""}, {""added"": 2, ""added_bbox"": ""(6, 7, 6, 13)"", ""color"": 7, ""delta_counts"": {""-7,0"": 1, ""-9,0"": 1}, ""dominant_delta_share"": 0.5, ""dominant_line_share"": 1.0, ""input_count"": 26, ""line_counts"": {""vertical"": 2}, ""mean_manhattan"": 8.0, ""output_count"": 26, ""pair_count"": 2, ""perfect_size_match"": true, ""removed"": 2, ""removed_bbox"": ""(13, 7, 15, 13)"", ""top_delta"": ""(-7, 0):1 (-9, 0):1"", ""top_line_type"": ""vertical:2""}, {""added"": 0, ""added_bbox"": ""None"", ""color"": 8, ""input_count"": 24, ""output_count"": 24, ""pair_count"": 0, ""perfect_size_match"": true, ""removed"": 0, ""removed_bbox"": ""None""}, {""added"": 1, ""added_bbox"": ""(10, 15, 10, 15)"", ""color"": 9, ""delta_counts"": {""9,0"": 1}, ""dominant_delta_share"": 1.0, ""dominant_line_share"": 1.0, ""input_count"": 25, ""line_counts"": {""vertical"": 1}, ""mean_manhattan"": 9.0, ""output_count"": 25, ""pair_count"": 1, ""perfect_size_match"": true, ""removed"": 1, ""removed_bbox"": ""(1, 15, 1, 15)"", ""top_delta"": ""(9, 0):1"", ""top_line_type"": ""vertical:1""}]","-7,0",vertical,9,"(1, 0, 20, 23)",False,"(5, 0, 20, 23)",0,7,"(21, 24)",arc-gen
