task_id,mapping_status,mapping_reason,inverse_indices,base_cost,candidate_cost,candidate_points,validation_status,status,reason
1,skip,shape mismatch example 0,,2843,,,,not_run,
2,skip,conflict color 0: 0 vs 4 at example 0,,97293,,,,not_run,
3,skip,shape mismatch example 0,,9102,,,,not_run,
4,skip,conflict color 6: 0 vs 6 at example 0,,55020,,,,not_run,
5,skip,conflict color 0: 0 vs 3 at example 0,,117225,,,,not_run,
6,skip,shape mismatch example 0,,1631,,,,not_run,
7,skip,conflict color 0: 2 vs 8 at example 0,,7271,,,,not_run,
8,skip,conflict color 0: 0 vs 2 at example 0,,23289,,,,not_run,
9,skip,conflict color 0: 0 vs 2 at example 0,,81241,,,,not_run,
10,skip,conflict color 5: 1 vs 2 at example 0,,5016,,,,not_run,
11,skip,conflict color 0: 2 vs 0 at example 0,,66247,,,,not_run,
12,skip,conflict color 0: 0 vs 2 at example 0,,12639,,,,not_run,
13,skip,conflict color 0: 0 vs 8 at example 0,,116882,,,,not_run,
14,skip,shape mismatch example 0,,39049,,,,not_run,
15,skip,conflict color 0: 0 vs 4 at example 0,,900,,,,not_run,
16,ok,ok,0 5 6 4 3 1 2 7 9 8,10,10,22.697414907005953,267_pass_0_fail,no_cost_gain,candidate cost is not lower than base manifest
17,skip,conflict color 0: 6 vs 3 at example 0,,35329,,,,not_run,
18,skip,conflict color 0: 0 vs 8 at example 0,,114578,,,,not_run,
19,skip,shape mismatch example 0,,81346,,,,not_run,
20,skip,conflict color 0: 0 vs 3 at example 0,,90133,,,,not_run,
21,skip,shape mismatch example 0,,51223,,,,not_run,
22,skip,shape mismatch example 0,,34821,,,,not_run,
23,skip,conflict color 5: 8 vs 2 at example 0,,21433,,,,not_run,
24,skip,conflict color 0: 0 vs 2 at example 0,,9080,,,,not_run,
25,skip,conflict color 4: 4 vs 0 at example 0,,89286,,,,not_run,
26,skip,shape mismatch example 0,,738,,,,not_run,
27,skip,conflict color 0: 0 vs 2 at example 0,,36791,,,,not_run,
28,skip,conflict color 0: 6 vs 0 at example 0,,8990,,,,not_run,
29,skip,shape mismatch example 0,,97117,,,,not_run,
30,skip,conflict color 2: 0 vs 2 at example 0,,11998,,,,not_run,
31,skip,shape mismatch example 0,,18616,,,,not_run,
32,skip,conflict color 4: 0 vs 4 at example 0,,3405,,,,not_run,
33,skip,conflict color 0: 0 vs 8 at example 0,,55161,,,,not_run,
34,skip,conflict color 0: 0 vs 4 at example 0,,106316,,,,not_run,
35,skip,conflict color 8: 9 vs 8 at example 0,,15363,,,,not_run,
36,skip,shape mismatch example 0,,79962,,,,not_run,
37,skip,conflict color 0: 0 vs 2 at example 0,,63726,,,,not_run,
38,skip,shape mismatch example 0,,2193,,,,not_run,
39,skip,shape mismatch example 0,,7772,,,,not_run,
40,skip,conflict color 3: 2 vs 1 at example 0,,7868,,,,not_run,
41,skip,conflict color 0: 0 vs 3 at example 0,,11769,,,,not_run,
42,skip,conflict color 0: 0 vs 8 at example 0,,8518,,,,not_run,
43,skip,conflict color 0: 0 vs 2 at example 0,,7119,,,,not_run,
44,skip,conflict color 0: 0 vs 8 at example 0,,31805,,,,not_run,
45,skip,conflict color 0: 0 vs 4 at example 0,,7428,,,,not_run,
46,skip,shape mismatch example 0,,33426,,,,not_run,
47,skip,conflict color 0: 0 vs 8 at example 0,,3024,,,,not_run,
48,skip,shape mismatch example 0,,5609,,,,not_run,
49,skip,shape mismatch example 0,,30489,,,,not_run,
50,skip,conflict color 0: 0 vs 3 at example 0,,9475,,,,not_run,
51,skip,conflict color 0: 0 vs 1 at example 0,,68437,,,,not_run,
52,skip,conflict color 9: 0 vs 5 at example 2,,1228,,,,not_run,
53,skip,conflict color 0: 1 vs 0 at example 0,,30,,,,not_run,
54,skip,conflict color 1: 1 vs 2 at example 0,,150548,,,,not_run,
55,skip,conflict color 0: 0 vs 2 at example 0,,26370,,,,not_run,
56,skip,shape mismatch example 0,,213,,,,not_run,
57,skip,shape mismatch example 0,,29304,,,,not_run,
58,skip,conflict color 0: 3 vs 0 at example 0,,16105,,,,not_run,
59,skip,conflict color 1: 0 vs 1 at example 0,,20387,,,,not_run,
60,skip,conflict color 0: 0 vs 1 at example 0,,5581,,,,not_run,
61,skip,conflict color 0: 1 vs 4 at example 0,,18914,,,,not_run,
62,skip,conflict color 0: 3 vs 4 at example 0,,30609,,,,not_run,
63,skip,conflict color 0: 0 vs 3 at example 0,,30732,,,,not_run,
64,skip,conflict color 8: 8 vs 4 at example 0,,114153,,,,not_run,
65,skip,shape mismatch example 0,,35109,,,,not_run,
66,skip,conflict color 0: 0 vs 3 at example 0,,21408,,,,not_run,
67,skip,shape mismatch example 0,,315,,,,not_run,
68,skip,conflict color 0: 0 vs 2 at example 0,,12589,,,,not_run,
69,skip,conflict color 8: 7 vs 6 at example 0,,84250,,,,not_run,
70,skip,conflict color 1: 1 vs 3 at example 0,,66138,,,,not_run,
71,skip,conflict color 1: 0 vs 6 at example 0,,129780,,,,not_run,
72,skip,shape mismatch example 0,,1309,,,,not_run,
73,skip,conflict color 5: 5 vs 1 at example 0,,910,,,,not_run,
74,skip,conflict color 9: 0 vs 1 at example 0,,21825,,,,not_run,
75,skip,conflict color 0: 4 vs 2 at example 0,,28487,,,,not_run,
76,skip,conflict color 0: 0 vs 3 at example 0,,36184,,,,not_run,
77,skip,conflict color 1: 1 vs 4 at example 0,,157913,,,,not_run,
78,skip,conflict color 0: 0 vs 2 at example 0,,11496,,,,not_run,
79,skip,shape mismatch example 0,,21383,,,,not_run,
80,skip,conflict color 0: 0 vs 3 at example 0,,42082,,,,not_run,
81,skip,conflict color 0: 0 vs 1 at example 0,,2307,,,,not_run,
82,skip,conflict color 0: 0 vs 2 at example 0,,23479,,,,not_run,
83,skip,shape mismatch example 0,,1800,,,,not_run,
84,skip,conflict color 0: 0 vs 2 at example 0,,19513,,,,not_run,
85,skip,conflict color 4: 4 vs 0 at example 0,,113178,,,,not_run,
86,skip,conflict color 0: 0 vs 4 at example 0,,25857,,,,not_run,
