task_id,shift_status,shift_reason,dr,dc,base_cost,candidate_cost,candidate_points,validation_status,status,reason
1,skip,no fixed shift,,,2843,,,,not_run,
2,skip,no fixed shift,,,97293,,,,not_run,
3,skip,no fixed shift,,,9102,,,,not_run,
4,skip,no fixed shift,,,55020,,,,not_run,
5,skip,no fixed shift,,,117225,,,,not_run,
6,skip,no fixed shift,,,1631,,,,not_run,
7,skip,no fixed shift,,,7271,,,,not_run,
8,skip,no fixed shift,,,23289,,,,not_run,
9,skip,no fixed shift,,,81241,,,,not_run,
10,skip,no fixed shift,,,5016,,,,not_run,
11,skip,no fixed shift,,,66247,,,,not_run,
12,skip,no fixed shift,,,12639,,,,not_run,
13,skip,no fixed shift,,,116882,,,,not_run,
14,skip,no fixed shift,,,39049,,,,not_run,
15,skip,no fixed shift,,,900,,,,not_run,
16,skip,no fixed shift,,,10,,,,not_run,
17,skip,no fixed shift,,,35329,,,,not_run,
18,skip,no fixed shift,,,114578,,,,not_run,
19,skip,no fixed shift,,,81346,,,,not_run,
20,skip,no fixed shift,,,90133,,,,not_run,
21,skip,no fixed shift,,,51223,,,,not_run,
22,skip,no fixed shift,,,34821,,,,not_run,
23,skip,no fixed shift,,,21433,,,,not_run,
24,skip,no fixed shift,,,9080,,,,not_run,
25,skip,no fixed shift,,,89286,,,,not_run,
26,skip,no fixed shift,,,738,,,,not_run,
27,skip,no fixed shift,,,36791,,,,not_run,
28,skip,no fixed shift,,,8990,,,,not_run,
29,skip,no fixed shift,,,97117,,,,not_run,
30,skip,no fixed shift,,,11998,,,,not_run,
31,skip,no fixed shift,,,18616,,,,not_run,
32,skip,no fixed shift,,,3405,,,,not_run,
33,skip,no fixed shift,,,55161,,,,not_run,
34,skip,no fixed shift,,,106316,,,,not_run,
35,skip,no fixed shift,,,15363,,,,not_run,
36,skip,no fixed shift,,,79962,,,,not_run,
37,skip,no fixed shift,,,63726,,,,not_run,
38,skip,no fixed shift,,,2193,,,,not_run,
39,skip,no fixed shift,,,7772,,,,not_run,
40,skip,no fixed shift,,,7868,,,,not_run,
41,skip,no fixed shift,,,11769,,,,not_run,
42,skip,no fixed shift,,,8518,,,,not_run,
43,skip,no fixed shift,,,7119,,,,not_run,
44,skip,no fixed shift,,,31805,,,,not_run,
45,skip,no fixed shift,,,7428,,,,not_run,
46,skip,no fixed shift,,,33426,,,,not_run,
47,skip,no fixed shift,,,3024,,,,not_run,
48,skip,no fixed shift,,,5609,,,,not_run,
49,skip,no fixed shift,,,30489,,,,not_run,
50,skip,no fixed shift,,,9475,,,,not_run,
51,skip,no fixed shift,,,68437,,,,not_run,
52,skip,no fixed shift,,,1228,,,,not_run,
53,ok,ok,1,0,30,,,0_pass_1_fail,rejected,mismatch example 0
54,skip,no fixed shift,,,150548,,,,not_run,
55,skip,no fixed shift,,,26370,,,,not_run,
56,skip,no fixed shift,,,213,,,,not_run,
57,skip,no fixed shift,,,29304,,,,not_run,
58,skip,no fixed shift,,,16105,,,,not_run,
59,skip,no fixed shift,,,20387,,,,not_run,
60,skip,no fixed shift,,,5581,,,,not_run,
61,skip,no fixed shift,,,18914,,,,not_run,
62,skip,no fixed shift,,,30609,,,,not_run,
63,skip,no fixed shift,,,30732,,,,not_run,
64,skip,no fixed shift,,,114153,,,,not_run,
65,skip,no fixed shift,,,35109,,,,not_run,
66,skip,no fixed shift,,,21408,,,,not_run,
67,skip,no fixed shift,,,315,,,,not_run,
68,skip,no fixed shift,,,12589,,,,not_run,
69,skip,no fixed shift,,,84250,,,,not_run,
70,skip,no fixed shift,,,66138,,,,not_run,
71,skip,no fixed shift,,,129780,,,,not_run,
72,skip,no fixed shift,,,1309,,,,not_run,
73,skip,no fixed shift,,,910,,,,not_run,
74,skip,no fixed shift,,,21825,,,,not_run,
75,skip,no fixed shift,,,28487,,,,not_run,
76,skip,no fixed shift,,,36184,,,,not_run,
77,skip,no fixed shift,,,157913,,,,not_run,
78,skip,no fixed shift,,,11496,,,,not_run,
79,skip,no fixed shift,,,21383,,,,not_run,
80,skip,no fixed shift,,,42082,,,,not_run,
81,skip,no fixed shift,,,2307,,,,not_run,
82,skip,no fixed shift,,,23479,,,,not_run,
83,skip,no fixed shift,,,1800,,,,not_run,
84,skip,no fixed shift,,,19513,,,,not_run,
85,skip,no fixed shift,,,113178,,,,not_run,
86,skip,no fixed shift,,,25857,,,,not_run,
87,skip,no fixed shift,,,368,,,,not_run,
88,skip,no fixed shift,,,72766,,,,not_run,
89,skip,no fixed shift,,,49703,,,,not_run,
90,skip,no fixed shift,,,63354,,,,not_run,
91,skip,no fixed shift,,,51466,,,,not_run,
92,skip,no fixed shift,,,46290,,,,not_run,
93,skip,no fixed shift,,,15458,,,,not_run,
94,skip,no fixed shift,,,10453,,,,not_run,
95,skip,no fixed shift,,,910,,,,not_run,
96,skip,no fixed shift,,,26948,,,,not_run,
97,skip,no fixed shift,,,55812,,,,not_run,
98,skip,no fixed shift,,,910,,,,not_run,
99,skip,no fixed shift,,,4910,,,,not_run,
100,skip,no fixed shift,,,6536,,,,not_run,
101,skip,no fixed shift,,,65875,,,,not_run,
102,skip,no fixed shift,,,12607,,,,not_run,
103,skip,no fixed shift,,,193,,,,not_run,
104,skip,no fixed shift,,,3682,,,,not_run,
105,skip,no fixed shift,,,7055,,,,not_run,
106,skip,no fixed shift,,,1164,,,,not_run,
107,skip,no fixed shift,,,73131,,,,not_run,
108,skip,no fixed shift,,,1800,,,,not_run,
109,skip,no fixed shift,,,94878,,,,not_run,
110,skip,no fixed shift,,,109201,,,,not_run,
111,skip,no fixed shift,,,797,,,,not_run,
112,skip,no fixed shift,,,59270,,,,not_run,
113,skip,no fixed shift,,,30,,,,not_run,
114,skip,no fixed shift,,,1254,,,,not_run,
115,skip,no fixed shift,,,4122,,,,not_run,
116,skip,no fixed shift,,,30,,,,not_run,
117,skip,no fixed shift,,,18454,,,,not_run,
118,skip,no fixed shift,,,60026,,,,not_run,
119,skip,no fixed shift,,,16640,,,,not_run,
120,skip,no fixed shift,,,910,,,,not_run,
121,skip,no fixed shift,,,6530,,,,not_run,
122,skip,no fixed shift,,,2510,,,,not_run,
123,skip,no fixed shift,,,4104,,,,not_run,
124,skip,no fixed shift,,,11673,,,,not_run,
125,skip,no fixed shift,,,13417,,,,not_run,
