active_score_cc,active_score_ok,active_score_rr,col_window_count,idx,pair_cc,pair_ok,pair_rr,pair_score,rightmost_score_cc,rightmost_score_ok,rightmost_score_rr,row_window_count,score_active_cc,score_active_ok,score_active_rr,score_cc,score_ok,score_rr,shape
"5,8,11,14",True,"5,8,11,14",6,0,"5,8,11,14",True,"5,8,11,14",12,"5,8,11,14",True,"5,8,11,14",6,"5,8,11,14",True,"5,8,11,14","5,8,11,14",True,"5,8,11,14",29x29
"3,7,11,15",True,"7,11,15,19",3,1,"3,7,11,15",True,"7,11,15,19",11,"3,7,11,15",True,"7,11,15,19",3,"3,7,11,15",True,"7,11,15,19","3,7,11,15",True,"7,11,15,19",27x27
"14,17,20,23",True,"11,14,17,20",6,2,"14,17,20,23",True,"11,14,17,20",14,"14,17,20,23",True,"11,14,17,20",6,"14,17,20,23",True,"11,14,17,20","14,17,20,23",True,"11,14,17,20",29x29
"7,11,15,19",True,"7,11,15,19",3,3,"7,11,15,19",True,"7,11,15,19",16,"7,11,15,19",True,"7,11,15,19",3,"7,11,15,19",True,"7,11,15,19","7,11,15,19",True,"7,11,15,19",27x27
"4,9,14,19",True,"4,9,14,19",2,4,"4,9,14,19",True,"4,9,14,19",16,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
"9,14,19,24",True,"4,9,14,19",2,5,"9,14,19,24",True,"4,9,14,19",16,"9,14,19,24",True,"4,9,14,19",2,"9,14,19,24",True,"4,9,14,19","9,14,19,24",True,"4,9,14,19",29x29
"14,17,20,23",True,"8,11,14,17",6,6,"14,17,20,23",True,"8,11,14,17",12,"14,17,20,23",True,"8,11,14,17",6,"14,17,20,23",True,"8,11,14,17","14,17,20,23",True,"8,11,14,17",29x29
"2,5,8,11",True,"11,14,17,20",6,7,"2,5,8,11",True,"11,14,17,20",15,"2,5,8,11",True,"11,14,17,20",6,"2,5,8,11",True,"11,14,17,20","2,5,8,11",True,"11,14,17,20",29x29
"11,15,19,23",True,"3,7,11,15",3,8,"11,15,19,23",True,"3,7,11,15",12,"11,15,19,23",True,"3,7,11,15",3,"11,15,19,23",True,"3,7,11,15","11,15,19,23",True,"3,7,11,15",27x27
"9,14,19,24",True,"9,14,19,24",2,9,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"7,11,15,19",True,"7,11,15,19",3,10,"7,11,15,19",True,"7,11,15,19",16,"7,11,15,19",True,"7,11,15,19",3,"7,11,15,19",True,"7,11,15,19","7,11,15,19",True,"7,11,15,19",27x27
"9,14,19,24",True,"4,9,14,19",2,11,"9,14,19,24",True,"4,9,14,19",11,"9,14,19,24",True,"4,9,14,19",2,"9,14,19,24",True,"4,9,14,19","9,14,19,24",True,"4,9,14,19",29x29
"17,20,23,26",True,"14,17,20,23",6,12,"17,20,23,26",True,"14,17,20,23",12,"17,20,23,26",True,"14,17,20,23",6,"17,20,23,26",True,"14,17,20,23","17,20,23,26",True,"14,17,20,23",29x29
"3,7,11,15",True,"3,7,11,15",3,13,"3,7,11,15",True,"3,7,11,15",13,"3,7,11,15",True,"3,7,11,15",3,"3,7,11,15",True,"3,7,11,15","3,7,11,15",True,"3,7,11,15",27x27
"8,11,14,17",True,"8,11,14,17",6,14,"8,11,14,17",True,"8,11,14,17",14,"8,11,14,17",True,"8,11,14,17",6,"8,11,14,17",True,"8,11,14,17","8,11,14,17",True,"8,11,14,17",29x29
"3,7,11,15",True,"3,7,11,15",3,15,"3,7,11,15",True,"3,7,11,15",14,"3,7,11,15",True,"3,7,11,15",3,"3,7,11,15",True,"3,7,11,15","3,7,11,15",True,"3,7,11,15",27x27
"14,17,20,23",True,"14,17,20,23",6,16,"14,17,20,23",True,"14,17,20,23",12,"14,17,20,23",True,"14,17,20,23",6,"14,17,20,23",True,"14,17,20,23","14,17,20,23",True,"14,17,20,23",29x29
"3,7,11,15",True,"11,15,19,23",3,17,"3,7,11,15",True,"11,15,19,23",16,"3,7,11,15",True,"11,15,19,23",3,"3,7,11,15",True,"11,15,19,23","3,7,11,15",True,"11,15,19,23",27x27
"2,5,8,11",True,"11,14,17,20",6,18,"2,5,8,11",True,"11,14,17,20",12,"2,5,8,11",True,"11,14,17,20",6,"2,5,8,11",True,"11,14,17,20","2,5,8,11",True,"11,14,17,20",29x29
"4,9,14,19",True,"9,14,19,24",2,19,"4,9,14,19",True,"9,14,19,24",10,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"7,11,15,19",True,"11,15,19,23",3,20,"7,11,15,19",True,"11,15,19,23",13,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"17,20,23,26",True,"11,14,17,20",6,21,"17,20,23,26",True,"11,14,17,20",12,"17,20,23,26",True,"11,14,17,20",6,"17,20,23,26",True,"11,14,17,20","17,20,23,26",True,"11,14,17,20",29x29
"3,7,11,15",True,"11,15,19,23",3,22,"3,7,11,15",True,"11,15,19,23",10,"3,7,11,15",True,"11,15,19,23",3,"3,7,11,15",True,"11,15,19,23","3,7,11,15",True,"11,15,19,23",27x27
"3,7,11,15",True,"11,15,19,23",3,23,"3,7,11,15",True,"11,15,19,23",14,"3,7,11,15",True,"11,15,19,23",3,"3,7,11,15",True,"11,15,19,23","3,7,11,15",True,"11,15,19,23",27x27
"8,11,14,17",True,"17,20,23,26",6,24,"8,11,14,17",True,"17,20,23,26",14,"8,11,14,17",True,"17,20,23,26",6,"8,11,14,17",True,"17,20,23,26","8,11,14,17",True,"17,20,23,26",29x29
"2,5,8,11",True,"11,14,17,20",6,25,"2,5,8,11",True,"11,14,17,20",16,"2,5,8,11",True,"11,14,17,20",6,"2,5,8,11",True,"11,14,17,20","2,5,8,11",True,"11,14,17,20",29x29
"9,14,19,24",True,"9,14,19,24",2,26,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"9,14,19,24",True,"4,9,14,19",2,27,"9,14,19,24",True,"4,9,14,19",12,"9,14,19,24",True,"4,9,14,19",2,"9,14,19,24",True,"4,9,14,19","9,14,19,24",True,"4,9,14,19",29x29
"11,15,19,23",True,"7,11,15,19",3,28,"11,15,19,23",True,"7,11,15,19",13,"11,15,19,23",True,"7,11,15,19",3,"11,15,19,23",True,"7,11,15,19","11,15,19,23",True,"7,11,15,19",27x27
"4,9,14,19",True,"9,14,19,24",2,29,"4,9,14,19",True,"9,14,19,24",14,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"4,9,14,19",True,"9,14,19,24",2,30,"4,9,14,19",True,"9,14,19,24",13,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"14,17,20,23",True,"11,14,17,20",6,31,"14,17,20,23",True,"11,14,17,20",12,"14,17,20,23",True,"11,14,17,20",6,"14,17,20,23",True,"11,14,17,20","14,17,20,23",True,"11,14,17,20",29x29
"9,14,19,24",True,"9,14,19,24",2,32,"9,14,19,24",True,"9,14,19,24",16,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"7,11,15,19",True,"11,15,19,23",3,33,"7,11,15,19",True,"11,15,19,23",12,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"2,5,8,11",True,"14,17,20,23",6,34,"2,5,8,11",True,"14,17,20,23",12,"2,5,8,11",True,"14,17,20,23",6,"2,5,8,11",True,"14,17,20,23","2,5,8,11",True,"14,17,20,23",29x29
"5,8,11,14",True,"8,11,14,17",6,35,"5,8,11,14",True,"8,11,14,17",12,"5,8,11,14",True,"8,11,14,17",6,"5,8,11,14",True,"8,11,14,17","5,8,11,14",True,"8,11,14,17",29x29
"9,14,19,24",True,"9,14,19,24",2,36,"9,14,19,24",True,"9,14,19,24",12,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"9,14,19,24",True,"9,14,19,24",2,37,"9,14,19,24",True,"9,14,19,24",12,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"2,5,8,11",True,"2,5,8,11",6,38,"2,5,8,11",True,"2,5,8,11",16,"2,5,8,11",True,"2,5,8,11",6,"2,5,8,11",True,"2,5,8,11","2,5,8,11",True,"2,5,8,11",29x29
"7,11,15,19",True,"3,7,11,15",3,39,"7,11,15,19",True,"3,7,11,15",15,"7,11,15,19",True,"3,7,11,15",3,"7,11,15,19",True,"3,7,11,15","7,11,15,19",True,"3,7,11,15",27x27
"9,14,19,24",True,"9,14,19,24",2,40,"9,14,19,24",True,"9,14,19,24",12,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"7,11,15,19",True,"11,15,19,23",3,41,"7,11,15,19",True,"11,15,19,23",12,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"7,11,15,19",True,"11,15,19,23",3,42,"7,11,15,19",True,"11,15,19,23",12,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"14,17,20,23",True,"5,8,11,14",6,43,"14,17,20,23",True,"5,8,11,14",14,"14,17,20,23",True,"5,8,11,14",6,"14,17,20,23",True,"5,8,11,14","14,17,20,23",True,"5,8,11,14",29x29
"4,9,14,19",True,"9,14,19,24",2,44,"4,9,14,19",True,"9,14,19,24",12,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"4,9,14,19",True,"9,14,19,24",2,45,"4,9,14,19",True,"9,14,19,24",11,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"9,14,19,24",True,"4,9,14,19",2,46,"9,14,19,24",True,"4,9,14,19",10,"9,14,19,24",True,"4,9,14,19",2,"9,14,19,24",True,"4,9,14,19","9,14,19,24",True,"4,9,14,19",29x29
"5,8,11,14",True,"14,17,20,23",6,47,"5,8,11,14",True,"14,17,20,23",8,"5,8,11,14",True,"14,17,20,23",6,"5,8,11,14",True,"14,17,20,23","5,8,11,14",True,"14,17,20,23",29x29
"9,14,19,24",True,"4,9,14,19",2,48,"9,14,19,24",True,"4,9,14,19",16,"9,14,19,24",True,"4,9,14,19",2,"9,14,19,24",True,"4,9,14,19","9,14,19,24",True,"4,9,14,19",29x29
"7,11,15,19",True,"11,15,19,23",3,49,"7,11,15,19",True,"11,15,19,23",12,"7,11,15,19",True,"11,15,19,23",3,"7,11,15,19",True,"11,15,19,23","7,11,15,19",True,"11,15,19,23",27x27
"3,7,11,15",True,"3,7,11,15",3,50,"3,7,11,15",True,"3,7,11,15",12,"3,7,11,15",True,"3,7,11,15",3,"3,7,11,15",True,"3,7,11,15","3,7,11,15",True,"3,7,11,15",27x27
"14,17,20,23",True,"5,8,11,14",6,51,"14,17,20,23",True,"5,8,11,14",14,"14,17,20,23",True,"5,8,11,14",6,"14,17,20,23",True,"5,8,11,14","14,17,20,23",True,"5,8,11,14",29x29
"7,11,15,19",True,"3,7,11,15",3,52,"7,11,15,19",True,"3,7,11,15",14,"7,11,15,19",True,"3,7,11,15",3,"7,11,15,19",True,"3,7,11,15","7,11,15,19",True,"3,7,11,15",27x27
"14,17,20,23",True,"14,17,20,23",6,53,"14,17,20,23",True,"14,17,20,23",12,"14,17,20,23",True,"14,17,20,23",6,"14,17,20,23",True,"14,17,20,23","14,17,20,23",True,"14,17,20,23",29x29
"4,9,14,19",True,"9,14,19,24",2,54,"4,9,14,19",True,"9,14,19,24",13,"4,9,14,19",True,"9,14,19,24",2,"4,9,14,19",True,"9,14,19,24","4,9,14,19",True,"9,14,19,24",29x29
"9,14,19,24",True,"9,14,19,24",2,55,"9,14,19,24",True,"9,14,19,24",14,"9,14,19,24",True,"9,14,19,24",2,"9,14,19,24",True,"9,14,19,24","9,14,19,24",True,"9,14,19,24",29x29
"2,5,8,11",True,"14,17,20,23",6,56,"2,5,8,11",True,"14,17,20,23",11,"2,5,8,11",True,"14,17,20,23",6,"2,5,8,11",True,"14,17,20,23","2,5,8,11",True,"14,17,20,23",29x29
"3,7,11,15",True,"7,11,15,19",3,57,"3,7,11,15",True,"7,11,15,19",14,"3,7,11,15",True,"7,11,15,19",3,"3,7,11,15",True,"7,11,15,19","3,7,11,15",True,"7,11,15,19",27x27
"2,5,8,11",True,"5,8,11,14",6,58,"2,5,8,11",True,"5,8,11,14",13,"2,5,8,11",True,"5,8,11,14",6,"2,5,8,11",True,"5,8,11,14","2,5,8,11",True,"5,8,11,14",29x29
"3,7,11,15",True,"3,7,11,15",3,59,"3,7,11,15",True,"3,7,11,15",10,"3,7,11,15",True,"3,7,11,15",3,"3,7,11,15",True,"3,7,11,15","3,7,11,15",True,"3,7,11,15",27x27
"11,14,17,20",True,"11,14,17,20",6,60,"11,14,17,20",True,"11,14,17,20",12,"11,14,17,20",True,"11,14,17,20",6,"11,14,17,20",True,"11,14,17,20","11,14,17,20",True,"11,14,17,20",29x29
"11,15,19,23",True,"3,7,11,15",3,61,"11,15,19,23",True,"3,7,11,15",10,"11,15,19,23",True,"3,7,11,15",3,"11,15,19,23",True,"3,7,11,15","11,15,19,23",True,"3,7,11,15",27x27
"4,9,14,19",True,"4,9,14,19",2,62,"4,9,14,19",True,"4,9,14,19",16,"4,9,14,19",True,"4,9,14,19",2,"4,9,14,19",True,"4,9,14,19","4,9,14,19",True,"4,9,14,19",29x29
"14,17,20,23",True,"17,20,23,26",6,63,"14,17,20,23",True,"17,20,23,26",12,"14,17,20,23",True,"17,20,23,26",6,"14,17,20,23",True,"17,20,23,26","14,17,20,23",True,"17,20,23,26",29x29
"11,15,19,23",True,"7,11,15,19",3,64,"11,15,19,23",True,"7,11,15,19",14,"11,15,19,23",True,"7,11,15,19",3,"11,15,19,23",True,"7,11,15,19","11,15,19,23",True,"7,11,15,19",27x27
