idx,shape,ok_valid,ok_any,match,rr_valid,cc_valid,rr_any,cc_any,rr_valid_score,rr_any_score,cc_valid_score,cc_any_score
0,29x29,True,True,True,"5,8,11,14","5,8,11,14","5,8,11,14","5,8,11,14",12,12,12,12
1,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",11,11,11,11
2,29x29,True,True,True,"11,14,17,20","14,17,20,23","11,14,17,20","14,17,20,23",14,14,14,14
3,27x27,True,True,True,"7,11,15,19","7,11,15,19","7,11,15,19","7,11,15,19",16,16,16,16
4,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",16,16,16,16
5,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",16,16,16,16
6,29x29,True,True,True,"8,11,14,17","14,17,20,23","8,11,14,17","14,17,20,23",12,12,12,12
7,29x29,True,True,True,"11,14,17,20","2,5,8,11","11,14,17,20","2,5,8,11",15,15,15,15
8,27x27,True,True,True,"3,7,11,15","11,15,19,23","3,7,11,15","11,15,19,23",12,12,12,12
9,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
10,27x27,True,True,True,"7,11,15,19","7,11,15,19","7,11,15,19","7,11,15,19",16,16,16,16
11,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",11,11,11,11
12,29x29,True,True,True,"14,17,20,23","17,20,23,26","14,17,20,23","17,20,23,26",12,12,12,12
13,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",13,13,13,13
14,29x29,True,True,True,"8,11,14,17","8,11,14,17","8,11,14,17","8,11,14,17",14,14,14,14
15,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",14,14,14,14
16,29x29,True,True,True,"14,17,20,23","14,17,20,23","14,17,20,23","14,17,20,23",12,12,12,12
17,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",16,16,16,16
18,29x29,True,True,True,"11,14,17,20","2,5,8,11","11,14,17,20","2,5,8,11",12,12,12,12
19,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",10,10,10,10
20,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",13,13,13,13
21,29x29,True,True,True,"11,14,17,20","17,20,23,26","11,14,17,20","17,20,23,26",12,12,12,12
22,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",10,10,10,10
23,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",14,14,14,14
24,29x29,True,True,True,"17,20,23,26","8,11,14,17","17,20,23,26","8,11,14,17",14,14,14,14
25,29x29,True,True,True,"11,14,17,20","2,5,8,11","11,14,17,20","2,5,8,11",16,16,16,16
26,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
27,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",12,12,12,12
28,27x27,True,True,True,"7,11,15,19","11,15,19,23","7,11,15,19","11,15,19,23",13,13,13,13
29,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
30,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",13,13,13,13
31,29x29,True,True,True,"11,14,17,20","14,17,20,23","11,14,17,20","14,17,20,23",12,12,12,12
32,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
33,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",12,12,12,12
34,29x29,True,True,True,"14,17,20,23","2,5,8,11","14,17,20,23","2,5,8,11",12,12,12,12
35,29x29,True,True,True,"8,11,14,17","5,8,11,14","8,11,14,17","5,8,11,14",12,12,12,12
36,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
37,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
38,29x29,True,True,True,"2,5,8,11","2,5,8,11","2,5,8,11","2,5,8,11",16,16,16,16
39,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",15,15,15,15
40,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",12,12,12,12
41,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",12,12,12,12
42,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",12,12,12,12
43,29x29,True,True,True,"5,8,11,14","14,17,20,23","5,8,11,14","14,17,20,23",14,14,14,14
44,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",12,12,12,12
45,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",11,11,11,11
46,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",10,10,10,10
47,29x29,True,True,True,"14,17,20,23","5,8,11,14","14,17,20,23","5,8,11,14",8,8,8,8
48,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",16,16,16,16
49,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",12,12,12,12
50,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",12,12,12,12
51,29x29,True,True,True,"5,8,11,14","14,17,20,23","5,8,11,14","14,17,20,23",14,14,14,14
52,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",14,14,14,14
53,29x29,True,True,True,"14,17,20,23","14,17,20,23","14,17,20,23","14,17,20,23",12,12,12,12
54,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",13,13,13,13
55,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",14,14,14,14
56,29x29,True,True,True,"14,17,20,23","2,5,8,11","14,17,20,23","2,5,8,11",11,11,11,11
57,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",14,14,14,14
58,29x29,True,True,True,"5,8,11,14","2,5,8,11","5,8,11,14","2,5,8,11",13,13,13,13
59,27x27,True,True,True,"3,7,11,15","3,7,11,15","3,7,11,15","3,7,11,15",10,10,10,10
60,29x29,True,True,True,"11,14,17,20","11,14,17,20","11,14,17,20","11,14,17,20",12,12,12,12
61,27x27,True,True,True,"3,7,11,15","11,15,19,23","3,7,11,15","11,15,19,23",10,10,10,10
62,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",16,16,16,16
63,29x29,True,True,True,"17,20,23,26","14,17,20,23","17,20,23,26","14,17,20,23",12,12,12,12
64,27x27,True,True,True,"7,11,15,19","11,15,19,23","7,11,15,19","11,15,19,23",14,14,14,14
65,29x29,True,True,True,"5,8,11,14","17,20,23,26","5,8,11,14","17,20,23,26",16,16,16,16
66,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
67,29x29,True,True,True,"5,8,11,14","5,8,11,14","5,8,11,14","5,8,11,14",12,12,12,12
68,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",10,10,10,10
69,27x27,True,True,True,"3,7,11,15","11,15,19,23","3,7,11,15","11,15,19,23",12,12,12,12
70,29x29,True,True,True,"14,17,20,23","8,11,14,17","14,17,20,23","8,11,14,17",16,16,16,16
71,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",12,12,12,12
72,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",14,14,14,14
73,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",14,14,14,14
74,29x29,True,True,True,"8,11,14,17","2,5,8,11","8,11,14,17","2,5,8,11",14,14,14,14
75,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
76,29x29,True,True,True,"2,5,8,11","17,20,23,26","2,5,8,11","17,20,23,26",14,14,14,14
77,29x29,True,True,True,"14,17,20,23","11,14,17,20","14,17,20,23","11,14,17,20",12,12,12,12
78,29x29,True,True,True,"17,20,23,26","14,17,20,23","17,20,23,26","14,17,20,23",16,16,16,16
79,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",12,12,12,12
80,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",14,14,14,14
81,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",15,15,15,15
82,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",14,14,14,14
83,29x29,True,True,True,"14,17,20,23","8,11,14,17","14,17,20,23","8,11,14,17",14,14,14,14
84,29x29,True,True,True,"14,17,20,23","5,8,11,14","14,17,20,23","5,8,11,14",12,12,12,12
85,29x29,True,True,True,"14,17,20,23","11,14,17,20","14,17,20,23","11,14,17,20",12,12,12,12
86,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",13,13,13,13
87,29x29,True,True,True,"17,20,23,26","5,8,11,14","17,20,23,26","5,8,11,14",13,13,13,13
88,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",10,10,10,10
89,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",14,14,14,14
90,29x29,True,True,True,"5,8,11,14","11,14,17,20","5,8,11,14","11,14,17,20",12,12,12,12
91,27x27,True,True,True,"7,11,15,19","7,11,15,19","7,11,15,19","7,11,15,19",12,12,12,12
92,29x29,True,True,True,"11,14,17,20","8,11,14,17","11,14,17,20","8,11,14,17",15,15,15,15
93,29x29,True,True,True,"8,11,14,17","8,11,14,17","8,11,14,17","8,11,14,17",12,12,12,12
94,29x29,True,True,True,"5,8,11,14","17,20,23,26","5,8,11,14","17,20,23,26",12,12,12,12
95,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",10,10,10,10
96,29x29,True,True,True,"4,9,14,19","4,9,14,19","4,9,14,19","4,9,14,19",10,10,10,10
97,29x29,True,True,True,"11,14,17,20","11,14,17,20","11,14,17,20","11,14,17,20",14,14,14,14
98,27x27,True,True,True,"7,11,15,19","11,15,19,23","7,11,15,19","11,15,19,23",16,16,16,16
99,29x29,True,True,True,"8,11,14,17","14,17,20,23","8,11,14,17","14,17,20,23",11,11,11,11
100,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
101,29x29,True,True,True,"2,5,8,11","8,11,14,17","2,5,8,11","8,11,14,17",16,16,16,16
102,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",14,14,14,14
103,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",14,14,14,14
104,29x29,True,True,True,"2,5,8,11","5,8,11,14","2,5,8,11","5,8,11,14",12,12,12,12
