idx,ok,shape,object_count,selected_rank,selected_bbox,selected_shape,count2_values,count2_margin,output_shape
0,True,10x10,3,0,"(0, 6, 5, 10)","(5, 4)","3,2,1",1,"(5, 4)"
1,True,10x10,3,2,"(7, 1, 10, 4)","(3, 3)","5,4,1",1,"(3, 3)"
2,True,10x10,2,0,"(0, 0, 6, 4)","(6, 4)","3,2",1,"(6, 4)"
3,True,10x10,3,1,"(1, 6, 7, 9)","(6, 3)","4,3,2",1,"(6, 3)"
4,True,10x10,2,0,"(4, 5, 9, 10)","(5, 5)","2,1",1,"(5, 5)"
5,True,10x10,2,0,"(2, 0, 5, 6)","(3, 6)","3,1",2,"(3, 6)"
6,True,10x10,2,1,"(4, 1, 9, 4)","(5, 3)","3,2",1,"(5, 3)"
7,True,10x10,3,1,"(3, 5, 6, 10)","(3, 5)","3,2,1",1,"(3, 5)"
8,True,10x10,3,0,"(0, 3, 4, 9)","(4, 6)","3,2,1",1,"(4, 6)"
9,True,10x10,3,0,"(0, 7, 3, 10)","(3, 3)","3,2,1",1,"(3, 3)"
10,True,10x10,3,0,"(1, 1, 5, 4)","(4, 3)","4,3,1",1,"(4, 3)"
11,True,10x10,2,0,"(0, 4, 3, 9)","(3, 5)","3,1",2,"(3, 5)"
12,True,10x10,3,0,"(1, 6, 4, 10)","(3, 4)","4,2,1",2,"(3, 4)"
13,True,10x10,2,1,"(4, 1, 7, 6)","(3, 5)","2,1",1,"(3, 5)"
14,True,10x10,3,2,"(6, 0, 9, 3)","(3, 3)","4,3,2",1,"(3, 3)"
15,True,10x10,2,1,"(3, 1, 7, 5)","(4, 4)","4,3",1,"(4, 4)"
16,True,10x10,3,0,"(0, 6, 3, 10)","(3, 4)","3,2,1",1,"(3, 4)"
17,True,10x10,2,1,"(4, 0, 9, 5)","(5, 5)","4,2",2,"(5, 5)"
18,True,10x10,3,2,"(5, 0, 9, 3)","(4, 3)","3,2,1",1,"(4, 3)"
19,True,10x10,3,1,"(1, 6, 4, 9)","(3, 3)","4,3,1",1,"(3, 3)"
20,True,10x10,2,0,"(1, 5, 5, 9)","(4, 4)","4,2",2,"(4, 4)"
21,True,10x10,3,2,"(7, 1, 10, 4)","(3, 3)","4,3,2",1,"(3, 3)"
22,True,10x10,3,0,"(0, 0, 3, 6)","(3, 6)","4,3,2",1,"(3, 6)"
23,True,10x10,2,1,"(4, 0, 9, 5)","(5, 5)","3,1",2,"(5, 5)"
24,True,10x10,3,2,"(5, 6, 8, 9)","(3, 3)","4,3,1",1,"(3, 3)"
25,True,10x10,3,1,"(1, 5, 4, 10)","(3, 5)","3,2,1",1,"(3, 5)"
26,True,10x10,3,0,"(0, 5, 5, 10)","(5, 5)","3,2,1",1,"(5, 5)"
27,True,10x10,3,1,"(0, 7, 3, 10)","(3, 3)","3,2,1",1,"(3, 3)"
28,True,10x10,3,0,"(0, 2, 3, 8)","(3, 6)","4,3,1",1,"(3, 6)"
29,True,10x10,3,2,"(6, 1, 9, 5)","(3, 4)","4,3,1",1,"(3, 4)"
30,True,10x10,3,1,"(1, 5, 4, 8)","(3, 3)","4,3,2",1,"(3, 3)"
31,True,10x10,3,0,"(1, 5, 5, 10)","(4, 5)","4,3,2",1,"(4, 5)"
32,True,10x10,3,2,"(6, 0, 9, 5)","(3, 5)","4,3,2",1,"(3, 5)"
33,True,10x10,3,1,"(1, 0, 5, 3)","(4, 3)","3,2,1",1,"(4, 3)"
34,True,10x10,3,1,"(4, 6, 8, 10)","(4, 4)","3,2,1",1,"(4, 4)"
35,True,10x10,3,1,"(0, 5, 5, 9)","(5, 4)","4,2,1",2,"(5, 4)"
36,True,10x10,3,0,"(1, 7, 6, 10)","(5, 3)","4,2,1",2,"(5, 3)"
37,True,10x10,3,2,"(5, 3, 8, 7)","(3, 4)","4,2,1",2,"(3, 4)"
38,True,10x10,3,2,"(5, 6, 9, 10)","(4, 4)","4,2,1",2,"(4, 4)"
39,True,10x10,3,2,"(7, 3, 10, 9)","(3, 6)","4,2,1",2,"(3, 6)"
40,True,10x10,3,2,"(6, 6, 10, 9)","(4, 3)","4,2,1",2,"(4, 3)"
41,True,10x10,3,2,"(6, 5, 10, 9)","(4, 4)","4,3,2",1,"(4, 4)"
42,True,10x10,3,2,"(6, 0, 9, 5)","(3, 5)","3,2,1",1,"(3, 5)"
43,True,10x10,3,0,"(0, 0, 4, 4)","(4, 4)","4,3,2",1,"(4, 4)"
44,True,10x10,3,0,"(0, 5, 4, 8)","(4, 3)","4,3,2",1,"(4, 3)"
45,True,10x10,2,0,"(0, 2, 3, 8)","(3, 6)","3,2",1,"(3, 6)"
46,True,10x10,2,1,"(2, 0, 6, 3)","(4, 3)","4,2",2,"(4, 3)"
47,True,10x10,2,0,"(3, 0, 7, 4)","(4, 4)","2,1",1,"(4, 4)"
48,True,10x10,3,1,"(6, 1, 9, 6)","(3, 5)","4,3,1",1,"(3, 5)"
49,True,10x10,3,2,"(6, 0, 10, 5)","(4, 5)","4,2,1",2,"(4, 5)"
50,True,10x10,2,0,"(2, 3, 6, 6)","(4, 3)","4,1",3,"(4, 3)"
51,True,10x10,3,0,"(1, 5, 4, 9)","(3, 4)","4,2,1",2,"(3, 4)"
52,True,10x10,3,2,"(6, 6, 9, 10)","(3, 4)","4,3,2",1,"(3, 4)"
53,True,10x10,3,1,"(6, 0, 9, 6)","(3, 6)","3,2,1",1,"(3, 6)"
54,True,10x10,3,0,"(0, 0, 5, 4)","(5, 4)","4,3,2",1,"(5, 4)"
55,True,10x10,3,2,"(7, 0, 10, 3)","(3, 3)","4,3,1",1,"(3, 3)"
56,True,10x10,3,1,"(2, 4, 5, 7)","(3, 3)","4,3,2",1,"(3, 3)"
57,True,10x10,2,0,"(0, 4, 3, 9)","(3, 5)","3,2",1,"(3, 5)"
58,True,10x10,3,2,"(7, 0, 10, 5)","(3, 5)","4,3,2",1,"(3, 5)"
59,True,10x10,2,0,"(1, 7, 7, 10)","(6, 3)","4,2",2,"(6, 3)"
60,True,10x10,3,0,"(0, 6, 3, 10)","(3, 4)","3,2,1",1,"(3, 4)"
61,True,10x10,2,0,"(0, 0, 5, 5)","(5, 5)","4,1",3,"(5, 5)"
62,True,10x10,2,0,"(1, 5, 5, 10)","(4, 5)","4,2",2,"(4, 5)"
63,True,10x10,3,2,"(6, 7, 10, 10)","(4, 3)","4,2,1",2,"(4, 3)"
64,True,10x10,2,1,"(5, 6, 10, 10)","(5, 4)","2,1",1,"(5, 4)"
65,True,10x10,3,1,"(3, 0, 9, 3)","(6, 3)","3,2,1",1,"(6, 3)"
66,True,10x10,3,0,"(1, 5, 6, 9)","(5, 4)","3,2,1",1,"(5, 4)"
67,True,10x10,3,2,"(5, 4, 9, 10)","(4, 6)","4,2,1",2,"(4, 6)"
68,True,10x10,3,0,"(0, 0, 5, 3)","(5, 3)","4,2,1",2,"(5, 3)"
69,True,10x10,3,2,"(5, 0, 8, 6)","(3, 6)","4,2,1",2,"(3, 6)"
70,True,10x10,3,0,"(0, 1, 4, 4)","(4, 3)","4,3,2",1,"(4, 3)"
71,True,10x10,3,2,"(6, 6, 10, 10)","(4, 4)","4,3,2",1,"(4, 4)"
72,True,10x10,3,2,"(4, 0, 8, 4)","(4, 4)","3,2,1",1,"(4, 4)"
73,True,10x10,2,1,"(4, 5, 10, 10)","(6, 5)","3,2",1,"(6, 5)"
74,True,10x10,3,0,"(0, 3, 3, 9)","(3, 6)","4,2,1",2,"(3, 6)"
75,True,10x10,2,0,"(1, 2, 5, 8)","(4, 6)","3,1",2,"(4, 6)"
76,True,10x10,2,1,"(3, 6, 9, 9)","(6, 3)","3,1",2,"(6, 3)"
77,True,10x10,3,1,"(2, 0, 7, 3)","(5, 3)","4,3,1",1,"(5, 3)"
78,True,10x10,3,2,"(6, 1, 9, 4)","(3, 3)","4,2,1",2,"(3, 3)"
79,True,10x10,3,2,"(5, 6, 9, 10)","(4, 4)","4,2,1",2,"(4, 4)"
80,True,10x10,3,1,"(0, 4, 3, 10)","(3, 6)","4,3,1",1,"(3, 6)"
81,True,10x10,3,1,"(5, 1, 8, 4)","(3, 3)","4,3,1",1,"(3, 3)"
82,True,10x10,2,0,"(1, 3, 4, 9)","(3, 6)","4,3",1,"(3, 6)"
83,True,10x10,3,0,"(1, 0, 6, 3)","(5, 3)","4,3,2",1,"(5, 3)"
84,True,10x10,3,0,"(0, 0, 5, 4)","(5, 4)","4,3,1",1,"(5, 4)"
85,True,10x10,3,2,"(5, 6, 8, 10)","(3, 4)","4,2,1",2,"(3, 4)"
86,True,10x10,2,1,"(3, 5, 7, 8)","(4, 3)","4,3",1,"(4, 3)"
87,True,10x10,3,1,"(1, 1, 6, 4)","(5, 3)","4,3,1",1,"(5, 3)"
88,True,10x10,3,0,"(0, 0, 3, 3)","(3, 3)","3,2,1",1,"(3, 3)"
89,True,10x10,2,1,"(5, 2, 9, 8)","(4, 6)","3,2",1,"(4, 6)"
90,True,10x10,3,0,"(0, 7, 3, 10)","(3, 3)","3,2,1",1,"(3, 3)"
91,True,10x10,2,0,"(0, 3, 5, 9)","(5, 6)","2,1",1,"(5, 6)"
92,True,10x10,2,0,"(1, 1, 4, 4)","(3, 3)","2,1",1,"(3, 3)"
93,True,10x10,3,2,"(5, 6, 10, 10)","(5, 4)","4,3,1",1,"(5, 4)"
94,True,10x10,3,0,"(1, 0, 6, 3)","(5, 3)","4,2,1",2,"(5, 3)"
95,True,10x10,3,2,"(7, 7, 10, 10)","(3, 3)","3,2,1",1,"(3, 3)"
96,True,10x10,3,0,"(0, 6, 5, 10)","(5, 4)","4,3,1",1,"(5, 4)"
97,True,10x10,3,2,"(6, 3, 9, 6)","(3, 3)","4,3,2",1,"(3, 3)"
98,True,10x10,3,0,"(0, 3, 3, 9)","(3, 6)","4,3,1",1,"(3, 6)"
99,True,10x10,3,1,"(1, 0, 5, 4)","(4, 4)","4,3,1",1,"(4, 4)"
100,True,10x10,3,2,"(7, 5, 10, 9)","(3, 4)","3,2,1",1,"(3, 4)"
101,True,10x10,3,0,"(0, 6, 3, 9)","(3, 3)","4,2,1",2,"(3, 3)"
102,True,10x10,3,0,"(0, 2, 5, 6)","(5, 4)","4,3,1",1,"(5, 4)"
103,True,10x10,2,0,"(0, 1, 5, 7)","(5, 6)","4,1",3,"(5, 6)"
104,True,10x10,3,1,"(2, 7, 8, 10)","(6, 3)","4,3,1",1,"(6, 3)"
105,True,10x10,3,0,"(0, 1, 4, 5)","(4, 4)","4,2,1",2,"(4, 4)"
106,True,10x10,2,0,"(0, 7, 6, 10)","(6, 3)","2,1",1,"(6, 3)"
107,True,10x10,2,0,"(2, 3, 6, 6)","(4, 3)","3,1",2,"(4, 3)"
108,True,10x10,3,0,"(0, 0, 5, 5)","(5, 5)","3,2,1",1,"(5, 5)"
109,True,10x10,3,1,"(4, 7, 9, 10)","(5, 3)","4,3,2",1,"(5, 3)"
110,True,10x10,3,2,"(6, 0, 10, 3)","(4, 3)","4,3,2",1,"(4, 3)"
111,True,10x10,3,0,"(1, 4, 4, 10)","(3, 6)","4,3,2",1,"(3, 6)"
112,True,10x10,2,0,"(0, 3, 3, 6)","(3, 3)","4,1",3,"(3, 3)"
113,True,10x10,3,0,"(0, 6, 3, 9)","(3, 3)","4,3,2",1,"(3, 3)"
114,True,10x10,2,1,"(6, 3, 10, 9)","(4, 6)","4,1",3,"(4, 6)"
115,True,10x10,3,0,"(0, 6, 3, 9)","(3, 3)","4,3,2",1,"(3, 3)"
116,True,10x10,3,1,"(7, 0, 10, 3)","(3, 3)","4,3,1",1,"(3, 3)"
117,True,10x10,3,1,"(3, 0, 6, 5)","(3, 5)","4,2,1",2,"(3, 5)"
118,True,10x10,3,2,"(6, 7, 9, 10)","(3, 3)","4,2,1",2,"(3, 3)"
119,True,10x10,3,2,"(6, 3, 10, 9)","(4, 6)","4,3,1",1,"(4, 6)"
120,True,10x10,3,1,"(2, 5, 7, 9)","(5, 4)","4,3,2",1,"(5, 4)"
121,True,10x10,3,2,"(6, 5, 10, 9)","(4, 4)","3,2,1",1,"(4, 4)"
122,True,10x10,3,1,"(1, 5, 4, 10)","(3, 5)","4,3,1",1,"(3, 5)"
123,True,10x10,3,0,"(0, 0, 5, 4)","(5, 4)","3,2,1",1,"(5, 4)"
124,True,10x10,3,0,"(1, 5, 4, 8)","(3, 3)","4,3,2",1,"(3, 3)"
125,True,10x10,3,1,"(4, 0, 7, 4)","(3, 4)","4,2,1",2,"(3, 4)"
126,True,10x10,3,2,"(7, 6, 10, 9)","(3, 3)","4,3,1",1,"(3, 3)"
127,True,10x10,3,0,"(1, 0, 4, 4)","(3, 4)","4,2,1",2,"(3, 4)"
128,True,10x10,2,0,"(5, 0, 10, 4)","(5, 4)","3,1",2,"(5, 4)"
129,True,10x10,3,2,"(5, 6, 8, 10)","(3, 4)","4,2,1",2,"(3, 4)"
130,True,10x10,3,1,"(5, 2, 10, 5)","(5, 3)","4,2,1",2,"(5, 3)"
131,True,10x10,3,2,"(7, 4, 10, 7)","(3, 3)","3,2,1",1,"(3, 3)"
132,True,10x10,2,1,"(5, 7, 9, 10)","(4, 3)","3,1",2,"(4, 3)"
133,True,10x10,3,1,"(1, 0, 5, 3)","(4, 3)","4,2,1",2,"(4, 3)"
134,True,10x10,2,0,"(1, 7, 5, 10)","(4, 3)","4,2",2,"(4, 3)"
135,True,10x10,3,0,"(0, 1, 4, 4)","(4, 3)","4,3,1",1,"(4, 3)"
136,True,10x10,3,0,"(0, 1, 3, 7)","(3, 6)","4,2,1",2,"(3, 6)"
137,True,10x10,3,0,"(1, 0, 7, 4)","(6, 4)","4,2,1",2,"(6, 4)"
138,True,10x10,3,2,"(5, 0, 9, 6)","(4, 6)","3,2,1",1,"(4, 6)"
139,True,10x10,3,0,"(0, 3, 3, 7)","(3, 4)","4,2,1",2,"(3, 4)"
140,True,10x10,2,1,"(6, 2, 10, 5)","(4, 3)","3,1",2,"(4, 3)"
141,True,10x10,3,0,"(0, 1, 3, 5)","(3, 4)","4,2,1",2,"(3, 4)"
142,True,10x10,3,2,"(6, 6, 9, 9)","(3, 3)","3,2,1",1,"(3, 3)"
143,True,10x10,3,0,"(0, 6, 4, 10)","(4, 4)","3,2,1",1,"(4, 4)"
144,True,10x10,3,0,"(0, 4, 4, 8)","(4, 4)","3,2,1",1,"(4, 4)"
145,True,10x10,3,1,"(4, 0, 10, 6)","(6, 6)","4,3,1",1,"(6, 6)"
146,True,10x10,2,1,"(7, 0, 10, 3)","(3, 3)","2,1",1,"(3, 3)"
147,True,10x10,2,1,"(4, 6, 9, 9)","(5, 3)","4,1",3,"(5, 3)"
148,True,10x10,3,0,"(0, 2, 4, 5)","(4, 3)","4,3,2",1,"(4, 3)"
149,True,10x10,3,0,"(0, 1, 6, 5)","(6, 4)","4,3,2",1,"(6, 4)"
150,True,10x10,3,1,"(5, 1, 9, 4)","(4, 3)","4,2,1",2,"(4, 3)"
151,True,10x10,3,0,"(1, 0, 6, 4)","(5, 4)","4,2,1",2,"(5, 4)"
152,True,10x10,3,0,"(1, 1, 6, 4)","(5, 3)","4,3,2",1,"(5, 3)"
153,True,10x10,2,1,"(7, 2, 10, 5)","(3, 3)","3,1",2,"(3, 3)"
154,True,10x10,3,1,"(5, 0, 9, 5)","(4, 5)","3,2,1",1,"(4, 5)"
155,True,10x10,3,2,"(7, 6, 10, 9)","(3, 3)","4,3,1",1,"(3, 3)"
156,True,10x10,2,0,"(1, 1, 5, 6)","(4, 5)","2,1",1,"(4, 5)"
157,True,10x10,2,1,"(7, 0, 10, 4)","(3, 4)","4,3",1,"(3, 4)"
158,True,10x10,3,1,"(4, 5, 9, 8)","(5, 3)","4,3,1",1,"(5, 3)"
159,True,10x10,3,0,"(0, 2, 3, 7)","(3, 5)","3,2,1",1,"(3, 5)"
160,True,10x10,3,1,"(3, 7, 6, 10)","(3, 3)","4,3,2",1,"(3, 3)"
161,True,10x10,3,1,"(5, 1, 10, 5)","(5, 4)","4,3,2",1,"(5, 4)"
162,True,10x10,3,2,"(5, 6, 10, 9)","(5, 3)","4,3,1",1,"(5, 3)"
163,True,10x10,2,1,"(4, 6, 10, 10)","(6, 4)","4,2",2,"(6, 4)"
164,True,10x10,3,1,"(4, 1, 7, 5)","(3, 4)","4,3,2",1,"(3, 4)"
165,True,10x10,2,0,"(0, 2, 4, 5)","(4, 3)","4,1",3,"(4, 3)"
166,True,10x10,2,1,"(6, 3, 9, 8)","(3, 5)","2,1",1,"(3, 5)"
167,True,10x10,3,1,"(3, 0, 9, 3)","(6, 3)","3,2,1",1,"(6, 3)"
168,True,10x10,2,0,"(1, 2, 6, 5)","(5, 3)","3,2",1,"(5, 3)"
169,True,10x10,3,1,"(5, 7, 10, 10)","(5, 3)","4,2,1",2,"(5, 3)"
170,True,10x10,3,2,"(6, 2, 10, 5)","(4, 3)","4,3,2",1,"(4, 3)"
171,True,10x10,3,2,"(6, 6, 10, 10)","(4, 4)","3,2,1",1,"(4, 4)"
172,True,10x10,2,0,"(0, 1, 4, 7)","(4, 6)","3,2",1,"(4, 6)"
173,True,10x10,3,1,"(2, 4, 5, 7)","(3, 3)","4,3,1",1,"(3, 3)"
174,True,10x10,3,1,"(5, 1, 10, 4)","(5, 3)","4,2,1",2,"(5, 3)"
175,True,10x10,2,1,"(6, 5, 9, 10)","(3, 5)","4,1",3,"(3, 5)"
176,True,10x10,2,1,"(5, 6, 10, 9)","(5, 3)","3,2",1,"(5, 3)"
177,True,10x10,2,1,"(6, 2, 10, 5)","(4, 3)","3,2",1,"(4, 3)"
178,True,10x10,2,0,"(0, 0, 3, 3)","(3, 3)","3,2",1,"(3, 3)"
179,True,10x10,3,1,"(4, 7, 10, 10)","(6, 3)","4,2,1",2,"(6, 3)"
180,True,10x10,3,1,"(4, 7, 9, 10)","(5, 3)","4,3,2",1,"(5, 3)"
181,True,10x10,2,1,"(4, 2, 9, 5)","(5, 3)","3,2",1,"(5, 3)"
182,True,10x10,3,0,"(0, 0, 5, 3)","(5, 3)","4,2,1",2,"(5, 3)"
183,True,10x10,2,1,"(0, 6, 3, 10)","(3, 4)","4,2",2,"(3, 4)"
184,True,10x10,2,0,"(1, 1, 4, 7)","(3, 6)","3,2",1,"(3, 6)"
185,True,10x10,3,1,"(5, 0, 9, 4)","(4, 4)","4,3,2",1,"(4, 4)"
186,True,10x10,3,0,"(0, 0, 4, 3)","(4, 3)","4,3,2",1,"(4, 3)"
187,True,10x10,2,0,"(1, 1, 4, 4)","(3, 3)","3,2",1,"(3, 3)"
188,True,10x10,2,0,"(2, 4, 6, 10)","(4, 6)","3,1",2,"(4, 6)"
189,True,10x10,2,1,"(7, 0, 10, 4)","(3, 4)","4,1",3,"(3, 4)"
190,True,10x10,2,1,"(6, 1, 10, 7)","(4, 6)","4,1",3,"(4, 6)"
191,True,10x10,3,2,"(4, 4, 7, 8)","(3, 4)","4,3,1",1,"(3, 4)"
192,True,10x10,3,2,"(4, 4, 8, 7)","(4, 3)","4,3,1",1,"(4, 3)"
193,True,10x10,3,1,"(2, 5, 8, 10)","(6, 5)","4,3,1",1,"(6, 5)"
194,True,10x10,3,1,"(2, 0, 6, 4)","(4, 4)","4,2,1",2,"(4, 4)"
195,True,10x10,3,2,"(6, 7, 9, 10)","(3, 3)","4,3,2",1,"(3, 3)"
196,True,10x10,3,0,"(0, 0, 5, 5)","(5, 5)","4,2,1",2,"(5, 5)"
197,True,10x10,2,1,"(4, 1, 9, 5)","(5, 4)","4,1",3,"(5, 4)"
198,True,10x10,2,1,"(5, 0, 10, 4)","(5, 4)","3,2",1,"(5, 4)"
199,True,10x10,3,0,"(0, 0, 4, 3)","(4, 3)","4,3,2",1,"(4, 3)"
200,True,10x10,3,0,"(0, 1, 4, 4)","(4, 3)","4,3,2",1,"(4, 3)"
201,True,10x10,3,2,"(7, 0, 10, 4)","(3, 4)","4,3,1",1,"(3, 4)"
202,True,10x10,3,1,"(4, 1, 10, 4)","(6, 3)","4,3,2",1,"(6, 3)"
203,True,10x10,3,2,"(6, 4, 10, 10)","(4, 6)","3,2,1",1,"(4, 6)"
204,True,10x10,3,1,"(2, 0, 8, 3)","(6, 3)","4,3,1",1,"(6, 3)"
205,True,10x10,2,1,"(7, 4, 10, 10)","(3, 6)","2,1",1,"(3, 6)"
206,True,10x10,3,2,"(4, 7, 10, 10)","(6, 3)","3,2,1",1,"(6, 3)"
207,True,10x10,3,0,"(0, 3, 5, 9)","(5, 6)","3,2,1",1,"(5, 6)"
208,True,10x10,3,2,"(7, 7, 10, 10)","(3, 3)","3,2,1",1,"(3, 3)"
209,True,10x10,3,1,"(4, 6, 9, 9)","(5, 3)","4,3,2",1,"(5, 3)"
210,True,10x10,2,1,"(6, 5, 9, 9)","(3, 4)","3,2",1,"(3, 4)"
211,True,10x10,2,1,"(1, 0, 6, 3)","(5, 3)","4,1",3,"(5, 3)"
212,True,10x10,2,0,"(1, 0, 6, 5)","(5, 5)","4,2",2,"(5, 5)"
213,True,10x10,2,1,"(5, 0, 10, 5)","(5, 5)","3,2",1,"(5, 5)"
214,True,10x10,3,1,"(4, 0, 7, 4)","(3, 4)","4,3,1",1,"(3, 4)"
215,True,10x10,3,2,"(6, 1, 9, 5)","(3, 4)","4,2,1",2,"(3, 4)"
216,True,10x10,2,1,"(2, 6, 7, 10)","(5, 4)","3,1",2,"(5, 4)"
217,True,10x10,3,0,"(0, 7, 3, 10)","(3, 3)","3,2,1",1,"(3, 3)"
218,True,10x10,3,1,"(3, 0, 7, 4)","(4, 4)","4,3,2",1,"(4, 4)"
219,True,10x10,3,1,"(4, 7, 8, 10)","(4, 3)","4,2,1",2,"(4, 3)"
220,True,10x10,3,0,"(0, 2, 4, 6)","(4, 4)","4,2,1",2,"(4, 4)"
221,True,10x10,3,2,"(7, 7, 10, 10)","(3, 3)","4,3,1",1,"(3, 3)"
222,True,10x10,3,1,"(0, 5, 3, 8)","(3, 3)","4,3,2",1,"(3, 3)"
223,True,10x10,2,0,"(2, 7, 5, 10)","(3, 3)","3,2",1,"(3, 3)"
224,True,10x10,3,0,"(1, 0, 7, 3)","(6, 3)","4,3,1",1,"(6, 3)"
225,True,10x10,2,1,"(2, 5, 7, 9)","(5, 4)","4,1",3,"(5, 4)"
226,True,10x10,2,0,"(1, 0, 7, 4)","(6, 4)","2,1",1,"(6, 4)"
227,True,10x10,3,1,"(2, 0, 8, 3)","(6, 3)","4,3,1",1,"(6, 3)"
228,True,10x10,3,0,"(0, 1, 3, 7)","(3, 6)","4,3,2",1,"(3, 6)"
229,True,10x10,3,0,"(1, 0, 5, 5)","(4, 5)","4,3,1",1,"(4, 5)"
