idx,shape,output,mode_color,least_color,unique_color,border_mode,inner_mode,center_color,corner_tl,corner_tr,corner_bl,corner_br,bbox_center,bbox_mode,bbox_least
0,17x13,8,8,6,0,8,8,8,4,0,8,1,8,8,6
1,16x15,2,8,1,0,8,8,2,3,2,8,8,2,8,1
2,16x17,6,5,4,0,5,5,6,1,5,0,6,6,5,4
3,16x19,4,1,2,0,1,8,8,1,8,1,4,8,1,2
4,18x19,2,8,4,0,3,8,8,3,3,1,8,8,8,4
5,18x14,9,2,5,0,2,2,2,2,8,0,9,2,2,5
6,18x12,6,7,9,0,7,7,7,9,9,6,7,7,7,9
7,10x13,6,3,4,0,3,3,3,5,6,2,3,3,3,4
8,15x13,4,5,2,0,5,5,5,2,9,4,1,5,5,2
9,14x18,2,2,4,0,2,2,2,2,6,9,7,2,2,4
10,16x15,7,3,5,0,3,3,3,0,7,8,3,3,3,5
11,14x16,9,4,2,0,8,4,8,4,7,8,9,8,4,2
12,20x14,7,8,3,0,1,8,8,7,1,9,8,8,8,3
13,13x14,9,3,4,0,3,3,3,9,8,3,7,3,3,4
14,16x12,2,2,3,0,2,2,2,9,0,1,2,2,2,3
15,10x13,7,1,3,0,1,1,1,7,4,1,2,1,1,3
16,18x14,0,4,1,0,4,4,4,6,0,2,4,4,4,1
17,12x16,2,3,1,0,3,3,3,7,2,0,3,3,3,1
18,10x13,0,9,3,0,9,9,1,8,9,0,1,1,9,3
19,18x20,0,4,8,0,2,4,2,6,0,4,2,2,4,8
20,16x17,6,8,5,0,8,8,8,7,9,6,8,8,8,5
21,19x13,1,2,3,0,2,2,2,4,2,7,1,2,2,3
22,15x16,4,6,8,0,6,6,6,2,4,1,6,6,6,8
23,16x17,1,1,5,0,1,1,1,9,8,6,1,1,1,5
24,12x15,7,4,1,0,4,4,4,8,4,7,9,4,4,1
25,14x14,3,9,5,0,9,9,9,3,1,4,9,9,9,5
26,17x17,9,6,1,0,4,6,6,6,4,3,9,6,6,1
27,14x16,3,6,1,0,6,6,6,6,0,9,1,6,6,1
28,17x15,3,5,1,0,5,5,5,8,5,3,2,5,5,1
29,15x16,4,8,1,0,8,8,8,9,6,8,4,8,8,1
30,14x16,4,6,9,0,6,6,6,4,5,6,2,6,6,9
31,17x14,7,1,9,0,1,1,1,5,1,8,7,1,1,9
32,17x17,8,8,5,0,3,8,8,8,0,3,9,8,8,5
33,12x16,6,3,9,0,3,3,3,2,3,7,6,3,3,9
34,12x15,3,1,6,0,1,1,1,6,8,3,1,1,1,6
35,14x13,9,6,4,0,6,6,6,1,4,2,6,6,6,4
36,16x19,1,6,2,0,8,6,6,8,6,3,1,6,6,2
37,16x18,0,1,7,0,1,1,1,0,2,1,4,1,1,7
38,15x11,1,5,4,0,5,5,5,6,3,5,1,5,5,4
39,16x13,1,3,8,0,3,3,3,4,7,3,1,3,3,8
40,14x19,4,7,2,0,4,7,4,1,7,0,4,4,7,2
41,15x17,1,4,8,0,4,4,4,1,5,9,4,4,4,8
42,17x16,2,8,6,0,2,8,0,2,8,6,0,0,8,6
43,16x12,7,3,6,0,1,3,3,1,3,9,7,3,3,6
44,20x17,8,1,9,0,1,1,8,1,7,8,5,8,1,9
45,12x19,7,3,4,0,3,3,3,3,2,1,7,3,3,4
46,13x15,3,6,4,0,6,6,6,6,0,9,4,6,6,4
47,15x14,0,4,2,0,4,4,4,0,8,7,4,4,4,2
48,13x20,1,9,5,0,6,9,6,7,1,9,6,6,9,5
49,16x17,8,8,3,0,8,8,8,4,9,1,8,8,8,3
50,10x13,1,5,2,0,5,5,1,5,8,2,4,1,5,2
51,15x11,1,9,4,0,9,9,9,1,9,7,5,9,9,4
52,17x13,6,4,7,0,4,4,4,9,6,4,8,4,4,7
53,19x15,1,7,2,0,7,7,7,0,9,1,7,7,7,2
54,15x17,8,5,2,0,5,5,5,3,0,5,8,5,5,2
55,16x16,3,9,1,0,9,9,3,9,8,3,1,3,9,1
56,14x15,5,3,1,0,3,3,3,4,5,2,3,3,3,1
57,10x14,6,4,8,0,3,4,3,4,0,6,3,3,4,8
58,13x11,8,6,1,0,6,6,6,5,1,8,6,6,6,1
59,12x14,9,6,1,0,6,6,8,6,3,8,9,8,6,1
60,17x13,7,3,9,0,3,3,3,7,5,2,3,3,3,9
61,15x14,1,7,5,0,7,7,7,7,1,5,8,7,7,5
62,13x15,2,5,3,0,5,5,5,0,3,5,8,5,5,3
63,19x15,2,2,9,0,2,2,2,1,0,4,2,2,2,9
64,16x15,6,5,8,0,5,5,5,5,6,3,7,5,5,8
65,16x11,3,3,6,0,3,3,0,3,0,8,7,0,3,6
66,16x20,3,7,1,0,7,7,4,3,8,7,4,4,7,1
67,16x12,1,9,8,0,9,1,9,7,5,1,9,9,9,8
68,16x17,6,6,7,0,6,6,6,6,3,1,9,6,6,7
69,15x13,8,1,2,0,1,1,1,1,8,5,0,1,1,2
70,15x15,2,6,5,0,6,6,6,8,0,2,6,6,6,5
71,11x15,7,9,3,0,9,9,9,1,5,7,9,9,9,3
72,18x20,4,6,7,0,6,6,3,6,3,5,4,3,6,7
73,12x17,3,6,7,0,6,6,6,2,6,7,5,6,6,7
74,13x12,2,9,6,0,9,9,9,2,5,1,9,9,9,6
75,14x16,4,3,7,0,3,3,3,3,1,5,4,3,3,7
76,20x10,9,4,8,0,5,4,5,4,9,6,5,5,4,8
77,13x14,5,3,6,0,3,3,3,4,3,5,1,3,3,6
78,18x16,8,7,5,0,1,7,7,8,1,9,7,7,7,5
79,14x18,1,7,3,0,7,7,7,4,1,0,7,7,7,3
80,13x15,6,2,3,0,2,2,2,1,8,6,2,2,2,3
81,17x20,2,4,3,0,4,4,7,2,3,4,7,7,4,3
82,14x17,9,4,1,0,4,4,4,7,4,9,3,4,4,1
83,12x14,6,9,5,0,9,9,0,5,0,4,9,0,9,5
84,14x15,3,3,4,0,3,3,3,4,5,2,3,3,3,4
85,18x15,9,9,1,0,9,9,9,0,6,7,9,9,9,1
86,18x18,4,5,2,0,4,5,4,3,5,0,4,4,5,2
87,16x15,4,7,9,0,7,7,7,8,4,6,7,7,7,9
88,13x13,9,3,7,0,3,3,3,3,4,8,9,3,3,7
89,15x17,7,5,2,0,5,5,5,0,5,7,9,5,5,2
90,17x11,7,1,3,0,1,1,1,7,2,6,1,1,1,3
91,15x15,7,8,5,0,7,8,8,9,1,7,8,8,8,5
92,14x13,3,3,6,0,3,3,3,9,0,1,3,3,3,6
93,17x12,8,6,9,0,6,6,6,8,2,5,6,6,6,9
94,18x12,8,3,1,0,3,3,8,3,8,7,2,8,3,1
95,15x16,2,2,4,0,2,2,2,3,9,5,2,2,2,4
96,16x15,2,5,4,0,5,5,5,5,2,6,3,5,5,4
97,14x14,5,2,7,0,2,2,2,5,2,6,1,2,2,7
98,16x16,8,8,2,0,8,8,8,0,8,7,1,8,8,2
99,19x13,8,1,9,0,1,1,1,0,8,7,1,1,1,9
100,11x17,2,6,5,0,6,6,6,6,2,9,3,6,6,5
101,15x11,5,3,9,0,3,3,3,0,5,3,7,3,3,9
102,11x16,5,4,9,0,4,4,8,4,8,6,5,8,4,9
103,13x20,4,3,1,0,3,3,3,6,3,4,0,3,3,1
104,13x10,9,1,8,0,1,1,9,3,6,1,9,9,1,8
105,14x16,3,3,9,0,3,3,3,7,9,8,5,3,3,9
106,19x11,2,1,8,0,1,1,1,4,6,1,2,1,1,8
107,19x14,3,3,6,0,2,3,3,5,2,1,6,3,3,6
108,18x11,3,1,7,0,1,1,0,3,5,1,0,0,1,7
109,17x14,5,5,1,0,5,5,5,9,4,2,5,5,5,1
110,15x13,7,9,1,0,9,9,9,6,1,5,9,9,9,1
111,17x18,6,3,5,0,3,3,3,5,2,6,9,3,3,5
112,16x13,2,1,4,0,1,1,1,7,8,1,2,1,1,4
113,16x12,7,1,2,0,7,1,0,3,1,7,0,0,1,2
114,19x15,9,2,8,0,2,2,2,6,4,2,8,2,2,8
115,15x14,2,5,7,0,5,5,5,2,4,5,3,5,5,7
116,17x11,4,3,5,0,3,3,3,3,9,0,4,3,3,5
117,16x16,3,3,8,0,3,3,3,4,0,3,6,3,3,8
118,14x18,0,2,3,0,2,2,3,5,8,2,0,3,2,3
119,15x16,7,7,6,0,7,7,7,7,3,4,1,7,7,6
120,17x18,8,4,1,0,4,4,8,5,9,4,8,8,4,1
121,15x17,6,7,9,0,7,7,7,6,7,4,1,7,7,9
122,16x19,9,1,3,0,1,1,1,1,9,8,7,1,1,3
123,15x15,5,8,3,0,8,8,8,5,7,8,1,8,8,3
124,16x15,7,8,5,0,8,8,8,9,5,8,1,8,8,5
125,19x18,2,6,4,0,6,6,6,0,6,5,2,6,6,4
126,15x13,9,4,8,0,4,4,4,0,4,9,5,4,4,8
127,15x13,8,7,4,0,7,8,0,7,0,6,8,0,7,4
128,14x18,2,9,8,0,9,9,9,4,8,2,9,9,9,8
129,16x14,9,2,7,0,2,2,0,2,9,0,8,0,2,7
130,14x17,3,3,6,0,3,3,3,9,0,5,3,3,3,6
131,17x16,6,6,4,0,6,6,6,1,3,6,9,6,6,4
132,13x14,6,4,1,0,4,4,4,4,8,6,3,4,4,1
133,16x10,8,4,2,0,4,3,4,3,4,2,9,4,4,2
134,14x18,0,6,8,0,6,6,0,0,6,7,5,0,6,8
135,18x11,3,3,4,0,3,3,4,9,3,7,1,4,3,4
136,14x18,1,3,2,0,3,3,3,8,1,3,5,3,3,2
137,18x17,1,1,7,0,1,1,1,4,8,1,9,1,1,7
138,17x17,2,2,8,0,9,2,2,5,7,2,9,2,2,8
139,14x17,2,3,5,0,3,3,3,4,2,1,3,3,3,5
140,16x17,4,2,8,0,2,2,6,7,2,4,6,6,2,8
141,15x19,6,6,2,0,5,6,6,4,8,6,5,6,6,2
142,16x18,2,4,5,0,3,4,2,4,3,6,2,2,4,5
143,17x17,5,3,8,0,3,3,3,6,2,3,5,3,3,8
144,19x17,3,5,1,0,5,5,5,9,2,3,5,5,5,1
145,17x17,4,9,8,0,2,9,0,2,4,9,0,0,9,8
146,14x15,9,3,7,0,3,3,3,9,2,7,3,3,3,7
147,17x14,7,7,8,0,7,7,7,0,1,7,4,7,7,8
148,12x14,5,9,6,0,9,9,9,1,4,5,9,9,9,6
149,16x16,3,3,6,0,3,3,3,2,3,0,4,3,3,6
150,13x15,0,8,5,0,8,8,0,1,4,0,8,0,8,5
151,17x15,4,4,1,0,3,4,0,1,4,3,1,0,4,1
152,12x15,2,6,5,0,6,6,6,6,9,0,2,6,6,5
153,18x16,6,6,1,0,6,6,1,7,1,6,0,1,6,1
154,14x10,4,9,1,0,9,9,5,4,3,9,5,5,9,1
155,18x13,1,8,5,0,8,4,0,4,1,0,8,0,8,5
156,10x15,8,4,3,0,4,4,4,5,8,7,4,4,4,3
157,12x20,0,1,7,0,1,1,1,6,3,0,1,1,1,7
158,16x15,3,5,4,0,5,5,5,6,3,5,9,5,5,4
159,17x15,4,8,1,0,8,8,8,4,8,3,9,8,8,1
160,14x16,7,7,3,0,7,7,7,6,7,5,9,7,7,3
161,17x15,5,8,6,0,8,8,8,0,1,5,8,8,8,6
162,17x16,8,6,3,0,6,6,6,7,6,0,8,6,6,3
163,15x17,3,4,1,0,4,4,4,3,0,4,8,4,4,1
164,13x11,6,6,4,0,6,6,6,1,8,0,6,6,6,4
165,10x17,2,9,7,0,9,9,9,7,2,3,9,9,9,7
166,17x15,7,6,2,0,6,6,6,3,6,4,7,6,6,2
167,15x12,4,4,1,0,4,4,4,2,4,9,7,4,4,1
168,17x16,3,3,8,0,3,3,3,9,3,1,5,3,3,8
169,16x13,8,4,7,0,4,4,4,8,4,9,3,4,4,7
170,11x16,8,9,5,0,9,9,0,9,8,0,3,0,9,5
171,13x15,3,1,8,0,1,1,1,5,1,3,2,1,1,8
172,13x13,4,7,3,0,7,7,7,4,6,7,9,7,7,3
173,18x14,0,4,5,0,4,4,0,4,2,5,7,0,4,5
174,16x14,5,5,9,0,1,5,5,0,2,5,1,5,5,9
175,13x16,2,9,6,0,9,9,9,2,5,9,6,9,9,6
176,17x14,2,3,4,0,3,3,3,9,0,2,3,3,3,4
177,12x15,8,9,4,0,9,9,9,5,2,9,8,9,9,4
178,10x15,6,1,4,0,1,1,1,2,9,1,6,1,1,4
179,10x19,1,3,4,0,1,3,1,3,5,1,7,1,3,4
180,17x12,7,3,2,0,3,3,3,8,7,3,1,3,3,2
181,16x14,0,6,8,0,2,6,6,2,6,0,7,6,6,8
182,15x10,2,1,6,0,1,1,1,2,1,9,4,1,1,6
183,17x18,0,8,2,0,8,4,4,6,0,8,4,4,8,2
184,13x10,3,1,7,0,1,1,1,5,1,2,3,1,1,7
185,16x14,5,2,8,0,2,2,2,2,7,3,5,2,2,8
186,18x18,2,4,9,0,4,4,4,2,6,3,4,4,4,9
187,16x17,8,6,2,0,6,6,6,3,8,6,1,6,6,2
188,11x11,7,5,3,0,5,5,5,7,0,2,5,5,5,3
189,16x15,2,8,4,0,8,8,8,3,2,0,8,8,8,4
190,15x15,1,1,6,0,1,1,1,4,5,1,8,1,1,6
191,17x14,5,3,4,0,3,3,3,3,7,5,2,3,3,4
192,14x15,1,6,4,0,6,6,6,5,1,6,4,6,6,4
193,14x16,6,6,5,0,6,6,6,8,6,2,9,6,6,5
194,13x17,7,2,3,0,2,2,2,7,2,8,6,2,2,3
195,15x16,7,9,3,0,9,9,9,6,9,7,0,9,9,3
196,14x16,9,9,6,0,9,9,9,2,8,9,4,9,9,6
197,11x13,6,2,4,0,5,2,2,1,6,5,2,2,2,4
198,19x12,9,5,7,0,5,5,5,8,5,9,1,5,5,7
199,12x15,7,4,5,0,4,4,8,4,0,8,7,8,4,5
200,15x17,8,4,1,0,4,4,4,5,2,4,8,4,4,1
201,18x19,2,4,1,0,4,4,4,0,5,4,2,4,4,1
202,11x13,3,8,1,0,8,8,8,4,0,3,8,8,8,1
203,12x20,6,7,8,0,3,7,3,7,3,4,6,3,7,8
204,11x20,8,6,7,0,6,6,6,8,6,0,1,6,6,7
205,12x13,0,8,1,0,8,8,8,6,2,0,8,8,8,1
206,12x14,1,1,6,0,1,1,1,4,5,9,1,1,1,6
207,14x17,5,2,6,0,2,2,2,0,4,2,5,2,2,6
208,12x14,7,5,6,0,5,5,5,6,5,3,1,5,5,6
209,16x17,8,6,4,0,6,6,6,0,6,3,8,6,6,4
210,16x13,2,3,5,0,3,3,3,7,3,2,9,3,3,5
211,20x11,2,1,8,0,1,1,3,2,1,5,3,3,1,8
212,16x15,5,7,8,0,7,7,7,4,8,7,6,7,7,8
213,10x19,9,2,6,0,2,2,2,3,7,6,2,2,2,6
214,13x15,2,8,5,0,8,8,0,8,9,0,5,0,8,5
215,16x14,7,4,2,0,3,4,4,3,4,1,7,4,4,2
216,15x15,0,9,6,0,9,9,9,9,6,2,0,9,9,6
217,12x10,5,8,9,0,8,5,9,5,8,3,6,9,8,9
218,15x16,3,6,8,0,6,6,6,2,8,6,9,6,6,8
