task_id,rank,rule,pass_count,fail_count
355,0,br,70,197
355,1,bl,67,200
355,2,bbox_center,59,208
355,3,center,59,208
355,4,tr,56,211
355,5,tl,52,215
355,6,bbox_mode,49,218
355,7,mode_nz,49,218
355,8,mode_all,45,222
355,9,bbox_least,0,267
355,10,least_nz,0,267
346,0,bbox_least,263,4
346,1,least_nz,263,4
346,2,center,39,228
346,3,bbox_center,30,237
346,4,br,28,239
346,5,tl,28,239
346,6,bl,24,243
346,7,tr,22,245
346,8,bbox_mode,6,261
346,9,mode_nz,6,261
346,10,mode_all,0,267
291,0,bbox_mode,37,228
291,1,mode_nz,37,228
291,2,bbox_least,27,238
291,3,least_nz,27,238
291,4,center,24,241
291,5,bbox_center,23,242
291,6,bl,5,260
291,7,tr,5,260
291,8,br,4,261
291,9,tl,3,262
291,10,mode_all,0,265
48,0,bbox_mode,161,109
48,1,mode_nz,161,109
48,2,bbox_center,133,137
48,3,center,131,139
48,4,mode_all,118,152
48,5,tl,118,152
48,6,tr,113,157
48,7,br,107,163
48,8,bl,99,171
48,9,bbox_least,14,256
48,10,least_nz,14,256
