idx,shape,expected,rank0,rank1,rank0_count,rank1_count,expected_rank,r0_bbox_area,r1_bbox_area,d_bbox_area,r0_bbox_h,r1_bbox_h,d_bbox_h,r0_bbox_w,r1_bbox_w,d_bbox_w,r0_component_count,r1_component_count,d_component_count,r0_corner_count,r1_corner_count,d_corner_count,r0_count,r1_count,d_count,r0_density_den,r1_density_den,d_density_den,r0_density_num,r1_density_num,d_density_num,r0_edge_touches,r1_edge_touches,d_edge_touches,r0_largest_component,r1_largest_component,d_largest_component,r0_touch_bottom,r1_touch_bottom,d_touch_bottom,r0_touch_left,r1_touch_left,d_touch_left,r0_touch_right,r1_touch_right,d_touch_right,r0_touch_top,r1_touch_top,d_touch_top
0,5x9,2,2,4,8,8,0,45,9,-36,5,3,-2,9,3,-6,8,1,-7,3,0,-3,8,8,0,45,9,-36,8,8,0,4,0,-4,1,8,7,1,0,-1,1,0,-1,1,0,-1,1,0,-1
1,7x9,8,3,8,10,10,1,40,63,23,5,7,2,8,9,1,3,10,7,1,2,1,10,10,0,40,63,23,10,10,0,2,4,2,8,1,-7,1,1,0,1,1,0,0,1,1,0,1,1
2,11x9,1,1,2,9,19,0,90,99,9,10,11,1,9,9,0,8,12,4,1,0,-1,9,19,10,90,99,9,9,19,10,3,4,1,2,8,6,0,1,1,1,1,0,1,1,0,1,1,0
3,11x12,8,8,3,10,20,0,99,121,22,9,11,2,11,11,0,10,11,1,1,0,-1,10,20,10,99,121,22,10,20,10,2,3,1,1,9,8,0,1,1,0,1,1,1,0,-1,1,1,0
4,12x12,4,4,1,13,19,0,132,144,12,11,12,1,12,12,0,11,10,-1,0,0,0,13,19,6,132,144,12,13,19,6,3,4,1,2,9,7,1,1,0,1,1,0,1,1,0,0,1,1
5,12x6,3,3,1,10,13,0,66,72,6,11,12,1,6,6,0,6,5,-1,1,2,1,10,13,3,66,72,6,10,13,3,3,4,1,3,9,6,0,1,1,1,1,0,1,1,0,1,1,0
6,10x6,9,9,2,3,13,0,15,48,33,5,8,3,3,6,3,2,4,2,0,1,1,3,13,10,15,48,33,3,13,10,1,3,2,2,9,7,0,1,1,0,1,1,1,1,0,0,0,0
7,12x6,2,2,1,7,14,0,48,48,0,8,8,0,6,6,0,6,3,-3,0,0,0,7,14,7,48,48,0,7,14,7,2,2,0,2,12,10,0,0,0,1,1,0,1,1,0,0,0,0
8,7x10,1,1,6,5,10,0,40,18,-22,5,6,1,8,3,-5,5,2,-3,0,0,0,5,10,5,40,18,-22,5,10,5,2,1,-1,1,9,8,0,1,1,0,0,0,1,0,-1,1,0,-1
9,12x12,3,3,9,8,16,0,120,121,1,10,11,1,12,11,-1,8,5,-3,0,0,0,8,16,8,120,121,1,8,16,8,3,2,-1,1,11,10,1,1,0,1,1,0,1,0,-1,0,0,0
10,11x9,6,6,1,6,14,0,70,63,-7,10,7,-3,7,9,2,5,4,-1,0,1,1,6,14,8,70,63,-7,6,14,8,1,3,2,2,10,8,0,0,0,0,1,1,0,1,1,1,1,0
11,10x7,6,6,5,9,15,0,63,45,-18,9,9,0,7,5,-2,7,5,-2,1,0,-1,9,15,6,63,45,-18,9,15,6,3,2,-1,2,9,7,0,1,1,1,1,0,1,0,-1,1,0,-1
12,12x5,2,2,8,6,12,0,50,40,-10,10,10,0,5,4,-1,5,3,-2,0,0,0,6,12,6,50,40,-10,6,12,6,2,2,0,2,10,8,0,0,0,1,1,0,1,0,-1,0,1,1
13,7x11,2,2,7,7,11,0,66,36,-30,6,4,-2,11,9,-2,5,4,-1,0,0,0,7,11,4,66,36,-30,7,11,4,3,1,-2,3,8,5,1,0,-1,1,1,0,1,0,-1,0,0,0
14,10x6,6,6,1,11,12,0,60,54,-6,10,9,-1,6,6,0,7,4,-3,0,1,1,11,12,1,60,54,-6,11,12,1,4,3,-1,3,9,6,1,1,0,1,1,0,1,1,0,1,0,-1
15,7x9,2,2,1,4,16,0,35,49,14,5,7,2,7,7,0,4,4,0,0,0,0,4,16,12,35,49,14,4,16,12,2,2,0,1,13,12,0,1,1,1,0,-1,0,0,0,1,1,0
16,11x5,1,1,3,6,13,0,45,36,-9,9,9,0,5,4,-1,5,4,-1,0,1,1,6,13,7,45,36,-9,6,13,7,2,2,0,2,9,7,0,1,1,1,1,0,1,0,-1,0,0,0
17,5x9,5,5,8,8,8,0,40,9,-31,5,3,-2,8,3,-5,7,1,-6,2,0,-2,8,8,0,40,9,-31,8,8,0,3,0,-3,2,8,6,1,0,-1,0,0,0,1,0,-1,1,0,-1
18,12x6,2,2,9,7,13,0,72,66,-6,12,11,-1,6,6,0,7,4,-3,1,1,0,7,13,6,72,66,-6,7,13,6,4,3,-1,1,10,9,1,0,-1,1,1,0,1,1,0,1,1,0
19,5x11,9,9,5,9,12,0,45,40,-5,5,5,0,9,8,-1,7,4,-3,0,1,1,9,12,3,45,40,-5,9,12,3,2,3,1,3,9,6,1,1,0,0,0,0,0,1,1,1,1,0
20,10x11,8,8,9,13,18,0,110,81,-29,10,9,-1,11,9,-2,12,9,-3,0,0,0,13,18,5,110,81,-29,13,18,5,4,2,-2,2,10,8,1,0,-1,1,1,0,1,0,-1,1,1,0
21,12x5,5,5,3,6,12,0,36,36,0,9,9,0,4,4,0,5,5,0,0,0,0,6,12,6,36,36,0,6,12,6,2,2,0,2,8,6,1,0,-1,1,1,0,0,0,0,0,1,1
22,8x10,9,9,3,4,15,0,32,80,48,8,8,0,4,10,6,4,6,2,0,0,0,4,15,11,32,80,48,4,15,11,2,4,2,1,8,7,1,1,0,0,1,1,0,1,1,1,1,0
23,8x12,9,9,7,9,17,0,88,56,-32,8,7,-1,11,8,-3,6,8,2,1,0,-1,9,17,8,88,56,-32,9,17,8,3,1,-2,3,9,6,1,1,0,1,0,-1,0,0,0,1,0,-1
24,10x6,2,2,5,6,13,0,35,50,15,7,10,3,5,5,0,6,5,-1,0,1,1,6,13,7,35,50,15,6,13,7,1,3,2,1,9,8,0,1,1,0,0,0,1,1,0,0,1,1
25,11x7,1,1,4,3,18,0,20,77,57,4,11,7,5,7,2,3,8,5,0,1,1,3,18,15,20,77,57,3,18,15,0,4,4,1,10,9,0,1,1,0,1,1,0,1,1,0,1,1
26,10x11,7,7,5,10,24,0,90,110,20,9,10,1,10,11,1,9,13,4,0,1,1,10,24,14,90,110,20,10,24,14,2,4,2,2,9,7,1,1,0,0,1,1,1,1,0,0,1,1
27,12x8,3,3,7,10,19,0,96,77,-19,12,11,-1,8,7,-1,10,9,-1,3,0,-3,10,19,9,96,77,-19,10,19,9,4,2,-2,1,9,8,1,0,-1,1,1,0,1,0,-1,1,1,0
28,12x9,9,9,7,15,22,0,108,81,-27,12,9,-3,9,9,0,11,10,-1,1,0,-1,15,22,7,108,81,-27,15,22,7,4,3,-1,3,12,9,1,1,0,1,1,0,1,1,0,1,0,-1
29,6x9,7,7,9,8,12,0,48,25,-23,6,5,-1,8,5,-3,7,2,-5,1,0,-1,8,12,4,48,25,-23,8,12,4,3,1,-2,2,10,8,1,0,-1,0,0,0,1,0,-1,1,1,0
30,8x10,7,7,5,5,17,0,28,50,22,4,5,1,7,10,3,5,5,0,0,1,1,5,17,12,28,50,22,5,17,12,2,3,1,1,10,9,1,1,0,0,1,1,1,1,0,0,0,0
