task_id,rank,rule,pass_count,fail_count
48,0,all_second_least_nz,172,98
48,1,bbox_second_least_nz,172,98
48,2,edge_second_least_nz,164,106
48,3,corners_second_least_nz,163,107
48,4,all_mode_nz,161,109
48,5,bbox_mode_nz,161,109
48,6,edge_mode_nz,154,116
48,7,interior_second_least_nz,147,123
48,8,middle_col_second_least_nz,147,123
48,9,middle_col_least_nz,135,135
48,10,middle_row_second_least_nz,135,135
48,11,corners_mode_nz,134,136
48,12,middle_row_least_nz,134,136
48,13,bbox_center,133,137
48,14,center,131,139
48,15,interior_mode_all,127,143
48,16,interior_mode_nz,126,144
48,17,bbox_mode_all,124,146
48,18,middle_col_mode_nz,124,146
48,19,corners_least_nz,121,149
56,0,all_least_nz,5,41
56,1,all_mode_all,5,41
56,2,all_mode_nz,5,41
56,3,all_second_least_nz,5,41
56,4,bbox_least_nz,5,41
56,5,bbox_mode_all,5,41
56,6,bbox_mode_nz,5,41
56,7,bbox_second_least_nz,5,41
56,8,edge_least_nz,5,41
56,9,edge_mode_nz,5,41
56,10,edge_second_least_nz,5,41
56,11,middle_col_least_nz,5,41
56,12,middle_col_mode_nz,5,41
56,13,middle_col_second_least_nz,5,41
56,14,middle_row_least_nz,5,41
56,15,middle_row_mode_nz,5,41
56,16,middle_row_second_least_nz,5,41
56,17,unique_nz,5,41
56,18,bbox_center,4,42
56,19,center,4,42
103,0,all_least_all,0,223
103,1,all_least_nz,0,223
103,2,all_mode_all,0,223
103,3,all_mode_nz,0,223
103,4,all_second_least_nz,0,223
103,5,bbox_center,0,223
103,6,bbox_least_all,0,223
103,7,bbox_least_nz,0,223
103,8,bbox_mode_all,0,223
103,9,bbox_mode_nz,0,223
103,10,bbox_second_least_nz,0,223
103,11,bl,0,223
103,12,br,0,223
103,13,center,0,223
103,14,corners_least_all,0,223
103,15,corners_least_nz,0,223
103,16,corners_mode_all,0,223
103,17,corners_mode_nz,0,223
103,18,corners_second_least_nz,0,223
103,19,edge_least_all,0,223
291,0,middle_col_least_nz,61,204
291,1,all_second_least_nz,60,205
291,2,bbox_second_least_nz,60,205
291,3,middle_col_least_all,59,206
291,4,middle_row_least_nz,56,209
291,5,interior_second_least_nz,55,210
291,6,middle_col_second_least_nz,55,210
291,7,edge_second_least_nz,54,211
291,8,middle_col_mode_nz,54,211
291,9,middle_row_mode_nz,54,211
291,10,middle_row_least_all,53,212
291,11,middle_row_second_least_nz,47,218
291,12,edge_mode_nz,45,220
291,13,interior_mode_nz,38,227
291,14,all_mode_nz,37,228
291,15,bbox_mode_nz,37,228
291,16,interior_least_all,35,230
291,17,interior_least_nz,35,230
291,18,edge_least_all,33,232
291,19,edge_least_nz,33,232
346,0,interior_least_nz,265,2
346,1,all_least_all,263,4
346,2,all_least_nz,263,4
346,3,bbox_least_nz,263,4
346,4,interior_least_all,263,4
346,5,bbox_least_all,262,5
346,6,middle_col_least_nz,148,119
346,7,middle_col_least_all,142,125
346,8,middle_row_least_nz,142,125
346,9,edge_second_least_nz,141,126
346,10,edge_mode_nz,139,128
346,11,middle_row_least_all,131,136
346,12,edge_least_all,126,141
346,13,edge_least_nz,126,141
346,14,corners_least_nz,77,190
346,15,corners_mode_nz,76,191
346,16,corners_second_least_nz,75,192
346,17,corners_least_all,61,206
346,18,middle_col_second_least_nz,58,209
346,19,middle_row_mode_nz,47,220
355,0,all_second_least_nz,100,167
355,1,bbox_second_least_nz,100,167
355,2,edge_second_least_nz,99,168
355,3,interior_second_least_nz,91,176
355,4,middle_row_second_least_nz,78,189
355,5,br,70,197
355,6,bl,67,200
355,7,corners_least_nz,67,200
355,8,middle_row_mode_nz,65,202
355,9,corners_mode_nz,63,204
355,10,corners_least_all,62,205
355,11,middle_col_second_least_nz,62,205
355,12,middle_row_mode_all,60,207
355,13,bbox_center,59,208
355,14,center,59,208
355,15,corners_mode_all,58,209
355,16,corners_second_least_nz,57,210
355,17,middle_col_mode_nz,57,210
355,18,middle_col_mode_all,56,211
355,19,tr,56,211
