task_id,rank,rule,pass_count,fail_count
6,0,bottom_left_dr-1_dc-1_anti_transpose,8,258
6,1,bottom_left_dr-1_dc-1_fliplr,8,258
6,2,bottom_left_dr-1_dc-1_flipud,8,258
6,3,bottom_left_dr-1_dc-1_id,8,258
6,4,bottom_left_dr-1_dc-1_rot180,8,258
6,5,bottom_left_dr-1_dc-1_rot270,8,258
6,6,bottom_left_dr-1_dc-1_rot90,8,258
6,7,bottom_left_dr-1_dc-1_transpose,8,258
6,8,top_left_dr-1_dc-1_anti_transpose,8,258
6,9,top_left_dr-1_dc-1_fliplr,8,258
6,10,top_left_dr-1_dc-1_flipud,8,258
6,11,top_left_dr-1_dc-1_id,8,258
6,12,top_left_dr-1_dc-1_rot180,8,258
6,13,top_left_dr-1_dc-1_rot270,8,258
6,14,top_left_dr-1_dc-1_rot90,8,258
6,15,top_left_dr-1_dc-1_transpose,8,258
6,16,bbox_bottom_left_dr-1_dc-1_anti_transpose,7,259
6,17,bbox_bottom_left_dr-1_dc-1_fliplr,7,259
6,18,bbox_bottom_left_dr-1_dc-1_flipud,7,259
6,19,bbox_bottom_left_dr-1_dc-1_id,7,259
22,0,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,266
22,1,bbox_bottom_left_dr-1_dc-1_fliplr,0,266
22,2,bbox_bottom_left_dr-1_dc-1_flipud,0,266
22,3,bbox_bottom_left_dr-1_dc-1_id,0,266
22,4,bbox_bottom_left_dr-1_dc-1_rot180,0,266
22,5,bbox_bottom_left_dr-1_dc-1_rot270,0,266
22,6,bbox_bottom_left_dr-1_dc-1_rot90,0,266
22,7,bbox_bottom_left_dr-1_dc-1_transpose,0,266
22,8,bbox_bottom_left_dr-1_dc0_anti_transpose,0,266
22,9,bbox_bottom_left_dr-1_dc0_fliplr,0,266
22,10,bbox_bottom_left_dr-1_dc0_flipud,0,266
22,11,bbox_bottom_left_dr-1_dc0_id,0,266
22,12,bbox_bottom_left_dr-1_dc0_rot180,0,266
22,13,bbox_bottom_left_dr-1_dc0_rot270,0,266
22,14,bbox_bottom_left_dr-1_dc0_rot90,0,266
22,15,bbox_bottom_left_dr-1_dc0_transpose,0,266
22,16,bbox_bottom_left_dr-1_dc1_anti_transpose,0,266
22,17,bbox_bottom_left_dr-1_dc1_fliplr,0,266
22,18,bbox_bottom_left_dr-1_dc1_flipud,0,266
22,19,bbox_bottom_left_dr-1_dc1_id,0,266
39,0,bbox_bottom_left_dr0_dc0_rot270,264,0
39,1,bbox_bottom_right_dr0_dc0_rot180,264,0
39,2,bbox_center_dr-1_dc-1_id,264,0
39,3,bbox_top_left_dr0_dc0_id,264,0
39,4,bbox_top_right_dr0_dc0_rot90,264,0
39,5,center_dr-1_dc0_id,38,226
39,6,center_dr1_dc-1_rot270,35,229
39,7,center_dr1_dc0_rot270,32,232
39,8,top_right_dr1_dc-1_rot90,32,232
39,9,bottom_left_dr-1_dc1_rot270,31,233
39,10,center_dr0_dc1_rot90,31,233
39,11,center_dr0_dc-1_id,29,235
39,12,center_dr1_dc1_rot180,28,236
39,13,top_left_dr1_dc1_id,28,236
39,14,bottom_right_dr-1_dc-1_rot180,27,237
39,15,center_dr0_dc0_id,27,237
39,16,center_dr-1_dc-1_id,22,242
39,17,center_dr-1_dc1_rot90,22,242
39,18,bbox_bottom_left_dr0_dc0_flipud,13,251
39,19,bbox_bottom_right_dr0_dc0_anti_transpose,13,251
79,0,bbox_top_left_dr0_dc0_id,47,219
79,1,bbox_top_right_dr0_dc0_id,47,219
79,2,bbox_bottom_left_dr0_dc0_id,42,224
79,3,bbox_bottom_right_dr0_dc0_id,38,228
79,4,bbox_bottom_right_dr0_dc-1_id,19,247
79,5,bbox_bottom_right_dr-1_dc0_id,17,249
79,6,bbox_top_right_dr0_dc-1_id,15,251
79,7,bbox_top_left_dr0_dc1_id,13,253
79,8,bbox_top_left_dr1_dc0_id,13,253
79,9,bbox_bottom_left_dr-1_dc0_id,12,254
79,10,bbox_bottom_left_dr0_dc1_id,11,255
79,11,top_right_dr0_dc0_id,11,255
79,12,bbox_top_right_dr0_dc0_anti_transpose,10,256
79,13,bottom_left_dr0_dc0_id,10,256
79,14,bottom_right_dr-1_dc0_id,10,256
79,15,top_left_dr0_dc0_id,10,256
79,16,bbox_center_dr0_dc0_id,9,257
79,17,bbox_top_right_dr1_dc0_id,9,257
79,18,bottom_left_dr0_dc1_id,9,257
79,19,bottom_right_dr0_dc0_id,9,257
111,0,bbox_top_left_dr1_dc0_id,160,105
111,1,bbox_top_right_dr1_dc0_id,156,109
111,2,bbox_bottom_left_dr0_dc0_id,147,118
111,3,bbox_bottom_right_dr0_dc0_id,147,118
111,4,bbox_center_dr1_dc0_id,106,159
111,5,bbox_top_left_dr1_dc0_transpose,22,243
111,6,bbox_bottom_left_dr0_dc0_flipud,20,245
111,7,bbox_top_left_dr1_dc0_anti_transpose,19,246
111,8,bbox_bottom_left_dr0_dc0_anti_transpose,18,247
111,9,bbox_top_left_dr1_dc0_flipud,18,247
111,10,bbox_top_right_dr1_dc0_anti_transpose,18,247
111,11,bbox_top_right_dr1_dc0_transpose,18,247
111,12,bbox_bottom_right_dr0_dc0_flipud,16,249
111,13,bbox_top_right_dr1_dc0_flipud,16,249
111,14,bbox_bottom_left_dr0_dc0_transpose,15,250
111,15,bbox_bottom_right_dr0_dc0_transpose,15,250
111,16,bbox_bottom_right_dr0_dc0_anti_transpose,14,251
111,17,bbox_center_dr1_dc0_transpose,13,252
111,18,bbox_center_dr1_dc0_flipud,12,253
111,19,bbox_center_dr1_dc0_anti_transpose,11,254
121,0,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,266
121,1,bbox_bottom_left_dr-1_dc-1_fliplr,0,266
121,2,bbox_bottom_left_dr-1_dc-1_flipud,0,266
121,3,bbox_bottom_left_dr-1_dc-1_id,0,266
121,4,bbox_bottom_left_dr-1_dc-1_rot180,0,266
121,5,bbox_bottom_left_dr-1_dc-1_rot270,0,266
121,6,bbox_bottom_left_dr-1_dc-1_rot90,0,266
121,7,bbox_bottom_left_dr-1_dc-1_transpose,0,266
121,8,bbox_bottom_left_dr-1_dc0_anti_transpose,0,266
121,9,bbox_bottom_left_dr-1_dc0_fliplr,0,266
121,10,bbox_bottom_left_dr-1_dc0_flipud,0,266
121,11,bbox_bottom_left_dr-1_dc0_id,0,266
121,12,bbox_bottom_left_dr-1_dc0_rot180,0,266
121,13,bbox_bottom_left_dr-1_dc0_rot270,0,266
121,14,bbox_bottom_left_dr-1_dc0_rot90,0,266
121,15,bbox_bottom_left_dr-1_dc0_transpose,0,266
121,16,bbox_bottom_left_dr-1_dc1_anti_transpose,0,266
121,17,bbox_bottom_left_dr-1_dc1_fliplr,0,266
121,18,bbox_bottom_left_dr-1_dc1_flipud,0,266
121,19,bbox_bottom_left_dr-1_dc1_id,0,266
130,0,center_dr-1_dc-1_id,2,263
130,1,center_dr-1_dc-1_transpose,2,263
130,2,center_dr-1_dc1_anti_transpose,2,263
130,3,center_dr-1_dc1_id,2,263
130,4,bbox_center_dr-1_dc-1_id,1,264
130,5,bbox_center_dr-1_dc-1_transpose,1,264
130,6,bbox_center_dr-1_dc0_id,1,264
130,7,bbox_center_dr-1_dc0_transpose,1,264
130,8,bbox_center_dr-1_dc1_anti_transpose,1,264
130,9,bbox_center_dr-1_dc1_id,1,264
130,10,bbox_center_dr0_dc1_anti_transpose,1,264
130,11,bbox_center_dr0_dc1_id,1,264
130,12,bbox_center_dr1_dc-1_anti_transpose,1,264
130,13,bbox_center_dr1_dc-1_id,1,264
130,14,center_dr1_dc-1_anti_transpose,1,264
130,15,center_dr1_dc-1_id,1,264
130,16,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,265
130,17,bbox_bottom_left_dr-1_dc-1_fliplr,0,265
130,18,bbox_bottom_left_dr-1_dc-1_flipud,0,265
130,19,bbox_bottom_left_dr-1_dc-1_id,0,265
134,0,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,266
134,1,bbox_bottom_left_dr-1_dc-1_fliplr,0,266
134,2,bbox_bottom_left_dr-1_dc-1_flipud,0,266
134,3,bbox_bottom_left_dr-1_dc-1_id,0,266
134,4,bbox_bottom_left_dr-1_dc-1_rot180,0,266
134,5,bbox_bottom_left_dr-1_dc-1_rot270,0,266
134,6,bbox_bottom_left_dr-1_dc-1_rot90,0,266
134,7,bbox_bottom_left_dr-1_dc-1_transpose,0,266
134,8,bbox_bottom_left_dr-1_dc0_anti_transpose,0,266
134,9,bbox_bottom_left_dr-1_dc0_fliplr,0,266
134,10,bbox_bottom_left_dr-1_dc0_flipud,0,266
134,11,bbox_bottom_left_dr-1_dc0_id,0,266
134,12,bbox_bottom_left_dr-1_dc0_rot180,0,266
134,13,bbox_bottom_left_dr-1_dc0_rot270,0,266
134,14,bbox_bottom_left_dr-1_dc0_rot90,0,266
134,15,bbox_bottom_left_dr-1_dc0_transpose,0,266
134,16,bbox_bottom_left_dr-1_dc1_anti_transpose,0,266
134,17,bbox_bottom_left_dr-1_dc1_fliplr,0,266
134,18,bbox_bottom_left_dr-1_dc1_flipud,0,266
134,19,bbox_bottom_left_dr-1_dc1_id,0,266
135,0,top_right_dr0_dc0_id,266,0
135,1,bbox_top_right_dr0_dc0_id,264,2
135,2,top_right_dr0_dc0_fliplr,8,258
135,3,bbox_top_right_dr0_dc0_fliplr,7,259
135,4,bbox_top_right_dr0_dc0_transpose,6,260
135,5,top_right_dr0_dc0_transpose,6,260
135,6,bbox_top_right_dr0_dc0_anti_transpose,5,261
135,7,top_right_dr0_dc0_anti_transpose,5,261
135,8,bbox_top_right_dr0_dc0_flipud,3,263
135,9,top_right_dr0_dc0_flipud,3,263
135,10,bbox_top_right_dr0_dc0_rot180,2,264
135,11,bbox_top_right_dr0_dc1_id,2,264
135,12,top_right_dr0_dc0_rot180,2,264
135,13,bbox_top_right_dr-1_dc-1_rot180,1,265
135,14,bbox_top_right_dr-1_dc1_transpose,1,265
135,15,bbox_top_right_dr0_dc1_fliplr,1,265
135,16,top_right_dr-1_dc-1_rot180,1,265
135,17,top_right_dr-1_dc1_transpose,1,265
135,18,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,266
135,19,bbox_bottom_left_dr-1_dc-1_fliplr,0,266
146,0,bbox_top_left_dr0_dc0_id,96,171
146,1,bbox_top_right_dr0_dc0_id,96,171
146,2,top_left_dr0_dc0_id,96,171
146,3,top_right_dr0_dc0_id,96,171
146,4,bbox_bottom_left_dr0_dc0_id,89,178
146,5,bbox_bottom_right_dr0_dc0_id,89,178
146,6,bottom_left_dr0_dc0_id,89,178
146,7,bottom_right_dr0_dc0_id,89,178
146,8,bbox_center_dr0_dc0_id,82,185
146,9,center_dr0_dc0_id,82,185
146,10,bbox_top_left_dr0_dc0_flipud,23,244
146,11,bbox_top_right_dr0_dc0_flipud,23,244
146,12,top_left_dr0_dc0_flipud,23,244
146,13,top_right_dr0_dc0_flipud,23,244
146,14,bbox_bottom_left_dr0_dc0_fliplr,17,250
146,15,bbox_bottom_right_dr0_dc0_fliplr,17,250
146,16,bottom_left_dr0_dc0_fliplr,17,250
146,17,bottom_right_dr0_dc0_fliplr,17,250
146,18,bbox_bottom_left_dr0_dc0_flipud,15,252
