task_id,shape,rank,rule,pass_count,fail_count
6,3x3,0,bottom_left_dr-1_dc-1_anti_transpose,8,258
6,3x3,1,bottom_left_dr-1_dc-1_fliplr,8,258
6,3x3,2,bottom_left_dr-1_dc-1_flipud,8,258
6,3x3,3,bottom_left_dr-1_dc-1_id,8,258
6,3x3,4,bottom_left_dr-1_dc-1_rot180,8,258
6,3x3,5,bottom_left_dr-1_dc-1_rot270,8,258
6,3x3,6,bottom_left_dr-1_dc-1_rot90,8,258
6,3x3,7,bottom_left_dr-1_dc-1_transpose,8,258
6,3x3,8,top_left_dr-1_dc-1_anti_transpose,8,258
6,3x3,9,top_left_dr-1_dc-1_fliplr,8,258
6,3x3,10,top_left_dr-1_dc-1_flipud,8,258
6,3x3,11,top_left_dr-1_dc-1_id,8,258
6,3x3,12,top_left_dr-1_dc-1_rot180,8,258
6,3x3,13,top_left_dr-1_dc-1_rot270,8,258
6,3x3,14,top_left_dr-1_dc-1_rot90,8,258
6,3x3,15,top_left_dr-1_dc-1_transpose,8,258
6,3x3,16,bbox_bottom_left_dr-1_dc-1_anti_transpose,7,259
6,3x3,17,bbox_bottom_left_dr-1_dc-1_fliplr,7,259
6,3x3,18,bbox_bottom_left_dr-1_dc-1_flipud,7,259
6,3x3,19,bbox_bottom_left_dr-1_dc-1_id,7,259
22,3x3,0,bbox_bottom_left_dr-1_dc-1_anti_transpose,0,266
22,3x3,1,bbox_bottom_left_dr-1_dc-1_fliplr,0,266
22,3x3,2,bbox_bottom_left_dr-1_dc-1_flipud,0,266
22,3x3,3,bbox_bottom_left_dr-1_dc-1_id,0,266
22,3x3,4,bbox_bottom_left_dr-1_dc-1_rot180,0,266
22,3x3,5,bbox_bottom_left_dr-1_dc-1_rot270,0,266
22,3x3,6,bbox_bottom_left_dr-1_dc-1_rot90,0,266
22,3x3,7,bbox_bottom_left_dr-1_dc-1_transpose,0,266
22,3x3,8,bbox_bottom_left_dr-1_dc0_anti_transpose,0,266
22,3x3,9,bbox_bottom_left_dr-1_dc0_fliplr,0,266
22,3x3,10,bbox_bottom_left_dr-1_dc0_flipud,0,266
22,3x3,11,bbox_bottom_left_dr-1_dc0_id,0,266
22,3x3,12,bbox_bottom_left_dr-1_dc0_rot180,0,266
22,3x3,13,bbox_bottom_left_dr-1_dc0_rot270,0,266
22,3x3,14,bbox_bottom_left_dr-1_dc0_rot90,0,266
22,3x3,15,bbox_bottom_left_dr-1_dc0_transpose,0,266
22,3x3,16,bbox_bottom_left_dr-1_dc1_anti_transpose,0,266
22,3x3,17,bbox_bottom_left_dr-1_dc1_fliplr,0,266
22,3x3,18,bbox_bottom_left_dr-1_dc1_flipud,0,266
22,3x3,19,bbox_bottom_left_dr-1_dc1_id,0,266
38,1x5,0,bbox_bottom_right_dr0_dc0_fliplr,6,260
38,1x5,1,bbox_center_dr0_dc-1_flipud,6,260
38,1x5,2,bbox_center_dr0_dc-1_id,6,260
38,1x5,3,bbox_top_right_dr0_dc0_flipud,6,260
38,1x5,4,bbox_top_right_dr0_dc0_id,6,260
38,1x5,5,bbox_top_right_dr1_dc1_flipud,6,260
38,1x5,6,bbox_top_right_dr1_dc1_id,6,260
38,1x5,7,bottom_right_dr0_dc0_fliplr,6,260
38,1x5,8,center_dr0_dc-1_flipud,6,260
38,1x5,9,center_dr0_dc-1_id,6,260
38,1x5,10,center_dr1_dc1_flipud,6,260
38,1x5,11,center_dr1_dc1_id,6,260
38,1x5,12,top_right_dr0_dc0_flipud,6,260
38,1x5,13,top_right_dr0_dc0_id,6,260
38,1x5,14,top_right_dr1_dc1_flipud,6,260
38,1x5,15,top_right_dr1_dc1_id,6,260
38,1x5,16,bbox_bottom_right_dr-1_dc-1_fliplr,5,261
38,1x5,17,bbox_center_dr-1_dc-1_flipud,5,261
38,1x5,18,bbox_center_dr-1_dc-1_id,5,261
38,1x5,19,bbox_center_dr1_dc0_flipud,5,261
39,3x3,0,bbox_bottom_left_dr0_dc0_rot270,264,0
39,3x3,1,bbox_bottom_right_dr0_dc0_rot180,264,0
39,3x3,2,bbox_center_dr-1_dc-1_id,264,0
39,3x3,3,bbox_top_left_dr0_dc0_id,264,0
39,3x3,4,bbox_top_right_dr0_dc0_rot90,264,0
39,3x3,5,center_dr-1_dc0_id,38,226
39,3x3,6,center_dr1_dc-1_rot270,35,229
39,3x3,7,center_dr1_dc0_rot270,32,232
39,3x3,8,top_right_dr1_dc-1_rot90,32,232
39,3x3,9,bottom_left_dr-1_dc1_rot270,31,233
39,3x3,10,center_dr0_dc1_rot90,31,233
39,3x3,11,center_dr0_dc-1_id,29,235
39,3x3,12,center_dr1_dc1_rot180,28,236
39,3x3,13,top_left_dr1_dc1_id,28,236
39,3x3,14,bottom_right_dr-1_dc-1_rot180,27,237
39,3x3,15,center_dr0_dc0_id,27,237
39,3x3,16,center_dr-1_dc-1_id,22,242
39,3x3,17,center_dr-1_dc1_rot90,22,242
39,3x3,18,bbox_bottom_left_dr0_dc0_flipud,13,251
39,3x3,19,bbox_bottom_right_dr0_dc0_anti_transpose,13,251
48,1x1,0,bbox_center_dr0_dc0_anti_transpose,135,135
48,1x1,1,bbox_center_dr0_dc0_fliplr,135,135
48,1x1,2,bbox_center_dr0_dc0_flipud,135,135
48,1x1,3,bbox_center_dr0_dc0_id,135,135
48,1x1,4,bbox_center_dr0_dc0_rot180,135,135
48,1x1,5,bbox_center_dr0_dc0_rot270,135,135
48,1x1,6,bbox_center_dr0_dc0_rot90,135,135
48,1x1,7,bbox_center_dr0_dc0_transpose,135,135
48,1x1,8,center_dr0_dc0_anti_transpose,133,137
48,1x1,9,center_dr0_dc0_fliplr,133,137
48,1x1,10,center_dr0_dc0_flipud,133,137
48,1x1,11,center_dr0_dc0_id,133,137
48,1x1,12,center_dr0_dc0_rot180,133,137
48,1x1,13,center_dr0_dc0_rot270,133,137
48,1x1,14,center_dr0_dc0_rot90,133,137
48,1x1,15,center_dr0_dc0_transpose,133,137
48,1x1,16,bbox_center_dr-1_dc0_anti_transpose,125,145
48,1x1,17,bbox_center_dr-1_dc0_fliplr,125,145
48,1x1,18,bbox_center_dr-1_dc0_flipud,125,145
48,1x1,19,bbox_center_dr-1_dc0_id,125,145
