task_id,baseline_cost,example_count,output_shape_count,binary_signature_count,most_common_binary_signature_count,best_shape_rule,best_shape_rule_pass_count,best_shape_rule_fail_count,output_shapes
300,77546,267,4,79,26,one_component_shape,267,0,2x3:12;3x2:7;3x3:161;4x3:87
174,52019,266,16,22,42,one_component_shape,266,0,1x2:4;1x5:1;2x1:6;2x2:31;2x3:42;2x4:28;2x5:34;3x1:3;3x2:28;3x3:19;3x4:30;4x1:1;4x2:13;4x3:14;5x1:1;5x2:11
130,15948,265,1,168,8,one_component_shape,265,0,3x3:265
355,11795,267,1,1,267,one_component_shape,267,0,1x1:267
346,9178,267,1,1,267,one_component_shape,267,0,1x1:267
393,459,265,1,3,110,num_colors_by_1,265,0,3x1:265
56,213,46,1,1,46,num_colors_by_1,46,0,1x1:46
103,193,223,1,1,223,num_colors_by_1,223,0,1x1:223
271,28991,267,1,106,17,one_component_shape,266,1,3x3:267
146,2256,267,1,162,4,one_component_shape,252,15,3x3:267
48,5609,270,1,1,270,one_component_shape,254,16,1x1:270
207,1875,265,1,10,37,one_component_shape,202,63,2x2:265
326,160,266,1,15,40,one_component_shape,202,64,2x2:266
235,1338,69,1,7,13,,0,69,3x3:69
111,797,265,1,71,10,one_component_shape,159,106,3x3:265
257,1077,269,1,269,1,one_component_shape,161,108,4x4:269
180,7450,268,1,268,1,one_component_shape,159,109,4x4:268
115,4122,266,4,14,29,1_by_num_colors,141,125,1x3:75;1x4:66;3x1:63;4x1:62
153,11212,265,1,26,35,one_component_shape,136,129,3x3:265
395,1667,268,1,100,20,one_component_shape,128,140,3x3:268
321,5511,267,1,267,1,one_component_shape,126,141,4x4:267
347,1607,269,1,118,20,one_component_shape,115,154,3x3:269
6,1631,266,1,121,27,one_component_shape,110,156,3x3:266
79,21383,266,1,79,10,one_component_shape,99,167,3x3:266
178,29331,268,6,46,18,num_colors_by_1,91,177,1x3:36;1x4:41;1x5:53;3x1:49;4x1:51;5x1:38
227,2927,267,1,251,3,one_component_shape,90,177,4x4:267
144,786,267,1,252,3,one_component_shape,90,177,4x4:267
318,739,267,1,252,3,one_component_shape,89,178,4x4:267
236,643,267,1,265,2,one_component_shape,89,178,4x4:267
121,6530,266,1,98,9,one_component_shape,84,182,3x3:266
26,738,268,1,242,6,one_component_shape,86,182,5x3:268
386,2183,268,1,200,9,one_component_shape,84,184,4x3:268
394,4753,266,3,39,81,one_component_shape,75,191,1x1:81;2x2:154;3x3:31
170,78564,266,2,132,7,one_component_shape,68,198,3x3:237;4x4:29
263,8054,267,1,92,9,one_component_shape,63,204,3x3:267
244,31782,266,2,248,3,one_component_shape,58,208,3x3:137;4x4:129
242,20119,266,1,129,12,one_component_shape,53,213,3x3:266
134,12388,266,1,90,9,one_component_shape,39,227,3x3:266
259,6843,266,4,134,19,one_component_shape,37,229,2x2:58;2x3:69;3x2:72;3x3:67
339,884,266,9,9,48,one_component_shape,37,229,1x1:30;1x2:38;1x3:37;1x4:25;1x5:48;1x6:30;1x7:26;1x8:23;1x9:9
334,609,271,1,3,98,one_component_shape,29,242,3x3:271
218,23202,266,4,108,10,one_component_shape,15,251,2x2:65;2x3:62;3x2:73;3x3:66
184,38855,266,4,121,10,one_component_shape,12,254,2x2:65;2x3:63;3x2:73;3x3:65
188,10664,266,9,223,6,one_component_shape,8,258,2x2:27;2x3:23;2x4:31;3x2:36;3x3:21;3x4:29;4x2:32;4x3:39;4x4:28
274,8581,269,1,4,70,one_component_shape,10,259,3x3:269
135,360,266,1,210,5,one_component_shape,3,263,3x3:266
39,7772,264,1,19,50,,0,264,3x3:264
253,48269,265,1,1,265,,0,265,4x4:265
291,4327,265,1,1,265,,0,265,1x1:265
22,34821,266,1,31,16,,0,266,3x3:266
100,6536,266,1,1,266,,0,266,2x2:266
316,3903,266,1,89,81,,0,266,3x3:266
38,2193,266,1,5,81,,0,266,1x5:266
185,59584,267,1,83,11,,0,267,3x3:267
391,10021,267,1,3,93,,0,267,3x1:267
149,437,267,1,168,5,,0,267,3x3:267
296,4115,268,1,134,10,,0,268,3x3:268
399,1839,273,1,5,82,input_shape,5,268,3x3:273
