idx,output_shape,component_count,shape_match_count,exactish_count,chosen_color,chosen_size,chosen_area,chosen_r0,chosen_c0,crop_exact,mask_binary,mask_colorized,rank_size_desc,rank_area_desc,rank_r0_asc,rank_c0_asc,rank_color_asc
0,4x3,3,1,1,2,8,12,1,1,True,False,True,0,0,0,0,1
1,3x2,3,1,1,4,6,6,1,4,True,False,True,0,1,2,1,1
2,4x3,3,1,1,8,8,12,1,1,True,False,True,0,0,0,0,2
3,3x3,3,1,1,2,7,9,1,6,True,False,True,0,0,1,2,0
4,4x3,4,1,1,3,10,12,2,3,True,False,True,0,0,1,2,0
5,3x3,3,1,1,8,7,9,3,1,True,False,True,0,0,1,0,2
6,3x3,3,2,1,9,8,9,2,8,True,False,True,0,1,1,2,2
7,3x3,3,1,1,6,8,9,4,10,True,False,True,0,0,1,2,1
8,3x3,3,2,1,7,9,9,1,4,True,False,True,0,0,0,1,1
9,3x3,4,3,1,6,8,9,0,0,True,False,True,0,0,0,0,2
10,3x3,3,1,1,3,7,9,0,4,True,False,True,0,0,0,1,1
11,3x3,3,2,1,1,8,9,3,0,True,False,True,0,1,2,1,0
12,4x3,3,1,1,1,9,12,0,7,True,False,True,0,0,0,2,0
13,3x3,4,2,1,7,8,9,0,0,True,False,True,0,0,0,0,1
14,3x3,3,2,1,5,8,9,4,5,True,False,True,0,1,2,2,2
15,3x3,3,2,1,2,8,9,3,2,True,False,True,0,1,2,1,0
16,2x3,3,2,1,6,5,6,6,5,True,False,True,0,1,2,1,2
17,4x3,3,1,1,6,9,12,0,3,True,False,True,0,0,0,1,1
18,3x2,3,1,1,6,6,6,0,4,True,False,True,0,0,0,1,2
19,3x3,4,1,1,4,8,9,0,3,True,False,True,0,0,0,1,0
20,3x3,4,1,1,8,6,9,0,8,True,False,True,0,0,1,2,2
21,4x3,3,1,1,7,9,12,1,6,True,False,True,0,0,1,1,1
22,3x3,3,1,1,2,7,9,0,5,True,False,True,0,0,1,1,0
23,3x3,4,1,1,7,8,9,4,8,True,False,True,0,0,2,3,2
