idx,ok,same_component,output_shape,max_color,max_color_bbox,largest_color,largest_size,largest_bbox
0,True,True,4x3,2,"1,1,5,4",2,8,"1,1,5,4"
1,True,True,3x2,4,"1,4,4,6",4,6,"1,4,4,6"
2,True,True,4x3,8,"1,1,5,4",8,8,"1,1,5,4"
3,True,True,3x3,2,"1,6,4,9",2,7,"1,6,4,9"
4,True,True,4x3,3,"2,3,6,6",3,10,"2,3,6,6"
5,True,True,3x3,8,"3,1,6,4",8,7,"3,1,6,4"
6,True,True,3x3,9,"2,8,5,11",9,8,"2,8,5,11"
7,True,True,3x3,6,"4,10,7,13",6,8,"4,10,7,13"
8,True,True,3x3,7,"1,4,4,7",7,9,"1,4,4,7"
9,True,True,3x3,6,"0,0,3,3",6,8,"0,0,3,3"
10,True,True,3x3,3,"0,4,3,7",3,7,"0,4,3,7"
11,True,True,3x3,1,"3,0,6,3",1,8,"3,0,6,3"
12,True,True,4x3,1,"0,7,4,10",1,9,"0,7,4,10"
13,True,True,3x3,7,"0,0,3,3",7,8,"0,0,3,3"
14,True,True,3x3,5,"4,5,7,8",5,8,"4,5,7,8"
15,True,True,3x3,2,"3,2,6,5",2,8,"3,2,6,5"
16,True,True,2x3,6,"6,5,8,8",6,5,"6,5,8,8"
17,True,True,4x3,6,"0,3,4,6",6,9,"0,3,4,6"
18,True,True,3x2,6,"0,4,3,6",6,6,"0,4,3,6"
19,True,True,3x3,4,"0,3,3,6",4,8,"0,3,3,6"
20,True,True,3x3,8,"0,8,3,11",8,6,"0,8,3,11"
21,True,True,4x3,7,"1,6,5,9",7,9,"1,6,5,9"
22,True,True,3x3,2,"0,5,3,8",2,7,"0,5,3,8"
23,True,True,3x3,7,"4,8,7,11",7,8,"4,8,7,11"
24,True,True,3x3,1,"3,0,6,3",1,8,"3,0,6,3"
25,True,True,4x3,8,"0,3,4,6",8,9,"0,3,4,6"
26,True,True,3x3,5,"1,0,4,3",5,8,"1,0,4,3"
27,True,True,3x3,5,"2,5,5,8",5,9,"2,5,5,8"
28,True,True,3x3,6,"5,0,8,3",6,8,"5,0,8,3"
29,True,True,4x3,7,"3,7,7,10",7,9,"3,7,7,10"
30,True,True,4x3,1,"0,0,4,3",1,9,"0,0,4,3"
31,True,True,3x3,6,"2,4,5,7",6,6,"2,4,5,7"
32,True,True,4x3,4,"2,8,6,11",4,9,"2,8,6,11"
33,True,True,3x3,9,"2,12,5,15",9,8,"2,12,5,15"
34,True,True,3x3,1,"6,3,9,6",1,6,"6,3,9,6"
35,True,True,3x3,7,"2,10,5,13",7,7,"2,10,5,13"
36,True,True,4x3,6,"0,1,4,4",6,9,"0,1,4,4"
37,True,True,4x3,9,"3,0,7,3",9,9,"3,0,7,3"
38,True,True,4x3,2,"3,4,7,7",2,9,"3,4,7,7"
39,True,True,4x3,3,"2,9,6,12",3,9,"2,9,6,12"
40,True,True,3x2,9,"0,0,3,2",9,6,"0,0,3,2"
41,True,True,4x3,9,"3,7,7,10",9,9,"3,7,7,10"
42,True,True,4x3,8,"1,8,5,11",8,9,"1,8,5,11"
43,True,True,3x3,5,"4,7,7,10",5,7,"4,7,7,10"
44,True,True,3x3,2,"3,0,6,3",2,7,"3,0,6,3"
45,True,True,3x3,6,"4,4,7,7",6,8,"4,4,7,7"
46,True,True,3x3,7,"1,0,4,3",7,8,"1,0,4,3"
47,True,True,3x3,1,"1,4,4,7",1,8,"1,4,4,7"
48,True,True,3x3,6,"4,6,7,9",6,6,"4,6,7,9"
49,True,True,4x3,5,"0,5,4,8",5,9,"0,5,4,8"
50,True,True,3x3,4,"0,5,3,8",4,9,"0,5,3,8"
51,True,True,3x3,1,"3,2,6,5",1,8,"3,2,6,5"
52,True,True,3x3,3,"3,7,6,10",3,6,"3,7,6,10"
53,True,True,4x3,5,"0,1,4,4",5,9,"0,1,4,4"
54,True,True,3x3,5,"2,3,5,6",5,7,"2,3,5,6"
55,True,True,3x3,3,"3,6,6,9",3,8,"3,6,6,9"
56,True,True,3x3,8,"2,8,5,11",8,8,"2,8,5,11"
57,True,True,2x3,8,"6,4,8,7",8,5,"6,4,8,7"
58,True,True,3x3,7,"3,5,6,8",7,8,"3,5,6,8"
59,True,True,4x3,4,"0,0,4,3",4,9,"0,0,4,3"
60,True,True,2x3,2,"6,9,8,12",2,5,"6,9,8,12"
61,True,True,4x3,2,"3,0,7,3",2,9,"3,0,7,3"
62,True,True,3x3,3,"1,0,4,3",3,6,"1,0,4,3"
63,True,True,3x3,1,"3,0,6,3",1,8,"3,0,6,3"
64,True,True,3x3,4,"0,0,3,3",4,9,"0,0,3,3"
65,True,True,3x3,9,"2,4,5,7",9,8,"2,4,5,7"
66,True,True,4x3,4,"0,2,4,5",4,9,"0,2,4,5"
67,True,True,4x3,3,"1,5,5,8",3,9,"1,5,5,8"
68,True,True,4x3,7,"2,4,6,7",7,9,"2,4,6,7"
69,True,True,3x3,5,"0,8,3,11",5,7,"0,8,3,11"
70,True,True,3x3,7,"1,1,4,4",7,7,"1,1,4,4"
71,True,True,3x3,2,"2,6,5,9",2,6,"2,6,5,9"
72,True,True,3x3,9,"0,5,3,8",9,8,"0,5,3,8"
73,True,True,3x3,1,"0,9,3,12",1,8,"0,9,3,12"
74,True,True,4x3,3,"0,4,4,7",3,9,"0,4,4,7"
75,True,True,2x3,1,"5,2,7,5",1,5,"5,2,7,5"
76,True,True,3x3,5,"6,2,9,5",5,7,"6,2,9,5"
77,True,True,3x3,7,"5,8,8,11",7,8,"5,8,8,11"
78,True,True,3x3,3,"6,4,9,7",3,8,"6,4,9,7"
79,True,True,4x3,2,"4,6,8,9",2,9,"4,6,8,9"
80,True,True,4x3,5,"1,0,5,3",5,9,"1,0,5,3"
81,True,True,3x3,2,"6,2,9,5",2,8,"6,2,9,5"
82,True,True,4x3,2,"2,1,6,4",2,9,"2,1,6,4"
83,True,True,3x3,1,"0,6,3,9",1,8,"0,6,3,9"
84,True,True,3x3,3,"2,5,5,8",3,9,"2,5,5,8"
85,True,True,4x3,9,"3,0,7,3",9,9,"3,0,7,3"
86,True,True,3x3,4,"1,1,4,4",4,8,"1,1,4,4"
87,True,True,3x3,8,"4,9,7,12",8,8,"4,9,7,12"
88,True,True,4x3,1,"1,7,5,10",1,9,"1,7,5,10"
89,True,True,4x3,7,"4,2,8,5",7,9,"4,2,8,5"
90,True,True,3x3,8,"3,9,6,12",8,7,"3,9,6,12"
91,True,True,3x3,3,"3,0,6,3",3,7,"3,0,6,3"
92,True,True,3x3,2,"3,7,6,10",2,6,"3,7,6,10"
93,True,True,4x3,6,"1,7,5,10",6,9,"1,7,5,10"
94,True,True,3x3,8,"3,4,6,7",8,7,"3,4,6,7"
95,True,True,3x3,4,"0,0,3,3",4,8,"0,0,3,3"
96,True,True,3x3,8,"4,1,7,4",8,8,"4,1,7,4"
97,True,True,3x3,5,"4,0,7,3",5,8,"4,0,7,3"
98,True,True,3x3,4,"0,6,3,9",4,8,"0,6,3,9"
99,True,True,3x3,2,"3,0,6,3",2,8,"3,0,6,3"
100,True,True,3x3,6,"4,5,7,8",6,7,"4,5,7,8"
101,True,True,4x3,8,"0,7,4,10",8,9,"0,7,4,10"
102,True,True,4x3,5,"4,7,8,10",5,9,"4,7,8,10"
103,True,True,4x3,3,"0,0,4,3",3,9,"0,0,4,3"
104,True,True,3x3,5,"1,9,4,12",5,8,"1,9,4,12"
105,True,True,4x3,8,"0,1,4,4",8,9,"0,1,4,4"
106,True,True,3x3,5,"5,5,8,8",5,8,"5,5,8,8"
107,True,True,4x3,4,"4,7,8,10",4,9,"4,7,8,10"
108,True,True,3x3,6,"0,8,3,11",6,8,"0,8,3,11"
109,True,True,4x3,5,"0,4,4,7",5,9,"0,4,4,7"
110,True,True,3x2,8,"0,7,3,9",8,6,"0,7,3,9"
111,True,True,4x3,9,"4,4,8,7",9,9,"4,4,8,7"
112,True,True,4x3,8,"1,6,5,9",8,9,"1,6,5,9"
113,True,True,4x3,3,"0,0,4,3",3,9,"0,0,4,3"
